Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume PLN
2019-07-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-07-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-06-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-31,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
