Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume BTC
2019-07-03,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-07-02,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-07-01,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-30,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-29,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-28,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-27,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-26,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-25,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-24,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-23,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-22,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-21,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-20,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-19,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-18,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-17,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-16,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-15,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-14,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-13,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-12,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-11,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-10,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-09,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-08,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-07,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-06,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-05,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-04,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-03,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-02,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-06-01,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-31,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-30,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-29,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-28,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-27,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-26,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-25,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-24,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-23,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-22,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-21,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-20,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-19,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-18,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-17,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-16,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-15,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-14,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-13,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-12,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-11,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-10,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-09,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-08,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-07,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-06,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-05,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-04,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-03,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-02,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-05-01,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-04-30,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-04-29,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-04-28,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-04-27,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-04-26,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
2019-04-25,XMRBTC,0.018,0.018,0.018,0.018,0.0,0.0
