Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume BTC
2019-07-03,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-07-02,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-07-01,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-30,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-29,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-28,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-27,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-26,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-25,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-24,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-23,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-22,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-21,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-20,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-19,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-18,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-17,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-16,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-15,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-14,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-13,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-12,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-11,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-10,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-09,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-08,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-07,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-06,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-05,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-04,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-03,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-02,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-06-01,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-31,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-30,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-29,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-28,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-27,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-26,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-25,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-24,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-23,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-22,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-21,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-20,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-19,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-18,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-17,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-16,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-15,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-14,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-13,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-12,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-11,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-10,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-09,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-08,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-07,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-06,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-05,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-04,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-03,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-02,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-05-01,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-30,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-29,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-28,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-27,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-26,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-25,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-24,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-23,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-22,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-21,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-20,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-19,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-18,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-17,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-16,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-15,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-14,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-13,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-12,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-11,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-10,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-09,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-08,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-07,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-06,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-05,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-04,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-03,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-02,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-04-01,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-31,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-30,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-29,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-28,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-27,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-26,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-25,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-24,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-23,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-22,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-21,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-20,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-19,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-18,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-17,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-16,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-15,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-14,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-13,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-12,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-11,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-10,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-09,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-08,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-07,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-06,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-05,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-04,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-03,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-02,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-03-01,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-28,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-27,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-26,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-25,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-24,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-23,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-22,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-21,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
2019-02-20,ZECBTC,0.011,0.011,0.011,0.011,0.0,0.0
