Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume AUD
2019-07-03 10-AM,BTCAUD,16000.7,16230.19,15996.43,16074.24,11.15,179905.15
2019-07-03 09-AM,BTCAUD,15764.98,16034.76,15500.13,16000.7,35.13,550601.89
2019-07-03 08-AM,BTCAUD,16108.99,16148.26,15627.41,15764.98,55.5,880954.51
2019-07-03 07-AM,BTCAUD,16317.81,16337.37,16069,16108.99,32.33,523297.42
2019-07-03 06-AM,BTCAUD,16349.6,16442.75,16130,16317.81,34.24,557993.25
2019-07-03 05-AM,BTCAUD,16104.69,16535.46,16053.07,16349.6,33.2,544505.88
2019-07-03 04-AM,BTCAUD,16122.23,16250.14,16006.55,16104.69,16.53,267064.69
2019-07-03 03-AM,BTCAUD,15913.9,16200,15822.47,16122.23,19.93,318701.97
2019-07-03 02-AM,BTCAUD,16226.89,16251.55,15850.03,15913.9,38.55,618500.28
2019-07-03 01-AM,BTCAUD,16000,16323.15,15998.11,16226.89,72.05,1162008.38
2019-07-03 12-AM,BTCAUD,15500,16000,15475,16000,123.76,1970770.82
2019-07-02 11-PM,BTCAUD,15515.05,15549.84,15300,15500,22.07,340188.4
2019-07-02 10-PM,BTCAUD,15250,15578,15250,15515.05,32.7,506096.38
2019-07-02 09-PM,BTCAUD,15330,15331.48,15033.01,15250,27.36,415762.64
2019-07-02 08-PM,BTCAUD,15240.01,15598.99,15240.01,15330,25.2,390303.5
2019-07-02 07-PM,BTCAUD,15159.98,15450,15113.8,15240.01,11.67,178654.14
2019-07-02 06-PM,BTCAUD,15097.05,15199.99,14994.7,15159.98,32.08,487236.32
2019-07-02 05-PM,BTCAUD,14900.5,15150,14900.5,15097.05,10.07,151572.8
2019-07-02 04-PM,BTCAUD,15000,15011,14753.35,14900.5,21.07,313384.05
2019-07-02 03-PM,BTCAUD,14820.72,15000,14678,15000,21.97,325264.65
2019-07-02 02-PM,BTCAUD,13995,14820.72,13995,14820.72,47.99,694894.33
2019-07-02 01-PM,BTCAUD,14170.99,14257.29,13929.81,13995,11.6,163141.81
2019-07-02 12-PM,BTCAUD,14039.55,14354.39,14016.9,14170.99,19.96,283298.14
2019-07-02 11-AM,BTCAUD,14215,14416.28,13660.01,14039.55,46.96,658958.02
2019-07-02 10-AM,BTCAUD,14368.19,14430,14122.95,14215,17.31,246580.71
2019-07-02 09-AM,BTCAUD,14488.12,14621.9,14301.41,14368.19,37.51,542946.1
2019-07-02 08-AM,BTCAUD,13904.27,14589.43,13845.86,14488.12,53.11,757538.99
2019-07-02 07-AM,BTCAUD,13737.43,13935.31,13737.43,13904.27,23.9,331944.36
2019-07-02 06-AM,BTCAUD,13817.84,13988.99,13725.94,13737.43,36.81,509404.6
2019-07-02 05-AM,BTCAUD,13999.42,14042.29,13724.08,13817.84,56.49,781378.33
2019-07-02 04-AM,BTCAUD,14661.55,14685.06,13824.77,13999.42,149.35,2106114.34
2019-07-02 03-AM,BTCAUD,14594.4,14715.76,14549.85,14661.55,12.74,186183.26
2019-07-02 02-AM,BTCAUD,14585.42,14759.44,14543.84,14594.4,23.93,349890.11
2019-07-02 01-AM,BTCAUD,14762,14896.63,14458.92,14585.42,72.96,1066456.08
2019-07-02 12-AM,BTCAUD,15124.98,15200,14750,14762,22.66,340546.19
2019-07-01 11-PM,BTCAUD,14900,15234.05,14877.51,15124.98,55.8,843793.84
2019-07-01 10-PM,BTCAUD,15047.19,15065.31,14876.92,14900,31.04,463300.52
