Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume AUD
2019-07-03 10-AM,ETCAUD,11,11,11,11,0.0,0.0
2019-07-03 09-AM,ETCAUD,11.16,11.16,11,11,2.0,22.0
2019-07-03 08-AM,ETCAUD,11.3,11.3,11.16,11.16,265.85,2968.2
2019-07-03 07-AM,ETCAUD,11.26,11.3,11.19,11.3,31.08,350.56
2019-07-03 06-AM,ETCAUD,11.26,11.26,11.26,11.26,0.0,0.0
2019-07-03 05-AM,ETCAUD,11.35,11.41,11.26,11.26,44.4,505.33
2019-07-03 04-AM,ETCAUD,11.1,11.35,11.08,11.35,597.0,6622.53
2019-07-03 03-AM,ETCAUD,11.12,11.5,11.1,11.1,603.39,6699.66
2019-07-03 02-AM,ETCAUD,11.68,11.68,11.12,11.12,24.19,276.06
2019-07-03 01-AM,ETCAUD,11.68,11.68,11.68,11.68,0.0,0.0
2019-07-03 12-AM,ETCAUD,11.5,11.69,11.5,11.68,44.17,509.92
2019-07-02 11-PM,ETCAUD,11.2,11.52,10.85,11.5,1419.69,16055.53
2019-07-02 10-PM,ETCAUD,10.72,11.21,10.72,11.2,17.99,201.51
2019-07-02 09-PM,ETCAUD,10.72,10.72,10.72,10.72,0.0,0.0
2019-07-02 08-PM,ETCAUD,10.72,10.72,10.72,10.72,0.0,0.0
2019-07-02 07-PM,ETCAUD,10.76,11.17,10.6,10.72,151.61,1660.24
2019-07-02 06-PM,ETCAUD,10.76,10.76,10.76,10.76,0.0,0.0
2019-07-02 05-PM,ETCAUD,10.76,10.76,10.76,10.76,0.0,0.0
2019-07-02 04-PM,ETCAUD,10.63,10.76,10.63,10.76,1.0,10.76
2019-07-02 03-PM,ETCAUD,10.63,10.63,10.63,10.63,0.0,0.0
2019-07-02 02-PM,ETCAUD,10.65,10.65,10.63,10.63,9.038,96.1
2019-07-02 01-PM,ETCAUD,10.65,11,10.55,10.65,94.22,1005.98
2019-07-02 12-PM,ETCAUD,10.51,10.83,10.51,10.65,127.93,1360.61
2019-07-02 11-AM,ETCAUD,10.83,10.88,10.5,10.51,106.67,1129.76
2019-07-02 10-AM,ETCAUD,10.83,10.83,10.83,10.83,0.0,0.0
2019-07-02 09-AM,ETCAUD,11.19,11.19,10.83,10.83,14.0,153.22
2019-07-02 08-AM,ETCAUD,10.65,11.19,10.65,11.19,366.66,3907.63
2019-07-02 07-AM,ETCAUD,10.65,10.65,10.65,10.65,1.0,10.65
2019-07-02 06-AM,ETCAUD,10.65,10.94,10.65,10.65,226.74,2415.21
2019-07-02 05-AM,ETCAUD,10.96,10.96,10.65,10.65,49.07,523.58
2019-07-02 04-AM,ETCAUD,11.34,11.34,10.96,10.96,19.0,208.24
2019-07-02 03-AM,ETCAUD,10.93,11.34,10.93,11.34,40.0,453.6
2019-07-02 02-AM,ETCAUD,11.21,11.21,10.93,10.93,3.0,32.79
2019-07-02 01-AM,ETCAUD,11.26,11.26,11.21,11.21,9.0,100.89
2019-07-02 12-AM,ETCAUD,11.26,11.26,11.26,11.26,0.0,0.0
2019-07-01 11-PM,ETCAUD,10.67,11.26,10.67,11.26,5.0,56.3
2019-07-01 10-PM,ETCAUD,10.67,10.67,10.67,10.67,0.0,0.0
2019-07-01 09-PM,ETCAUD,10.67,10.67,10.67,10.67,0.0,0.0
2019-07-01 08-PM,ETCAUD,10.65,10.93,10.65,10.67,22.01,236.62
2019-07-01 07-PM,ETCAUD,10.86,10.86,10.65,10.65,6.0,63.9
2019-07-01 06-PM,ETCAUD,10.75,10.86,10.75,10.86,18.69,202.93
2019-07-01 05-PM,ETCAUD,10.75,10.75,10.75,10.75,0.0,0.0
2019-07-01 04-PM,ETCAUD,10.75,10.75,10.75,10.75,0.0,0.0
2019-07-01 03-PM,ETCAUD,11,11,10.75,10.75,8.0,86.45
2019-07-01 02-PM,ETCAUD,11.03,11.28,11,11,137.05,1510.31
2019-07-01 01-PM,ETCAUD,11,11.03,11,11.03,2.19,24.16
2019-07-01 12-PM,ETCAUD,11.35,11.35,11,11,144.38,1604.3
2019-07-01 11-AM,ETCAUD,11.16,11.35,11.15,11.35,235.16,2627.51
2019-07-01 10-AM,ETCAUD,11.49,11.49,11.15,11.16,122.0,1377.49
2019-07-01 09-AM,ETCAUD,11.16,11.49,11.16,11.49,43.17,496.03
2019-07-01 08-AM,ETCAUD,11.16,11.16,11.16,11.16,0.0,0.0
2019-07-01 07-AM,ETCAUD,11.46,11.46,11.15,11.16,15.37,171.64
2019-07-01 06-AM,ETCAUD,11.46,11.46,11.46,11.46,0.0,0.0
2019-07-01 05-AM,ETCAUD,11.52,11.52,11.46,11.46,2.672,30.62
2019-07-01 04-AM,ETCAUD,11.25,11.52,11.25,11.52,5.0,57.59
2019-07-01 03-AM,ETCAUD,11.25,11.25,11.25,11.25,0.0,0.0
2019-07-01 02-AM,ETCAUD,11.25,11.25,11.25,11.25,9.941,111.83
2019-07-01 01-AM,ETCAUD,10.78,11.25,10.78,11.25,9.0,101.25
2019-07-01 12-AM,ETCAUD,10.78,10.78,10.78,10.78,0.0,0.0
2019-06-30 11-PM,ETCAUD,11.2,11.21,10.78,10.78,501.64,5544.27
