Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume AUD
2019-07-03,ETCAUD,11.5,11.69,11,11,1612.08,17954.24
2019-07-02,ETCAUD,11.26,11.52,10.5,11.5,2656.62,29326.29
2019-07-01,ETCAUD,10.78,11.52,10.65,11.26,785.62,8758.94
2019-06-30,ETCAUD,11.7,12.4,10.78,10.78,2605.54,30740.51
2019-06-29,ETCAUD,11.49,11.8,11.2,11.7,959.76,11006.69
2019-06-28,ETCAUD,10.9,11.89,10.76,11.49,1965.21,22199.44
2019-06-27,ETCAUD,13.07,13.15,10.39,10.9,8690.15,100987.85
2019-06-26,ETCAUD,13.44,13.89,12.3,13.07,7688.72,102196.93
2019-06-25,ETCAUD,13.39,13.47,13.07,13.44,3253.79,43163.67
2019-06-24,ETCAUD,13.1,13.5,12.75,13.39,850.58,11179.53
2019-06-23,ETCAUD,12.83,13.63,12.83,13.1,1945.55,25865.83
2019-06-22,ETCAUD,12.7,13.35,12.69,12.83,3206.29,41643.74
2019-06-21,ETCAUD,12.41,12.76,12.29,12.7,1255.33,15793.11
2019-06-20,ETCAUD,12.51,12.51,12.2,12.41,557.18,6849.37
2019-06-19,ETCAUD,12.16,12.63,12.16,12.51,551.59,6852.09
2019-06-18,ETCAUD,12.69,12.85,12.13,12.16,1301.53,16117.35
2019-06-17,ETCAUD,12.5,12.85,12.5,12.69,597.36,7569.99
2019-06-16,ETCAUD,12.42,12.8,12.31,12.5,856.71,10679.76
2019-06-15,ETCAUD,12.37,12.55,12.17,12.42,302.34,3749.18
2019-06-14,ETCAUD,12.34,12.37,12,12.37,704.82,8511.83
2019-06-13,ETCAUD,12.28,12.66,12.23,12.34,1101.54,13661.01
2019-06-12,ETCAUD,11.99,12.7,11.76,12.28,1001.94,12191.12
2019-06-11,ETCAUD,11.82,11.99,11.59,11.99,805.26,9601.79
2019-06-10,ETCAUD,11.64,12.23,11.47,11.82,150.04,1787.57
2019-06-09,ETCAUD,12.06,12.21,11.4,11.64,1300.58,15403.44
2019-06-08,ETCAUD,11.62,12.61,11.61,12.06,1414.55,17341.74
2019-06-07,ETCAUD,11.47,11.95,11.27,11.62,3284.71,38028.05
2019-06-06,ETCAUD,11.58,12.01,10.62,11.47,2821.95,31624.39
2019-06-05,ETCAUD,11.7,11.86,11.4,11.58,3889.63,45254.8
2019-06-04,ETCAUD,13.5,13.5,11,11.7,5780.86,73561.05
2019-06-03,ETCAUD,13.64,14,13.05,13.5,5851.39,80297.14
2019-06-02,ETCAUD,12.32,13.84,12.3,13.64,2296.06,30477.01
2019-06-01,ETCAUD,12.44,12.79,12.11,12.32,1737.89,21483.28
2019-05-31,ETCAUD,11.85,12.5,11.45,12.44,1007.92,12014.57
2019-05-30,ETCAUD,11.88,12.79,11.27,11.85,11585.76,141687.95
2019-05-29,ETCAUD,11.76,12.1,11.15,11.88,3372.12,38979.44
2019-05-28,ETCAUD,11.85,12.2,11.58,11.76,3886.81,46488.43
2019-05-27,ETCAUD,11.25,12,11.03,11.85,3389.9,38379.54
2019-05-26,ETCAUD,10.47,11.26,10.2,11.25,2008.04,22198.28
2019-05-25,ETCAUD,10.75,10.75,10.45,10.47,66.48,702.07
2019-05-24,ETCAUD,10.28,10.75,10.2,10.75,875.72,9132.97
2019-05-23,ETCAUD,10.06,10.31,9.82,10.28,767.03,7757.79
2019-05-22,ETCAUD,10.75,10.96,10.06,10.06,945.66,9815.26
2019-05-21,ETCAUD,10.64,11.17,10.42,10.75,1525.97,16547.87
2019-05-20,ETCAUD,11.18,11.18,10.34,10.64,2379.48,25268.32
2019-05-19,ETCAUD,10.36,11.49,10.36,11.18,3360.69,37729.56
2019-05-18,ETCAUD,10.6,10.74,10.2,10.36,989.79,10499.0
2019-05-17,ETCAUD,10.88,11.17,9.62,10.6,4771.58,48496.24
2019-05-16,ETCAUD,10.97,12.29,9.93,10.88,6443.55,72498.03
2019-05-15,ETCAUD,9.48,11,9.38,10.97,4547.07,46317.13
2019-05-14,ETCAUD,8.72,9.75,8.72,9.48,5926.79,55153.36
2019-05-13,ETCAUD,8.3,9.14,8.3,8.72,3559.8,31104.82
2019-05-12,ETCAUD,8.68,8.99,8.21,8.3,3053.7,26542.53
2019-05-11,ETCAUD,8.01,9.16,7.97,8.68,4653.02,39552.5
2019-05-10,ETCAUD,7.99,8.17,7.86,8.01,1411.16,11260.6
2019-05-09,ETCAUD,8.13,8.3,7.9,7.99,1785.46,14698.46
2019-05-08,ETCAUD,7.99,8.13,7.91,8.13,1311.09,10394.9
2019-05-07,ETCAUD,8.15,8.41,8.11,8.2,1484.18,12155.28
2019-05-06,ETCAUD,8.18,8.18,7.81,8.15,2469.15,19560.62
2019-05-05,ETCAUD,8.21,8.31,8.06,8.18,328.91,2680.02
2019-05-04,ETCAUD,8.37,8.6,8.05,8.21,177.66,1475.1
2019-05-03,ETCAUD,8.26,8.59,8.1,8.37,1013.92,8511.52
2019-05-02,ETCAUD,8.17,8.36,8.02,8.26,416.7,3416.6
2019-05-01,ETCAUD,8.24,8.9,8.17,8.17,4980.68,41888.7
2019-04-30,ETCAUD,7.82,8.24,7.77,8.24,480.52,3789.9
2019-04-29,ETCAUD,7.72,8.04,7.71,7.82,358.09,2795.53
2019-04-28,ETCAUD,7.79,7.79,7.67,7.72,368.61,2835.85
2019-04-27,ETCAUD,7.51,7.83,7.51,7.79,147.35,1151.57
2019-04-26,ETCAUD,7.51,7.84,7.5,7.51,379.74,2906.96
