Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume BTC
2019-07-03,ETCBTC,0.0006506,0.0006506,0.0006506,0.0006506,0.0,0.0
2019-07-02,ETCBTC,0.0006506,0.000705,0.0006506,0.0006506,29.93,0.01948
2019-07-01,ETCBTC,0.0007012,0.0007012,0.0006506,0.0006506,2.195,0.001428
2019-06-30,ETCBTC,0.000651,0.0007012,0.0006508,0.0007012,43.23,0.02943
2019-06-29,ETCBTC,0.000651,0.000651,0.000651,0.000651,0.0009923,6.5e-07
2019-06-28,ETCBTC,0.0006749,0.0006757,0.000651,0.000651,154.86,0.1025
2019-06-27,ETCBTC,0.000678,0.0007012,0.00062,0.0006749,485.9,0.3242
2019-06-26,ETCBTC,0.0007477,0.0009984,0.0006017,0.000678,641.33,0.4708
2019-06-25,ETCBTC,0.0008006,0.0008206,0.0007477,0.0007477,24.38,0.01911
2019-06-24,ETCBTC,0.0008323,0.0008323,0.0008006,0.0008006,4.989,0.003994
2019-06-23,ETCBTC,0.0007458,0.0008966,0.0007458,0.0008323,24.88,0.02045
2019-06-22,ETCBTC,0.000863,0.000863,0.0007458,0.0007458,28.69,0.02404
2019-06-21,ETCBTC,0.0008889,0.0008889,0.0008562,0.000863,4.373,0.003769
2019-06-20,ETCBTC,0.0009159,0.0009188,0.0008889,0.0008889,108.58,0.0991
2019-06-19,ETCBTC,0.0009281,0.0009281,0.0009159,0.0009159,9.402,0.008612
2019-06-18,ETCBTC,0.0009953,0.0009953,0.0009281,0.0009281,13.75,0.01276
2019-06-17,ETCBTC,0.0009256,0.0009953,0.0009256,0.0009953,67.92,0.06691
2019-06-16,ETCBTC,0.0009577,0.0009955,0.0008266,0.0009256,75.33,0.07025
2019-06-15,ETCBTC,0.0009574,0.0009956,0.0009574,0.0009577,441.01,0.4222
2019-06-14,ETCBTC,0.0009712,0.0009712,0.0009574,0.0009574,125.03,0.1197
2019-06-13,ETCBTC,0.000858,0.0009712,0.000858,0.0009712,1.83,0.001777
2019-06-12,ETCBTC,0.001071,0.001077,0.0006002,0.000858,25.15,0.02527
2019-06-11,ETCBTC,0.00103,0.001071,0.00103,0.001071,39.93,0.04157
2019-06-10,ETCBTC,0.001071,0.001071,0.00103,0.00103,2.87,0.002967
2019-06-09,ETCBTC,0.001066,0.001071,0.001066,0.001071,4.63,0.004958
2019-06-08,ETCBTC,0.001022,0.001066,0.001022,0.001066,4.18,0.004439
2019-06-07,ETCBTC,0.001015,0.001022,0.001015,0.001022,0.004,4.08e-06
2019-06-06,ETCBTC,0.0006026,0.001023,0.0006026,0.001015,0.106,0.0001081
