Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume AUD
2019-07-03 10-AM,ETHAUD,417.58,421.21,417.58,418.01,8.424,3539.29
2019-07-03 09-AM,ETHAUD,417.58,417.58,412.89,417.58,30.25,12571.97
2019-07-03 08-AM,ETHAUD,421.56,421.56,415,417.58,112.92,47318.65
2019-07-03 07-AM,ETHAUD,425,425.46,420.14,421.56,31.34,13238.21
2019-07-03 06-AM,ETHAUD,427.15,427.23,423.8,425,28.65,12167.92
2019-07-03 05-AM,ETHAUD,423.5,430.09,422.84,427.15,102.81,43871.56
2019-07-03 04-AM,ETHAUD,422.5,424.44,421.89,423.5,9.009,3807.34
2019-07-03 03-AM,ETHAUD,418.66,422.58,417.77,422.5,52.77,22181.58
2019-07-03 02-AM,ETHAUD,423.76,423.76,418.66,418.66,39.01,16448.5
2019-07-03 01-AM,ETHAUD,422.12,426.88,422.05,423.76,132.77,56378.96
2019-07-03 12-AM,ETHAUD,417.76,424.27,417.76,422.12,212.43,89758.72
2019-07-02 11-PM,ETHAUD,418.57,421.89,415.41,417.76,60.11,25176.06
2019-07-02 10-PM,ETHAUD,410.57,418.57,410.57,418.57,174.99,72839.23
2019-07-02 09-PM,ETHAUD,413.79,413.79,409.41,410.57,79.02,32415.84
2019-07-02 08-PM,ETHAUD,407.66,414.25,406.58,413.79,48.18,19748.16
2019-07-02 07-PM,ETHAUD,408.99,414.15,407.46,407.66,62.74,25752.56
2019-07-02 06-PM,ETHAUD,408.98,408.99,404.65,408.99,4.021,1630.91
2019-07-02 05-PM,ETHAUD,403.8,409,403.8,408.98,125.03,50966.0
2019-07-02 04-PM,ETHAUD,403.8,403.8,403.8,403.8,0.0,0.0
2019-07-02 03-PM,ETHAUD,405.93,407.36,402.25,403.8,30.99,12575.06
2019-07-02 02-PM,ETHAUD,394.21,405.93,394.21,405.93,130.76,52374.32
2019-07-02 01-PM,ETHAUD,397.31,399.38,392.07,394.21,19.2,7608.32
2019-07-02 12-PM,ETHAUD,390.21,400,390,397.31,58.49,23268.77
2019-07-02 11-AM,ETHAUD,394.73,399.21,384.86,390.21,278.39,108349.93
2019-07-02 10-AM,ETHAUD,397.55,399.02,390.36,394.73,88.32,34748.64
2019-07-02 09-AM,ETHAUD,402.42,403.05,396.62,397.55,88.06,35173.98
2019-07-02 08-AM,ETHAUD,391.25,402.42,389.58,402.42,108.45,43031.82
2019-07-02 07-AM,ETHAUD,389.81,393.1,389.44,391.25,69.03,27026.05
2019-07-02 06-AM,ETHAUD,389.86,394.97,384,389.81,198.88,76918.88
2019-07-02 05-AM,ETHAUD,397.09,397.09,388.01,389.86,197.7,77396.5
2019-07-02 04-AM,ETHAUD,410.71,412.46,391.47,397.09,372.22,147537.29
2019-07-02 03-AM,ETHAUD,409.89,410.71,408.46,410.71,115.95,47494.06
2019-07-02 02-AM,ETHAUD,409.12,421.78,408.64,409.89,97.84,40313.79
2019-07-02 01-AM,ETHAUD,413.77,417.97,408.8,409.12,132.94,54993.34
2019-07-02 12-AM,ETHAUD,420.91,423.99,413.77,413.77,63.74,26661.59
2019-07-01 11-PM,ETHAUD,414.07,421.93,413.64,420.91,341.15,143509.09
2019-07-01 10-PM,ETHAUD,418,418,407.79,414.07,105.82,43731.53
2019-07-01 09-PM,ETHAUD,417.4,420,415.31,418,109.07,45572.2
2019-07-01 08-PM,ETHAUD,403.03,417.4,403.03,417.4,53.54,22174.13
2019-07-01 07-PM,ETHAUD,409.21,409.21,400.8,403.03,52.46,21221.19
2019-07-01 06-PM,ETHAUD,404.61,409.21,404.61,409.21,9.524,3894.38
2019-07-01 05-PM,ETHAUD,406.4,406.4,404.45,404.61,16.51,6682.52
2019-07-01 04-PM,ETHAUD,409.57,412.84,406.4,406.4,25.95,10612.84
2019-07-01 03-PM,ETHAUD,403.68,409.69,403.55,409.57,73.48,29842.46
2019-07-01 02-PM,ETHAUD,409.25,414.68,403.68,403.68,29.9,12261.88
2019-07-01 01-PM,ETHAUD,410.38,413.43,409.25,409.25,30.97,12730.82
2019-07-01 12-PM,ETHAUD,419.24,421.18,407.04,410.38,162.12,66875.59
2019-07-01 11-AM,ETHAUD,419.31,420,417.4,419.24,16.12,6748.03
2019-07-01 10-AM,ETHAUD,422.97,423.97,416.48,419.31,62.34,26066.63
2019-07-01 09-AM,ETHAUD,422.18,424.32,420.48,422.97,30.73,12992.38
2019-07-01 08-AM,ETHAUD,417,422.41,417,422.18,19.38,8152.33
2019-07-01 07-AM,ETHAUD,415.84,419.52,415.62,417,49.57,20677.97
2019-07-01 06-AM,ETHAUD,421,421,415.84,415.84,24.45,10199.88
2019-07-01 05-AM,ETHAUD,423.52,424.38,418.26,421,54.94,23087.77
2019-07-01 04-AM,ETHAUD,425.26,425.57,421.54,423.52,72.72,30786.51
2019-07-01 03-AM,ETHAUD,424.6,427.56,421.72,425.26,294.82,125219.56
2019-07-01 02-AM,ETHAUD,420,425.97,417.5,424.6,87.98,37348.76
