Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume AUD
2019-07-03 10-AM,XRPAUD,0.5665,0.5723,0.5665,0.5716,17311.85,9892.34
2019-07-03 09-AM,XRPAUD,0.5655,0.568,0.561,0.5665,56518.48,31900.51
2019-07-03 08-AM,XRPAUD,0.5726,0.573,0.5655,0.5655,64278.33,36565.29
2019-07-03 07-AM,XRPAUD,0.5733,0.5773,0.572,0.5726,40058.99,22975.24
2019-07-03 06-AM,XRPAUD,0.5814,0.5814,0.5733,0.5733,42991.43,24828.95
2019-07-03 05-AM,XRPAUD,0.5775,0.5818,0.5743,0.5814,46150.33,26729.64
2019-07-03 04-AM,XRPAUD,0.5765,0.5775,0.5727,0.5775,82883.58,47631.51
2019-07-03 03-AM,XRPAUD,0.5749,0.5766,0.5732,0.5765,7052.43,4051.69
2019-07-03 02-AM,XRPAUD,0.5728,0.5775,0.5728,0.5749,23346.02,13445.33
2019-07-03 01-AM,XRPAUD,0.575,0.5784,0.5727,0.5728,114766.34,66037.45
2019-07-03 12-AM,XRPAUD,0.5701,0.5796,0.5701,0.575,117895.56,67948.88
2019-07-02 11-PM,XRPAUD,0.5709,0.5735,0.5692,0.5701,27714.06,15871.59
2019-07-02 10-PM,XRPAUD,0.5663,0.5709,0.5622,0.5709,23137.19,13155.01
2019-07-02 09-PM,XRPAUD,0.567,0.5684,0.5615,0.5663,44664.92,25144.22
2019-07-02 08-PM,XRPAUD,0.5621,0.5674,0.5615,0.567,10151.0,5742.38
2019-07-02 07-PM,XRPAUD,0.5666,0.5699,0.5605,0.5621,30220.82,17166.22
2019-07-02 06-PM,XRPAUD,0.5664,0.5666,0.5609,0.5666,33669.42,19076.81
2019-07-02 05-PM,XRPAUD,0.5615,0.5664,0.5613,0.5664,15571.53,8786.98
2019-07-02 04-PM,XRPAUD,0.5615,0.5615,0.5615,0.5615,4000.0,2246.0
2019-07-02 03-PM,XRPAUD,0.558,0.5648,0.5552,0.5615,11038.69,6212.04
2019-07-02 02-PM,XRPAUD,0.5496,0.56,0.5496,0.558,70152.46,38958.12
2019-07-02 01-PM,XRPAUD,0.5516,0.554,0.5496,0.5496,62773.31,34582.53
2019-07-02 12-PM,XRPAUD,0.5528,0.5589,0.55,0.5516,60642.32,33573.05
2019-07-02 11-AM,XRPAUD,0.5537,0.5546,0.5412,0.5528,74310.82,40586.06
2019-07-02 10-AM,XRPAUD,0.5543,0.5589,0.5534,0.5537,30898.0,17138.15
2019-07-02 09-AM,XRPAUD,0.5612,0.5635,0.5542,0.5543,61373.82,34281.45
2019-07-02 08-AM,XRPAUD,0.5526,0.5612,0.5454,0.5612,96789.43,53564.4
2019-07-02 07-AM,XRPAUD,0.5506,0.554,0.5493,0.5526,73958.21,40810.13
2019-07-02 06-AM,XRPAUD,0.55,0.5508,0.5423,0.5506,146767.81,80442.62
2019-07-02 05-AM,XRPAUD,0.5541,0.5584,0.55,0.55,93398.24,51539.93
