Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-07-03 10-AM,XRPBTC,3.511e-05,3.511e-05,3.511e-05,3.511e-05,0.0,0.0
2019-07-03 09-AM,XRPBTC,3.511e-05,3.511e-05,3.511e-05,3.511e-05,0.0,0.0
2019-07-03 08-AM,XRPBTC,3.511e-05,3.511e-05,3.511e-05,3.511e-05,0.0,0.0
2019-07-03 07-AM,XRPBTC,3.519e-05,3.519e-05,3.511e-05,3.511e-05,3000.0,0.1053
2019-07-03 06-AM,XRPBTC,3.519e-05,3.519e-05,3.519e-05,3.519e-05,0.0,0.0
2019-07-03 05-AM,XRPBTC,3.543e-05,3.543e-05,3.519e-05,3.519e-05,9325.66,0.3283
2019-07-03 04-AM,XRPBTC,3.546e-05,3.592e-05,3.534e-05,3.543e-05,2123.85,0.0762
2019-07-03 03-AM,XRPBTC,3.546e-05,3.546e-05,3.546e-05,3.546e-05,0.0,0.0
2019-07-03 02-AM,XRPBTC,3.549e-05,3.549e-05,3.534e-05,3.546e-05,685.0,0.02427
2019-07-03 01-AM,XRPBTC,3.612e-05,3.612e-05,3.549e-05,3.549e-05,17915.42,0.6361
2019-07-03 12-AM,XRPBTC,3.746e-05,3.746e-05,3.612e-05,3.612e-05,4274.92,0.1547
2019-07-02 11-PM,XRPBTC,3.656e-05,3.746e-05,3.656e-05,3.746e-05,1050.0,0.03933
2019-07-02 10-PM,XRPBTC,3.666e-05,3.666e-05,3.656e-05,3.656e-05,1058.67,0.03871
2019-07-02 09-PM,XRPBTC,3.676e-05,3.676e-05,3.666e-05,3.666e-05,249.7,0.009154
2019-07-02 08-PM,XRPBTC,3.692e-05,3.692e-05,3.676e-05,3.676e-05,527.0,0.01937
2019-07-02 07-PM,XRPBTC,3.741e-05,3.741e-05,3.692e-05,3.692e-05,995.0,0.03687
2019-07-02 06-PM,XRPBTC,3.741e-05,3.741e-05,3.741e-05,3.741e-05,0.0,0.0
2019-07-02 05-PM,XRPBTC,3.79e-05,3.79e-05,3.741e-05,3.741e-05,40963.14,1.54
2019-07-02 04-PM,XRPBTC,3.79e-05,3.79e-05,3.79e-05,3.79e-05,0.0,0.0
2019-07-02 03-PM,XRPBTC,3.79e-05,3.79e-05,3.79e-05,3.79e-05,0.0,0.0
2019-07-02 02-PM,XRPBTC,3.895e-05,3.895e-05,3.79e-05,3.79e-05,3007.56,0.114
2019-07-02 01-PM,XRPBTC,3.895e-05,3.895e-05,3.895e-05,3.895e-05,0.0,0.0
2019-07-02 12-PM,XRPBTC,3.895e-05,3.895e-05,3.895e-05,3.895e-05,0.0,0.0
2019-07-02 11-AM,XRPBTC,3.919e-05,3.919e-05,3.895e-05,3.895e-05,925.74,0.03614
2019-07-02 10-AM,XRPBTC,3.795e-05,3.919e-05,3.795e-05,3.919e-05,50.53,0.00198
2019-07-02 09-AM,XRPBTC,3.94e-05,3.94e-05,3.794e-05,3.795e-05,1738.83,0.066
2019-07-02 08-AM,XRPBTC,3.94e-05,3.94e-05,3.94e-05,3.94e-05,0.0,0.0
2019-07-02 07-AM,XRPBTC,3.895e-05,3.991e-05,3.895e-05,3.94e-05,3928.19,0.1565
2019-07-02 06-AM,XRPBTC,3.991e-05,3.991e-05,3.895e-05,3.895e-05,30.0,0.001169
2019-07-02 05-AM,XRPBTC,3.95e-05,3.991e-05,3.95e-05,3.991e-05,909.01,0.03628
2019-07-02 04-AM,XRPBTC,3.9e-05,3.988e-05,3.9e-05,3.95e-05,1023.84,0.04057
2019-07-02 03-AM,XRPBTC,3.897e-05,3.9e-05,3.848e-05,3.9e-05,2968.6,0.1142
2019-07-02 02-AM,XRPBTC,3.9e-05,3.9e-05,3.813e-05,3.897e-05,6786.57,0.2605
2019-07-02 01-AM,XRPBTC,3.886e-05,3.9e-05,3.886e-05,3.9e-05,2072.03,0.08071
2019-07-02 12-AM,XRPBTC,3.886e-05,3.886e-05,3.886e-05,3.886e-05,0.0,0.0
2019-07-01 11-PM,XRPBTC,3.778e-05,3.886e-05,3.778e-05,3.886e-05,4691.53,0.1823
2019-07-01 10-PM,XRPBTC,3.774e-05,3.778e-05,3.774e-05,3.778e-05,3776.86,0.1427
2019-07-01 09-PM,XRPBTC,3.797e-05,3.797e-05,3.768e-05,3.774e-05,13706.57,0.5165
2019-07-01 08-PM,XRPBTC,3.8e-05,3.8e-05,3.797e-05,3.797e-05,596.0,0.02263
2019-07-01 07-PM,XRPBTC,3.85e-05,3.85e-05,3.8e-05,3.8e-05,593.0,0.02253
2019-07-01 06-PM,XRPBTC,3.85e-05,3.85e-05,3.85e-05,3.85e-05,0.0,0.0
2019-07-01 05-PM,XRPBTC,3.775e-05,3.85e-05,3.775e-05,3.85e-05,0.0006574,3e-08
2019-07-01 04-PM,XRPBTC,3.816e-05,3.816e-05,3.775e-05,3.775e-05,9.0,0.0003397
2019-07-01 03-PM,XRPBTC,3.76e-05,3.85e-05,3.76e-05,3.816e-05,3427.3,0.1299
2019-07-01 02-PM,XRPBTC,3.76e-05,3.771e-05,3.76e-05,3.76e-05,26992.51,1.015
2019-07-01 01-PM,XRPBTC,3.745e-05,3.76e-05,3.678e-05,3.76e-05,11486.63,0.4245
2019-07-01 12-PM,XRPBTC,3.739e-05,3.745e-05,3.739e-05,3.745e-05,1161.0,0.04345
2019-07-01 11-AM,XRPBTC,3.678e-05,3.739e-05,3.678e-05,3.739e-05,3572.07,0.1334
2019-07-01 10-AM,XRPBTC,3.678e-05,3.678e-05,3.678e-05,3.678e-05,0.0,0.0
2019-07-01 09-AM,XRPBTC,3.672e-05,3.678e-05,3.638e-05,3.678e-05,2937.45,0.107
2019-07-01 08-AM,XRPBTC,3.72e-05,3.73e-05,3.672e-05,3.672e-05,691.73,0.02573
2019-07-01 07-AM,XRPBTC,3.682e-05,3.72e-05,3.682e-05,3.72e-05,0.0004302,2e-08
2019-07-01 06-AM,XRPBTC,3.682e-05,3.682e-05,3.682e-05,3.682e-05,0.0,0.0
2019-07-01 05-AM,XRPBTC,3.681e-05,3.72e-05,3.681e-05,3.682e-05,1895.65,0.07006
2019-07-01 04-AM,XRPBTC,3.762e-05,3.762e-05,3.66e-05,3.681e-05,849.44,0.03119
2019-07-01 03-AM,XRPBTC,3.762e-05,3.762e-05,3.762e-05,3.762e-05,0.0,0.0
2019-07-01 02-AM,XRPBTC,3.898e-05,3.898e-05,3.762e-05,3.762e-05,7103.97,0.2747
2019-07-01 01-AM,XRPBTC,3.642e-05,3.898e-05,3.62e-05,3.898e-05,28111.63,1.09
2019-07-01 12-AM,XRPBTC,3.649e-05,3.649e-05,3.642e-05,3.642e-05,98.55,0.003589
2019-06-30 11-PM,XRPBTC,3.59e-05,3.673e-05,3.59e-05,3.649e-05,4129.87,0.1504
2019-06-30 10-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,0.0,0.0
2019-06-30 09-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,0.0,0.0
2019-06-30 08-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,346.86,0.01245
2019-06-30 07-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,0.0,0.0
2019-06-30 06-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,0.0,0.0
2019-06-30 05-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,0.0,0.0
2019-06-30 04-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,0.0,0.0
2019-06-30 03-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,0.0,0.0
2019-06-30 02-PM,XRPBTC,3.59e-05,3.59e-05,3.59e-05,3.59e-05,0.0,0.0
2019-06-30 01-PM,XRPBTC,3.511e-05,3.59e-05,3.511e-05,3.59e-05,4725.05,0.1689
2019-06-30 12-PM,XRPBTC,3.475e-05,3.511e-05,3.475e-05,3.511e-05,1070.84,0.03759
2019-06-30 11-AM,XRPBTC,3.475e-05,3.475e-05,3.475e-05,3.475e-05,0.0,0.0
2019-06-30 10-AM,XRPBTC,3.47e-05,3.475e-05,3.47e-05,3.475e-05,100.0,0.003475
2019-06-30 09-AM,XRPBTC,3.51e-05,3.51e-05,3.47e-05,3.47e-05,1436.84,0.04986
2019-06-30 08-AM,XRPBTC,3.57e-05,3.57e-05,3.51e-05,3.51e-05,229.37,0.008051
2019-06-30 07-AM,XRPBTC,3.57e-05,3.57e-05,3.57e-05,3.57e-05,0.0,0.0
2019-06-30 06-AM,XRPBTC,3.43e-05,3.57e-05,3.43e-05,3.57e-05,662.35,0.02365
2019-06-30 05-AM,XRPBTC,3.43e-05,3.43e-05,3.43e-05,3.43e-05,0.0,0.0
2019-06-30 04-AM,XRPBTC,3.565e-05,3.565e-05,3.43e-05,3.43e-05,291.62,0.01
2019-06-30 03-AM,XRPBTC,3.565e-05,3.565e-05,3.565e-05,3.565e-05,0.0,0.0
2019-06-30 02-AM,XRPBTC,3.563e-05,3.565e-05,3.563e-05,3.565e-05,112.97,0.004028
2019-06-30 01-AM,XRPBTC,3.444e-05,3.563e-05,3.444e-05,3.563e-05,2540.37,0.09041
2019-06-30 12-AM,XRPBTC,3.529e-05,3.587e-05,3.444e-05,3.444e-05,11754.19,0.4059
2019-06-29 11-PM,XRPBTC,3.529e-05,3.529e-05,3.529e-05,3.529e-05,0.0,0.0
2019-06-29 10-PM,XRPBTC,3.529e-05,3.529e-05,3.529e-05,3.529e-05,0.0,0.0
2019-06-29 09-PM,XRPBTC,3.525e-05,3.529e-05,3.525e-05,3.529e-05,150.0,0.005293
2019-06-29 08-PM,XRPBTC,3.525e-05,3.525e-05,3.525e-05,3.525e-05,0.0,0.0
2019-06-29 07-PM,XRPBTC,3.394e-05,3.586e-05,3.394e-05,3.525e-05,3443.53,0.123
2019-06-29 06-PM,XRPBTC,3.394e-05,3.394e-05,3.394e-05,3.394e-05,0.0,0.0
2019-06-29 05-PM,XRPBTC,3.394e-05,3.394e-05,3.394e-05,3.394e-05,0.0,0.0
2019-06-29 04-PM,XRPBTC,3.394e-05,3.394e-05,3.394e-05,3.394e-05,0.0,0.0
2019-06-29 03-PM,XRPBTC,3.394e-05,3.394e-05,3.394e-05,3.394e-05,0.0,0.0
2019-06-29 02-PM,XRPBTC,3.467e-05,3.467e-05,3.394e-05,3.394e-05,2000.0,0.06789
2019-06-29 01-PM,XRPBTC,3.467e-05,3.467e-05,3.467e-05,3.467e-05,0.0,0.0
2019-06-29 12-PM,XRPBTC,3.467e-05,3.467e-05,3.467e-05,3.467e-05,0.0,0.0
2019-06-29 11-AM,XRPBTC,3.467e-05,3.467e-05,3.467e-05,3.467e-05,0.0,0.0
2019-06-29 10-AM,XRPBTC,3.467e-05,3.467e-05,3.467e-05,3.467e-05,0.0,0.0
2019-06-29 09-AM,XRPBTC,3.467e-05,3.467e-05,3.467e-05,3.467e-05,0.0,0.0
2019-06-29 08-AM,XRPBTC,3.467e-05,3.467e-05,3.467e-05,3.467e-05,0.0,0.0
2019-06-29 07-AM,XRPBTC,3.467e-05,3.467e-05,3.467e-05,3.467e-05,0.0,0.0
2019-06-29 06-AM,XRPBTC,3.451e-05,3.467e-05,3.451e-05,3.467e-05,500.0,0.01733
2019-06-29 05-AM,XRPBTC,3.451e-05,3.451e-05,3.451e-05,3.451e-05,0.0,0.0
2019-06-29 04-AM,XRPBTC,3.415e-05,3.471e-05,3.415e-05,3.451e-05,747.8,0.02594
2019-06-29 03-AM,XRPBTC,3.425e-05,3.425e-05,3.415e-05,3.415e-05,128.2,0.004378
2019-06-29 02-AM,XRPBTC,3.454e-05,3.454e-05,3.42e-05,3.425e-05,1900.39,0.06501
2019-06-29 01-AM,XRPBTC,3.399e-05,3.454e-05,3.399e-05,3.454e-05,1057.91,0.03651
2019-06-29 12-AM,XRPBTC,3.395e-05,3.522e-05,3.392e-05,3.399e-05,503.45,0.0171
2019-06-28 11-PM,XRPBTC,3.393e-05,3.395e-05,3.387e-05,3.395e-05,2972.87,0.1008
2019-06-28 10-PM,XRPBTC,3.393e-05,3.393e-05,3.393e-05,3.393e-05,0.3668,1.245e-05
2019-06-28 09-PM,XRPBTC,3.401e-05,3.401e-05,3.393e-05,3.393e-05,23610.8,0.8018
2019-06-28 08-PM,XRPBTC,3.409e-05,3.409e-05,3.401e-05,3.401e-05,3129.0,0.1065
2019-06-28 07-PM,XRPBTC,3.428e-05,3.428e-05,3.409e-05,3.409e-05,522.0,0.01779
2019-06-28 06-PM,XRPBTC,3.452e-05,3.452e-05,3.428e-05,3.428e-05,691.5,0.0237
2019-06-28 05-PM,XRPBTC,3.452e-05,3.452e-05,3.452e-05,3.452e-05,0.0,0.0
2019-06-28 04-PM,XRPBTC,3.452e-05,3.452e-05,3.452e-05,3.452e-05,0.0,0.0
2019-06-28 03-PM,XRPBTC,3.435e-05,3.452e-05,3.435e-05,3.452e-05,806.31,0.02783
2019-06-28 02-PM,XRPBTC,3.47e-05,3.47e-05,3.435e-05,3.435e-05,3108.96,0.1068
2019-06-28 01-PM,XRPBTC,3.47e-05,3.47e-05,3.47e-05,3.47e-05,0.0,0.0
2019-06-28 12-PM,XRPBTC,3.408e-05,3.487e-05,3.408e-05,3.47e-05,9646.46,0.334
2019-06-28 11-AM,XRPBTC,3.466e-05,3.466e-05,3.408e-05,3.408e-05,7469.0,0.2561
2019-06-28 10-AM,XRPBTC,3.457e-05,3.466e-05,3.45e-05,3.466e-05,68486.9,2.368
2019-06-28 09-AM,XRPBTC,3.541e-05,3.541e-05,3.457e-05,3.457e-05,5875.42,0.2077
2019-06-28 08-AM,XRPBTC,3.668e-05,3.668e-05,3.541e-05,3.541e-05,20.0,0.0007082
2019-06-28 07-AM,XRPBTC,3.578e-05,3.668e-05,3.564e-05,3.668e-05,2000.0,0.07232
2019-06-28 06-AM,XRPBTC,3.578e-05,3.578e-05,3.578e-05,3.578e-05,0.0,0.0
2019-06-28 05-AM,XRPBTC,3.604e-05,3.604e-05,3.578e-05,3.578e-05,524.85,0.01878
2019-06-28 04-AM,XRPBTC,3.623e-05,3.623e-05,3.604e-05,3.604e-05,5243.85,0.189
2019-06-28 03-AM,XRPBTC,3.623e-05,3.623e-05,3.623e-05,3.623e-05,26325.08,0.9538
2019-06-28 02-AM,XRPBTC,3.58e-05,3.623e-05,3.58e-05,3.623e-05,18500.0,0.6703
2019-06-28 01-AM,XRPBTC,3.58e-05,3.58e-05,3.58e-05,3.58e-05,0.0,0.0
2019-06-28 12-AM,XRPBTC,3.764e-05,3.764e-05,3.569e-05,3.58e-05,5592.75,0.2019
2019-06-27 11-PM,XRPBTC,3.609e-05,3.764e-05,3.58e-05,3.764e-05,5500.0,0.2061
2019-06-27 10-PM,XRPBTC,3.696e-05,3.696e-05,3.609e-05,3.609e-05,51497.22,1.859
2019-06-27 09-PM,XRPBTC,3.679e-05,3.696e-05,3.679e-05,3.696e-05,21915.45,0.81
2019-06-27 08-PM,XRPBTC,3.656e-05,3.769e-05,3.597e-05,3.679e-05,18485.11,0.6797
2019-06-27 07-PM,XRPBTC,3.609e-05,3.804e-05,3.609e-05,3.656e-05,7779.0,0.2853
2019-06-27 06-PM,XRPBTC,3.631e-05,3.672e-05,3.52e-05,3.609e-05,6336.0,0.2295
2019-06-27 05-PM,XRPBTC,3.653e-05,3.703e-05,3.595e-05,3.631e-05,7565.0,0.2754
2019-06-27 04-PM,XRPBTC,3.502e-05,3.653e-05,3.502e-05,3.653e-05,14195.56,0.5122
2019-06-27 03-PM,XRPBTC,3.502e-05,3.502e-05,3.502e-05,3.502e-05,0.0,0.0
2019-06-27 02-PM,XRPBTC,3.502e-05,3.502e-05,3.502e-05,3.502e-05,0.0,0.0
2019-06-27 01-PM,XRPBTC,3.502e-05,3.502e-05,3.502e-05,3.502e-05,0.0,0.0
2019-06-27 12-PM,XRPBTC,3.526e-05,3.526e-05,3.463e-05,3.502e-05,1073.02,0.03747
2019-06-27 11-AM,XRPBTC,3.632e-05,3.632e-05,3.526e-05,3.526e-05,76.71,0.002705
2019-06-27 10-AM,XRPBTC,3.645e-05,3.645e-05,3.631e-05,3.632e-05,200.0,0.007264
2019-06-27 09-AM,XRPBTC,3.54e-05,3.645e-05,3.454e-05,3.645e-05,1766.64,0.06307
2019-06-27 08-AM,XRPBTC,3.644e-05,3.644e-05,3.463e-05,3.54e-05,1791.43,0.06281
2019-06-27 07-AM,XRPBTC,3.636e-05,3.644e-05,3.636e-05,3.644e-05,505.53,0.01842
2019-06-27 06-AM,XRPBTC,3.519e-05,3.636e-05,3.441e-05,3.636e-05,15361.16,0.5395
2019-06-27 05-AM,XRPBTC,3.518e-05,3.639e-05,3.493e-05,3.519e-05,8319.73,0.293
2019-06-27 04-AM,XRPBTC,3.597e-05,3.639e-05,3.491e-05,3.518e-05,1485.14,0.05198
2019-06-27 03-AM,XRPBTC,3.546e-05,3.646e-05,3.546e-05,3.597e-05,1944.91,0.07038
2019-06-27 02-AM,XRPBTC,3.637e-05,3.637e-05,3.507e-05,3.546e-05,16410.27,0.5864
2019-06-27 01-AM,XRPBTC,3.604e-05,3.647e-05,3.502e-05,3.637e-05,15389.26,0.5605
2019-06-27 12-AM,XRPBTC,3.564e-05,3.604e-05,3.5e-05,3.604e-05,11802.74,0.4155
2019-06-26 11-PM,XRPBTC,4.245e-05,4.245e-05,3.564e-05,3.564e-05,267.94,0.009665
2019-06-26 10-PM,XRPBTC,3.734e-05,4.249e-05,3.734e-05,4.245e-05,1000.0,0.04247
2019-06-26 09-PM,XRPBTC,3.743e-05,3.913e-05,3.605e-05,3.734e-05,6632.91,0.2533
2019-06-26 08-PM,XRPBTC,3.5e-05,3.749e-05,3.407e-05,3.743e-05,10735.0,0.3827
2019-06-26 07-PM,XRPBTC,3.557e-05,3.71e-05,3.5e-05,3.5e-05,1536.62,0.05511
2019-06-26 06-PM,XRPBTC,3.685e-05,3.685e-05,3.557e-05,3.557e-05,5816.74,0.2083
2019-06-26 05-PM,XRPBTC,3.685e-05,3.685e-05,3.685e-05,3.685e-05,0.0,0.0
2019-06-26 04-PM,XRPBTC,3.73e-05,3.73e-05,3.685e-05,3.685e-05,5557.0,0.2054
2019-06-26 03-PM,XRPBTC,3.76e-05,3.76e-05,3.723e-05,3.73e-05,949.67,0.03537
2019-06-26 02-PM,XRPBTC,3.862e-05,3.862e-05,3.76e-05,3.76e-05,1700.98,0.06396
2019-06-26 01-PM,XRPBTC,3.909e-05,3.909e-05,3.764e-05,3.862e-05,4369.13,0.1677
2019-06-26 12-PM,XRPBTC,3.906e-05,3.909e-05,3.779e-05,3.909e-05,3859.07,0.1477
2019-06-26 11-AM,XRPBTC,3.76e-05,3.906e-05,3.76e-05,3.906e-05,58562.78,2.286
2019-06-26 10-AM,XRPBTC,3.78e-05,4.523e-05,3.76e-05,3.76e-05,2472.53,0.1054
2019-06-26 09-AM,XRPBTC,3.709e-05,4.55e-05,3.709e-05,3.78e-05,108266.03,4.907
