Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BTC
2019-08-07,ADABTC,4.66e-06,4.68e-06,4.62e-06,4.64e-06,11649372.0,54.06
2019-08-06,ADABTC,4.78e-06,4.82e-06,4.51e-06,4.66e-06,135253777.0,630.49
2019-08-05,ADABTC,5.13e-06,5.13e-06,4.75e-06,4.78e-06,160895182.0,786.54
2019-08-04,ADABTC,5.33e-06,5.46e-06,5.08e-06,5.13e-06,113037800.0,592.32
2019-08-03,ADABTC,5.45e-06,5.46e-06,5.28e-06,5.33e-06,62209639.0,332.51
2019-08-02,ADABTC,5.65e-06,5.65e-06,5.36e-06,5.45e-06,96744131.0,531.49
2019-08-01,ADABTC,5.96e-06,5.96e-06,5.57e-06,5.65e-06,88937126.0,515.23
2019-07-31,ADABTC,6.24e-06,6.28e-06,5.89e-06,5.96e-06,122317650.0,744.11
2019-07-30,ADABTC,6.35e-06,6.41e-06,6.21e-06,6.24e-06,71650563.0,450.9
2019-07-29,ADABTC,6.22e-06,6.5e-06,6.12e-06,6.35e-06,117163608.0,741.52
2019-07-28,ADABTC,6.32e-06,6.37e-06,6.12e-06,6.22e-06,86479300.0,537.47
2019-07-27,ADABTC,6.37e-06,6.38e-06,6.1e-06,6.32e-06,120228706.0,746.75
2019-07-26,ADABTC,5.92e-06,6.4e-06,5.86e-06,6.37e-06,85817476.0,530.4
2019-07-25,ADABTC,6.03e-06,6.05e-06,5.83e-06,5.92e-06,92184851.0,546.33
2019-07-24,ADABTC,5.65e-06,6.04e-06,5.57e-06,6.03e-06,111592658.0,650.24
2019-07-23,ADABTC,5.75e-06,5.79e-06,5.55e-06,5.65e-06,88642322.0,502.05
2019-07-22,ADABTC,5.77e-06,5.86e-06,5.7e-06,5.75e-06,81086830.0,467.87
2019-07-21,ADABTC,5.83e-06,5.94e-06,5.72e-06,5.77e-06,67156120.0,390.34
2019-07-20,ADABTC,5.67e-06,6.1e-06,5.67e-06,5.83e-06,134904487.0,790.22
2019-07-19,ADABTC,5.5e-06,5.76e-06,5.43e-06,5.67e-06,99720021.0,552.05
2019-07-18,ADABTC,5.69e-06,5.75e-06,5.68e-06,5.75e-06,5061431.0,28.93
2019-07-17,ADABTC,5.5e-06,5.94e-06,5.36e-06,5.69e-06,191855429.0,1085.06
2019-07-16,ADABTC,5.44e-06,5.61e-06,5.24e-06,5.5e-06,161005704.0,876.8
2019-07-15,ADABTC,5.8e-06,5.82e-06,5.38e-06,5.44e-06,153303415.0,856.76
2019-07-14,ADABTC,5.88e-06,5.92e-06,5.74e-06,5.8e-06,110551981.0,645.28
2019-07-13,ADABTC,5.9e-06,6.14e-06,5.81e-06,5.88e-06,111690677.0,662.79
2019-07-12,ADABTC,5.74e-06,6.13e-06,5.63e-06,5.9e-06,141268165.0,827.0
2019-07-11,ADABTC,5.93e-06,6.01e-06,5.5e-06,5.74e-06,196208181.0,1118.55
2019-07-10,ADABTC,6.21e-06,6.21e-06,5.62e-06,5.93e-06,223859223.0,1317.97
2019-07-09,ADABTC,6.54e-06,6.56e-06,6.14e-06,6.21e-06,140841763.0,889.03
2019-07-08,ADABTC,6.98e-06,7.18e-06,6.44e-06,6.54e-06,162309867.0,1111.07
2019-07-07,ADABTC,6.89e-06,7.02e-06,6.85e-06,6.98e-06,84123568.0,582.23
2019-07-06,ADABTC,6.95e-06,7.06e-06,6.68e-06,6.89e-06,124233695.0,848.47
2019-07-05,ADABTC,6.94e-06,7.08e-06,6.8e-06,6.95e-06,129216723.0,894.64
2019-07-04,ADABTC,6.89e-06,7.02e-06,6.62e-06,6.94e-06,169684978.0,1152.63
2019-07-03,ADABTC,7.43e-06,7.44e-06,6.8e-06,6.89e-06,189353382.0,1356.13
2019-07-02,ADABTC,7.87e-06,8.12e-06,7.28e-06,7.43e-06,258252576.0,1999.54
2019-07-01,ADABTC,7.58e-06,8.07e-06,7.51e-06,7.87e-06,235551361.0,1834.64
2019-06-30,ADABTC,7.55e-06,7.64e-06,7.31e-06,7.58e-06,165732387.0,1242.42
2019-06-29,ADABTC,7.14e-06,7.61e-06,7.07e-06,7.55e-06,204415357.0,1505.02
2019-06-28,ADABTC,7.64e-06,7.77e-06,7.03e-06,7.14e-06,312888304.0,2297.74
2019-06-27,ADABTC,7.48e-06,8.05e-06,7.33e-06,7.64e-06,354534309.0,2703.41
2019-06-26,ADABTC,8.16e-06,8.41e-06,7.26e-06,7.48e-06,588210167.0,4604.3
2019-06-25,ADABTC,8.84e-06,8.87e-06,8.09e-06,8.16e-06,225051263.0,1895.75
2019-06-24,ADABTC,8.89e-06,9.12e-06,8.65e-06,8.84e-06,189756695.0,1682.3
2019-06-23,ADABTC,8.82e-06,9.57e-06,8.61e-06,8.89e-06,386520884.0,3498.92
2019-06-22,ADABTC,8.78e-06,9.11e-06,8.04e-06,8.82e-06,399976992.0,3440.44
2019-06-21,ADABTC,9.17e-06,9.39e-06,8.77e-06,8.78e-06,181391168.0,1656.41
2019-06-20,ADABTC,9.68e-06,9.73e-06,8.85e-06,9.17e-06,227478374.0,2117.66
2019-06-19,ADABTC,9.81e-06,9.99e-06,9.64e-06,9.68e-06,105341861.0,1034.48
2019-06-18,ADABTC,1.002e-05,1.003e-05,9.73e-06,9.81e-06,123083763.0,1215.67
2019-06-17,ADABTC,1.026e-05,1.027e-05,9.88e-06,1.002e-05,150541534.0,1510.94
2019-06-16,ADABTC,1.034e-05,1.04e-05,9.8e-06,1.026e-05,189505267.0,1911.11
2019-06-15,ADABTC,1.041e-05,1.07e-05,1.031e-05,1.034e-05,129979417.0,1363.45
2019-06-14,ADABTC,1.09e-05,1.105e-05,1.018e-05,1.041e-05,253492140.0,2670.66
2019-06-13,ADABTC,1.18e-05,1.19e-05,1.062e-05,1.09e-05,323513100.0,3640.82
2019-06-12,ADABTC,1.109e-05,1.188e-05,1.098e-05,1.18e-05,341130458.0,3915.43
2019-06-11,ADABTC,1.066e-05,1.127e-05,1.047e-05,1.109e-05,202152353.0,2202.9
2019-06-10,ADABTC,1.033e-05,1.071e-05,1.029e-05,1.066e-05,135257674.0,1424.76
2019-06-09,ADABTC,1.058e-05,1.06e-05,1.017e-05,1.033e-05,112987172.0,1170.49
2019-06-08,ADABTC,1.065e-05,1.074e-05,1.046e-05,1.058e-05,68098791.0,721.19
2019-06-07,ADABTC,1.067e-05,1.083e-05,1.057e-05,1.065e-05,132739710.0,1419.51
2019-06-06,ADABTC,1.062e-05,1.088e-05,1.031e-05,1.067e-05,160407461.0,1688.65
2019-06-05,ADABTC,1.074e-05,1.076e-05,1.045e-05,1.062e-05,130344547.0,1384.12
2019-06-04,ADABTC,1.078e-05,1.099e-05,1.045e-05,1.074e-05,279574141.0,2988.56
2019-06-03,ADABTC,1.104e-05,1.134e-05,1.061e-05,1.078e-05,322818214.0,3532.73
2019-06-02,ADABTC,1.058e-05,1.12e-05,1.045e-05,1.104e-05,295572864.0,3221.88
2019-06-01,ADABTC,1.041e-05,1.08e-05,1.01e-05,1.058e-05,204966128.0,2142.49
2019-05-31,ADABTC,1.015e-05,1.05e-05,9.99e-06,1.041e-05,186560256.0,1904.96
2019-05-30,ADABTC,1.052e-05,1.109e-05,9.76e-06,1.015e-05,354234612.0,3752.3
2019-05-29,ADABTC,1.065e-05,1.08e-05,1.012e-05,1.052e-05,209616270.0,2195.23
2019-05-28,ADABTC,1.033e-05,1.073e-05,1.005e-05,1.065e-05,248929842.0,2573.76
2019-05-27,ADABTC,9.88e-06,1.059e-05,9.72e-06,1.033e-05,244649508.0,2465.71
2019-05-26,ADABTC,9.99e-06,1.024e-05,9.5e-06,9.88e-06,168312116.0,1677.75
2019-05-25,ADABTC,1.012e-05,1.03e-05,9.88e-06,9.99e-06,101095295.0,1019.36
2019-05-24,ADABTC,1.023e-05,1.047e-05,9.99e-06,1.012e-05,173824906.0,1775.38
2019-05-23,ADABTC,1.016e-05,1.026e-05,9.83e-06,1.023e-05,150690488.0,1513.72
2019-05-22,ADABTC,1.061e-05,1.07e-05,1.002e-05,1.016e-05,185466451.0,1929.67
2019-05-21,ADABTC,1.064e-05,1.08e-05,1.045e-05,1.061e-05,157646445.0,1676.87
2019-05-20,ADABTC,1.057e-05,1.105e-05,1.035e-05,1.064e-05,238968533.0,2538.78
2019-05-19,ADABTC,1.086e-05,1.094e-05,1.054e-05,1.057e-05,179312270.0,1922.04
2019-05-18,ADABTC,1.124e-05,1.15e-05,1.082e-05,1.086e-05,155868518.0,1728.87
2019-05-17,ADABTC,1.118e-05,1.152e-05,1.051e-05,1.124e-05,291050109.0,3196.33
2019-05-16,ADABTC,1.149e-05,1.213e-05,1.066e-05,1.118e-05,413239313.0,4731.06
2019-05-15,ADABTC,1.064e-05,1.163e-05,1.051e-05,1.149e-05,283534073.0,3123.22
2019-05-14,ADABTC,9.33e-06,1.067e-05,9.23e-06,1.064e-05,334214747.0,3292.63
2019-05-13,ADABTC,1.008e-05,1.039e-05,9.1e-06,9.33e-06,231109856.0,2265.15
2019-05-12,ADABTC,1.043e-05,1.069e-05,9.73e-06,1.008e-05,256936282.0,2600.91
2019-05-11,ADABTC,9.9e-06,1.134e-05,9.37e-06,1.043e-05,376009896.0,3916.59
2019-05-10,ADABTC,9.94e-06,1.039e-05,9.32e-06,9.9e-06,205961324.0,2037.29
2019-05-09,ADABTC,1.081e-05,1.081e-05,9.85e-06,9.94e-06,116851333.0,1197.64
2019-05-08,ADABTC,1.096e-05,1.105e-05,1.07e-05,1.081e-05,76224769.0,829.33
2019-05-07,ADABTC,1.164e-05,1.182e-05,1.11e-05,1.11e-05,56597510.0,649.68
2019-05-06,ADABTC,1.143e-05,1.189e-05,1.122e-05,1.164e-05,118861171.0,1373.61
2019-05-05,ADABTC,1.147e-05,1.17e-05,1.139e-05,1.143e-05,59024348.0,681.35
2019-05-04,ADABTC,1.213e-05,1.229e-05,1.122e-05,1.147e-05,138350238.0,1631.92
2019-05-03,ADABTC,1.247e-05,1.277e-05,1.174e-05,1.213e-05,161013509.0,1972.74
2019-05-02,ADABTC,1.28e-05,1.28e-05,1.239e-05,1.247e-05,80381942.0,1013.68
2019-05-01,ADABTC,1.317e-05,1.323e-05,1.254e-05,1.28e-05,99972003.0,1283.06
2019-04-30,ADABTC,1.243e-05,1.32e-05,1.234e-05,1.317e-05,102496840.0,1307.41
2019-04-29,ADABTC,1.296e-05,1.301e-05,1.224e-05,1.243e-05,131928355.0,1660.74
2019-04-28,ADABTC,1.333e-05,1.34e-05,1.285e-05,1.296e-05,74246525.0,973.64
2019-04-27,ADABTC,1.315e-05,1.364e-05,1.296e-05,1.333e-05,84620828.0,1125.03
2019-04-26,ADABTC,1.332e-05,1.334e-05,1.282e-05,1.315e-05,134996039.0,1758.14
2019-04-25,ADABTC,1.33e-05,1.385e-05,1.303e-05,1.332e-05,207139247.0,2777.69
2019-04-24,ADABTC,1.339e-05,1.349e-05,1.26e-05,1.33e-05,209438314.0,2751.98
2019-04-23,ADABTC,1.454e-05,1.482e-05,1.33e-05,1.339e-05,228130492.0,3194.74
2019-04-22,ADABTC,1.395e-05,1.47e-05,1.367e-05,1.454e-05,178489109.0,2533.54
