Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ADX,Volume BTC
2019-08-07 03-AM,ADXBTC,7.82e-06,7.9e-06,7.78e-06,7.9e-06,32811.0,0.2567
2019-08-07 02-AM,ADXBTC,8.05e-06,8.05e-06,7.75e-06,7.82e-06,375145.0,2.958
2019-08-07 01-AM,ADXBTC,8.07e-06,8.12e-06,8.0e-06,8.05e-06,58632.0,0.4731
2019-08-07 12-AM,ADXBTC,7.97e-06,8.41e-06,7.94e-06,8.07e-06,369178.0,3.014
2019-08-06 11-PM,ADXBTC,8.07e-06,8.11e-06,7.97e-06,7.97e-06,81463.0,0.6579
2019-08-06 10-PM,ADXBTC,7.98e-06,8.12e-06,7.98e-06,8.07e-06,53916.0,0.4357
2019-08-06 09-PM,ADXBTC,7.95e-06,8.06e-06,7.9e-06,7.98e-06,110050.0,0.8807
2019-08-06 08-PM,ADXBTC,7.93e-06,7.99e-06,7.84e-06,7.95e-06,15453.0,0.1225
2019-08-06 07-PM,ADXBTC,7.93e-06,7.96e-06,7.87e-06,7.93e-06,19345.0,0.1532
2019-08-06 06-PM,ADXBTC,7.9e-06,7.94e-06,7.87e-06,7.93e-06,13487.0,0.1068
2019-08-06 05-PM,ADXBTC,7.9e-06,7.93e-06,7.85e-06,7.9e-06,3542.0,0.02793
2019-08-06 04-PM,ADXBTC,7.94e-06,8.01e-06,7.9e-06,7.9e-06,32444.0,0.2586
2019-08-06 03-PM,ADXBTC,7.88e-06,7.95e-06,7.87e-06,7.94e-06,25571.0,0.2024
2019-08-06 02-PM,ADXBTC,7.97e-06,7.97e-06,7.87e-06,7.88e-06,57076.0,0.4516
2019-08-06 01-PM,ADXBTC,7.92e-06,8.02e-06,7.91e-06,7.97e-06,6357.0,0.05071
2019-08-06 12-PM,ADXBTC,7.92e-06,7.97e-06,7.9e-06,7.92e-06,21121.0,0.1677
2019-08-06 11-AM,ADXBTC,7.94e-06,7.96e-06,7.84e-06,7.92e-06,22140.0,0.1742
2019-08-06 10-AM,ADXBTC,7.76e-06,7.95e-06,7.76e-06,7.94e-06,140239.0,1.099
2019-08-06 09-AM,ADXBTC,7.77e-06,7.82e-06,7.75e-06,7.76e-06,14293.0,0.1111
2019-08-06 08-AM,ADXBTC,7.83e-06,7.85e-06,7.75e-06,7.77e-06,50582.0,0.3939
2019-08-06 07-AM,ADXBTC,7.93e-06,7.96e-06,7.8e-06,7.83e-06,189171.0,1.492
2019-08-06 06-AM,ADXBTC,8.23e-06,8.23e-06,7.93e-06,7.93e-06,146785.0,1.178
2019-08-06 05-AM,ADXBTC,8.23e-06,8.23e-06,8.22e-06,8.23e-06,230.0,0.001893
2019-08-06 04-AM,ADXBTC,8.21e-06,8.25e-06,8.21e-06,8.23e-06,2931.0,0.02413
2019-08-06 03-AM,ADXBTC,8.14e-06,8.21e-06,8.14e-06,8.21e-06,5948.0,0.04861
2019-08-06 02-AM,ADXBTC,8.18e-06,8.22e-06,8.12e-06,8.14e-06,25146.0,0.2055
