Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume AST,Volume BTC
2019-08-07,ASTBTC,2.92e-06,2.92e-06,2.77e-06,2.82e-06,772704.0,2.184
2019-08-06,ASTBTC,2.89e-06,2.94e-06,2.62e-06,2.92e-06,12015105.0,33.46
2019-08-05,ASTBTC,3.27e-06,3.29e-06,2.82e-06,2.89e-06,9291864.0,27.55
2019-08-04,ASTBTC,3.38e-06,3.56e-06,3.25e-06,3.27e-06,5987832.0,20.34
2019-08-03,ASTBTC,3.57e-06,3.6e-06,3.3e-06,3.38e-06,5049139.0,17.26
2019-08-02,ASTBTC,3.71e-06,3.72e-06,3.49e-06,3.57e-06,8425349.0,30.34
2019-08-01,ASTBTC,4.06e-06,4.13e-06,3.63e-06,3.71e-06,7543960.0,29.42
2019-07-31,ASTBTC,4.29e-06,4.34e-06,4.02e-06,4.06e-06,8311061.0,34.8
2019-07-30,ASTBTC,4.37e-06,4.38e-06,4.08e-06,4.29e-06,7727057.0,32.7
2019-07-29,ASTBTC,4.42e-06,4.55e-06,4.27e-06,4.37e-06,11234016.0,49.35
2019-07-28,ASTBTC,4.35e-06,4.5e-06,4.27e-06,4.42e-06,9436240.0,41.41
2019-07-27,ASTBTC,4.37e-06,4.68e-06,4.22e-06,4.35e-06,11494966.0,51.19
2019-07-26,ASTBTC,4.32e-06,4.39e-06,4.21e-06,4.37e-06,5891211.0,25.34
2019-07-25,ASTBTC,4.49e-06,4.49e-06,4.25e-06,4.32e-06,8143594.0,35.36
2019-07-24,ASTBTC,4.46e-06,4.66e-06,4.31e-06,4.49e-06,11969113.0,53.77
2019-07-23,ASTBTC,4.21e-06,4.47e-06,4.17e-06,4.46e-06,7663672.0,33.03
2019-07-22,ASTBTC,4.08e-06,4.52e-06,4.03e-06,4.21e-06,17319715.0,73.84
2019-07-21,ASTBTC,3.99e-06,4.16e-06,3.96e-06,4.08e-06,4160695.0,16.83
2019-07-20,ASTBTC,3.98e-06,4.17e-06,3.83e-06,3.99e-06,7659032.0,30.65
2019-07-19,ASTBTC,4.0e-06,4.18e-06,3.91e-06,3.98e-06,5463577.0,22.0
2019-07-18,ASTBTC,4.28e-06,4.29e-06,4.19e-06,4.19e-06,103746.0,0.4418
2019-07-17,ASTBTC,4.21e-06,4.39e-06,4.11e-06,4.28e-06,5041773.0,21.31
2019-07-16,ASTBTC,4.05e-06,4.49e-06,4.01e-06,4.21e-06,9665233.0,41.0
2019-07-15,ASTBTC,4.3e-06,4.61e-06,3.99e-06,4.05e-06,9798895.0,41.9
