Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2019-08-07 03-AM,EOSBTC,0.0003614,0.0003632,0.0003614,0.0003627,30142.75,10.92
2019-08-07 02-AM,EOSBTC,0.0003646,0.0003646,0.0003613,0.0003614,83461.81,30.29
2019-08-07 01-AM,EOSBTC,0.0003667,0.0003677,0.000364,0.0003646,50948.33,18.62
2019-08-07 12-AM,EOSBTC,0.000365,0.0003682,0.0003642,0.0003667,110433.4,40.49
2019-08-06 11-PM,EOSBTC,0.000368,0.0003685,0.0003645,0.000365,90370.72,33.11
2019-08-06 10-PM,EOSBTC,0.0003656,0.0003689,0.0003645,0.000368,113778.36,41.74
2019-08-06 09-PM,EOSBTC,0.0003572,0.0003658,0.0003571,0.0003656,132091.04,47.79
2019-08-06 08-PM,EOSBTC,0.0003532,0.0003576,0.0003515,0.0003572,156559.58,55.49
2019-08-06 07-PM,EOSBTC,0.0003605,0.0003614,0.0003472,0.0003532,475363.4,168.11
2019-08-06 06-PM,EOSBTC,0.0003634,0.0003642,0.0003589,0.0003605,165570.1,59.89
2019-08-06 05-PM,EOSBTC,0.000367,0.0003672,0.0003625,0.0003634,130592.55,47.63
2019-08-06 04-PM,EOSBTC,0.0003678,0.000369,0.0003667,0.000367,93444.79,34.36
2019-08-06 03-PM,EOSBTC,0.0003678,0.0003687,0.000367,0.0003678,69157.44,25.44
2019-08-06 02-PM,EOSBTC,0.0003678,0.0003692,0.0003674,0.0003678,44213.44,16.29
2019-08-06 01-PM,EOSBTC,0.0003689,0.0003704,0.0003677,0.0003678,68888.95,25.41
2019-08-06 12-PM,EOSBTC,0.0003682,0.0003711,0.0003679,0.0003689,148280.96,54.75
2019-08-06 11-AM,EOSBTC,0.0003694,0.0003712,0.0003675,0.0003682,181190.84,66.79
2019-08-06 10-AM,EOSBTC,0.0003641,0.0003714,0.0003625,0.0003694,476347.04,174.5
2019-08-06 09-AM,EOSBTC,0.0003639,0.0003648,0.000363,0.0003641,82418.48,29.98
