Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume ETH
2019-08-07 03-AM,ETCETH,0.026,0.02607,0.02599,0.02607,38.17,0.9939
2019-08-07 02-AM,ETCETH,0.02615,0.02615,0.026,0.026,238.41,6.225
2019-08-07 01-AM,ETCETH,0.0261,0.02621,0.02607,0.02615,369.29,9.654
2019-08-07 12-AM,ETCETH,0.02593,0.0261,0.02591,0.0261,886.27,23.05
2019-08-06 11-PM,ETCETH,0.02602,0.02602,0.02587,0.02593,169.39,4.389
2019-08-06 10-PM,ETCETH,0.02601,0.02603,0.02586,0.02602,374.62,9.726
2019-08-06 09-PM,ETCETH,0.02611,0.02619,0.02592,0.02601,657.19,17.12
2019-08-06 08-PM,ETCETH,0.02607,0.02622,0.02605,0.02611,660.44,17.28
2019-08-06 07-PM,ETCETH,0.02601,0.02607,0.02588,0.02607,798.1,20.76
2019-08-06 06-PM,ETCETH,0.02602,0.02607,0.02593,0.02601,176.69,4.591
2019-08-06 05-PM,ETCETH,0.02606,0.02607,0.02592,0.02602,211.53,5.494
2019-08-06 04-PM,ETCETH,0.02612,0.02612,0.02593,0.02606,2365.41,61.48
2019-08-06 03-PM,ETCETH,0.02628,0.02634,0.02612,0.02612,1156.14,30.3
2019-08-06 02-PM,ETCETH,0.02643,0.02649,0.02628,0.02628,1133.37,29.89
2019-08-06 01-PM,ETCETH,0.0267,0.0267,0.02643,0.02643,47.12,1.249
2019-08-06 12-PM,ETCETH,0.02667,0.0267,0.02647,0.0267,187.84,5.003
2019-08-06 11-AM,ETCETH,0.02655,0.02667,0.02643,0.02667,129.67,3.442
2019-08-06 10-AM,ETCETH,0.02632,0.0267,0.02603,0.02655,1762.61,46.66
2019-08-06 09-AM,ETCETH,0.02647,0.02647,0.02628,0.02632,474.05,12.54
2019-08-06 08-AM,ETCETH,0.0265,0.0265,0.02627,0.02647,364.77,9.612
2019-08-06 07-AM,ETCETH,0.02659,0.02659,0.02632,0.0265,1037.5,27.43
2019-08-06 06-AM,ETCETH,0.02672,0.02672,0.0265,0.02659,818.59,21.74
2019-08-06 05-AM,ETCETH,0.02684,0.02684,0.02663,0.02672,19.47,0.5191
2019-08-06 04-AM,ETCETH,0.02675,0.02684,0.02656,0.02684,4635.12,123.84
