Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2019-08-07 03-AM,ETHUSDT,227.1,227.33,226.01,226.48,3173.46,719742.32
2019-08-07 02-AM,ETHUSDT,225.84,227.88,225.77,227.1,7841.0,1779246.7
2019-08-07 01-AM,ETHUSDT,225.58,226.62,225.3,225.84,5559.57,1256385.88
2019-08-07 12-AM,ETHUSDT,226.28,226.81,224.43,225.58,8826.05,1989975.88
2019-08-06 11-PM,ETHUSDT,224.83,226.97,224.35,226.28,6846.83,1545001.83
2019-08-06 10-PM,ETHUSDT,224.26,226.03,223.32,224.83,10492.04,2357263.64
2019-08-06 09-PM,ETHUSDT,226.61,226.69,223.03,224.26,16473.91,3700806.6
2019-08-06 08-PM,ETHUSDT,227.98,228.15,225.38,226.61,7941.27,1798887.57
2019-08-06 07-PM,ETHUSDT,229.01,229.78,227,227.98,8061.0,1841021.56
2019-08-06 06-PM,ETHUSDT,228.68,229.19,228.24,229.01,4027.3,921067.95
2019-08-06 05-PM,ETHUSDT,230.11,230.49,228.58,228.68,5397.46,1239720.5
2019-08-06 04-PM,ETHUSDT,228.19,230.83,227.94,230.11,7324.17,1682280.86
2019-08-06 03-PM,ETHUSDT,229.38,229.56,227.91,228.19,6726.33,1539270.38
2019-08-06 02-PM,ETHUSDT,230.75,230.87,228.46,229.38,6007.28,1379829.42
2019-08-06 01-PM,ETHUSDT,228.65,230.78,228.38,230.75,8365.99,1919598.02
2019-08-06 12-PM,ETHUSDT,229.63,229.9,226.37,228.65,21051.41,4806410.57
2019-08-06 11-AM,ETHUSDT,230.22,231.63,228.35,229.63,21688.0,4991889.89
2019-08-06 10-AM,ETHUSDT,234.81,239.15,227.51,230.22,66727.87,15566265.31
2019-08-06 09-AM,ETHUSDT,233.11,235.41,233.01,234.81,8729.82,2041990.09
2019-08-06 08-AM,ETHUSDT,233.36,234.12,232.72,233.11,8663.67,2022863.78
2019-08-06 07-AM,ETHUSDT,232.78,235.49,232.71,233.36,20513.02,4801493.57
2019-08-06 06-AM,ETHUSDT,229.94,233.2,229.94,232.78,19386.3,4490723.22
2019-08-06 05-AM,ETHUSDT,228.53,230.09,228.33,229.94,5069.92,1162956.84
2019-08-06 04-AM,ETHUSDT,229.3,229.31,228.2,228.53,5371.19,1227663.21
2019-08-06 03-AM,ETHUSDT,229.18,229.79,228.52,229.3,7313.99,1676383.02
2019-08-06 02-AM,ETHUSDT,229.27,229.73,227.9,229.18,20308.37,4642418.86
2019-08-06 01-AM,ETHUSDT,230.89,230.97,226.7,229.27,15056.9,3447901.83
2019-08-06 12-AM,ETHUSDT,233.54,233.62,230.5,230.89,14054.73,3253762.29
2019-08-05 11-PM,ETHUSDT,232.89,233.66,231.35,233.54,6294.41,1463917.13
2019-08-05 10-PM,ETHUSDT,232.55,233.84,232.33,232.89,4305.4,1003377.69
2019-08-05 09-PM,ETHUSDT,231.97,233.21,231.32,232.55,4993.11,1160512.74
2019-08-05 08-PM,ETHUSDT,232.16,232.99,231.53,231.97,6552.17,1520906.47
