Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume ETH
2019-08-07,LSKETH,0.005582,0.005859,0.005582,0.005757,1735.12,9.913
2019-08-06,LSKETH,0.005531,0.005625,0.005302,0.005582,11012.67,60.17
2019-08-05,LSKETH,0.005874,0.005874,0.005427,0.005531,24969.0,140.05
2019-08-04,LSKETH,0.00596,0.006128,0.005874,0.005874,4644.03,27.94
2019-08-03,LSKETH,0.006127,0.00617,0.005845,0.00596,4809.73,28.77
2019-08-02,LSKETH,0.006055,0.006247,0.005845,0.006127,26365.85,159.38
2019-08-01,LSKETH,0.00643,0.006676,0.006015,0.006055,22127.88,139.08
2019-07-31,LSKETH,0.006574,0.006875,0.006324,0.00643,33274.38,218.0
2019-07-30,LSKETH,0.006603,0.006821,0.006438,0.006574,26308.94,173.35
2019-07-29,LSKETH,0.006575,0.006951,0.006483,0.006603,55277.18,371.57
2019-07-28,LSKETH,0.007059,0.007059,0.006513,0.006575,16860.89,115.04
2019-07-27,LSKETH,0.007092,0.007254,0.006936,0.007059,17059.98,121.33
2019-07-26,LSKETH,0.007297,0.007345,0.007,0.007092,13863.12,98.18
2019-07-25,LSKETH,0.007396,0.007552,0.00722,0.007297,14903.53,110.28
2019-07-24,LSKETH,0.007758,0.00852,0.007342,0.007396,89604.46,698.0
2019-07-23,LSKETH,0.007021,0.008146,0.006944,0.007758,69566.63,521.7
2019-07-22,LSKETH,0.006542,0.0075,0.006441,0.007021,33525.34,228.98
2019-07-21,LSKETH,0.006574,0.00681,0.006433,0.006542,22559.77,149.06
2019-07-20,LSKETH,0.005984,0.007237,0.005801,0.006574,70456.41,465.89
2019-07-19,LSKETH,0.005751,0.005984,0.00573,0.005984,7231.77,42.29
2019-07-18,LSKETH,0.00582,0.005991,0.005781,0.0058,1577.03,9.29
2019-07-17,LSKETH,0.005375,0.006575,0.005375,0.00582,108321.52,652.38
2019-07-16,LSKETH,0.005515,0.005659,0.00531,0.005375,54605.39,299.0
2019-07-15,LSKETH,0.005555,0.005938,0.005369,0.005515,32761.98,182.99
2019-07-14,LSKETH,0.00532,0.005703,0.00525,0.005555,16216.13,89.14
2019-07-13,LSKETH,0.005335,0.005483,0.005279,0.00532,13514.9,72.66
2019-07-12,LSKETH,0.00521,0.0063,0.005118,0.005335,98153.39,551.81
2019-07-11,LSKETH,0.005255,0.005513,0.005138,0.00521,31517.75,166.45
2019-07-10,LSKETH,0.00524,0.005458,0.004915,0.005255,76193.95,392.24
2019-07-09,LSKETH,0.005376,0.005399,0.005029,0.00524,31293.27,163.04
2019-07-08,LSKETH,0.005601,0.005715,0.005315,0.005376,17125.19,94.0
2019-07-07,LSKETH,0.005861,0.006,0.005511,0.005601,17454.08,99.98
2019-07-06,LSKETH,0.005702,0.005962,0.005634,0.005861,18758.95,108.77
2019-07-05,LSKETH,0.005719,0.005963,0.005678,0.005702,19212.34,112.04
2019-07-04,LSKETH,0.005764,0.00614,0.005602,0.005719,44209.53,258.18
2019-07-03,LSKETH,0.006086,0.006107,0.005732,0.005764,26144.73,153.51
2019-07-02,LSKETH,0.006075,0.006206,0.00593,0.006086,23723.99,144.47
2019-07-01,LSKETH,0.006125,0.006265,0.005993,0.006075,15784.06,96.75
2019-06-30,LSKETH,0.005977,0.006217,0.005918,0.006125,17136.08,103.95
2019-06-29,LSKETH,0.006181,0.006229,0.005909,0.005977,21266.45,129.72
2019-06-28,LSKETH,0.006253,0.006633,0.00606,0.006181,31392.28,197.35
2019-06-27,LSKETH,0.006014,0.006575,0.005872,0.006253,51563.35,319.34
2019-06-26,LSKETH,0.006557,0.006664,0.005726,0.006014,69956.77,426.26
2019-06-25,LSKETH,0.00669,0.006759,0.00635,0.006557,41104.31,269.01
2019-06-24,LSKETH,0.006865,0.007059,0.006587,0.00669,36366.63,245.3
2019-06-23,LSKETH,0.006853,0.007202,0.006502,0.006865,57316.79,389.42
2019-06-22,LSKETH,0.007145,0.007171,0.006316,0.006853,104952.72,711.77
2019-06-21,LSKETH,0.007501,0.007516,0.006941,0.007145,28058.08,201.42
2019-06-20,LSKETH,0.007736,0.007784,0.007421,0.007501,35897.51,273.14
2019-06-19,LSKETH,0.007742,0.008029,0.007631,0.007736,23758.75,183.55
2019-06-18,LSKETH,0.007611,0.00785,0.00758,0.007742,20524.86,158.2
2019-06-17,LSKETH,0.007774,0.008019,0.007566,0.007611,38117.23,297.57
2019-06-16,LSKETH,0.007366,0.009586,0.007123,0.007774,253447.82,2113.22
2019-06-15,LSKETH,0.007628,0.007785,0.007282,0.007366,39870.21,298.58
2019-06-14,LSKETH,0.007881,0.00807,0.007517,0.007628,30604.11,237.89
2019-06-13,LSKETH,0.008036,0.008075,0.007751,0.007881,14689.67,116.65
2019-06-12,LSKETH,0.008474,0.008474,0.007951,0.008036,14196.21,116.11
2019-06-11,LSKETH,0.008343,0.008606,0.008199,0.008474,16971.25,142.41
2019-06-10,LSKETH,0.008213,0.008514,0.008125,0.008343,15921.67,132.18
2019-06-09,LSKETH,0.008476,0.008492,0.008147,0.008213,15649.48,129.35
2019-06-08,LSKETH,0.008504,0.008691,0.008248,0.008476,15302.07,129.86
2019-06-07,LSKETH,0.007868,0.00856,0.007868,0.008504,49225.75,405.35
2019-06-06,LSKETH,0.007987,0.008105,0.007804,0.007868,18991.66,150.95
2019-06-05,LSKETH,0.008059,0.008326,0.007934,0.007987,12705.86,103.13
2019-06-04,LSKETH,0.007949,0.008472,0.007882,0.008059,44428.85,361.15
2019-06-03,LSKETH,0.007965,0.00805,0.00774,0.007949,18751.23,148.81
2019-06-02,LSKETH,0.007914,0.008231,0.007787,0.007965,17867.07,143.04
2019-06-01,LSKETH,0.007742,0.007914,0.007492,0.007914,12142.73,93.1
2019-05-31,LSKETH,0.007665,0.007973,0.0076,0.007742,57758.7,444.12
2019-05-30,LSKETH,0.00791,0.008353,0.007536,0.007665,49343.29,387.81
2019-05-29,LSKETH,0.0078,0.007911,0.007502,0.00791,21631.07,166.05
2019-05-28,LSKETH,0.007535,0.008293,0.007535,0.0078,41025.43,322.17
2019-05-27,LSKETH,0.00756,0.007842,0.007401,0.007535,28025.05,211.61
2019-05-26,LSKETH,0.007906,0.008009,0.007504,0.00756,15801.64,123.08
2019-05-25,LSKETH,0.007776,0.00868,0.007624,0.007906,43048.68,347.57
2019-05-24,LSKETH,0.007723,0.008068,0.007442,0.007776,23579.41,182.18
2019-05-23,LSKETH,0.0076,0.008137,0.007575,0.007723,15020.56,117.72
2019-05-22,LSKETH,0.007917,0.007962,0.0075,0.0076,24794.7,191.26
2019-05-21,LSKETH,0.007951,0.008153,0.007723,0.007917,24764.84,197.57
2019-05-20,LSKETH,0.007897,0.008204,0.007897,0.007951,13667.26,110.33
2019-05-19,LSKETH,0.008268,0.008369,0.007771,0.007897,26379.63,214.13
2019-05-18,LSKETH,0.008155,0.008298,0.007948,0.008268,25997.18,211.78
2019-05-17,LSKETH,0.008121,0.008445,0.007871,0.008155,52379.99,424.02
2019-05-16,LSKETH,0.008395,0.009215,0.007988,0.008121,84198.98,715.63
2019-05-15,LSKETH,0.008629,0.009427,0.008257,0.008395,50284.35,433.48
2019-05-14,LSKETH,0.009254,0.009593,0.008477,0.008629,32025.4,290.4
2019-05-13,LSKETH,0.009612,0.01018,0.009,0.009254,40266.56,381.16
2019-05-12,LSKETH,0.01041,0.0105,0.009433,0.009612,24035.36,236.75
2019-05-11,LSKETH,0.01046,0.01103,0.009824,0.01041,17362.17,178.99
2019-05-10,LSKETH,0.01049,0.0118,0.0103,0.01046,31699.72,341.34
2019-05-09,LSKETH,0.009863,0.01076,0.009863,0.01049,21316.95,220.0
2019-05-08,LSKETH,0.009696,0.01004,0.009611,0.009863,5703.38,55.9
2019-05-07,LSKETH,0.009911,0.009998,0.009511,0.009598,6547.79,63.39
2019-05-06,LSKETH,0.0102,0.01028,0.009532,0.009911,30268.29,298.6
2019-05-05,LSKETH,0.01068,0.01075,0.0102,0.0102,10971.36,114.49
2019-05-04,LSKETH,0.01065,0.01091,0.01054,0.01068,7118.13,76.1
2019-05-03,LSKETH,0.01079,0.01126,0.01054,0.01065,17247.37,188.0
2019-05-02,LSKETH,0.0108,0.01095,0.01063,0.01079,12782.59,138.17
2019-05-01,LSKETH,0.01071,0.01105,0.01066,0.0108,9464.86,103.02
2019-04-30,LSKETH,0.01085,0.01092,0.01042,0.01071,15792.85,167.69
2019-04-29,LSKETH,0.01099,0.01109,0.01081,0.01085,9269.46,101.41
2019-04-28,LSKETH,0.01127,0.01135,0.01086,0.01099,13164.86,146.2
2019-04-27,LSKETH,0.01119,0.01155,0.01111,0.01127,8465.98,95.92
2019-04-26,LSKETH,0.01134,0.01152,0.01106,0.01119,12633.19,141.63
2019-04-25,LSKETH,0.01122,0.01155,0.01116,0.01134,18312.99,207.34
2019-04-24,LSKETH,0.01147,0.01215,0.01107,0.01122,35038.18,398.67
2019-04-23,LSKETH,0.01167,0.01205,0.01121,0.01147,33465.25,382.46
2019-04-22,LSKETH,0.0117,0.01187,0.01153,0.01167,10872.05,127.16
2019-04-21,LSKETH,0.01175,0.0118,0.01146,0.0117,8416.94,97.74
2019-04-20,LSKETH,0.0118,0.01208,0.01161,0.01175,13354.17,157.67
2019-04-19,LSKETH,0.01185,0.01198,0.01169,0.0118,11486.32,135.8
2019-04-18,LSKETH,0.01204,0.01215,0.01153,0.01185,15809.65,186.37
2019-04-17,LSKETH,0.01227,0.01239,0.01204,0.01204,7977.98,97.55
2019-04-16,LSKETH,0.01211,0.01247,0.01199,0.01227,6009.97,73.76
2019-04-15,LSKETH,0.01191,0.01262,0.01189,0.01211,12045.36,147.36
2019-04-14,LSKETH,0.01206,0.01224,0.01182,0.01191,8550.16,102.58
2019-04-13,LSKETH,0.01187,0.01238,0.01182,0.01206,17002.86,204.71
2019-04-12,LSKETH,0.01149,0.01191,0.0112,0.01187,24152.02,278.21
2019-04-11,LSKETH,0.01171,0.01171,0.0111,0.01149,23812.47,271.4
2019-04-10,LSKETH,0.01143,0.01174,0.01125,0.01171,17351.99,199.0
2019-04-09,LSKETH,0.01156,0.01177,0.01125,0.01143,17583.68,202.1
2019-04-08,LSKETH,0.01219,0.0122,0.01133,0.01156,34599.99,406.91
2019-04-07,LSKETH,0.01293,0.01376,0.01217,0.01219,42638.77,545.74
2019-04-06,LSKETH,0.01317,0.0134,0.01254,0.01293,39255.92,509.06
2019-04-05,LSKETH,0.01352,0.01396,0.01293,0.01317,32172.08,430.65
2019-04-04,LSKETH,0.01277,0.01463,0.01272,0.01352,110160.74,1494.41
2019-04-03,LSKETH,0.01172,0.01324,0.01127,0.01277,82091.45,1006.47
2019-04-02,LSKETH,0.0124,0.01255,0.01162,0.01172,47496.13,573.49
2019-04-01,LSKETH,0.01229,0.01257,0.0122,0.0124,15537.24,193.04
2019-03-19,LSKETH,0.01087,0.01087,0.01083,0.01086,7080.56,76.69
2019-03-18,LSKETH,0.01111,0.01129,0.01073,0.01087,13556.44,149.08
2019-03-17,LSKETH,0.01086,0.01174,0.01073,0.01111,55629.07,628.08
2019-03-16,LSKETH,0.01132,0.01132,0.0104,0.01086,56964.72,611.61
2019-03-15,LSKETH,0.01216,0.01296,0.01054,0.01132,122587.4,1445.4
2019-03-14,LSKETH,0.0104,0.0127,0.0104,0.01216,175173.95,2061.03
2019-03-13,LSKETH,0.01049,0.0107,0.0102,0.0104,34187.08,358.13
2019-03-12,LSKETH,0.009731,0.01069,0.009548,0.01049,69571.81,709.96
2019-03-11,LSKETH,0.0094,0.00978,0.00929,0.009731,27680.34,263.36
2019-03-10,LSKETH,0.009364,0.00967,0.00925,0.0094,12373.12,116.47
2019-03-09,LSKETH,0.00946,0.009616,0.009297,0.009364,10728.96,101.07
2019-03-08,LSKETH,0.009585,0.009673,0.009358,0.00946,25252.11,240.71
2019-03-07,LSKETH,0.009148,0.0096,0.009048,0.009585,31473.15,294.54
2019-03-06,LSKETH,0.009341,0.009427,0.0091,0.009148,20328.58,188.04
2019-03-05,LSKETH,0.009361,0.009598,0.009056,0.009341,35858.94,332.8
2019-03-04,LSKETH,0.009321,0.0096,0.009275,0.009361,12304.96,115.74
