Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-08-07 03-AM,LTCBTC,0.007989,0.008032,0.007989,0.008015,1682.62,13.47
2019-08-07 02-AM,LTCBTC,0.008045,0.00805,0.00798,0.007989,3493.91,28.0
2019-08-07 01-AM,LTCBTC,0.008086,0.008087,0.008035,0.008045,3552.42,28.61
2019-08-07 12-AM,LTCBTC,0.0081,0.008108,0.008062,0.008086,4694.45,37.98
2019-08-06 11-PM,LTCBTC,0.008128,0.008179,0.008097,0.0081,4097.1,33.32
2019-08-06 10-PM,LTCBTC,0.008099,0.008144,0.00808,0.008128,6194.58,50.26
2019-08-06 09-PM,LTCBTC,0.007941,0.00811,0.00792,0.008099,10296.83,82.57
2019-08-06 08-PM,LTCBTC,0.007879,0.007964,0.007854,0.007941,8246.05,65.19
2019-08-06 07-PM,LTCBTC,0.007963,0.007997,0.0078,0.007879,22331.21,175.78
2019-08-06 06-PM,LTCBTC,0.008053,0.00806,0.007962,0.007963,4960.73,39.71
2019-08-06 05-PM,LTCBTC,0.008058,0.008089,0.008019,0.008053,6142.11,49.46
2019-08-06 04-PM,LTCBTC,0.008049,0.008183,0.008021,0.008058,10615.91,85.98
2019-08-06 03-PM,LTCBTC,0.00808,0.008105,0.008031,0.008049,8433.81,68.03
2019-08-06 02-PM,LTCBTC,0.008086,0.008094,0.00805,0.00808,6012.51,48.5
2019-08-06 01-PM,LTCBTC,0.008106,0.008135,0.008082,0.008086,7221.3,58.55
2019-08-06 12-PM,LTCBTC,0.008072,0.008142,0.008027,0.008106,22661.85,182.86
2019-08-06 11-AM,LTCBTC,0.008089,0.008115,0.008034,0.008072,10214.53,82.48
2019-08-06 10-AM,LTCBTC,0.007976,0.008129,0.007951,0.008089,22673.88,182.31
2019-08-06 09-AM,LTCBTC,0.007942,0.007985,0.007928,0.007976,10452.77,83.18
2019-08-06 08-AM,LTCBTC,0.008,0.008028,0.007939,0.007942,12033.91,96.13
2019-08-06 07-AM,LTCBTC,0.008081,0.008148,0.007976,0.008,20088.89,161.67
2019-08-06 06-AM,LTCBTC,0.008166,0.008174,0.008031,0.008081,19092.32,154.76
2019-08-06 05-AM,LTCBTC,0.008182,0.008194,0.008145,0.008166,6823.75,55.77
2019-08-06 04-AM,LTCBTC,0.008177,0.008199,0.008128,0.008182,9758.65,79.7
2019-08-06 03-AM,LTCBTC,0.008182,0.0082,0.008161,0.008177,5303.15,43.38
2019-08-06 02-AM,LTCBTC,0.008154,0.008202,0.008143,0.008182,10037.04,82.11
2019-08-06 01-AM,LTCBTC,0.008148,0.008179,0.008085,0.008154,13425.23,109.17
2019-08-06 12-AM,LTCBTC,0.008162,0.008185,0.008138,0.008148,9764.83,79.68
