Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume BTC
2019-08-07,NEOBTC,0.000987,0.000989,0.000978,0.000978,14740.65,14.5
2019-08-06,NEOBTC,0.001017,0.001024,0.000974,0.000987,286523.85,284.69
2019-08-05,NEOBTC,0.001086,0.001092,0.001012,0.001017,332483.52,345.83
2019-08-04,NEOBTC,0.00112,0.001129,0.00108,0.001086,117823.9,130.3
2019-08-03,NEOBTC,0.001107,0.001128,0.001087,0.00112,133906.98,147.89
2019-08-02,NEOBTC,0.001144,0.001144,0.001102,0.001107,117251.09,131.38
2019-08-01,NEOBTC,0.001163,0.001165,0.001114,0.001144,190791.34,218.01
2019-07-31,NEOBTC,0.001174,0.001231,0.001144,0.001163,255539.74,303.12
2019-07-30,NEOBTC,0.001184,0.001184,0.00116,0.001174,111600.81,130.72
2019-07-29,NEOBTC,0.001179,0.001195,0.001165,0.001184,112747.09,133.23
2019-07-28,NEOBTC,0.001199,0.001207,0.001153,0.001179,165839.24,196.91
2019-07-27,NEOBTC,0.001217,0.001222,0.00117,0.001199,185613.92,221.53
2019-07-26,NEOBTC,0.001208,0.001229,0.001201,0.001217,94979.04,115.22
2019-07-25,NEOBTC,0.001205,0.001228,0.001193,0.001208,252952.79,305.51
2019-07-24,NEOBTC,0.001138,0.001218,0.001126,0.001205,395560.26,465.74
2019-07-23,NEOBTC,0.001166,0.001172,0.001119,0.001138,377720.5,431.47
2019-07-22,NEOBTC,0.001223,0.001233,0.001146,0.001166,342665.29,404.16
2019-07-21,NEOBTC,0.001242,0.001263,0.001204,0.001223,256796.88,315.78
2019-07-20,NEOBTC,0.001235,0.001292,0.001225,0.001242,297277.43,372.08
2019-07-19,NEOBTC,0.001226,0.001249,0.001176,0.001235,405359.97,490.88
2019-07-18,NEOBTC,0.001114,0.001123,0.001101,0.001123,10650.3,11.79
2019-07-17,NEOBTC,0.001083,0.00115,0.001067,0.001114,454572.84,499.2
2019-07-16,NEOBTC,0.001133,0.001146,0.001073,0.001083,459755.19,506.7
2019-07-15,NEOBTC,0.001181,0.001185,0.001111,0.001133,447089.77,513.71
2019-07-14,NEOBTC,0.001247,0.001251,0.001169,0.001181,505495.91,615.87
2019-07-13,NEOBTC,0.001305,0.001307,0.001243,0.001247,326935.52,416.6
