Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2019-08-07,NEOUSDT,11.36,11.47,11.26,11.38,17639.6,200541.98
2019-08-06,NEOUSDT,12,12.26,11.14,11.36,338746.67,3979195.33
2019-08-05,NEOUSDT,11.88,12.58,11.88,12,380885.03,4642250.8
2019-08-04,NEOUSDT,12.12,12.28,11.74,11.88,204949.5,2450989.87
2019-08-03,NEOUSDT,11.66,12.18,11.63,12.12,212216.87,2525718.4
2019-08-02,NEOUSDT,11.86,11.97,11.47,11.66,219055.14,2571398.62
2019-08-01,NEOUSDT,11.73,11.87,11.31,11.86,258319.37,2985096.56
2019-07-31,NEOUSDT,11.25,12.05,11.22,11.73,393487.97,4586847.71
2019-07-30,NEOUSDT,11.27,11.43,11,11.25,154091.18,1726061.89
2019-07-29,NEOUSDT,11.24,11.58,10.93,11.27,229965.58,2598130.05
2019-07-28,NEOUSDT,11.37,11.51,10.6,11.24,244149.77,2747965.93
2019-07-27,NEOUSDT,11.96,12.35,11.06,11.37,347347.54,4006188.46
2019-07-26,NEOUSDT,11.94,12.11,11.61,11.96,180904.51,2141322.22
2019-07-25,NEOUSDT,11.77,12.39,11.72,11.94,395863.64,4789808.51
2019-07-24,NEOUSDT,11.23,12.09,10.83,11.77,527130.47,6034589.6
2019-07-23,NEOUSDT,12.07,12.24,11.16,11.23,561782.02,6477793.2
2019-07-22,NEOUSDT,12.95,13.14,11.62,12.07,605928.68,7407063.83
2019-07-21,NEOUSDT,13.32,13.6,12.45,12.95,467988.52,6076102.86
2019-07-20,NEOUSDT,12.96,13.88,12.74,13.32,466336.12,6207173.77
2019-07-19,NEOUSDT,13.01,13.18,12.16,12.96,759157.97,9577976.42
2019-07-18,NEOUSDT,10.76,10.92,10.53,10.92,23064.58,245735.59
2019-07-17,NEOUSDT,10.2,11.33,9.722,10.76,817351.24,8554243.56
2019-07-16,NEOUSDT,12.28,12.59,10.01,10.2,878912.47,9872186.12
2019-07-15,NEOUSDT,12.02,12.49,11.22,12.28,762793.84,9099587.03
2019-07-14,NEOUSDT,14.16,14.31,11.85,12.02,766491.42,9981911.43
2019-07-13,NEOUSDT,15.32,15.37,13.53,14.16,462561.96,6645998.49
2019-07-12,NEOUSDT,14.65,15.52,14.3,15.32,370343.0,5583165.44
2019-07-11,NEOUSDT,16.2,16.2,14.2,14.65,607024.39,9161235.43
2019-07-10,NEOUSDT,17.25,17.46,15.43,16.2,535959.54,8844460.95
2019-07-09,NEOUSDT,17.52,17.97,16.88,17.25,463399.26,8100974.42
2019-07-08,NEOUSDT,17.19,17.6,16.8,17.52,351661.67,6072837.51
2019-07-07,NEOUSDT,16.85,17.26,16.52,17.19,241858.15,4068376.93
2019-07-06,NEOUSDT,17.03,17.4,16.81,16.85,266628.09,4554676.54
2019-07-05,NEOUSDT,17.01,17.5,16.71,17.03,319922.21,5456251.19
2019-07-04,NEOUSDT,17.9,18.02,16.93,17.01,411372.48,7250084.18
2019-07-03,NEOUSDT,17.94,18.07,17.21,17.9,613783.06,10861365.6
2019-07-02,NEOUSDT,16.96,18.31,16.12,17.94,1103258.55,18881762.36
