Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QLC,Volume BTC
2019-08-07,QLCBTC,1.37e-06,1.39e-06,1.33e-06,1.36e-06,1142656.0,1.551
2019-08-06,QLCBTC,1.44e-06,1.45e-06,1.3e-06,1.37e-06,10308941.0,14.1
2019-08-05,QLCBTC,1.62e-06,1.62e-06,1.41e-06,1.44e-06,10907904.0,16.19
2019-08-04,QLCBTC,1.68e-06,1.76e-06,1.62e-06,1.62e-06,4369768.0,7.351
2019-08-03,QLCBTC,1.84e-06,1.85e-06,1.65e-06,1.68e-06,7281996.0,12.69
2019-08-02,QLCBTC,1.91e-06,1.93e-06,1.81e-06,1.84e-06,5436392.0,10.13
2019-08-01,QLCBTC,2.07e-06,2.09e-06,1.87e-06,1.91e-06,4753497.0,9.527
2019-07-31,QLCBTC,2.2e-06,2.26e-06,2.06e-06,2.07e-06,5948429.0,12.81
2019-07-30,QLCBTC,2.23e-06,2.27e-06,2.15e-06,2.2e-06,4502175.0,9.908
2019-07-29,QLCBTC,2.28e-06,2.28e-06,2.22e-06,2.23e-06,7397793.0,16.7
2019-07-28,QLCBTC,2.33e-06,2.34e-06,2.26e-06,2.28e-06,4212178.0,9.708
2019-07-27,QLCBTC,2.35e-06,2.4e-06,2.25e-06,2.33e-06,15312047.0,35.72
2019-07-26,QLCBTC,2.2e-06,2.39e-06,2.17e-06,2.35e-06,14354791.0,32.19
2019-07-25,QLCBTC,2.17e-06,2.23e-06,2.11e-06,2.2e-06,16931838.0,37.03
2019-07-24,QLCBTC,2.16e-06,2.2e-06,2.11e-06,2.17e-06,12621982.0,27.28
2019-07-23,QLCBTC,2.09e-06,2.23e-06,2.07e-06,2.16e-06,10910022.0,23.47
2019-07-22,QLCBTC,2.06e-06,2.16e-06,2.06e-06,2.09e-06,13295696.0,28.04
2019-07-21,QLCBTC,2.1e-06,2.13e-06,2.04e-06,2.06e-06,3292838.0,6.873
2019-07-20,QLCBTC,2.09e-06,2.18e-06,2.06e-06,2.1e-06,5856835.0,12.34
2019-07-19,QLCBTC,2.06e-06,2.19e-06,2.03e-06,2.09e-06,8364289.0,17.65
2019-07-18,QLCBTC,2.22e-06,2.22e-06,2.17e-06,2.18e-06,201027.0,0.4396
2019-07-17,QLCBTC,2.12e-06,2.27e-06,2.1e-06,2.22e-06,12055270.0,26.38
2019-07-16,QLCBTC,2.2e-06,2.25e-06,2.05e-06,2.12e-06,7598509.0,16.3
2019-07-15,QLCBTC,2.3e-06,2.35e-06,2.16e-06,2.2e-06,8447838.0,19.09
2019-07-14,QLCBTC,2.37e-06,2.39e-06,2.27e-06,2.3e-06,3668918.0,8.552
2019-07-13,QLCBTC,2.29e-06,2.51e-06,2.28e-06,2.37e-06,9648588.0,23.41
2019-07-12,QLCBTC,2.23e-06,2.46e-06,2.18e-06,2.29e-06,9919176.0,22.88
2019-07-11,QLCBTC,2.27e-06,2.42e-06,2.19e-06,2.23e-06,6240093.0,14.32
2019-07-10,QLCBTC,2.43e-06,2.45e-06,2.14e-06,2.27e-06,15215393.0,34.86
2019-07-09,QLCBTC,2.51e-06,2.75e-06,2.33e-06,2.43e-06,24828104.0,61.43
2019-07-08,QLCBTC,2.8e-06,3.01e-06,2.5e-06,2.51e-06,17950803.0,49.29
2019-07-07,QLCBTC,2.81e-06,2.96e-06,2.76e-06,2.8e-06,8851717.0,25.2
2019-07-06,QLCBTC,2.76e-06,2.88e-06,2.63e-06,2.81e-06,8031244.0,22.09
2019-07-05,QLCBTC,2.68e-06,2.86e-06,2.64e-06,2.76e-06,11339610.0,31.17
2019-07-04,QLCBTC,2.57e-06,2.72e-06,2.53e-06,2.68e-06,15051819.0,39.25
2019-07-03,QLCBTC,2.87e-06,2.87e-06,2.55e-06,2.57e-06,23501898.0,63.57
2019-07-02,QLCBTC,3.16e-06,3.39e-06,2.8e-06,2.87e-06,22298804.0,69.33
2019-07-01,QLCBTC,2.78e-06,3.23e-06,2.75e-06,3.16e-06,29639234.0,89.73
2019-06-30,QLCBTC,2.76e-06,2.87e-06,2.7e-06,2.78e-06,9462906.0,26.22
2019-06-29,QLCBTC,2.62e-06,2.89e-06,2.62e-06,2.76e-06,21279087.0,58.18
2019-06-28,QLCBTC,2.78e-06,2.97e-06,2.62e-06,2.62e-06,19140360.0,54.24
2019-06-27,QLCBTC,2.62e-06,3.04e-06,2.51e-06,2.78e-06,35411417.0,100.53
2019-06-26,QLCBTC,3.17e-06,3.6e-06,2.56e-06,2.62e-06,52293501.0,165.45
2019-06-25,QLCBTC,3.18e-06,3.34e-06,3.01e-06,3.17e-06,15308593.0,48.1
2019-06-24,QLCBTC,3.19e-06,3.65e-06,3.15e-06,3.18e-06,15552706.0,52.39
2019-06-23,QLCBTC,3.26e-06,3.63e-06,3.07e-06,3.19e-06,10787381.0,36.34
2019-06-22,QLCBTC,3.61e-06,3.65e-06,2.96e-06,3.26e-06,16158234.0,52.16
2019-06-21,QLCBTC,4.05e-06,4.08e-06,3.61e-06,3.61e-06,12339198.0,47.56
2019-06-20,QLCBTC,4.14e-06,4.42e-06,3.98e-06,4.05e-06,13808578.0,57.4
2019-06-19,QLCBTC,4.11e-06,4.55e-06,4.06e-06,4.14e-06,14638468.0,62.6
2019-06-18,QLCBTC,4.07e-06,4.23e-06,4.03e-06,4.11e-06,6034261.0,24.78
2019-06-17,QLCBTC,4.16e-06,4.65e-06,4.01e-06,4.07e-06,21758510.0,92.85
2019-06-16,QLCBTC,4.44e-06,4.46e-06,4.0e-06,4.16e-06,8481010.0,35.11
2019-06-15,QLCBTC,4.29e-06,4.55e-06,4.25e-06,4.44e-06,6200705.0,27.35
2019-06-14,QLCBTC,4.75e-06,4.91e-06,4.22e-06,4.29e-06,25807056.0,119.04
2019-06-13,QLCBTC,5.06e-06,5.09e-06,4.65e-06,4.75e-06,12254402.0,60.46
2019-06-12,QLCBTC,5.22e-06,5.37e-06,4.9e-06,5.06e-06,18957031.0,97.57
2019-06-11,QLCBTC,5.17e-06,5.3e-06,5.05e-06,5.22e-06,23364002.0,120.92
2019-06-10,QLCBTC,4.8e-06,5.33e-06,4.79e-06,5.17e-06,31333377.0,158.66
2019-06-09,QLCBTC,4.91e-06,4.98e-06,4.75e-06,4.8e-06,13189799.0,64.18
2019-06-08,QLCBTC,5.03e-06,5.1e-06,4.86e-06,4.91e-06,12309765.0,61.58
2019-06-07,QLCBTC,5.18e-06,5.25e-06,4.93e-06,5.03e-06,17112521.0,86.83
2019-06-06,QLCBTC,5.1e-06,5.35e-06,5.08e-06,5.18e-06,17619786.0,91.81
2019-06-05,QLCBTC,5.06e-06,5.18e-06,4.98e-06,5.1e-06,19918259.0,101.51
2019-06-04,QLCBTC,4.97e-06,5.21e-06,4.77e-06,5.06e-06,36219712.0,181.93
2019-06-03,QLCBTC,4.78e-06,5.2e-06,4.7e-06,4.97e-06,60069628.0,295.67
2019-06-02,QLCBTC,4.78e-06,4.88e-06,4.68e-06,4.78e-06,16590739.0,79.25
2019-06-01,QLCBTC,4.73e-06,4.95e-06,4.6e-06,4.78e-06,44500813.0,212.79
2019-05-31,QLCBTC,4.74e-06,4.95e-06,4.66e-06,4.73e-06,49595731.0,238.45
2019-05-30,QLCBTC,4.75e-06,5.35e-06,4.65e-06,4.74e-06,105771920.0,524.21
2019-05-29,QLCBTC,4.57e-06,4.85e-06,4.43e-06,4.75e-06,40172595.0,185.94
2019-05-28,QLCBTC,4.62e-06,4.89e-06,4.51e-06,4.57e-06,49352576.0,233.85
2019-05-27,QLCBTC,4.81e-06,5.24e-06,4.47e-06,4.62e-06,54507205.0,265.17
2019-05-26,QLCBTC,5.41e-06,5.57e-06,4.67e-06,4.81e-06,37230334.0,195.43
2019-05-25,QLCBTC,5.77e-06,5.97e-06,5.31e-06,5.41e-06,47836922.0,272.86
2019-05-24,QLCBTC,5.89e-06,6.35e-06,5.63e-06,5.77e-06,59944738.0,363.38
2019-05-23,QLCBTC,5.66e-06,6.14e-06,5.52e-06,5.89e-06,49027363.0,283.28
2019-05-22,QLCBTC,5.35e-06,6.1e-06,5.25e-06,5.66e-06,81630930.0,460.81
2019-05-21,QLCBTC,4.93e-06,5.69e-06,4.91e-06,5.35e-06,52751812.0,273.79
2019-05-20,QLCBTC,4.6e-06,5.1e-06,4.53e-06,4.93e-06,53023631.0,256.91
2019-05-19,QLCBTC,5.0e-06,5.0e-06,4.55e-06,4.6e-06,41988542.0,200.16
2019-05-18,QLCBTC,4.64e-06,5.27e-06,4.6e-06,5.0e-06,99495639.0,487.93
2019-05-17,QLCBTC,4.64e-06,4.8e-06,4.35e-06,4.64e-06,52626053.0,240.59
2019-05-16,QLCBTC,4.37e-06,5.19e-06,4.37e-06,4.64e-06,66945139.0,314.24
2019-05-15,QLCBTC,3.86e-06,5.5e-06,3.76e-06,4.37e-06,67367683.0,306.17
2019-05-14,QLCBTC,3.94e-06,4.1e-06,3.75e-06,3.86e-06,53003246.0,206.89
2019-05-13,QLCBTC,4.46e-06,4.88e-06,3.72e-06,3.94e-06,62986822.0,289.08
2019-05-12,QLCBTC,4.62e-06,4.71e-06,4.41e-06,4.46e-06,12427592.0,56.52
2019-05-11,QLCBTC,5.11e-06,5.14e-06,4.54e-06,4.62e-06,47212580.0,226.66
2019-05-10,QLCBTC,4.75e-06,5.44e-06,4.54e-06,5.11e-06,51774274.0,251.79
2019-05-09,QLCBTC,5.33e-06,5.36e-06,4.69e-06,4.75e-06,45812249.0,236.68
2019-05-08,QLCBTC,5.67e-06,5.81e-06,5.25e-06,5.33e-06,40836053.0,228.77
2019-05-07,QLCBTC,5.81e-06,5.89e-06,5.65e-06,5.67e-06,24483133.0,139.72
2019-05-06,QLCBTC,5.59e-06,6.13e-06,5.59e-06,5.81e-06,48401322.0,281.42
2019-05-05,QLCBTC,5.44e-06,5.76e-06,5.42e-06,5.59e-06,42235045.0,237.83
2019-05-04,QLCBTC,5.81e-06,5.87e-06,5.41e-06,5.44e-06,7785979.0,44.01
2019-05-03,QLCBTC,5.89e-06,5.93e-06,5.36e-06,5.81e-06,15256669.0,86.39
2019-05-02,QLCBTC,6.02e-06,6.04e-06,5.76e-06,5.89e-06,14244971.0,84.32
2019-05-01,QLCBTC,5.95e-06,6.23e-06,5.84e-06,6.02e-06,47321805.0,282.29
2019-04-30,QLCBTC,5.77e-06,6.03e-06,5.67e-06,5.95e-06,48373441.0,280.64
2019-04-29,QLCBTC,5.93e-06,6.2e-06,5.68e-06,5.77e-06,43971924.0,261.69
2019-04-28,QLCBTC,6.37e-06,6.41e-06,5.89e-06,5.93e-06,48050194.0,296.92
2019-04-27,QLCBTC,5.82e-06,7.0e-06,5.69e-06,6.37e-06,92932644.0,583.21
2019-04-26,QLCBTC,5.9e-06,6.06e-06,5.6e-06,5.82e-06,46276424.0,271.0
2019-04-25,QLCBTC,5.87e-06,6.4e-06,5.76e-06,5.9e-06,52790180.0,320.66
2019-04-24,QLCBTC,6.24e-06,6.24e-06,5.58e-06,5.87e-06,43425741.0,253.03
2019-04-23,QLCBTC,6.65e-06,6.73e-06,6.13e-06,6.24e-06,17002747.0,110.3
2019-04-22,QLCBTC,6.88e-06,7.1e-06,6.51e-06,6.65e-06,50293668.0,346.04
2019-04-21,QLCBTC,7.29e-06,7.36e-06,6.68e-06,6.88e-06,44932913.0,319.65
2019-04-20,QLCBTC,7.18e-06,7.49e-06,7.09e-06,7.29e-06,50905162.0,369.07
2019-04-19,QLCBTC,7.33e-06,7.53e-06,7.05e-06,7.18e-06,34652970.0,249.74
2019-04-18,QLCBTC,7.32e-06,7.46e-06,7.22e-06,7.33e-06,30656643.0,224.48
2019-04-17,QLCBTC,7.05e-06,7.66e-06,7.0e-06,7.32e-06,41819078.0,300.66
2019-04-16,QLCBTC,7.09e-06,7.3e-06,6.95e-06,7.05e-06,30518486.0,217.88
2019-04-15,QLCBTC,7.39e-06,7.39e-06,6.89e-06,7.09e-06,39102729.0,281.53
2019-04-14,QLCBTC,7.62e-06,8.03e-06,7.32e-06,7.39e-06,17460063.0,132.38
2019-04-13,QLCBTC,7.34e-06,7.91e-06,7.34e-06,7.62e-06,32430802.0,244.87
2019-04-12,QLCBTC,7.14e-06,7.79e-06,6.86e-06,7.34e-06,39904828.0,283.61
2019-04-11,QLCBTC,7.41e-06,7.45e-06,6.8e-06,7.14e-06,12317508.0,87.17
2019-04-10,QLCBTC,8.1e-06,8.1e-06,7.26e-06,7.41e-06,9999468.0,76.55
2019-04-09,QLCBTC,7.96e-06,8.18e-06,7.5e-06,8.1e-06,12502127.0,97.52
2019-04-08,QLCBTC,8.58e-06,8.63e-06,7.92e-06,7.96e-06,11328645.0,92.53
2019-04-07,QLCBTC,8.71e-06,8.88e-06,8.49e-06,8.58e-06,9168358.0,79.79
2019-04-06,QLCBTC,9.31e-06,9.47e-06,8.35e-06,8.71e-06,14583660.0,128.73
2019-04-05,QLCBTC,8.82e-06,9.65e-06,8.65e-06,9.31e-06,28816267.0,264.5
2019-04-04,QLCBTC,8.54e-06,8.86e-06,8.4e-06,8.82e-06,16074685.0,139.03
2019-04-03,QLCBTC,9.27e-06,9.82e-06,8.35e-06,8.54e-06,48577840.0,439.77
2019-04-02,QLCBTC,1.099e-05,1.116e-05,8.74e-06,9.27e-06,43985196.0,429.31
2019-04-01,QLCBTC,1.103e-05,1.158e-05,1.042e-05,1.099e-05,56715554.0,626.32
2019-03-19,QLCBTC,8.5e-06,8.51e-06,8.41e-06,8.45e-06,112739.0,0.9544
2019-03-18,QLCBTC,8.73e-06,8.77e-06,8.38e-06,8.5e-06,7847260.0,66.94
2019-03-17,QLCBTC,8.76e-06,8.95e-06,8.61e-06,8.73e-06,5546072.0,48.46
2019-03-16,QLCBTC,8.95e-06,9.1e-06,8.62e-06,8.76e-06,8866896.0,77.97
2019-03-15,QLCBTC,8.75e-06,9.33e-06,8.64e-06,8.95e-06,26602406.0,240.72
2019-03-14,QLCBTC,8.3e-06,8.86e-06,8.14e-06,8.75e-06,17939369.0,153.75
2019-03-13,QLCBTC,8.57e-06,8.71e-06,8.19e-06,8.3e-06,8702021.0,73.81
2019-03-12,QLCBTC,8.35e-06,8.92e-06,8.15e-06,8.57e-06,23326915.0,199.73
2019-03-11,QLCBTC,8.91e-06,8.95e-06,7.91e-06,8.35e-06,30330627.0,252.49
2019-03-10,QLCBTC,8.15e-06,9.1e-06,8.11e-06,8.91e-06,35912265.0,310.1
2019-03-09,QLCBTC,7.97e-06,8.33e-06,7.86e-06,8.15e-06,17017459.0,138.0
2019-03-08,QLCBTC,8.52e-06,8.55e-06,7.72e-06,7.97e-06,35611252.0,288.87
2019-03-07,QLCBTC,8.14e-06,8.78e-06,7.97e-06,8.52e-06,23651797.0,198.48
2019-03-06,QLCBTC,8.27e-06,8.3e-06,7.9e-06,8.14e-06,11531318.0,93.72
2019-03-05,QLCBTC,7.88e-06,8.45e-06,7.83e-06,8.27e-06,16936569.0,137.78
2019-03-04,QLCBTC,8.0e-06,8.12e-06,7.73e-06,7.88e-06,15613445.0,123.94
2019-03-03,QLCBTC,8.23e-06,8.24e-06,7.56e-06,8.0e-06,30594559.0,242.31
2019-03-02,QLCBTC,7.15e-06,8.45e-06,7.12e-06,8.23e-06,87736710.0,687.15
2019-03-01,QLCBTC,6.97e-06,7.4e-06,6.77e-06,7.15e-06,20738090.0,146.74
2019-02-28,QLCBTC,6.6e-06,7.16e-06,6.54e-06,6.97e-06,18189146.0,125.21
2019-02-27,QLCBTC,6.77e-06,6.84e-06,6.47e-06,6.6e-06,9967572.0,66.52
2019-02-26,QLCBTC,6.46e-06,6.86e-06,6.38e-06,6.77e-06,12559496.0,83.6
2019-02-25,QLCBTC,6.36e-06,6.55e-06,6.28e-06,6.46e-06,9362574.0,59.76
2019-02-24,QLCBTC,6.6e-06,6.89e-06,6.28e-06,6.36e-06,13553435.0,89.2
2019-02-23,QLCBTC,6.57e-06,7.14e-06,6.53e-06,6.6e-06,19898097.0,135.71
2019-02-22,QLCBTC,6.56e-06,6.67e-06,6.5e-06,6.57e-06,4122484.0,27.08
2019-02-21,QLCBTC,6.6e-06,6.61e-06,6.33e-06,6.56e-06,3644111.0,23.55
2019-02-20,QLCBTC,6.45e-06,6.68e-06,6.39e-06,6.6e-06,6809030.0,44.53
2019-02-19,QLCBTC,6.42e-06,6.72e-06,6.35e-06,6.45e-06,4814719.0,31.15
2019-02-18,QLCBTC,6.55e-06,6.73e-06,6.36e-06,6.42e-06,8094867.0,53.03
2019-02-17,QLCBTC,6.34e-06,6.75e-06,6.32e-06,6.55e-06,13195255.0,86.13
2019-02-16,QLCBTC,6.31e-06,6.44e-06,6.25e-06,6.34e-06,4502846.0,28.49
2019-02-15,QLCBTC,6.31e-06,6.76e-06,6.3e-06,6.31e-06,10665941.0,69.15
2019-02-14,QLCBTC,6.44e-06,6.48e-06,6.23e-06,6.31e-06,4248710.0,26.92
2019-02-13,QLCBTC,6.5e-06,6.57e-06,6.33e-06,6.44e-06,5330220.0,34.4
2019-02-12,QLCBTC,6.29e-06,6.51e-06,6.23e-06,6.5e-06,6296597.0,40.29
2019-02-11,QLCBTC,6.36e-06,6.41e-06,6.2e-06,6.29e-06,4252832.0,26.76
2019-02-10,QLCBTC,6.4e-06,6.55e-06,6.3e-06,6.36e-06,3542903.0,22.65
2019-02-09,QLCBTC,6.3e-06,6.44e-06,6.25e-06,6.4e-06,2089400.0,13.27
2019-02-08,QLCBTC,6.37e-06,6.51e-06,6.24e-06,6.3e-06,6186690.0,39.3
2019-02-07,QLCBTC,6.44e-06,6.7e-06,6.32e-06,6.37e-06,8144591.0,52.71
2019-02-06,QLCBTC,6.36e-06,6.5e-06,6.14e-06,6.44e-06,6584204.0,41.37
2019-02-05,QLCBTC,6.39e-06,6.5e-06,6.26e-06,6.36e-06,5782570.0,36.8
2019-02-04,QLCBTC,6.43e-06,6.55e-06,6.33e-06,6.39e-06,4964018.0,32.08
2019-02-03,QLCBTC,6.78e-06,6.9e-06,6.35e-06,6.43e-06,13730636.0,91.79
2019-02-02,QLCBTC,6.31e-06,6.95e-06,6.23e-06,6.78e-06,23936812.0,160.13
2019-02-01,QLCBTC,6.21e-06,6.45e-06,6.18e-06,6.31e-06,3878246.0,24.45
2019-01-31,QLCBTC,6.54e-06,6.61e-06,6.14e-06,6.21e-06,6773612.0,42.83
2019-01-30,QLCBTC,6.64e-06,6.95e-06,6.45e-06,6.54e-06,20536470.0,137.8
2019-01-29,QLCBTC,6.3e-06,6.82e-06,6.14e-06,6.64e-06,16496591.0,107.86
2019-01-28,QLCBTC,6.77e-06,6.81e-06,6.13e-06,6.3e-06,9363497.0,59.69
2019-01-27,QLCBTC,7.07e-06,7.07e-06,6.56e-06,6.77e-06,11482924.0,77.82
2019-01-26,QLCBTC,7.05e-06,7.19e-06,6.99e-06,7.07e-06,7305789.0,51.65
2019-01-25,QLCBTC,7.16e-06,7.23e-06,7.0e-06,7.05e-06,10206540.0,72.63
2019-01-24,QLCBTC,7.01e-06,7.3e-06,6.9e-06,7.16e-06,13553197.0,96.35
2019-01-23,QLCBTC,7.2e-06,7.33e-06,6.9e-06,7.01e-06,14325860.0,102.32
2019-01-22,QLCBTC,7.29e-06,7.3e-06,7.1e-06,7.2e-06,9422196.0,67.79
2019-01-21,QLCBTC,7.31e-06,7.6e-06,7.0e-06,7.29e-06,20009530.0,144.73
2019-01-20,QLCBTC,7.16e-06,7.66e-06,6.88e-06,7.31e-06,39820554.0,289.4
2019-01-19,QLCBTC,6.85e-06,7.29e-06,6.84e-06,7.16e-06,21275853.0,150.97
2019-01-18,QLCBTC,6.94e-06,7.12e-06,6.77e-06,6.85e-06,11907757.0,82.93
2019-01-17,QLCBTC,7.08e-06,7.27e-06,6.68e-06,6.94e-06,39893400.0,278.52
2019-01-16,QLCBTC,7.28e-06,7.36e-06,7.0e-06,7.08e-06,37477339.0,267.8
2019-01-15,QLCBTC,8.96e-06,9.7e-06,7.15e-06,7.28e-06,212222925.0,1827.1
2019-01-14,QLCBTC,6.67e-06,9.37e-06,6.64e-06,8.96e-06,137456164.0,1151.67
2019-01-13,QLCBTC,6.89e-06,7.34e-06,6.63e-06,6.67e-06,7448762.0,52.19
2019-01-12,QLCBTC,7.02e-06,7.03e-06,6.88e-06,6.89e-06,842547.0,5.84
