Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XLM,Volume ETH
2019-08-07 03-AM,XLMETH,0.000345,0.0003478,0.000345,0.0003478,35161.0,12.21
2019-08-07 02-AM,XLMETH,0.0003476,0.0003485,0.000345,0.000345,58982.0,20.48
2019-08-07 01-AM,XLMETH,0.0003464,0.0003482,0.0003464,0.0003476,48892.0,16.99
2019-08-07 12-AM,XLMETH,0.0003461,0.0003469,0.0003459,0.0003464,383840.0,133.05
2019-08-06 11-PM,XLMETH,0.0003451,0.0003463,0.0003449,0.0003461,45793.0,15.83
2019-08-06 10-PM,XLMETH,0.0003441,0.000346,0.0003433,0.0003451,75246.0,25.94
2019-08-06 09-PM,XLMETH,0.0003456,0.0003464,0.0003435,0.0003441,59042.0,20.36
2019-08-06 08-PM,XLMETH,0.0003462,0.0003477,0.0003434,0.0003456,135901.0,46.96
2019-08-06 07-PM,XLMETH,0.0003448,0.0003471,0.0003448,0.0003462,21612.0,7.483
2019-08-06 06-PM,XLMETH,0.0003456,0.0003456,0.0003443,0.0003448,50695.0,17.48
2019-08-06 05-PM,XLMETH,0.000345,0.0003456,0.0003424,0.0003456,14842.0,5.106
2019-08-06 04-PM,XLMETH,0.000345,0.0003457,0.0003427,0.000345,55332.0,19.07
2019-08-06 03-PM,XLMETH,0.0003442,0.0003458,0.0003434,0.000345,60976.0,21.02
2019-08-06 02-PM,XLMETH,0.0003442,0.0003453,0.0003427,0.0003442,51655.0,17.77
2019-08-06 01-PM,XLMETH,0.0003467,0.0003468,0.0003438,0.0003442,72384.0,24.98
2019-08-06 12-PM,XLMETH,0.000346,0.0003478,0.0003446,0.0003467,55261.0,19.15
2019-08-06 11-AM,XLMETH,0.0003471,0.0003474,0.000344,0.000346,65031.0,22.48
2019-08-06 10-AM,XLMETH,0.0003461,0.0003501,0.0003409,0.0003471,311958.0,107.79
2019-08-06 09-AM,XLMETH,0.0003488,0.0003488,0.0003457,0.0003461,70894.0,24.62
2019-08-06 08-AM,XLMETH,0.0003482,0.0003497,0.0003473,0.0003488,116977.0,40.74
2019-08-06 07-AM,XLMETH,0.0003479,0.0003485,0.0003455,0.0003482,114249.0,39.67
2019-08-06 06-AM,XLMETH,0.0003517,0.0003525,0.0003478,0.0003479,102799.0,36.0
2019-08-06 05-AM,XLMETH,0.0003545,0.0003545,0.0003516,0.0003517,19203.0,6.763
2019-08-06 04-AM,XLMETH,0.0003526,0.0003545,0.0003526,0.0003545,6907.0,2.442
2019-08-06 03-AM,XLMETH,0.0003522,0.000353,0.0003514,0.0003526,32598.0,11.49
2019-08-06 02-AM,XLMETH,0.0003529,0.0003541,0.000351,0.0003522,14771.0,5.2
2019-08-06 01-AM,XLMETH,0.0003517,0.0003556,0.0003517,0.0003529,79992.0,28.27
2019-08-06 12-AM,XLMETH,0.0003524,0.0003546,0.0003515,0.0003517,72192.0,25.45
