Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume ETH
2019-08-07,XMRETH,0.3963,0.4022,0.3955,0.4022,198.12,79.17
2019-08-06,XMRETH,0.401,0.4136,0.3929,0.3963,2775.22,1125.1
2019-08-05,XMRETH,0.3958,0.413,0.3935,0.401,2656.48,1070.26
2019-08-04,XMRETH,0.3957,0.4012,0.3933,0.3958,2347.79,931.65
2019-08-03,XMRETH,0.3859,0.3975,0.3825,0.3957,1777.29,692.08
2019-08-02,XMRETH,0.3786,0.3901,0.3768,0.3859,2017.02,773.77
2019-08-01,XMRETH,0.3686,0.3827,0.3686,0.3786,1348.51,510.58
2019-07-31,XMRETH,0.374,0.3826,0.3674,0.3686,2229.64,832.74
2019-07-30,XMRETH,0.3704,0.3845,0.3686,0.374,1768.26,665.88
2019-07-29,XMRETH,0.3815,0.3825,0.3686,0.3704,1778.15,670.98
2019-07-28,XMRETH,0.3805,0.4,0.3781,0.3815,1774.25,691.35
2019-07-27,XMRETH,0.3663,0.3839,0.3663,0.3805,1997.27,753.08
2019-07-26,XMRETH,0.3696,0.3715,0.3624,0.3663,661.86,243.31
2019-07-25,XMRETH,0.3717,0.375,0.3667,0.3696,1056.22,391.01
2019-07-24,XMRETH,0.3832,0.3971,0.369,0.3717,2612.37,1001.59
2019-07-23,XMRETH,0.3846,0.3952,0.377,0.3832,1493.49,576.59
2019-07-22,XMRETH,0.3735,0.3915,0.3714,0.3846,1755.98,667.04
2019-07-21,XMRETH,0.374,0.3907,0.3689,0.3735,1932.86,735.37
2019-07-20,XMRETH,0.3735,0.3812,0.3636,0.374,1584.8,591.99
2019-07-19,XMRETH,0.3711,0.3875,0.3687,0.3735,1960.43,737.65
2019-07-18,XMRETH,0.3644,0.3682,0.3578,0.3605,304.55,111.12
2019-07-17,XMRETH,0.3757,0.3798,0.3617,0.3644,4474.53,1654.32
2019-07-16,XMRETH,0.3896,0.395,0.3689,0.3757,3888.86,1474.8
2019-07-15,XMRETH,0.3814,0.401,0.3453,0.3896,6285.62,2351.79
2019-07-14,XMRETH,0.3471,0.3823,0.3416,0.3814,2119.02,776.0
2019-07-13,XMRETH,0.3577,0.3577,0.3385,0.3471,1108.3,386.91
2019-07-12,XMRETH,0.3335,0.3587,0.3222,0.3577,2187.21,747.91
2019-07-11,XMRETH,0.3287,0.3453,0.325,0.3335,1407.34,471.12
2019-07-10,XMRETH,0.3243,0.337,0.3202,0.3287,2017.56,659.72
2019-07-09,XMRETH,0.3242,0.3318,0.3207,0.3243,1518.14,496.01
2019-07-08,XMRETH,0.3512,0.3533,0.3237,0.3242,3243.14,1092.43
2019-07-07,XMRETH,0.3288,0.3513,0.3259,0.3512,3397.48,1156.7
2019-07-06,XMRETH,0.3108,0.3407,0.3108,0.3288,2794.27,920.28
2019-07-05,XMRETH,0.3099,0.319,0.298,0.3108,1782.85,547.29
2019-07-04,XMRETH,0.2986,0.3151,0.2968,0.3099,2090.07,636.46
2019-07-03,XMRETH,0.298,0.3124,0.2926,0.2986,3001.39,901.17
2019-07-02,XMRETH,0.3011,0.31,0.2898,0.298,7478.05,2250.48
2019-07-01,XMRETH,0.3045,0.3169,0.2975,0.3011,3266.51,995.55
2019-06-30,XMRETH,0.3135,0.3194,0.3001,0.3045,2845.04,884.09
2019-06-29,XMRETH,0.3276,0.3294,0.3086,0.3135,3416.5,1087.57
2019-06-28,XMRETH,0.3217,0.3324,0.3132,0.3276,3031.49,973.5
2019-06-27,XMRETH,0.3082,0.3346,0.2956,0.3217,8678.69,2667.79
2019-06-26,XMRETH,0.3528,0.3548,0.3001,0.3082,13135.18,4158.49
2019-06-25,XMRETH,0.379,0.3794,0.3528,0.3528,2909.81,1066.84
2019-06-24,XMRETH,0.3752,0.3871,0.3699,0.379,2667.85,1007.64
2019-06-23,XMRETH,0.372,0.3808,0.3654,0.3752,2825.02,1054.21
2019-06-22,XMRETH,0.3722,0.3816,0.3625,0.372,5927.53,2210.0
2019-06-21,XMRETH,0.3882,0.3916,0.3642,0.3722,4583.57,1728.04
2019-06-20,XMRETH,0.3732,0.4061,0.3724,0.3882,4119.24,1599.78
2019-06-19,XMRETH,0.364,0.3824,0.3634,0.3732,2492.53,925.56
2019-06-18,XMRETH,0.3604,0.3672,0.3598,0.364,1417.76,515.72
2019-06-17,XMRETH,0.3569,0.3664,0.3552,0.3604,1752.34,633.38
2019-06-16,XMRETH,0.3541,0.3624,0.3484,0.3569,2191.13,777.53
2019-06-15,XMRETH,0.3444,0.3572,0.3407,0.3541,1977.85,695.88
2019-06-14,XMRETH,0.3506,0.3558,0.3394,0.3444,2146.18,742.95
2019-06-13,XMRETH,0.3443,0.356,0.3424,0.3506,1279.32,447.76
2019-06-12,XMRETH,0.3531,0.3577,0.3434,0.3443,1395.76,490.85
2019-06-11,XMRETH,0.3523,0.3613,0.3508,0.3531,1842.9,656.39
2019-06-10,XMRETH,0.3617,0.3629,0.3509,0.3523,1099.47,391.02
2019-06-09,XMRETH,0.358,0.365,0.3543,0.3617,1196.86,429.11
2019-06-08,XMRETH,0.3531,0.3636,0.351,0.358,1257.86,446.88
2019-06-07,XMRETH,0.3492,0.3576,0.345,0.3531,1939.27,681.83
2019-06-06,XMRETH,0.3449,0.3537,0.3443,0.3492,1778.64,622.64
2019-06-05,XMRETH,0.3458,0.355,0.343,0.3449,1808.76,630.35
2019-06-04,XMRETH,0.3564,0.3564,0.345,0.3458,1597.78,559.59
2019-06-03,XMRETH,0.353,0.3625,0.3525,0.3564,1673.85,599.45
2019-06-02,XMRETH,0.3516,0.359,0.3473,0.353,1980.74,700.01
2019-06-01,XMRETH,0.348,0.3525,0.3407,0.3516,3124.16,1083.02
2019-05-31,XMRETH,0.3617,0.3658,0.3474,0.348,2523.61,895.87
2019-05-30,XMRETH,0.3493,0.369,0.3294,0.3617,5121.33,1762.97
2019-05-29,XMRETH,0.3534,0.3558,0.3426,0.3493,1996.06,696.36
2019-05-28,XMRETH,0.3591,0.3658,0.3511,0.3534,1343.3,481.59
2019-05-27,XMRETH,0.3444,0.3657,0.343,0.3591,3017.42,1074.65
2019-05-26,XMRETH,0.3459,0.352,0.3381,0.3444,1555.43,537.74
2019-05-25,XMRETH,0.3431,0.3465,0.338,0.3459,1077.3,368.77
2019-05-24,XMRETH,0.3441,0.3471,0.3392,0.3431,1758.95,603.53
2019-05-23,XMRETH,0.3412,0.3533,0.3402,0.3441,1554.96,540.08
2019-05-22,XMRETH,0.3493,0.3612,0.3412,0.3412,2421.48,846.24
2019-05-21,XMRETH,0.3472,0.368,0.341,0.3493,2649.94,945.6
2019-05-20,XMRETH,0.3469,0.3561,0.3442,0.3472,2036.5,713.86
2019-05-19,XMRETH,0.3407,0.3477,0.3362,0.3469,5047.52,1718.74
2019-05-18,XMRETH,0.3383,0.3464,0.334,0.3407,2240.01,763.26
2019-05-17,XMRETH,0.3298,0.3475,0.3253,0.3383,4552.09,1540.7
2019-05-16,XMRETH,0.3786,0.3818,0.3253,0.3298,5907.35,2045.48
2019-05-15,XMRETH,0.3837,0.394,0.3758,0.3786,2207.95,850.3
2019-05-14,XMRETH,0.4052,0.417,0.3765,0.3837,3773.89,1498.13
2019-05-13,XMRETH,0.4022,0.415,0.395,0.4052,2235.67,905.82
2019-05-12,XMRETH,0.4075,0.415,0.3933,0.4022,1546.83,621.91
2019-05-11,XMRETH,0.398,0.4153,0.3801,0.4075,4207.16,1661.34
2019-05-10,XMRETH,0.3834,0.4,0.3719,0.398,1564.88,607.47
2019-05-09,XMRETH,0.3985,0.4005,0.3804,0.3834,1219.91,477.89
2019-05-08,XMRETH,0.3905,0.3999,0.3878,0.3985,925.92,365.15
