Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-08-07 03-AM,XRPBTC,2.686e-05,2.698e-05,2.684e-05,2.694e-05,486970.0,13.1
2019-08-07 02-AM,XRPBTC,2.708e-05,2.708e-05,2.677e-05,2.686e-05,1455902.0,39.18
2019-08-07 01-AM,XRPBTC,2.715e-05,2.721e-05,2.699e-05,2.708e-05,2304450.0,62.36
2019-08-07 12-AM,XRPBTC,2.714e-05,2.735e-05,2.71e-05,2.715e-05,1674013.0,45.54
2019-08-06 11-PM,XRPBTC,2.737e-05,2.748e-05,2.706e-05,2.714e-05,3142294.0,85.72
2019-08-06 10-PM,XRPBTC,2.72e-05,2.755e-05,2.711e-05,2.737e-05,4524226.0,123.61
2019-08-06 09-PM,XRPBTC,2.661e-05,2.722e-05,2.66e-05,2.72e-05,3468397.0,93.53
2019-08-06 08-PM,XRPBTC,2.667e-05,2.67e-05,2.655e-05,2.661e-05,1657565.0,44.12
2019-08-06 07-PM,XRPBTC,2.682e-05,2.684e-05,2.655e-05,2.667e-05,3147231.0,84.06
2019-08-06 06-PM,XRPBTC,2.685e-05,2.688e-05,2.679e-05,2.682e-05,1530609.0,41.07
2019-08-06 05-PM,XRPBTC,2.674e-05,2.687e-05,2.661e-05,2.685e-05,1166055.0,31.18
2019-08-06 04-PM,XRPBTC,2.69e-05,2.695e-05,2.671e-05,2.674e-05,1516835.0,40.71
2019-08-06 03-PM,XRPBTC,2.684e-05,2.701e-05,2.683e-05,2.69e-05,1488141.0,40.03
2019-08-06 02-PM,XRPBTC,2.683e-05,2.696e-05,2.678e-05,2.684e-05,1268094.0,34.07
2019-08-06 01-PM,XRPBTC,2.697e-05,2.707e-05,2.679e-05,2.683e-05,1629630.0,43.84
2019-08-06 12-PM,XRPBTC,2.688e-05,2.721e-05,2.681e-05,2.697e-05,3132692.0,84.65
2019-08-06 11-AM,XRPBTC,2.694e-05,2.709e-05,2.678e-05,2.688e-05,2784122.0,74.84
2019-08-06 10-AM,XRPBTC,2.644e-05,2.718e-05,2.631e-05,2.694e-05,6038595.0,161.55
2019-08-06 09-AM,XRPBTC,2.637e-05,2.644e-05,2.623e-05,2.644e-05,1972927.0,51.95
2019-08-06 08-AM,XRPBTC,2.642e-05,2.645e-05,2.622e-05,2.637e-05,2663731.0,70.1
2019-08-06 07-AM,XRPBTC,2.649e-05,2.654e-05,2.622e-05,2.642e-05,5369849.0,141.71
2019-08-06 06-AM,XRPBTC,2.704e-05,2.708e-05,2.619e-05,2.649e-05,9639832.0,256.62
2019-08-06 05-AM,XRPBTC,2.736e-05,2.738e-05,2.7e-05,2.704e-05,1469693.0,39.98
2019-08-06 04-AM,XRPBTC,2.73e-05,2.748e-05,2.727e-05,2.736e-05,1385987.0,37.94
2019-08-06 03-AM,XRPBTC,2.73e-05,2.737e-05,2.717e-05,2.73e-05,979905.0,26.72
2019-08-06 02-AM,XRPBTC,2.726e-05,2.751e-05,2.726e-05,2.73e-05,1692966.0,46.3
2019-08-06 01-AM,XRPBTC,2.719e-05,2.743e-05,2.715e-05,2.726e-05,2156058.0,58.83
2019-08-06 12-AM,XRPBTC,2.726e-05,2.735e-05,2.708e-05,2.719e-05,2735154.0,74.36
2019-08-05 11-PM,XRPBTC,2.737e-05,2.738e-05,2.716e-05,2.726e-05,1761900.0,48.02
2019-08-05 10-PM,XRPBTC,2.755e-05,2.756e-05,2.726e-05,2.737e-05,2003978.0,54.91
2019-08-05 09-PM,XRPBTC,2.747e-05,2.758e-05,2.746e-05,2.755e-05,1326307.0,36.51
2019-08-05 08-PM,XRPBTC,2.76e-05,2.761e-05,2.739e-05,2.747e-05,2240767.0,61.59
2019-08-05 07-PM,XRPBTC,2.75e-05,2.76e-05,2.746e-05,2.76e-05,960535.0,26.44
2019-08-05 06-PM,XRPBTC,2.767e-05,2.77e-05,2.737e-05,2.75e-05,2458702.0,67.55
2019-08-05 05-PM,XRPBTC,2.759e-05,2.861e-05,2.736e-05,2.767e-05,4219178.0,116.32
2019-08-05 04-PM,XRPBTC,2.769e-05,2.778e-05,2.752e-05,2.759e-05,1912779.0,52.91
2019-08-05 03-PM,XRPBTC,2.764e-05,2.779e-05,2.762e-05,2.769e-05,2064344.0,57.2
2019-08-05 02-PM,XRPBTC,2.779e-05,2.788e-05,2.761e-05,2.764e-05,1471605.0,40.83
2019-08-05 01-PM,XRPBTC,2.774e-05,2.783e-05,2.765e-05,2.779e-05,1132798.0,31.41
2019-08-05 12-PM,XRPBTC,2.778e-05,2.791e-05,2.762e-05,2.774e-05,1980588.0,54.99
2019-08-05 11-AM,XRPBTC,2.808e-05,2.825e-05,2.777e-05,2.778e-05,3359279.0,94.22
2019-08-05 10-AM,XRPBTC,2.736e-05,2.833e-05,2.727e-05,2.808e-05,7925752.0,221.49
2019-08-05 09-AM,XRPBTC,2.73e-05,2.744e-05,2.73e-05,2.736e-05,1062223.0,29.08
2019-08-05 08-AM,XRPBTC,2.739e-05,2.746e-05,2.727e-05,2.73e-05,2220026.0,60.74
2019-08-05 07-AM,XRPBTC,2.761e-05,2.764e-05,2.712e-05,2.739e-05,3970785.0,108.6
2019-08-05 06-AM,XRPBTC,2.782e-05,2.783e-05,2.757e-05,2.761e-05,2346844.0,64.97
2019-08-05 05-AM,XRPBTC,2.786e-05,2.792e-05,2.776e-05,2.782e-05,1221421.0,34.0
2019-08-05 04-AM,XRPBTC,2.789e-05,2.795e-05,2.777e-05,2.786e-05,2181219.0,60.73
2019-08-05 03-AM,XRPBTC,2.776e-05,2.795e-05,2.764e-05,2.789e-05,2808154.0,78.21
2019-08-05 02-AM,XRPBTC,2.807e-05,2.816e-05,2.776e-05,2.776e-05,3306920.0,92.48
2019-08-05 01-AM,XRPBTC,2.865e-05,2.867e-05,2.798e-05,2.807e-05,4604237.0,129.98
2019-08-05 12-AM,XRPBTC,2.911e-05,2.912e-05,2.854e-05,2.865e-05,3236343.0,93.33
2019-08-04 11-PM,XRPBTC,2.91e-05,2.92e-05,2.904e-05,2.911e-05,1314526.0,38.28
2019-08-04 10-PM,XRPBTC,2.928e-05,2.929e-05,2.89e-05,2.91e-05,2672831.0,77.82
2019-08-04 09-PM,XRPBTC,2.945e-05,2.966e-05,2.927e-05,2.928e-05,1779089.0,52.39
2019-08-04 08-PM,XRPBTC,2.95e-05,2.952e-05,2.926e-05,2.945e-05,1063573.0,31.24
2019-08-04 07-PM,XRPBTC,2.949e-05,2.952e-05,2.935e-05,2.95e-05,1569190.0,46.19
2019-08-04 06-PM,XRPBTC,2.94e-05,2.953e-05,2.933e-05,2.949e-05,1426592.0,42.01
2019-08-04 05-PM,XRPBTC,2.93e-05,2.949e-05,2.924e-05,2.94e-05,1384973.0,40.65
2019-08-04 04-PM,XRPBTC,2.906e-05,2.953e-05,2.901e-05,2.93e-05,3223744.0,94.45
2019-08-04 03-PM,XRPBTC,2.958e-05,2.96e-05,2.905e-05,2.906e-05,2855077.0,83.67
2019-08-04 02-PM,XRPBTC,2.998e-05,3.011e-05,2.955e-05,2.958e-05,1631662.0,48.69
2019-08-04 01-PM,XRPBTC,2.982e-05,3.023e-05,2.982e-05,2.998e-05,2550361.0,76.53
2019-08-04 12-PM,XRPBTC,2.957e-05,2.999e-05,2.942e-05,2.982e-05,3473332.0,103.07
2019-08-04 11-AM,XRPBTC,2.937e-05,2.962e-05,2.931e-05,2.957e-05,1929131.0,56.88
2019-08-04 10-AM,XRPBTC,2.928e-05,2.939e-05,2.927e-05,2.937e-05,647779.0,19.01
2019-08-04 09-AM,XRPBTC,2.926e-05,2.938e-05,2.921e-05,2.928e-05,943790.0,27.67
2019-08-04 08-AM,XRPBTC,2.93e-05,2.931e-05,2.911e-05,2.926e-05,1212535.0,35.43
2019-08-04 07-AM,XRPBTC,2.927e-05,2.935e-05,2.926e-05,2.93e-05,1259920.0,36.93
2019-08-04 06-AM,XRPBTC,2.942e-05,2.944e-05,2.921e-05,2.927e-05,718750.0,21.07
2019-08-04 05-AM,XRPBTC,2.946e-05,2.963e-05,2.927e-05,2.942e-05,1720047.0,50.64
2019-08-04 04-AM,XRPBTC,2.918e-05,2.95e-05,2.912e-05,2.946e-05,1560727.0,45.82
2019-08-04 03-AM,XRPBTC,2.92e-05,2.929e-05,2.916e-05,2.918e-05,716079.0,20.93
2019-08-04 02-AM,XRPBTC,2.92e-05,2.928e-05,2.916e-05,2.92e-05,514363.0,15.03
2019-08-04 01-AM,XRPBTC,2.914e-05,2.922e-05,2.905e-05,2.92e-05,616981.0,17.97
2019-08-04 12-AM,XRPBTC,2.921e-05,2.924e-05,2.9e-05,2.914e-05,725605.0,21.12
2019-08-03 11-PM,XRPBTC,2.915e-05,2.93e-05,2.913e-05,2.921e-05,720098.0,21.05
2019-08-03 10-PM,XRPBTC,2.909e-05,2.92e-05,2.908e-05,2.915e-05,467619.0,13.63
2019-08-03 09-PM,XRPBTC,2.902e-05,2.916e-05,2.898e-05,2.909e-05,768760.0,22.33
2019-08-03 08-PM,XRPBTC,2.914e-05,2.917e-05,2.902e-05,2.902e-05,658116.0,19.16
2019-08-03 07-PM,XRPBTC,2.917e-05,2.926e-05,2.904e-05,2.914e-05,1129273.0,32.9
2019-08-03 06-PM,XRPBTC,2.92e-05,2.924e-05,2.91e-05,2.917e-05,810519.0,23.65
2019-08-03 05-PM,XRPBTC,2.93e-05,2.931e-05,2.916e-05,2.92e-05,612935.0,17.92
2019-08-03 04-PM,XRPBTC,2.937e-05,2.942e-05,2.928e-05,2.93e-05,1074404.0,31.54
2019-08-03 03-PM,XRPBTC,2.936e-05,2.944e-05,2.929e-05,2.937e-05,1753531.0,51.49
2019-08-03 02-PM,XRPBTC,2.934e-05,2.944e-05,2.931e-05,2.936e-05,699832.0,20.56
2019-08-03 01-PM,XRPBTC,2.937e-05,2.948e-05,2.926e-05,2.934e-05,1655740.0,48.64
2019-08-03 12-PM,XRPBTC,2.932e-05,2.946e-05,2.928e-05,2.937e-05,1934302.0,56.8
2019-08-03 11-AM,XRPBTC,2.922e-05,2.934e-05,2.918e-05,2.932e-05,945682.0,27.66
2019-08-03 10-AM,XRPBTC,2.92e-05,2.925e-05,2.915e-05,2.922e-05,969880.0,28.32
2019-08-03 09-AM,XRPBTC,2.909e-05,2.93e-05,2.9e-05,2.92e-05,1247748.0,36.37
2019-08-03 08-AM,XRPBTC,2.905e-05,2.915e-05,2.905e-05,2.909e-05,1079070.0,31.4
2019-08-03 07-AM,XRPBTC,2.908e-05,2.919e-05,2.905e-05,2.905e-05,1395896.0,40.64
2019-08-03 06-AM,XRPBTC,2.907e-05,2.915e-05,2.9e-05,2.908e-05,1109925.0,32.26
2019-08-03 05-AM,XRPBTC,2.903e-05,2.926e-05,2.9e-05,2.907e-05,1696917.0,49.42
2019-08-03 04-AM,XRPBTC,2.914e-05,2.916e-05,2.9e-05,2.903e-05,1395294.0,40.57
2019-08-03 03-AM,XRPBTC,2.919e-05,2.926e-05,2.905e-05,2.914e-05,2616985.0,76.28
2019-08-03 02-AM,XRPBTC,2.942e-05,2.949e-05,2.913e-05,2.919e-05,3847032.0,112.86
2019-08-03 01-AM,XRPBTC,2.961e-05,2.963e-05,2.939e-05,2.942e-05,2740058.0,80.81
2019-08-03 12-AM,XRPBTC,2.962e-05,2.966e-05,2.955e-05,2.961e-05,1069546.0,31.68
2019-08-02 11-PM,XRPBTC,2.968e-05,2.97e-05,2.956e-05,2.962e-05,1113989.0,33.02
2019-08-02 10-PM,XRPBTC,2.988e-05,2.991e-05,2.965e-05,2.968e-05,860591.0,25.64
2019-08-02 09-PM,XRPBTC,2.982e-05,2.992e-05,2.974e-05,2.988e-05,937331.0,27.98
2019-08-02 08-PM,XRPBTC,2.967e-05,2.985e-05,2.961e-05,2.982e-05,2300105.0,68.39
2019-08-02 07-PM,XRPBTC,2.972e-05,2.977e-05,2.963e-05,2.967e-05,1405549.0,41.76
2019-08-02 06-PM,XRPBTC,2.979e-05,2.983e-05,2.967e-05,2.972e-05,1567344.0,46.59
2019-08-02 05-PM,XRPBTC,2.978e-05,2.991e-05,2.969e-05,2.979e-05,2112203.0,62.94
2019-08-02 04-PM,XRPBTC,2.951e-05,2.98e-05,2.94e-05,2.978e-05,5990516.0,177.43
2019-08-02 03-PM,XRPBTC,2.978e-05,2.984e-05,2.946e-05,2.951e-05,4560251.0,135.16
2019-08-02 02-PM,XRPBTC,2.986e-05,2.996e-05,2.977e-05,2.978e-05,1283569.0,38.35
2019-08-02 01-PM,XRPBTC,2.982e-05,2.995e-05,2.979e-05,2.986e-05,1412398.0,42.2
2019-08-02 12-PM,XRPBTC,3.01e-05,3.01e-05,2.98e-05,2.982e-05,1395695.0,41.79
2019-08-02 11-AM,XRPBTC,3.01e-05,3.01e-05,2.994e-05,3.01e-05,893394.0,26.83
2019-08-02 10-AM,XRPBTC,3.013e-05,3.015e-05,3.004e-05,3.01e-05,829695.0,24.96
2019-08-02 09-AM,XRPBTC,3.01e-05,3.017e-05,3.001e-05,3.013e-05,1131012.0,34.03
2019-08-02 08-AM,XRPBTC,3.007e-05,3.015e-05,3.0e-05,3.01e-05,1637143.0,49.22
2019-08-02 07-AM,XRPBTC,3.025e-05,3.027e-05,3.0e-05,3.007e-05,2008943.0,60.45
2019-08-02 06-AM,XRPBTC,3.02e-05,3.034e-05,3.007e-05,3.025e-05,2967186.0,89.57
2019-08-02 05-AM,XRPBTC,3.033e-05,3.036e-05,3.017e-05,3.02e-05,1491062.0,45.11
2019-08-02 04-AM,XRPBTC,3.042e-05,3.047e-05,3.027e-05,3.033e-05,914323.0,27.76
2019-08-02 03-AM,XRPBTC,3.039e-05,3.047e-05,3.032e-05,3.042e-05,948567.0,28.81
2019-08-02 02-AM,XRPBTC,3.029e-05,3.04e-05,3.027e-05,3.039e-05,1491696.0,45.23
2019-08-02 01-AM,XRPBTC,3.03e-05,3.033e-05,3.019e-05,3.029e-05,863977.0,26.15
2019-08-02 12-AM,XRPBTC,3.041e-05,3.044e-05,3.024e-05,3.03e-05,1520319.0,46.13
2019-08-01 11-PM,XRPBTC,3.043e-05,3.047e-05,3.029e-05,3.041e-05,695643.0,21.13
2019-08-01 10-PM,XRPBTC,3.047e-05,3.053e-05,3.035e-05,3.043e-05,1250470.0,38.07
2019-08-01 09-PM,XRPBTC,3.039e-05,3.055e-05,3.034e-05,3.047e-05,1752026.0,53.35
2019-08-01 08-PM,XRPBTC,3.045e-05,3.046e-05,3.001e-05,3.039e-05,4223255.0,127.69
2019-08-01 07-PM,XRPBTC,3.08e-05,3.08e-05,3.042e-05,3.045e-05,4250875.0,129.91
2019-08-01 06-PM,XRPBTC,3.113e-05,3.115e-05,3.073e-05,3.08e-05,2808957.0,86.88
2019-08-01 05-PM,XRPBTC,3.123e-05,3.126e-05,3.109e-05,3.113e-05,1372884.0,42.82
2019-08-01 04-PM,XRPBTC,3.127e-05,3.128e-05,3.107e-05,3.123e-05,2252816.0,70.26
2019-08-01 03-PM,XRPBTC,3.127e-05,3.131e-05,3.122e-05,3.127e-05,1093557.0,34.19
2019-08-01 02-PM,XRPBTC,3.116e-05,3.131e-05,3.11e-05,3.127e-05,2239771.0,69.9
2019-08-01 01-PM,XRPBTC,3.131e-05,3.133e-05,3.114e-05,3.116e-05,1715231.0,53.57
2019-08-01 12-PM,XRPBTC,3.133e-05,3.14e-05,3.116e-05,3.131e-05,2284979.0,71.46
2019-08-01 11-AM,XRPBTC,3.142e-05,3.148e-05,3.128e-05,3.133e-05,1505830.0,47.22
2019-08-01 10-AM,XRPBTC,3.141e-05,3.154e-05,3.137e-05,3.142e-05,1691898.0,53.22
2019-08-01 09-AM,XRPBTC,3.147e-05,3.151e-05,3.138e-05,3.141e-05,2754909.0,86.68
2019-08-01 08-AM,XRPBTC,3.159e-05,3.16e-05,3.139e-05,3.147e-05,1623572.0,51.08
2019-08-01 07-AM,XRPBTC,3.158e-05,3.162e-05,3.153e-05,3.159e-05,936525.0,29.57
2019-08-01 06-AM,XRPBTC,3.165e-05,3.174e-05,3.155e-05,3.158e-05,1558604.0,49.32
2019-08-01 05-AM,XRPBTC,3.164e-05,3.179e-05,3.157e-05,3.165e-05,1820230.0,57.69
2019-08-01 04-AM,XRPBTC,3.16e-05,3.172e-05,3.155e-05,3.164e-05,840134.0,26.58
2019-08-01 03-AM,XRPBTC,3.157e-05,3.163e-05,3.152e-05,3.16e-05,697805.0,22.03
2019-08-01 02-AM,XRPBTC,3.162e-05,3.164e-05,3.153e-05,3.157e-05,586435.0,18.52
2019-08-01 01-AM,XRPBTC,3.158e-05,3.171e-05,3.156e-05,3.162e-05,849430.0,26.88
2019-08-01 12-AM,XRPBTC,3.169e-05,3.172e-05,3.147e-05,3.158e-05,1275778.0,40.29
2019-07-31 11-PM,XRPBTC,3.179e-05,3.183e-05,3.168e-05,3.169e-05,1122719.0,35.67
2019-07-31 10-PM,XRPBTC,3.159e-05,3.185e-05,3.157e-05,3.179e-05,1955936.0,61.93
2019-07-31 09-PM,XRPBTC,3.169e-05,3.174e-05,3.158e-05,3.159e-05,641024.0,20.3
2019-07-31 08-PM,XRPBTC,3.162e-05,3.169e-05,3.145e-05,3.169e-05,2742304.0,86.5
2019-07-31 07-PM,XRPBTC,3.168e-05,3.169e-05,3.155e-05,3.162e-05,1200970.0,37.97
2019-07-31 06-PM,XRPBTC,3.17e-05,3.185e-05,3.157e-05,3.168e-05,2907488.0,92.13
2019-07-31 05-PM,XRPBTC,3.192e-05,3.195e-05,3.168e-05,3.17e-05,1631726.0,51.88
2019-07-31 04-PM,XRPBTC,3.184e-05,3.198e-05,3.167e-05,3.192e-05,2481911.0,79.08
2019-07-31 03-PM,XRPBTC,3.218e-05,3.221e-05,3.167e-05,3.184e-05,4787189.0,152.48
2019-07-31 02-PM,XRPBTC,3.229e-05,3.229e-05,3.196e-05,3.218e-05,5214467.0,167.51
2019-07-31 01-PM,XRPBTC,3.272e-05,3.272e-05,3.227e-05,3.229e-05,2943989.0,95.69
