Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume ETH
2019-08-07 03-AM,XRPETH,0.001376,0.001382,0.001376,0.00138,7625.0,10.52
2019-08-07 02-AM,XRPETH,0.001381,0.001382,0.001374,0.001376,124450.0,171.52
2019-08-07 01-AM,XRPETH,0.001382,0.001383,0.001377,0.001381,27611.0,38.13
2019-08-07 12-AM,XRPETH,0.001377,0.001388,0.001376,0.001382,70171.0,97.0
2019-08-06 11-PM,XRPETH,0.001377,0.001387,0.001375,0.001377,90051.0,124.21
2019-08-06 10-PM,XRPETH,0.001379,0.001384,0.001375,0.001377,68856.0,95.03
2019-08-06 09-PM,XRPETH,0.001371,0.001383,0.001371,0.001379,126815.0,174.62
2019-08-06 08-PM,XRPETH,0.001369,0.001376,0.001369,0.001371,148623.0,203.93
2019-08-06 07-PM,XRPETH,0.001375,0.001375,0.001365,0.001369,434278.0,595.64
2019-08-06 06-PM,XRPETH,0.001375,0.001376,0.001372,0.001375,58519.0,80.4
2019-08-06 05-PM,XRPETH,0.001369,0.001375,0.001367,0.001375,52138.0,71.55
2019-08-06 04-PM,XRPETH,0.001378,0.00138,0.001367,0.001369,51252.0,70.27
2019-08-06 03-PM,XRPETH,0.001374,0.001383,0.001372,0.001378,59542.0,81.98
2019-08-06 02-PM,XRPETH,0.001373,0.001378,0.00137,0.001374,77042.0,105.95
2019-08-06 01-PM,XRPETH,0.001381,0.001382,0.001371,0.001373,56862.0,78.24
2019-08-06 12-PM,XRPETH,0.001378,0.00139,0.001376,0.001381,152921.0,211.42
2019-08-06 11-AM,XRPETH,0.001374,0.001382,0.00137,0.001378,74203.0,102.08
2019-08-06 10-AM,XRPETH,0.001374,0.001384,0.001353,0.001374,560650.0,768.97
2019-08-06 09-AM,XRPETH,0.001381,0.001381,0.00137,0.001374,69127.0,95.18
2019-08-06 08-AM,XRPETH,0.001381,0.001382,0.001372,0.001381,54549.0,75.08
2019-08-06 07-AM,XRPETH,0.001383,0.001383,0.00137,0.001381,152010.0,209.4
2019-08-06 06-AM,XRPETH,0.00139,0.001392,0.001371,0.001383,229127.0,316.14
2019-08-06 05-AM,XRPETH,0.001402,0.001402,0.00139,0.00139,41567.0,58.09
2019-08-06 04-AM,XRPETH,0.001393,0.001403,0.001393,0.001402,166589.0,233.23
2019-08-06 03-AM,XRPETH,0.001389,0.001395,0.001388,0.001393,72040.0,100.34
2019-08-06 02-AM,XRPETH,0.001389,0.001396,0.001387,0.001389,33980.0,47.27
2019-08-06 01-AM,XRPETH,0.001387,0.001401,0.001387,0.001389,120715.0,168.46
2019-08-06 12-AM,XRPETH,0.001381,0.001388,0.00138,0.001387,75535.0,104.48
2019-08-05 11-PM,XRPETH,0.001387,0.00139,0.001378,0.001381,79943.0,110.57
