Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2019-07-03 10-AM,BTCILS,39512.39,39600,39512.39,39600,0.5,19800.0
2019-07-03 09-AM,BTCILS,39000,39994.85,38600.01,39512.39,0.3545,14029.81
2019-07-03 08-AM,BTCILS,39998.84,39998.84,39000,39000,0.1403,5559.17
2019-07-03 07-AM,BTCILS,39300,39999,39300,39998.84,1.94,77606.15
2019-07-03 06-AM,BTCILS,40453.98,40453.98,39300,39300,1.454,58440.56
2019-07-03 05-AM,BTCILS,39998.85,40459.9,39750,40453.98,1.887,76217.29
2019-07-03 04-AM,BTCILS,39000,39998.85,39000,39998.85,1.002,39853.14
2019-07-03 03-AM,BTCILS,38050,39000,38050,39000,0.01282,500.0
2019-07-03 02-AM,BTCILS,38050,38050,38050,38050,0.0,0.0
2019-07-03 01-AM,BTCILS,38050,38050,38050,38050,0.0,0.0
2019-07-03 12-AM,BTCILS,38050,38050,38050,38050,0.0,0.0
2019-07-02 11-PM,BTCILS,38050,38050,38050,38050,0.0,0.0
2019-07-02 10-PM,BTCILS,38100,38100,38050,38050,0.006373,242.5
2019-07-02 09-PM,BTCILS,38735.36,38735.36,38100,38100,0.5704,21761.9
2019-07-02 08-PM,BTCILS,37870,38851.68,37870,38735.36,0.4927,18951.76
2019-07-02 07-PM,BTCILS,37870,37870,37870,37870,0.0,0.0
2019-07-02 06-PM,BTCILS,36361.59,37999.99,36361.59,37870,0.0783,2970.15
2019-07-02 05-PM,BTCILS,35477.14,37500,35477.14,36361.59,0.1629,5982.08
2019-07-02 04-PM,BTCILS,35477.14,35477.14,35477.14,35477.14,0.0,0.0
2019-07-02 03-PM,BTCILS,35890,37998.25,35273,35477.14,6.472,231307.16
2019-07-02 02-PM,BTCILS,35000,35890,35000,35890,0.8561,30644.89
2019-07-02 01-PM,BTCILS,35889.84,35889.84,35000,35000,0.1028,3600.43
2019-07-02 12-PM,BTCILS,35499,35889.84,35499,35889.84,2.028,72721.17
2019-07-02 11-AM,BTCILS,35180.36,35499,33600,35499,2.304,78330.01
2019-07-02 10-AM,BTCILS,36470,36470,35180.36,35180.36,0.9129,32662.11
2019-07-02 09-AM,BTCILS,36000,36709.69,35900,36470,0.9856,35637.62
2019-07-02 08-AM,BTCILS,35437.1,36000,35209.65,36000,0.843,29734.66
2019-07-02 07-AM,BTCILS,34000,35437.1,33300.01,35437.1,2.235,74957.69
2019-07-02 06-AM,BTCILS,33600,34000,33358.23,34000,0.7282,24351.59
2019-07-02 05-AM,BTCILS,34242.32,34248.11,33335.84,33600,0.9537,32070.63
2019-07-02 04-AM,BTCILS,36200,36200,34242.32,34242.32,1.221,42296.56
2019-07-02 03-AM,BTCILS,36200,36200,36200,36200,0.0,0.0
2019-07-02 02-AM,BTCILS,36200,36200,36200,36200,0.0,0.0
2019-07-02 01-AM,BTCILS,37598.44,37598.44,36200,36200,0.06204,2268.72
2019-07-02 12-AM,BTCILS,37598.44,37598.44,37598.44,37598.44,0.0,0.0
2019-07-01 11-PM,BTCILS,37598.44,37598.44,37598.44,37598.44,0.0,0.0
2019-07-01 10-PM,BTCILS,37598.44,37598.44,37598.44,37598.44,0.0,0.0
2019-07-01 09-PM,BTCILS,36555,37598.44,36555,37598.44,0.2476,9282.85
2019-07-01 08-PM,BTCILS,36000,36555,35900,36555,8.138,293220.25
2019-07-01 07-PM,BTCILS,36000,36000,35323.94,36000,1.683,60129.56
2019-07-01 06-PM,BTCILS,35611.41,36000,35611.41,36000,0.3845,13841.72
2019-07-01 05-PM,BTCILS,37271.76,37271.76,35611.41,35611.41,0.5,17814.08
2019-07-01 04-PM,BTCILS,35013.52,37271.76,35013.52,37271.76,1.133,42075.27
2019-07-01 03-PM,BTCILS,36600,36600,35013.52,35013.52,2.115,75962.26
2019-07-01 02-PM,BTCILS,37456,37456,36600,36600,0.5602,20657.37
2019-07-01 01-PM,BTCILS,37000.01,37456,37000,37456,0.3701,13702.91
2019-07-01 12-PM,BTCILS,38552,38552,37000.01,37000.01,3.08,117490.7
2019-07-01 11-AM,BTCILS,38799,38799,38552,38552,0.2343,9054.23
2019-07-01 10-AM,BTCILS,38500,38799,38500,38799,0.002758,107.0
2019-07-01 09-AM,BTCILS,38225.01,38500,38225.01,38500,0.8477,32635.24
