Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2019-07-03,BTCILS,38050,40459.9,38050,39600,7.266,291029.34
2019-07-02,BTCILS,37598.44,38851.68,33300.01,38050,21.02,740491.64
2019-07-01,BTCILS,38100,39463.01,35013.52,37598.44,22.37,824160.47
2019-06-30,BTCILS,41600,41700,37500,38100,6.801,274733.26
2019-06-29,BTCILS,42000,42000,39151.38,41600,5.011,204095.63
2019-06-28,BTCILS,38961.05,42800,36666.82,42000,13.33,547472.21
2019-06-27,BTCILS,47050,47050,35300.01,38961.05,35.44,1399878.89
2019-06-26,BTCILS,40000,47496.85,39870.22,47050,55.72,2444542.76
2019-06-25,BTCILS,38000,40000,38000,40000,31.03,1222759.33
2019-06-24,BTCILS,38799.84,38799.84,36000.81,38000,14.89,558970.67
2019-06-23,BTCILS,36500,38849.74,36001.01,38799.84,13.95,518856.51
2019-06-22,BTCILS,33699.25,39944.84,32600.01,36500,44.89,1655249.73
2019-06-21,BTCILS,32400,33699.25,32322.05,33699.25,6.924,229697.61
2019-06-20,BTCILS,31270.01,32400,31080,32400,15.99,512091.31
2019-06-19,BTCILS,31810.16,32234.8,31079,31270.01,2.974,94572.4
2019-06-18,BTCILS,32101.77,32998.85,30000.01,31810.16,22.57,711137.53
2019-06-17,BTCILS,29400,33350,29400,32101.77,18.77,604051.13
2019-06-16,BTCILS,30700,32797.39,29400,29400,20.78,652407.71
2019-06-15,BTCILS,30255.55,30888,29401.77,30700,7.029,209959.41
2019-06-14,BTCILS,30000,30255.55,29300,30255.55,8.561,255149.09
2019-06-13,BTCILS,28929.02,30000,28473,30000,9.424,273043.67
2019-06-12,BTCILS,27413.13,28991.13,26962.23,28929.02,17.57,491058.63
2019-06-11,BTCILS,26876.86,27977.84,26502.92,27413.13,8.803,243384.29
2019-06-10,BTCILS,26800,28337.34,26200.16,26876.86,11.58,312760.4
2019-06-09,BTCILS,27600,27949.84,26300.88,26800,1.873,50898.44
2019-06-08,BTCILS,27999.99,27999.99,27600,27600,1.064,29482.09
2019-06-07,BTCILS,27271.93,28000,27271.93,27999.99,3.84,107331.77
2019-06-06,BTCILS,28258.03,28258.03,26300.87,27271.93,20.15,539016.85
2019-06-05,BTCILS,26600,28258.03,26431.46,28258.03,6.13,168320.37
2019-06-04,BTCILS,29428.17,29428.17,26400.01,26600,9.83,273784.03
2019-06-03,BTCILS,30090,30384.28,28650,29428.17,7.18,216044.83
2019-06-02,BTCILS,30580.54,31000,29900,30090,10.53,317063.16
2019-06-01,BTCILS,30368.15,30580.54,30368.15,30580.54,0.74,22583.86
2019-05-31,BTCILS,28800,30368.15,28414.66,30368.15,4.04,118581.02
2019-05-30,BTCILS,30100.01,31312.84,28800,28800,10.9,332726.56
2019-05-29,BTCILS,30905.14,30905.14,29750,30100.01,5.05,153260.26
2019-05-28,BTCILS,30979.48,30999.25,29702.44,30905.14,6.81,207343.46
2019-05-27,BTCILS,28200,31000,27200.82,30979.48,19.4,587802.56
2019-05-26,BTCILS,28799.84,29875,27304.16,28200,17.71,514104.64
2019-05-25,BTCILS,28030,28799.84,28030,28799.84,2.08,59187.93
2019-05-24,BTCILS,27846.5,28500,27675.51,28030,4.86,137337.14
2019-05-23,BTCILS,26400.15,28050.61,26000,27846.5,9.12,247139.19
2019-05-22,BTCILS,27450,28829.41,26400.15,26400.15,9.65,263343.06
2019-05-21,BTCILS,27900,28890,27000,27450,11.26,314821.4
2019-05-20,BTCILS,27900,27900,25619.66,27900,19.01,515979.0
2019-05-19,BTCILS,25541.99,28000,24500.15,27900,15.52,420701.17
2019-05-18,BTCILS,24950,25927.77,24615.68,25541.99,0.9413,23830.51
2019-05-17,BTCILS,26800,26800,23000,24950,10.38,253489.97
2019-05-16,BTCILS,28998.99,29000,23000,26800,19.74,537503.4
2019-05-15,BTCILS,27971.36,29000,27135.35,28998.99,12.33,350436.95
2019-05-14,BTCILS,26999,28997.84,26150.31,27971.36,18.26,513753.75
2019-05-13,BTCILS,24961.49,28000,23927.16,26999,22.89,599950.28
2019-05-12,BTCILS,24446,26871.88,23250.16,24961.49,19.4,480715.02
2019-05-11,BTCILS,21900,24446,21900,24446,9.21,216105.99
2019-05-10,BTCILS,21295,22501,21295,21900,17.49,384851.34
2019-05-09,BTCILS,20800,21295,20430,21295,10.16,212514.1
2019-05-08,BTCILS,20485.77,20887.84,20208.64,20800,3.29,67716.78
2019-05-07,BTCILS,20581.05,21082.42,20351.99,20351.99,8.24,169893.83
2019-05-06,BTCILS,20510.33,20609.98,19890,20581.05,9.32,189409.74
2019-05-05,BTCILS,20100,20571,19461.81,20510.33,8.27,167264.5
2019-05-04,BTCILS,20466,20550,17500,20100,28.78,547353.93
2019-05-03,BTCILS,19421.04,20712,19399.61,20466,6.75,135823.69
2019-05-02,BTCILS,19341,19800,19152.4,19421.04,8.57,168475.29
2019-05-01,BTCILS,19628.4,19741.18,18733.15,19341,3.4,66052.22
2019-04-30,BTCILS,18763.7,19628.4,18604.06,19628.4,9.55,180633.15
2019-04-29,BTCILS,18679,19398.48,18100,18763.7,6.53,122761.08
2019-04-28,BTCILS,18916.91,19399.78,18505,18679,12.83,241665.62
2019-04-27,BTCILS,18849.05,19309.98,18641.59,18916.91,6.08,114501.75
2019-04-26,BTCILS,18600,19455,18450.18,18849.05,18.79,354697.38
2019-04-25,BTCILS,19663.6,19831.61,18050.68,18600,10.82,207762.36
2019-04-24,BTCILS,19990,20000,19211.39,19663.6,10.35,203190.71
2019-04-23,BTCILS,19142,19990,19000.81,19990,15.1,296531.82
2019-04-22,BTCILS,18829.75,19150,18813.23,19142,4.28,80815.35
2019-04-21,BTCILS,18600,19123.23,18500.01,18829.75,5.08,94994.84
2019-04-20,BTCILS,18982,19004.21,18600,18600,1.25,23599.87
2019-04-19,BTCILS,18800,18989.78,18481.44,18982,13.28,248154.88
2019-04-18,BTCILS,18245,18800,18245,18800,7.07,132198.76
2019-04-17,BTCILS,18400,18730.78,17854.76,18245,5.75,105808.73
2019-04-16,BTCILS,17750.98,18400,17335.52,18400,29.2,519906.99
2019-04-15,BTCILS,18199,18237,17220.81,17750.98,8.41,147404.14
2019-04-14,BTCILS,18082.47,18199,17560,18199,15.82,280226.4
2019-04-13,BTCILS,17399.74,18198.22,17399.74,18082.47,2.82,49804.58
2019-04-12,BTCILS,17501,18170.27,17200,17399.74,12.25,217575.77
2019-04-11,BTCILS,17831.62,18499.84,17150,17501,17.19,304427.28
2019-04-10,BTCILS,18391.85,18767,17831.62,17831.62,16.8,309947.19
2019-04-09,BTCILS,18489.36,18499.84,17820.16,18391.85,8.38,151837.47
2019-04-08,BTCILS,18122,18498.39,17766.22,18489.36,20.28,370095.53
2019-04-07,BTCILS,17937.43,18199.99,17548.56,18122,7.89,141108.55
2019-04-06,BTCILS,18096.64,18649.84,17150.81,17937.43,17.6,311285.75
2019-04-05,BTCILS,17073.87,18247,17073.87,18096.64,4.28,76256.63
2019-04-04,BTCILS,17500,18584,16550,17073.87,15.77,276459.45
2019-04-03,BTCILS,17300,18500,16978.33,17500,9.8,175332.39
2019-04-02,BTCILS,15000,17999.85,14999.99,17300,23.02,383760.4
2019-04-01,BTCILS,14789,15600,14555.91,15000,15.29,229553.95
2019-03-31,BTCILS,14479.71,14996.64,14455.08,14789,6.36,93823.83
2019-03-30,BTCILS,14425,15000,14425,14479.71,12.85,189120.62
2019-03-29,BTCILS,14497.84,14892.03,14202.16,14425,7.8,113557.52
2019-03-28,BTCILS,14449.98,14497.84,14187.83,14497.84,10.89,157578.64
2019-03-27,BTCILS,14139.83,14449.98,14054.8,14449.98,7.99,113306.65
2019-03-26,BTCILS,14194.88,14199.84,13700,14139.83,4.55,64014.49
2019-03-25,BTCILS,14358.53,14358.53,13874.57,14194.88,13.23,186574.46
2019-03-24,BTCILS,14453.96,14454.43,13750.16,14358.53,15.84,220606.31
2019-03-23,BTCILS,14456.68,14456.85,13888.97,14453.96,3.81,54810.83
2019-03-22,BTCILS,14314.85,14463.84,13990,14456.68,3.9,56337.11
2019-03-21,BTCILS,14103.1,14497.85,13974.61,14314.85,4.99,71439.13
2019-03-20,BTCILS,14000.01,14497.84,13960.06,14103.1,12.96,183390.43
2019-03-19,BTCILS,14150,14200,14000,14000.01,6.13,86644.6
2019-03-18,BTCILS,13662.21,14199,13600.82,14150,6.05,85514.48
2019-03-17,BTCILS,14456.84,14456.84,13658.72,13662.21,8.85,124096.15
2019-03-16,BTCILS,13900,14480,13430,14456.84,22.16,310043.68
2019-03-15,BTCILS,13997.68,13999,13674.97,13900,7.72,107442.17
2019-03-14,BTCILS,13714,13997.68,13546.46,13997.68,7.35,100801.24
2019-03-13,BTCILS,13889.05,13998.84,13714,13714,6.27,87103.76
2019-03-12,BTCILS,14000,14000,13889.05,13889.05,6.38,89102.22
2019-03-11,BTCILS,14000,14400,13500.16,14000,23.45,326221.72
2019-03-10,BTCILS,14100,14500,13924.01,14000,25.45,358008.02
2019-03-09,BTCILS,13950,14500,13950,14100,2.14,30726.21
2019-03-08,BTCILS,14242.79,14399.01,13912.47,13950,5.04,71840.77
2019-03-07,BTCILS,13780.16,14303,13780.16,14242.79,6.6,93132.05
2019-03-06,BTCILS,14000,14262.22,13700.06,13780.16,5.84,82072.82
2019-03-05,BTCILS,13698.98,14047.74,13450,14000,5.3,73356.02
2019-03-04,BTCILS,13750,14185.11,13204.56,13698.98,7.96,108659.34
2019-03-03,BTCILS,14200.89,14200.89,13502.97,13750,7.78,107137.06
2019-03-02,BTCILS,14050,14359.68,13600.17,14200.89,1.85,25778.2
2019-03-01,BTCILS,14154.37,14331.99,13557.85,14050,6.95,96711.11
2019-02-28,BTCILS,13952.86,14214.68,13638.88,14154.37,8.78,122656.96
2019-02-27,BTCILS,14085.69,14210.42,13025.53,13952.86,8.97,123420.84
2019-02-26,BTCILS,13600.01,14131.3,13600,14085.69,6.72,93747.02
2019-02-25,BTCILS,13809.91,14069.58,13300,13600.01,10.59,144652.0
2019-02-24,BTCILS,14600,14900,13550,13809.91,14.94,212539.47
2019-02-23,BTCILS,14479,14811,13950.16,14600,5.93,85878.51
