Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume ILS
2019-07-03 10-AM,LTCILS,381,381,381,381,0.0,0.0
2019-07-03 09-AM,LTCILS,381,381,381,381,0.0,0.0
2019-07-03 08-AM,LTCILS,381,381,381,381,0.0,0.0
2019-07-03 07-AM,LTCILS,381,381,381,381,0.0,0.0
2019-07-03 06-AM,LTCILS,399.89,411.42,381,381,14.99,6069.14
2019-07-03 05-AM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-03 04-AM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-03 03-AM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-03 02-AM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-03 01-AM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-03 12-AM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-02 11-PM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-02 10-PM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-02 09-PM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-02 08-PM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-02 07-PM,LTCILS,399.89,399.89,399.89,399.89,0.0,0.0
2019-07-02 06-PM,LTCILS,416.56,418.93,399.89,399.89,4.557,1889.9
2019-07-02 05-PM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 04-PM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 03-PM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 02-PM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 01-PM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 12-PM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 11-AM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 10-AM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 09-AM,LTCILS,416.56,416.56,416.56,416.56,0.0,0.0
2019-07-02 08-AM,LTCILS,415.45,416.56,415.45,416.56,0.4771,198.74
2019-07-02 07-AM,LTCILS,474.89,474.89,386.34,415.45,5.478,2130.44
2019-07-02 06-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-02 05-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-02 04-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-02 03-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-02 02-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-02 01-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-02 12-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 11-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 10-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 09-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 08-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 07-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 06-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 05-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 04-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 03-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 02-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 01-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 12-PM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 11-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 10-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 09-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 08-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 07-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 06-AM,LTCILS,474.89,474.89,474.89,474.89,0.0,0.0
2019-07-01 05-AM,LTCILS,419.66,474.89,419.66,474.89,7.274,3331.95
2019-07-01 04-AM,LTCILS,396.1,419.66,396.1,419.66,0.4773,200.31
2019-07-01 03-AM,LTCILS,396.1,396.1,396.1,396.1,0.0,0.0
2019-07-01 02-AM,LTCILS,396.1,396.1,396.1,396.1,0.0,0.0
2019-07-01 01-AM,LTCILS,396.1,396.1,396.1,396.1,0.0,0.0
2019-07-01 12-AM,LTCILS,396.1,396.1,396.1,396.1,0.0,0.0
2019-06-30 11-PM,LTCILS,396.1,396.1,396.1,396.1,0.0,0.0
2019-06-30 10-PM,LTCILS,396.1,396.1,396.1,396.1,0.0,0.0
2019-06-30 09-PM,LTCILS,449,449,396.1,396.1,41.0,16835.01
2019-06-30 08-PM,LTCILS,449,449,449,449,0.0,0.0
2019-06-30 07-PM,LTCILS,449,449,449,449,0.0,0.0
2019-06-30 06-PM,LTCILS,449,449,449,449,0.0,0.0
2019-06-30 05-PM,LTCILS,449,449,449,449,0.0,0.0
2019-06-30 04-PM,LTCILS,449,449,449,449,7.045,3163.23
2019-06-30 03-PM,LTCILS,441.85,449,441.85,449,11.7,5251.04
2019-06-30 02-PM,LTCILS,441.85,441.85,441.85,441.85,0.0,0.0
2019-06-30 01-PM,LTCILS,441.85,441.85,441.85,441.85,0.0,0.0
2019-06-30 12-PM,LTCILS,441.85,441.85,441.85,441.85,0.0,0.0
2019-06-30 11-AM,LTCILS,441.85,441.85,441.85,441.85,0.0,0.0
2019-06-30 10-AM,LTCILS,479.62,479.62,441.85,441.85,4.053,1798.62
2019-06-30 09-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 08-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 07-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 06-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 05-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 04-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 03-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 02-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 01-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-30 12-AM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-29 11-PM,LTCILS,479.62,479.62,479.62,479.62,0.0,0.0
2019-06-29 10-PM,LTCILS,480.47,480.47,479.62,479.62,3.097,1485.15
2019-06-29 09-PM,LTCILS,480.47,480.47,480.47,480.47,0.0,0.0
2019-06-29 08-PM,LTCILS,480.47,480.47,480.47,480.47,0.0,0.0
2019-06-29 07-PM,LTCILS,455,480.47,455,480.47,1.578,758.0
2019-06-29 06-PM,LTCILS,455,455,455,455,0.0,0.0
2019-06-29 05-PM,LTCILS,454.99,455,454.99,455,8.999,4094.73
2019-06-29 04-PM,LTCILS,450.11,454.99,450.11,454.99,0.02393,10.89
2019-06-29 03-PM,LTCILS,450.11,450.11,450.11,450.11,0.0,0.0
2019-06-29 02-PM,LTCILS,450.11,450.11,450.11,450.11,0.0,0.0
2019-06-29 01-PM,LTCILS,436.66,450.11,436.66,450.11,2.2,990.1
2019-06-29 12-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 11-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 10-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 09-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 08-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 07-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 06-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 05-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 04-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 03-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 02-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 01-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-29 12-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 11-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 10-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 09-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 08-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 07-PM,LTCILS,436.66,436.66,436.66,436.66,9.704,4237.47
2019-06-28 06-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 05-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 04-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 03-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 02-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 01-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 12-PM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 11-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 10-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 09-AM,LTCILS,436.66,436.66,436.66,436.66,0.0,0.0
2019-06-28 08-AM,LTCILS,415.21,436.66,385,436.66,3.408,1429.09
2019-06-28 07-AM,LTCILS,454.53,454.53,415.21,415.21,2.342,972.48
2019-06-28 06-AM,LTCILS,384.01,454.53,384.01,454.53,35.34,15506.3
2019-06-28 05-AM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-28 04-AM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-28 03-AM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-28 02-AM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-28 01-AM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-28 12-AM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-27 11-PM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-27 10-PM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-27 09-PM,LTCILS,384.01,384.01,384.01,384.01,0.0,0.0
2019-06-27 08-PM,LTCILS,382.06,385,382.06,384.01,0.198,76.13
2019-06-27 07-PM,LTCILS,382.06,382.06,382.06,382.06,0.0,0.0
2019-06-27 06-PM,LTCILS,382.06,382.06,382.06,382.06,0.0,0.0
2019-06-27 05-PM,LTCILS,410,410,382.06,382.06,26.12,10086.21
2019-06-27 04-PM,LTCILS,391.24,410,391.24,410,9.9,4059.0
2019-06-27 03-PM,LTCILS,398,398,391.24,391.24,8.001,3130.39
2019-06-27 02-PM,LTCILS,398,398,398,398,0.0,0.0
2019-06-27 01-PM,LTCILS,398,398,398,398,0.0,0.0
2019-06-27 12-PM,LTCILS,398,398,398,398,0.0,0.0
2019-06-27 11-AM,LTCILS,398,398,398,398,0.0,0.0
2019-06-27 10-AM,LTCILS,398,398,398,398,0.0,0.0
2019-06-27 09-AM,LTCILS,410,410,398,398,2.131,848.02
2019-06-27 08-AM,LTCILS,410,410,410,410,0.0,0.0
2019-06-27 07-AM,LTCILS,410,410,410,410,0.0,0.0
2019-06-27 06-AM,LTCILS,432.15,440,410,410,34.16,14248.41
2019-06-27 05-AM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-27 04-AM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-27 03-AM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-27 02-AM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-27 01-AM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-27 12-AM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-26 11-PM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-26 10-PM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-26 09-PM,LTCILS,432.15,432.15,432.15,432.15,0.0,0.0
2019-06-26 08-PM,LTCILS,483.83,483.83,432.15,432.15,21.11,9435.06
2019-06-26 07-PM,LTCILS,483.83,483.83,483.83,483.83,0.0,0.0
2019-06-26 06-PM,LTCILS,452.02,483.83,452.02,483.83,0.02125,10.28
2019-06-26 05-PM,LTCILS,486.99,486.99,452.02,452.02,4.06,1894.94
2019-06-26 04-PM,LTCILS,480.69,486.99,480.69,486.99,8.001,3878.32
2019-06-26 03-PM,LTCILS,480.69,480.69,480.69,480.69,0.0,0.0
2019-06-26 02-PM,LTCILS,480.69,480.69,480.69,480.69,0.0,0.0
2019-06-26 01-PM,LTCILS,480.69,480.69,480.69,480.69,0.0,0.0
2019-06-26 12-PM,LTCILS,480.69,480.69,480.69,480.69,0.0,0.0
2019-06-26 11-AM,LTCILS,463,480.69,463,480.69,8.239,3960.4
2019-06-26 10-AM,LTCILS,463,463,463,463,0.0,0.0
2019-06-26 09-AM,LTCILS,463,463,463,463,0.0,0.0
2019-06-26 08-AM,LTCILS,494.61,494.61,463,463,9.017,4176.22
2019-06-26 07-AM,LTCILS,494.61,494.61,494.61,494.61,0.0,0.0
2019-06-26 06-AM,LTCILS,494.61,494.61,494.61,494.61,0.0,0.0
2019-06-26 05-AM,LTCILS,459.98,494.61,459.98,494.61,0.02092,10.34
2019-06-26 04-AM,LTCILS,459.98,459.98,459.98,459.98,0.0,0.0
2019-06-26 03-AM,LTCILS,499.89,499.89,459.98,459.98,2.042,939.33
2019-06-26 02-AM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-26 01-AM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-26 12-AM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-25 11-PM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-25 10-PM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-25 09-PM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-25 08-PM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-25 07-PM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-25 06-PM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-25 05-PM,LTCILS,473.94,499.89,470,499.89,58.91,27726.34
2019-06-25 04-PM,LTCILS,473.94,473.94,473.94,473.94,0.0,0.0
2019-06-25 03-PM,LTCILS,465,473.94,465,473.94,1.045,495.05
2019-06-25 02-PM,LTCILS,465,465,465,465,0.0,0.0
2019-06-25 01-PM,LTCILS,465,465,465,465,0.0,0.0
2019-06-25 12-PM,LTCILS,480,480,465,465,7.88,3664.42
2019-06-25 11-AM,LTCILS,480,480,480,480,0.0,0.0
2019-06-25 10-AM,LTCILS,484.48,484.48,480,480,1.0,480.0
2019-06-25 09-AM,LTCILS,482.42,484.48,482.42,484.48,0.02165,10.49
2019-06-25 08-AM,LTCILS,482.42,482.42,482.42,482.42,0.0,0.0
2019-06-25 07-AM,LTCILS,478.57,482.42,478.57,482.42,1.41,679.87
2019-06-25 06-AM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-25 05-AM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-25 04-AM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-25 03-AM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-25 02-AM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-25 01-AM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-25 12-AM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-24 11-PM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-24 10-PM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-24 09-PM,LTCILS,478.57,478.57,478.57,478.57,0.0,0.0
2019-06-24 08-PM,LTCILS,465.03,478.57,465.03,478.57,0.05,23.93
2019-06-24 07-PM,LTCILS,465.03,465.03,465.03,465.03,0.0,0.0
2019-06-24 06-PM,LTCILS,465.03,465.03,465.03,465.03,0.0,0.0
2019-06-24 05-PM,LTCILS,481.42,481.42,465.03,465.03,1.358,631.31
2019-06-24 04-PM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 03-PM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 02-PM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 01-PM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 12-PM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 11-AM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 10-AM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 09-AM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 08-AM,LTCILS,481.42,481.42,481.42,481.42,0.0,0.0
2019-06-24 07-AM,LTCILS,478.5,481.42,478.5,481.42,6.518,3137.99
2019-06-24 06-AM,LTCILS,478.5,478.5,478.5,478.5,0.0,0.0
2019-06-24 05-AM,LTCILS,465,478.5,465,478.5,14.13,6763.0
2019-06-24 04-AM,LTCILS,465,465,465,465,0.0,0.0
2019-06-24 03-AM,LTCILS,465,465,465,465,0.0,0.0
2019-06-24 02-AM,LTCILS,465,465,465,465,0.0,0.0
2019-06-24 01-AM,LTCILS,465,465,465,465,0.0,0.0
2019-06-24 12-AM,LTCILS,465,465,465,465,0.0,0.0
2019-06-23 11-PM,LTCILS,465,465,465,465,0.0,0.0
2019-06-23 10-PM,LTCILS,478.5,478.5,465,465,7.263,3391.56
2019-06-23 09-PM,LTCILS,478.7,478.7,478.5,478.5,0.7,334.95
2019-06-23 08-PM,LTCILS,455.55,478.7,455.55,478.7,3.853,1844.37
2019-06-23 07-PM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 06-PM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 05-PM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 04-PM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 03-PM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 02-PM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 01-PM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 12-PM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 11-AM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 10-AM,LTCILS,455.55,455.55,455.55,455.55,0.0,0.0
2019-06-23 09-AM,LTCILS,506,506,455.55,455.55,10.0,4572.33
2019-06-23 08-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-23 07-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-23 06-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-23 05-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-23 04-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-23 03-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-23 02-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-23 01-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-23 12-AM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 11-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 10-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 09-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 08-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 07-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 06-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 05-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 04-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 03-PM,LTCILS,506,506,506,506,0.0,0.0
2019-06-22 02-PM,LTCILS,475,506,475,506,20.29,10151.6
2019-06-22 01-PM,LTCILS,475,475,475,475,0.0,0.0
2019-06-22 12-PM,LTCILS,498.49,498.49,474.76,475,6.018,2857.7
2019-06-22 11-AM,LTCILS,498.49,498.49,498.49,498.49,0.0,0.0
2019-06-22 10-AM,LTCILS,498.49,498.49,498.49,498.49,0.0,0.0
2019-06-22 09-AM,LTCILS,426.01,498.49,426.01,498.49,0.9931,495.05
2019-06-22 08-AM,LTCILS,499.89,499.89,426.01,426.01,16.15,7381.83
2019-06-22 07-AM,LTCILS,499.89,499.89,499.89,499.89,0.0,0.0
2019-06-22 06-AM,LTCILS,475,499.89,475,499.89,3.0,1499.21
2019-06-22 05-AM,LTCILS,475,475,475,475,0.0,0.0
2019-06-22 04-AM,LTCILS,497.91,497.91,475,475,0.2871,137.38
2019-06-22 03-AM,LTCILS,497.91,497.91,497.91,497.91,0.0,0.0
