Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume ILS
2019-07-03,LTCILS,399.89,411.42,381,381,14.99,6069.14
2019-07-02,LTCILS,474.89,474.89,386.34,399.89,10.51,4219.08
2019-07-01,LTCILS,396.1,474.89,396.1,474.89,7.751,3532.26
2019-06-30,LTCILS,479.62,479.62,396.1,396.1,63.79,27047.9
2019-06-29,LTCILS,436.66,480.47,436.66,479.62,15.9,7338.86
2019-06-28,LTCILS,384.01,454.53,384.01,436.66,50.8,22145.35
2019-06-27,LTCILS,432.15,440,382.06,384.01,80.51,32448.16
2019-06-26,LTCILS,499.89,499.89,432.15,432.15,52.51,24304.88
2019-06-25,LTCILS,478.57,499.89,465,499.89,70.26,33056.17
2019-06-24,LTCILS,465,481.42,465,478.57,22.06,10556.23
2019-06-23,LTCILS,506,506,455.55,465,21.82,10143.22
2019-06-22,LTCILS,497.91,506,426.01,506,46.74,22522.77
2019-06-21,LTCILS,465.55,498.02,465.55,497.91,8.541,4193.76
2019-06-20,LTCILS,500,500,465.55,465.55,49.21,23441.39
2019-06-19,LTCILS,454.05,500,454.05,500,16.9,8402.74
2019-06-18,LTCILS,486.25,486.25,454.05,454.05,24.94,11888.46
2019-06-17,LTCILS,466.77,486.25,466.77,486.25,15.27,7425.74
2019-06-16,LTCILS,466.77,485,466.77,466.77,8.563,4058.3
2019-06-15,LTCILS,472.35,472.35,466.77,466.77,0.05,23.34
2019-06-14,LTCILS,471.77,472.35,454.94,472.35,0.5362,251.2
2019-06-13,LTCILS,475.05,498,471.77,471.77,6.898,3338.09
2019-06-12,LTCILS,453.39,500,453.39,475.05,31.6,15252.09
2019-06-11,LTCILS,445,457,429.51,453.39,52.91,23662.4
2019-06-10,LTCILS,404,445,404,445,39.39,16739.64
2019-06-09,LTCILS,410,410,395.27,404,95.93,38938.12
2019-06-08,LTCILS,410,410,410,410,0.0,0.0
2019-06-07,LTCILS,380,410,345.11,410,24.75,10126.65
2019-06-06,LTCILS,350.71,380,350.71,380,1.18,420.06
2019-06-05,LTCILS,360,367.93,350.71,350.71,2.62,938.55
2019-06-04,LTCILS,375.01,409.9,360,360,49.12,17966.53
2019-06-03,LTCILS,395,399.71,375.01,375.01,14.46,5560.7
2019-06-02,LTCILS,371.18,395,371.18,395,0.15,59.25
2019-06-01,LTCILS,421.11,421.11,371.18,371.18,9.07,3370.09
2019-05-31,LTCILS,380.49,421.11,375,421.11,15.25,5856.0
2019-05-30,LTCILS,400,418,380.49,380.49,48.42,19201.45
2019-05-29,LTCILS,415.2,415.2,400,400,0.099,39.6
2019-05-28,LTCILS,410,415.2,410,415.2,3.58,1485.15
2019-05-27,LTCILS,384,410,382,410,59.52,24270.39
2019-05-26,LTCILS,317.75,384,317.75,384,14.3,5473.88
2019-05-25,LTCILS,374.89,374.89,317.75,317.75,56.42,20185.82
2019-05-24,LTCILS,311,374.89,311,374.89,22.77,7898.9
2019-05-23,LTCILS,331,331,300.01,311,1.07,323.04
2019-05-22,LTCILS,306.48,331,306.48,331,4.68,1535.06
2019-05-21,LTCILS,320,320,306.48,306.48,13.27,4065.72
2019-05-20,LTCILS,312.85,329.98,312.85,320,10.63,3415.72
2019-05-19,LTCILS,310,312.85,303,312.85,10.95,3337.89
2019-05-18,LTCILS,300,310,300,310,0.1119,34.7
2019-05-17,LTCILS,359.87,359.87,300,300,37.52,11716.86
2019-05-16,LTCILS,360,383.77,344.43,359.87,45.68,16975.34
2019-05-15,LTCILS,304.21,365,304.21,360,71.99,25033.14
2019-05-14,LTCILS,310,344.89,304.21,304.21,38.72,12252.78
2019-05-13,LTCILS,288.02,327.89,283.2,310,39.98,12808.45
2019-05-12,LTCILS,324,324,288.02,288.02,2.74,818.81
2019-05-11,LTCILS,270,324,270,324,55.29,17130.52
2019-05-10,LTCILS,255.45,310,255.45,270,54.57,14772.07
2019-05-09,LTCILS,263,263,255.45,255.45,0.29,74.08
