Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2019-07-03 10-AM,BCHUSD,410.8,412.24,410.8,412.24,1.41,581.14
2019-07-03 09-AM,BCHUSD,410.8,410.8,410.8,410.8,0.0,0.0
2019-07-03 08-AM,BCHUSD,410.8,410.8,410.8,410.8,0.0,0.0
2019-07-03 07-AM,BCHUSD,410.8,410.8,410.8,410.8,0.0,0.0
2019-07-03 06-AM,BCHUSD,410.8,410.8,410.8,410.8,0.0,0.0
2019-07-03 05-AM,BCHUSD,401.92,410.8,401.92,410.8,0.08948,36.76
2019-07-03 04-AM,BCHUSD,401.92,401.92,401.92,401.92,0.0,0.0
2019-07-03 03-AM,BCHUSD,401.92,401.92,401.92,401.92,0.0,0.0
2019-07-03 02-AM,BCHUSD,401.92,401.92,401.92,401.92,0.0,0.0
2019-07-03 01-AM,BCHUSD,401.92,401.92,401.92,401.92,0.0,0.0
2019-07-03 12-AM,BCHUSD,401.92,401.92,401.92,401.92,0.0,0.0
2019-07-02 11-PM,BCHUSD,401.92,401.92,401.92,401.92,0.0,0.0
2019-07-02 10-PM,BCHUSD,401.92,401.92,401.92,401.92,0.0,0.0
2019-07-02 09-PM,BCHUSD,401.92,401.92,401.92,401.92,0.0,0.0
2019-07-02 08-PM,BCHUSD,402.81,402.81,401.92,401.92,0.021,8.442
2019-07-02 07-PM,BCHUSD,399.2,402.81,399.2,402.81,0.02212,8.91
2019-07-02 06-PM,BCHUSD,399.2,399.2,399.2,399.2,0.0,0.0
2019-07-02 05-PM,BCHUSD,399.2,399.2,399.2,399.2,0.0,0.0
2019-07-02 04-PM,BCHUSD,395,399.2,395,399.2,1.002,399.88
2019-07-02 03-PM,BCHUSD,395,395,395,395,0.0,0.0
2019-07-02 02-PM,BCHUSD,392.3,395,392.3,395,1.638,646.83
2019-07-02 01-PM,BCHUSD,392.3,392.3,392.3,392.3,0.0,0.0
2019-07-02 12-PM,BCHUSD,392.3,392.3,392.3,392.3,0.0,0.0
2019-07-02 11-AM,BCHUSD,420.56,420.56,382.1,392.3,0.05236,20.23
2019-07-02 10-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 09-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 08-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 07-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 06-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 05-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 04-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 03-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 02-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 01-AM,BCHUSD,420.56,420.56,420.56,420.56,0.0,0.0
2019-07-02 12-AM,BCHUSD,408.03,420.56,408.03,420.56,0.4996,209.97
2019-07-01 11-PM,BCHUSD,408.03,408.03,408.03,408.03,0.0,0.0
2019-07-01 10-PM,BCHUSD,408.03,408.03,408.03,408.03,0.0,0.0
2019-07-01 09-PM,BCHUSD,395.25,408.03,395.25,408.03,1.623,661.91
2019-07-01 08-PM,BCHUSD,395.25,395.25,395.25,395.25,0.0,0.0
2019-07-01 07-PM,BCHUSD,395.25,395.25,395.25,395.25,0.0,0.0
2019-07-01 06-PM,BCHUSD,395.25,395.25,395.25,395.25,0.0,0.0
2019-07-01 05-PM,BCHUSD,395.25,395.25,395.25,395.25,0.0,0.0
2019-07-01 04-PM,BCHUSD,390,402.07,390,395.25,13.6,5399.08
2019-07-01 03-PM,BCHUSD,390.58,390.58,390,390,0.1615,62.98
2019-07-01 02-PM,BCHUSD,391.77,401.79,390.58,390.58,14.86,5930.7
2019-07-01 01-PM,BCHUSD,391.77,391.77,391.77,391.77,0.0,0.0
2019-07-01 12-PM,BCHUSD,404.71,407.15,391.77,391.77,8.556,3404.87
2019-07-01 11-AM,BCHUSD,404.71,404.71,404.71,404.71,0.0,0.0
2019-07-01 10-AM,BCHUSD,404.71,404.71,404.71,404.71,0.0,0.0
2019-07-01 09-AM,BCHUSD,404.71,404.71,404.71,404.71,0.0,0.0
2019-07-01 08-AM,BCHUSD,404.71,404.71,404.71,404.71,0.0,0.0
2019-07-01 07-AM,BCHUSD,401,404.71,401,404.71,0.3247,131.4
2019-07-01 06-AM,BCHUSD,401,401,401,401,0.0,0.0
2019-07-01 05-AM,BCHUSD,401,401,401,401,0.0,0.0
2019-07-01 04-AM,BCHUSD,401,401,401,401,0.0,0.0
2019-07-01 03-AM,BCHUSD,401,401,401,401,0.0,0.0
2019-07-01 02-AM,BCHUSD,401,401,401,401,0.0,0.0
2019-07-01 01-AM,BCHUSD,401,401,401,401,0.0,0.0
2019-07-01 12-AM,BCHUSD,401,401,401,401,0.0,0.0
2019-06-30 11-PM,BCHUSD,411,411,401,401,5.1,2063.35
2019-06-30 10-PM,BCHUSD,411,411,411,411,0.0,0.0
2019-06-30 09-PM,BCHUSD,411,411,411,411,0.0,0.0
2019-06-30 08-PM,BCHUSD,411,411,411,411,0.0,0.0
2019-06-30 07-PM,BCHUSD,411,411,411,411,0.0,0.0
2019-06-30 06-PM,BCHUSD,411,411,411,411,0.0,0.0
2019-06-30 05-PM,BCHUSD,411,411,411,411,0.0,0.0
2019-06-30 04-PM,BCHUSD,411,411,411,411,0.0,0.0
2019-06-30 03-PM,BCHUSD,411,411,411,411,0.0,0.0
2019-06-30 02-PM,BCHUSD,416.54,416.54,411,411,0.1,41.1
2019-06-30 01-PM,BCHUSD,416.54,416.54,416.54,416.54,0.0,0.0
2019-06-30 12-PM,BCHUSD,416.54,416.54,416.54,416.54,0.0,0.0
2019-06-30 11-AM,BCHUSD,416.54,416.54,416.54,416.54,0.0,0.0
2019-06-30 10-AM,BCHUSD,416.54,416.54,416.54,416.54,0.0,0.0
2019-06-30 09-AM,BCHUSD,416.54,416.54,416.54,416.54,0.0,0.0
2019-06-30 08-AM,BCHUSD,418.43,418.43,416.54,416.54,0.01302,5.425
2019-06-30 07-AM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-30 06-AM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-30 05-AM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-30 04-AM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-30 03-AM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-30 02-AM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-30 01-AM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-30 12-AM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-29 11-PM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-29 10-PM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-29 09-PM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-29 08-PM,BCHUSD,418.43,418.43,418.43,418.43,0.0,0.0
2019-06-29 07-PM,BCHUSD,436.39,436.39,418.43,418.43,0.05737,24.01
2019-06-29 06-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 05-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 04-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 03-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 02-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 01-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 12-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 11-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 10-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 09-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 08-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 07-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 06-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 05-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 04-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 03-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 02-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 01-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-29 12-AM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-28 11-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-28 10-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-28 09-PM,BCHUSD,436.39,436.39,436.39,436.39,0.0,0.0
2019-06-28 08-PM,BCHUSD,435.59,436.39,435.59,436.39,0.4113,179.47
2019-06-28 07-PM,BCHUSD,419.09,435.59,419.09,435.59,15.59,6761.06
2019-06-28 06-PM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 05-PM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 04-PM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 03-PM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 02-PM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 01-PM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 12-PM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 11-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 10-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 09-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 08-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 07-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 06-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 05-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 04-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 03-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 02-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 01-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-28 12-AM,BCHUSD,419.09,419.09,419.09,419.09,0.0,0.0
2019-06-27 11-PM,BCHUSD,368,419.09,368,419.09,0.1738,72.83
2019-06-27 10-PM,BCHUSD,368,368,368,368,0.0,0.0
2019-06-27 09-PM,BCHUSD,368,368,368,368,0.0,0.0
2019-06-27 08-PM,BCHUSD,368,368,368,368,0.0,0.0
2019-06-27 07-PM,BCHUSD,368,368,368,368,0.0,0.0
2019-06-27 06-PM,BCHUSD,368,368,368,368,0.0,0.0
2019-06-27 05-PM,BCHUSD,397.53,397.53,368,368,3.713,1429.84
2019-06-27 04-PM,BCHUSD,420,420,395.87,397.53,5.839,2325.14
2019-06-27 03-PM,BCHUSD,419.83,424.64,419.83,420,2.361,995.04
2019-06-27 02-PM,BCHUSD,420.05,420.05,415.06,419.83,2.078,868.47
2019-06-27 01-PM,BCHUSD,420.66,420.66,417.71,420.05,3.27,1366.65
2019-06-27 12-PM,BCHUSD,439.35,439.35,420.66,420.66,0.03149,13.25
2019-06-27 11-AM,BCHUSD,417,439.35,417,439.35,6.02,2637.9
2019-06-27 10-AM,BCHUSD,417,417,417,417,0.0,0.0
2019-06-27 09-AM,BCHUSD,438,438,406,417,4.555,1875.82
2019-06-27 08-AM,BCHUSD,479.36,479.36,438,438,1.766,776.08
2019-06-27 07-AM,BCHUSD,479.36,479.36,479.36,479.36,0.0,0.0
2019-06-27 06-AM,BCHUSD,479.36,479.36,479.36,479.36,0.0,0.0
2019-06-27 05-AM,BCHUSD,479.36,479.36,479.36,479.36,0.0,0.0
2019-06-27 04-AM,BCHUSD,475.16,479.36,475.16,479.36,3.193,1530.45
2019-06-27 03-AM,BCHUSD,475.16,475.16,475.16,475.16,0.0,0.0
2019-06-27 02-AM,BCHUSD,475.16,475.16,475.16,475.16,0.0,0.0
2019-06-27 01-AM,BCHUSD,486.68,486.68,475.16,475.16,5.196,2469.59
2019-06-27 12-AM,BCHUSD,485.11,486.68,483.72,486.68,0.9405,455.2
2019-06-26 11-PM,BCHUSD,473.39,485.11,473.39,485.11,5.061,2454.62
2019-06-26 10-PM,BCHUSD,470,473.39,470,473.39,0.1435,67.93
2019-06-26 09-PM,BCHUSD,470,470,470,470,0.0,0.0
2019-06-26 08-PM,BCHUSD,504.62,512.96,470,470,2.425,1236.84
2019-06-26 07-PM,BCHUSD,510.15,510.15,504.51,504.62,16.02,8088.86
2019-06-26 06-PM,BCHUSD,510.15,510.15,510.15,510.15,0.0,0.0
2019-06-26 05-PM,BCHUSD,510.15,510.15,510.15,510.15,0.0,0.0
2019-06-26 04-PM,BCHUSD,510.15,510.15,510.15,510.15,0.1,51.02
2019-06-26 03-PM,BCHUSD,505,720,502.17,510.15,1.564,896.85
2019-06-26 02-PM,BCHUSD,510.45,510.45,505,505,5.1,2576.9
2019-06-26 01-PM,BCHUSD,510.45,510.45,510.45,510.45,0.0,0.0
2019-06-26 12-PM,BCHUSD,502.61,510.45,502.61,510.45,0.6111,311.57
2019-06-26 11-AM,BCHUSD,497.41,502.61,497.41,502.61,6.064,3042.51
2019-06-26 10-AM,BCHUSD,493.2,497.41,490.44,497.41,0.08082,40.1
2019-06-26 09-AM,BCHUSD,484,500,484,493.2,6.342,3132.61
2019-06-26 08-AM,BCHUSD,485.57,485.57,484,484,4.128,1998.19
2019-06-26 07-AM,BCHUSD,485.57,485.57,485.57,485.57,0.0,0.0
2019-06-26 06-AM,BCHUSD,482.67,485.57,482.67,485.57,0.08176,39.63
2019-06-26 05-AM,BCHUSD,488.65,491.6,481.69,482.67,10.85,5278.95
2019-06-26 04-AM,BCHUSD,486.64,488.65,486.64,488.65,0.01099,5.37
2019-06-26 03-AM,BCHUSD,475.09,486.64,475.09,486.64,2.258,1098.96
2019-06-26 02-AM,BCHUSD,475.09,475.09,475.09,475.09,0.0,0.0
2019-06-26 01-AM,BCHUSD,475.09,475.09,475.09,475.09,0.0,0.0
2019-06-26 12-AM,BCHUSD,475.09,475.09,475.09,475.09,0.0,0.0
2019-06-25 11-PM,BCHUSD,475.09,475.09,475.09,475.09,0.0,0.0
2019-06-25 10-PM,BCHUSD,469.44,475.09,469.44,475.09,0.02048,9.73
2019-06-25 09-PM,BCHUSD,469.44,469.44,469.44,469.44,0.0,0.0
2019-06-25 08-PM,BCHUSD,469.44,469.44,469.44,469.44,0.0,0.0
2019-06-25 07-PM,BCHUSD,469.54,469.54,469.44,469.44,0.05,23.47
2019-06-25 06-PM,BCHUSD,469.54,469.54,469.54,469.54,0.0,0.0
2019-06-25 05-PM,BCHUSD,469.54,469.54,467.51,469.54,0.1958,91.59
2019-06-25 04-PM,BCHUSD,469.54,469.54,469.54,469.54,0.0,0.0
2019-06-25 03-PM,BCHUSD,469.54,469.54,469.54,469.54,0.0,0.0
2019-06-25 02-PM,BCHUSD,465.03,469.54,465.03,469.54,0.1869,87.77
2019-06-25 01-PM,BCHUSD,465.03,465.03,465.03,465.03,0.0,0.0
2019-06-25 12-PM,BCHUSD,471,471,465.03,465.03,5.0,2325.15
2019-06-25 11-AM,BCHUSD,478.43,478.43,471,471,10.0,4723.4
2019-06-25 10-AM,BCHUSD,472.5,478.89,472.5,478.43,0.58,277.71
2019-06-25 09-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 08-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 07-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 06-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 05-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 04-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 03-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 02-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 01-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-25 12-AM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-24 11-PM,BCHUSD,472.5,472.5,472.5,472.5,0.0,0.0
2019-06-24 10-PM,BCHUSD,471.92,472.5,471.92,472.5,0.02991,14.13
2019-06-24 09-PM,BCHUSD,471.92,471.92,471.92,471.92,0.0,0.0
2019-06-24 08-PM,BCHUSD,471.92,471.92,471.92,471.92,0.0,0.0
2019-06-24 07-PM,BCHUSD,471.92,471.92,471.92,471.92,0.0,0.0
2019-06-24 06-PM,BCHUSD,471.92,471.92,471.92,471.92,0.0,0.0
2019-06-24 05-PM,BCHUSD,471.92,471.92,471.92,471.92,0.0,0.0
2019-06-24 04-PM,BCHUSD,471.92,471.92,471.92,471.92,0.0,0.0
2019-06-24 03-PM,BCHUSD,471.92,471.92,471.92,471.92,0.0,0.0
2019-06-24 02-PM,BCHUSD,473.04,473.04,471.92,471.92,0.2809,132.56
2019-06-24 01-PM,BCHUSD,473.04,473.04,473.04,473.04,0.0,0.0
2019-06-24 12-PM,BCHUSD,473.04,473.04,473.04,473.04,0.0,0.0
2019-06-24 11-AM,BCHUSD,473.04,473.04,473.04,473.04,0.0,0.0
2019-06-24 10-AM,BCHUSD,473.04,473.04,473.04,473.04,0.0,0.0
2019-06-24 09-AM,BCHUSD,473.04,473.04,473.04,473.04,0.0,0.0
2019-06-24 08-AM,BCHUSD,462.91,473.04,462.91,473.04,0.9844,465.67
2019-06-24 07-AM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-24 06-AM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-24 05-AM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-24 04-AM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-24 03-AM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-24 02-AM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-24 01-AM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-24 12-AM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-23 11-PM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-23 10-PM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-23 09-PM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-23 08-PM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-23 07-PM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
2019-06-23 06-PM,BCHUSD,462.91,462.91,462.91,462.91,0.0,0.0
