Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-07-03 10-AM,BTCEUR,9899.65,10119.4,9899.65,10096.21,0.0818,826.08
2019-07-03 09-AM,BTCEUR,9840.39,9899.65,9840.39,9899.65,0.4833,4760.43
2019-07-03 08-AM,BTCEUR,10050,10077.3,9840.39,9840.39,1.854,18559.52
2019-07-03 07-AM,BTCEUR,10203.47,10203.47,10050,10050,0.7506,7570.57
2019-07-03 06-AM,BTCEUR,10246.85,10246.85,10149.64,10203.47,3.132,31899.23
2019-07-03 05-AM,BTCEUR,10019.83,10296.05,10009.52,10246.85,5.107,51701.86
2019-07-03 04-AM,BTCEUR,10061.71,10146.87,10019.83,10019.83,1.351,13613.95
2019-07-03 03-AM,BTCEUR,9990,10061.96,9932.99,10061.71,3.076,30946.72
2019-07-03 02-AM,BTCEUR,10120,10120,9990,9990,0.01586,158.73
2019-07-03 01-AM,BTCEUR,9942,10120,9942,10120,0.3764,3786.39
2019-07-03 12-AM,BTCEUR,9656.65,9942,9656.65,9942,2.721,26828.44
2019-07-02 11-PM,BTCEUR,9666.3,9666.3,9535.65,9656.65,0.117,1128.36
2019-07-02 10-PM,BTCEUR,9522.12,9666.3,9520.3,9666.3,2.002,19346.17
2019-07-02 09-PM,BTCEUR,9573.84,9573.84,9472.51,9522.12,7.363,70027.24
2019-07-02 08-PM,BTCEUR,9600,9650.81,9573.84,9573.84,0.1611,1548.99
2019-07-02 07-PM,BTCEUR,9412.4,9691.8,9412.4,9600,0.7398,7123.15
2019-07-02 06-PM,BTCEUR,9489.34,9513.16,9412.4,9412.4,1.434,13573.71
2019-07-02 05-PM,BTCEUR,9261.26,9489.34,9261.26,9489.34,0.1981,1873.37
2019-07-02 04-PM,BTCEUR,9296.53,9389.54,9232.52,9261.26,2.541,23801.56
2019-07-02 03-PM,BTCEUR,9267.42,9300,9240.58,9296.53,1.043,9669.14
2019-07-02 02-PM,BTCEUR,8992.3,9300,8811.57,9267.42,6.265,57520.51
2019-07-02 01-PM,BTCEUR,8909.34,9084,8907.91,8992.3,5.057,45523.34
