Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-07-03,BTCUSD,10800,11500,10800,11346.73,8.014,90677.99
2019-07-02,BTCUSD,10505.56,10940.52,9732.65,10800,12.71,133799.74
2019-07-01,BTCUSD,10914,11116.9,10000,10505.56,47.44,502709.26
2019-06-30,BTCUSD,12117.57,12292.94,10879,10914,1.426,16060.63
2019-06-29,BTCUSD,12421.96,12421.96,11503.68,12117.57,0.6886,8193.12
2019-06-28,BTCUSD,11019.99,12421.96,10781.39,12421.96,30.44,357998.32
2019-06-27,BTCUSD,12959,13260.34,10400,11019.99,64.98,773763.05
2019-06-26,BTCUSD,11650,13928.95,11005,12959,17.56,228977.81
2019-06-25,BTCUSD,10914.99,11650,10914.99,11650,21.16,238163.06
2019-06-24,BTCUSD,10774.51,11139.83,10500.02,10914.99,2.358,25765.95
2019-06-23,BTCUSD,10961,11345.54,10499,10774.51,3.195,34672.55
2019-06-22,BTCUSD,10077,11349.99,10077,10961,4.973,53692.16
2019-06-21,BTCUSD,9563.97,10077,9563.97,10077,2.013,19802.8
2019-06-20,BTCUSD,9288.49,9604.5,9172.73,9563.97,7.706,72491.42
2019-06-19,BTCUSD,9041.89,9355.4,9000,9288.49,7.719,70607.46
2019-06-18,BTCUSD,9228.98,9268,8777.07,9041.89,5.847,53560.0
2019-06-17,BTCUSD,9067.53,9340,8679.13,9228.98,6.449,59527.19
2019-06-16,BTCUSD,8691.3,9200,8676.9,9067.53,24.76,223635.56
2019-06-15,BTCUSD,8580,8820,8468.23,8691.3,0.4734,4125.97
2019-06-14,BTCUSD,8264.7,8580,8203.22,8580,3.941,32932.71
2019-06-13,BTCUSD,8150.18,8315,8110.45,8264.7,1.363,11147.94
2019-06-12,BTCUSD,7927.16,8200,7861.09,8150.18,5.255,41909.04
2019-06-11,BTCUSD,7961.52,7972.93,7742.6,7927.16,3.799,29938.61
2019-06-10,BTCUSD,7898.09,8085.2,7557.42,7961.52,4.846,37898.1
2019-06-09,BTCUSD,8034.91,8061.5,7655.26,7898.09,2.468,19735.12
2019-06-08,BTCUSD,8193,8193,7710.82,8034.91,0.2025,1611.89
2019-06-07,BTCUSD,7798.25,8193,7798.25,8193,6.05,48348.14
2019-06-06,BTCUSD,7729.32,7908.4,7477.66,7798.25,8.66,66928.09
2019-06-05,BTCUSD,7658.38,7916.88,7658.38,7729.32,2.92,22808.32
2019-06-04,BTCUSD,8135.51,8722.2,7500,7658.38,9.63,74758.73
2019-06-03,BTCUSD,8651.66,8706.59,8132.01,8135.51,6.16,51439.97
2019-06-02,BTCUSD,8522.98,8799.99,8522.98,8651.66,0.4133,3604.1
2019-06-01,BTCUSD,8722.64,8722.64,8502.61,8522.98,0.5217,4494.95
2019-05-31,BTCUSD,8307.99,8799,8207.16,8722.64,8.27,69007.1
2019-05-30,BTCUSD,8672.12,9048.1,8023,8307.99,14.33,122096.17
2019-05-29,BTCUSD,8720.68,8825.36,8490.1,8672.12,3.53,30681.04
2019-05-28,BTCUSD,8800,8800,8597.7,8720.68,8.4,72977.09
2019-05-27,BTCUSD,8753.64,8915.17,8612.85,8800,2.61,22883.18
2019-05-26,BTCUSD,8109.29,8753.64,7950,8753.64,13.12,113387.1
2019-05-25,BTCUSD,8000.28,8138.61,7912.91,8109.29,0.5369,4323.23
2019-05-24,BTCUSD,7900.57,8170.14,7845.96,8000.28,1.81,14565.26
2019-05-23,BTCUSD,7656.8,7932.87,7500,7900.57,5.92,45728.86
2019-05-22,BTCUSD,8002.49,8040.46,7520.25,7656.8,12.72,99178.06
2019-05-21,BTCUSD,7941.3,8080.7,7857.7,8002.49,3.05,24352.29
2019-05-20,BTCUSD,8227.81,8227.81,7703.71,7941.3,11.72,92323.21
2019-05-19,BTCUSD,7300,8500,7252.68,8227.81,6.44,50788.44
2019-05-18,BTCUSD,7299.9,7597.15,7196.9,7300,1.66,12209.22
2019-05-17,BTCUSD,7879.04,7919.7,6842.45,7299.9,20.76,149586.05
2019-05-16,BTCUSD,8168.82,8345.52,7693.39,7879.04,8.89,70379.76
2019-05-15,BTCUSD,7950.74,8300,7800.01,8168.82,29.8,238353.46
2019-05-14,BTCUSD,7756.36,8391.05,7652.74,7950.74,16.46,131681.94
2019-05-13,BTCUSD,6711,8000,6711,7756.36,12.15,91532.6
2019-05-12,BTCUSD,7299.99,7499.99,6711,6711,8.44,60484.36
2019-05-11,BTCUSD,6161.06,7299.99,6161.06,7299.99,4.46,30022.75
2019-05-10,BTCUSD,6136.5,6378.2,6136.5,6161.06,2.45,15399.43
2019-05-09,BTCUSD,5978.51,6136.5,5900.03,6136.5,40.76,246024.39
2019-05-08,BTCUSD,5899.02,5978.51,5801.37,5978.51,0.9913,5837.93
2019-05-07,BTCUSD,5681.14,5905.14,5681.14,5891.29,13.51,78965.43
2019-05-06,BTCUSD,5730.3,5779.45,5505.92,5681.14,3.42,19406.05
2019-05-05,BTCUSD,5779.7,5793.29,5673,5730.3,0.2529,1447.59
2019-05-04,BTCUSD,5701.72,5779.7,5353.46,5779.7,0.6968,3907.22
2019-05-03,BTCUSD,5390.24,5758.81,5220.1,5701.72,5.25,29208.4
2019-05-02,BTCUSD,5294.33,5409.9,5294.33,5390.24,9.53,51245.27
2019-05-01,BTCUSD,5272.27,5334.44,5270.4,5294.33,0.9328,4959.02
2019-04-30,BTCUSD,5146.76,5282.3,5106.93,5272.27,0.646,3368.99
2019-04-29,BTCUSD,5139.63,5190.02,5114.84,5146.76,8.92,45925.78
2019-04-28,BTCUSD,5201.09,5316.48,5078.15,5139.63,4.52,23511.93
2019-04-27,BTCUSD,5164.49,5201.09,5110.3,5201.09,0.08907,460.15
2019-04-26,BTCUSD,5103.64,5425.79,5078.52,5164.49,13.78,71582.67
2019-04-25,BTCUSD,5388.74,5700,5103.64,5103.64,18.86,100784.12
2019-04-24,BTCUSD,5554.8,5600,5388.74,5388.74,3.63,19843.17
2019-04-23,BTCUSD,5329.76,5613.1,5329.76,5554.8,4.03,22184.97
2019-04-22,BTCUSD,5317.96,5354,5260.41,5329.76,1.61,8577.3
2019-04-21,BTCUSD,5319.41,5322.68,5250,5317.96,0.0974,517.52
2019-04-20,BTCUSD,5285.9,5337.82,5285.9,5319.41,2.16,11469.71
2019-04-19,BTCUSD,5301.8,5311.61,5225,5285.9,4.28,22632.41
2019-04-18,BTCUSD,5200.01,5301.8,5200.01,5301.8,4.53,23838.32
2019-04-17,BTCUSD,5140.82,5247.9,5140.82,5200.01,4.05,21113.08
2019-04-16,BTCUSD,5068.7,5204.57,5009,5140.82,4.41,22590.16
2019-04-15,BTCUSD,5199.47,5199.47,5000,5068.7,2.22,11239.9
2019-04-14,BTCUSD,5050,5199.47,5032.22,5199.47,2.12,10871.54
2019-04-13,BTCUSD,5090.99,5117.69,5020.7,5050,1.79,9142.59
2019-04-12,BTCUSD,5049.99,5096.54,4892.89,5090.99,2.93,14773.12
2019-04-11,BTCUSD,5296.78,5311.83,5001,5049.99,2.78,14378.18
2019-04-10,BTCUSD,5196.8,5489.89,5167.61,5296.78,3.79,20026.86
2019-04-09,BTCUSD,5232.59,5261.3,5180,5196.8,1.01,5284.4
2019-04-08,BTCUSD,5161.7,5379.9,4812.5,5232.59,8.05,42068.1
2019-04-07,BTCUSD,5060,5229.7,5004.6,5161.7,1.93,9959.2
2019-04-06,BTCUSD,5029,5196.1,4945.68,5060,3.14,15921.37
2019-04-05,BTCUSD,4894.69,5045.3,4666.68,5029,2.82,14121.88
2019-04-04,BTCUSD,4888.7,5039.6,4606.01,4894.69,2.48,12291.85
2019-04-03,BTCUSD,4848.11,5361.68,4837.3,4888.7,3.53,17793.96
2019-04-02,BTCUSD,4149.5,4877.81,4149.5,4848.11,19.34,86423.71
2019-04-01,BTCUSD,4079.96,4149.5,4079.96,4149.5,0.8388,3469.18
2019-03-31,BTCUSD,4065.33,4145.98,4050,4079.96,0.2107,863.63
2019-03-30,BTCUSD,4060.95,4102.73,4060.95,4065.33,0.1725,704.39
2019-03-29,BTCUSD,4003.46,4128.68,4003.46,4060.95,0.8976,3669.02
2019-03-28,BTCUSD,4041.6,4180.82,4002.43,4003.46,2.12,8657.39
2019-03-27,BTCUSD,3960.1,4041.68,3960.1,4041.6,1.9,7584.5
2019-03-26,BTCUSD,3928.91,3978,3916.32,3960.1,1.8,7122.75
2019-03-25,BTCUSD,4014.01,4025.53,3928.91,3928.91,3.09,12292.14
2019-03-24,BTCUSD,4029.73,4029.73,3977,4014.01,0.2238,897.07
2019-03-23,BTCUSD,4039.16,4039.16,3991.05,4029.73,0.04409,176.44
2019-03-22,BTCUSD,3956.04,4039.16,3804.42,4039.16,0.7547,3001.5
2019-03-21,BTCUSD,4007.2,4092.52,3956.04,3956.04,0.9952,4006.75
2019-03-20,BTCUSD,4075.91,4075.91,3989.46,4007.2,1.16,4706.56
2019-03-19,BTCUSD,3952.94,4075.91,3952.94,4075.91,2.51,10077.93
2019-03-18,BTCUSD,4000.11,4014.86,3941.64,3952.94,1.84,7298.55
2019-03-17,BTCUSD,3942.04,4008,3849.7,4000.11,3.36,13078.66
2019-03-16,BTCUSD,3931,4008,3931,3942.04,2.66,10655.59
2019-03-15,BTCUSD,3946.6,3946.6,3854.12,3931,2.24,8749.23
2019-03-14,BTCUSD,3899.99,3947.79,3840.3,3946.6,1.15,4473.49
2019-03-13,BTCUSD,3853.45,3925,3852.55,3899.99,3.6,14009.9
2019-03-12,BTCUSD,3835.67,3918.73,3683.84,3853.45,1.78,6841.19
2019-03-11,BTCUSD,3773.83,3906.91,3690.01,3835.67,1.0,3816.5
2019-03-10,BTCUSD,3911,3911.2,3773.83,3773.83,0.3494,1348.97
2019-03-09,BTCUSD,3859.37,3911,3790.04,3911,3.64,14203.93
2019-03-08,BTCUSD,3858.98,3905,3773.85,3859.37,14.2,55295.55
