Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-07-03 10-AM,ETHEUR,260,260,260,260,0.0,0.0
2019-07-03 09-AM,ETHEUR,261.83,261.83,260,260,0.9654,251.16
2019-07-03 08-AM,ETHEUR,261.83,261.83,261.83,261.83,0.0,0.0
2019-07-03 07-AM,ETHEUR,263.37,263.37,261.83,261.83,0.3376,88.41
2019-07-03 06-AM,ETHEUR,264.19,264.19,263.37,263.37,0.3892,102.5
2019-07-03 05-AM,ETHEUR,262.99,269.85,262.99,264.19,0.2058,54.98
2019-07-03 04-AM,ETHEUR,259.99,262.99,259.99,262.99,0.1367,35.9
2019-07-03 03-AM,ETHEUR,260.77,260.77,259.99,259.99,0.1583,41.16
2019-07-03 02-AM,ETHEUR,269.31,269.31,260.77,260.77,0.03894,10.15
2019-07-03 01-AM,ETHEUR,261.05,269.31,261.05,269.31,0.8547,230.18
2019-07-03 12-AM,ETHEUR,257.59,261.05,257.59,261.05,0.04853,12.67
2019-07-02 11-PM,ETHEUR,267.83,267.83,257.33,257.59,0.7189,186.46
2019-07-02 10-PM,ETHEUR,267.83,267.83,267.83,267.83,0.0,0.0
2019-07-02 09-PM,ETHEUR,255.69,267.97,255.69,267.83,2.091,560.14
2019-07-02 08-PM,ETHEUR,257.25,257.25,255.69,255.69,0.7093,181.45
2019-07-02 07-PM,ETHEUR,255.41,257.25,255,257.25,2.843,729.83
2019-07-02 06-PM,ETHEUR,255.01,256.38,249.38,255.41,0.1889,47.84
2019-07-02 05-PM,ETHEUR,253.32,255.01,253.32,255.01,0.4027,102.7
2019-07-02 04-PM,ETHEUR,252.12,269.85,252.12,253.32,4.15,1057.33
2019-07-02 03-PM,ETHEUR,252.17,269.59,252.12,252.12,0.888,233.69
2019-07-02 02-PM,ETHEUR,243.26,269.71,243.26,252.17,16.26,4122.15
2019-07-02 01-PM,ETHEUR,247.53,247.53,243.26,243.26,0.8444,205.41
2019-07-02 12-PM,ETHEUR,242.89,250.19,242.89,247.53,0.8328,207.17
2019-07-02 11-AM,ETHEUR,246.16,246.16,242.89,242.89,1.088,264.92
2019-07-02 10-AM,ETHEUR,246.16,246.16,246.16,246.16,0.0,0.0
2019-07-02 09-AM,ETHEUR,245.3,251.55,245.3,246.16,0.2282,57.12
2019-07-02 08-AM,ETHEUR,245.3,245.3,245.3,245.3,0.0,0.0
2019-07-02 07-AM,ETHEUR,246.04,246.04,245.11,245.3,0.6072,149.08
2019-07-02 06-AM,ETHEUR,243.98,267.29,243.98,246.04,1.551,389.43
2019-07-02 05-AM,ETHEUR,254.01,254.01,243.98,243.98,0.3295,82.73
2019-07-02 04-AM,ETHEUR,257.97,257.97,254.01,254.01,0.3652,92.76
2019-07-02 03-AM,ETHEUR,256.78,257.97,256.78,257.97,0.01942,5.01
2019-07-02 02-AM,ETHEUR,256.78,256.78,256.78,256.78,0.0,0.0
2019-07-02 01-AM,ETHEUR,256.78,256.78,256.78,256.78,0.0,0.0
2019-07-02 12-AM,ETHEUR,256.78,256.78,256.78,256.78,0.0,0.0
2019-07-01 11-PM,ETHEUR,256.78,256.78,256.78,256.78,0.0,0.0
2019-07-01 10-PM,ETHEUR,256.78,256.78,256.78,256.78,0.0,0.0
2019-07-01 09-PM,ETHEUR,251.52,256.78,251.52,256.78,0.09973,25.61
2019-07-01 08-PM,ETHEUR,251.52,251.52,251.52,251.52,0.0,0.0
2019-07-01 07-PM,ETHEUR,251.76,252.86,251.52,251.52,0.7991,201.37
2019-07-01 06-PM,ETHEUR,251.38,251.76,249.96,251.76,3.425,861.89
2019-07-01 05-PM,ETHEUR,253.85,253.85,250.19,251.38,0.153,38.33
2019-07-01 04-PM,ETHEUR,248.86,253.85,248.86,253.85,0.1956,49.67
2019-07-01 03-PM,ETHEUR,249.87,250.27,248.82,248.86,0.6852,170.88
2019-07-01 02-PM,ETHEUR,252.34,252.34,249.87,249.87,0.1199,30.0
2019-07-01 01-PM,ETHEUR,255.07,255.07,252.34,252.34,4.615,1170.57
2019-07-01 12-PM,ETHEUR,258.9,258.9,255.07,255.07,1.663,426.15
2019-07-01 11-AM,ETHEUR,262.88,262.88,258.9,258.9,2.124,550.31
2019-07-01 10-AM,ETHEUR,262.19,263.16,262.19,262.88,1.436,377.93
2019-07-01 09-AM,ETHEUR,260.63,262.19,260.63,262.19,0.08078,21.18
2019-07-01 08-AM,ETHEUR,260.63,260.63,260.63,260.63,0.0,0.0
2019-07-01 07-AM,ETHEUR,260.63,260.63,260.63,260.63,0.0,0.0
2019-07-01 06-AM,ETHEUR,260.63,260.63,260.63,260.63,0.0,0.0
2019-07-01 05-AM,ETHEUR,262.57,263.1,260.63,260.63,0.7918,207.68
2019-07-01 04-AM,ETHEUR,264.06,264.06,262.57,262.57,0.4506,118.44
2019-07-01 03-AM,ETHEUR,261.56,264.06,261.56,264.06,9.655,2549.41
2019-07-01 02-AM,ETHEUR,256,261.56,256,261.56,4.648,1206.61
2019-07-01 01-AM,ETHEUR,256,256,256,256,0.0,0.0
2019-07-01 12-AM,ETHEUR,265.91,265.91,256,256,1.065,272.82
2019-06-30 11-PM,ETHEUR,265.91,265.91,265.91,265.91,0.0,0.0
2019-06-30 10-PM,ETHEUR,269.45,269.45,265.9,265.91,0.9289,247.73
