Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-07-03,ETHEUR,257.59,269.85,257.59,260,3.135,827.1
2019-07-02,ETHEUR,256.78,269.85,242.89,257.59,34.12,8675.22
2019-07-01,ETHEUR,265.91,265.91,248.82,256.78,32.01,8278.84
2019-06-30,ETHEUR,283.91,284,257.7,265.91,15.35,4085.62
2019-06-29,ETHEUR,268.12,283.91,255,283.91,44.31,11966.49
2019-06-28,ETHEUR,260,327,260,268.12,58.02,15842.79
2019-06-27,ETHEUR,280,295.96,245.01,260,134.69,34680.0
2019-06-26,ETHEUR,277.51,324.9,270,280,218.99,66212.11
2019-06-25,ETHEUR,271.27,277.51,271.16,277.51,26.79,7346.09
2019-06-24,ETHEUR,270.19,274.26,263.1,271.27,13.67,3705.32
2019-06-23,ETHEUR,275.2,325,265.33,270.19,25.5,7194.43
2019-06-22,ETHEUR,259.99,275.58,259.99,275.2,39.26,10641.85
2019-06-21,ETHEUR,242.55,259.99,242.55,259.99,69.73,17740.69
2019-06-20,ETHEUR,239.02,249,236.84,242.55,30.42,7376.2
2019-06-19,ETHEUR,234.48,241.86,234.48,239.02,14.32,3413.04
2019-06-18,ETHEUR,245.18,245.18,234.48,234.48,53.22,12626.6
2019-06-17,ETHEUR,242,246,239.01,245.18,177.55,43143.54
2019-06-16,ETHEUR,244.49,248,235,242,84.47,20382.16
2019-06-15,ETHEUR,230.79,244.49,230.79,244.49,20.59,4906.97
2019-06-14,ETHEUR,227.16,237.61,226.62,230.79,17.52,4023.09
2019-06-13,ETHEUR,226.95,232.41,226.48,227.16,44.82,10275.28
2019-06-12,ETHEUR,221.88,230.01,218.68,226.95,26.31,5890.93
2019-06-11,ETHEUR,216.65,221.88,211.64,221.88,34.6,7470.16
2019-06-10,ETHEUR,204.67,217.88,203,216.65,57.54,12417.29
2019-06-09,ETHEUR,225.56,227.22,204.67,204.67,29.91,6360.96
2019-06-08,ETHEUR,225,229.98,215.01,225.56,9.404,2126.82
2019-06-07,ETHEUR,216.54,225,212,225,69.36,15287.54
2019-06-06,ETHEUR,220.13,220.13,210,216.54,45.36,9729.06
2019-06-05,ETHEUR,226.77,226.77,215.73,220.13,41.98,9143.72
2019-06-04,ETHEUR,221.85,240,217,226.77,30.23,6764.3
2019-06-03,ETHEUR,245,245,221.79,221.85,170.41,38970.01
2019-06-02,ETHEUR,242,245.64,240,245,2.19,534.78
2019-06-01,ETHEUR,239.99,279.99,239.01,242,10.57,2618.65
2019-05-31,ETHEUR,220.73,319.9,220.73,239.99,18.79,4834.49
2019-05-30,ETHEUR,241.3,257.83,220.17,220.73,111.05,27480.38
2019-05-29,ETHEUR,245.77,248.03,237.9,241.3,29.48,7167.96
2019-05-28,ETHEUR,239.59,245.77,238.01,245.77,93.52,22706.32
2019-05-27,ETHEUR,237.56,249.72,237.56,239.59,250.53,60567.66
2019-05-26,ETHEUR,221.06,243.32,220.21,237.56,91.68,21851.46
2019-05-25,ETHEUR,229,229.9,180,221.06,14.89,3276.53
2019-05-24,ETHEUR,218.81,229,216.63,229,30.42,6832.28
2019-05-23,ETHEUR,219.63,229.96,211.07,218.81,43.14,9479.95
2019-05-22,ETHEUR,236,339,219,219.63,77.31,18153.11
2019-05-21,ETHEUR,229.1,236,215.92,236,40.94,9343.68
2019-05-20,ETHEUR,233.92,233.92,215.01,229.1,83.4,18414.67
2019-05-19,ETHEUR,220.22,233.92,218,233.92,4.87,1124.09
2019-05-18,ETHEUR,207.38,229.88,207.38,220.22,9.85,2143.82
2019-05-17,ETHEUR,241.12,241.12,201.61,207.38,160.22,33652.82
2019-05-16,ETHEUR,214,250,214,241.12,225.38,51978.93
2019-05-15,ETHEUR,190.86,221.03,190.86,214,219.19,45841.12
2019-05-14,ETHEUR,172.04,190.86,172.04,190.86,226.55,41639.68
2019-05-13,ETHEUR,165.4,183.75,165.19,172.04,393.94,70421.49
2019-05-12,ETHEUR,171.57,184.98,140.01,165.4,15.38,2604.22
2019-05-11,ETHEUR,154.89,174.82,153,171.57,105.17,17118.12
2019-05-10,ETHEUR,151.99,156.04,143,154.89,10.02,1528.22
2019-05-09,ETHEUR,150.47,153.18,148.1,151.99,55.03,8266.52
2019-05-08,ETHEUR,151.01,156.9,148.87,150.47,129.25,19403.31
2019-05-07,ETHEUR,153.7,159.22,150.01,157.22,47.63,7487.01
2019-05-06,ETHEUR,145.06,158,140.1,153.7,71.86,10940.88
2019-05-05,ETHEUR,146.79,146.79,142.24,145.06,4.24,611.81
2019-05-04,ETHEUR,148,155,142.99,146.79,23.83,3496.33
2019-05-03,ETHEUR,141.6,149.85,134.37,148,12.39,1803.55
2019-05-02,ETHEUR,141,143.92,140.08,141.6,71.65,10145.54
2019-05-01,ETHEUR,139.68,144.52,131,141,13.28,1878.12
2019-04-30,ETHEUR,136.75,142.2,136.75,139.68,52.83,7410.73
2019-04-29,ETHEUR,140.99,140.99,134.16,136.75,50.88,6939.13
2019-04-28,ETHEUR,140,140.99,140,140.99,0.1775,25.02
2019-04-27,ETHEUR,135,140.11,135,140,1.88,262.82
2019-04-26,ETHEUR,140.57,143.22,135,135,164.83,22488.5
2019-04-25,ETHEUR,148.07,148.55,120,140.57,250.88,33856.96
2019-04-24,ETHEUR,153,157.99,145.53,148.07,35.94,5363.01
2019-04-23,ETHEUR,153.62,399,141.8,153,70.34,12648.06
2019-04-22,ETHEUR,150,153.62,150,153.62,0.1993,30.61
2019-04-21,ETHEUR,150.17,151,145.86,150,5.08,764.44
2019-04-20,ETHEUR,151.97,156.69,150.17,150.17,24.79,3805.52
2019-04-19,ETHEUR,155,155,151.97,151.97,1.04,160.7
2019-04-18,ETHEUR,155,155,154.61,155,1.73,267.85
2019-04-17,ETHEUR,150.37,155,144.89,155,1.86,278.37
2019-04-16,ETHEUR,146,150.37,142.16,150.37,2.0,290.82
2019-04-15,ETHEUR,143.92,150.29,143.92,146,5.16,755.1
2019-04-14,ETHEUR,163.97,163.97,143.92,143.92,3.61,537.21
2019-04-13,ETHEUR,164.6,164.6,151.99,163.97,2.51,398.52
2019-04-12,ETHEUR,143.74,164.6,143.74,164.6,7.01,1097.63
2019-04-11,ETHEUR,158.39,164.99,142.96,143.74,3.55,521.02
2019-04-10,ETHEUR,166.49,170,158,158.39,4.05,649.31
2019-04-09,ETHEUR,165,168.99,156.18,166.49,5.77,929.13
2019-04-08,ETHEUR,152.57,235,152.57,165,24.76,4294.12
2019-04-07,ETHEUR,147.8,152.57,135.02,152.57,4.1,605.95
2019-04-06,ETHEUR,144.96,159.2,144.96,147.8,8.31,1240.9
2019-04-05,ETHEUR,138.68,175.4,138.68,144.96,14.85,2345.37
2019-04-04,ETHEUR,146.9,158.62,138.68,138.68,6.5,917.61
2019-04-03,ETHEUR,145.55,244.99,145.41,146.9,52.05,8047.19
2019-04-02,ETHEUR,135,145.55,125.7,145.55,19.8,2696.91
2019-04-01,ETHEUR,126.21,135,126.21,135,1.88,243.93
2019-03-31,ETHEUR,125.05,129.51,125.05,126.21,2.2,278.15
2019-03-30,ETHEUR,129.55,129.55,125.02,125.05,1.99,253.05
2019-03-29,ETHEUR,124,129.55,124,129.55,11.83,1527.41
2019-03-28,ETHEUR,123.85,138.9,119.44,124,37.21,4645.1
2019-03-27,ETHEUR,122.37,128.5,119.01,123.85,6.19,773.89
2019-03-26,ETHEUR,120,129.8,118.42,122.37,33.51,4174.46
2019-03-25,ETHEUR,124.08,124.08,120,120,18.39,2207.69
2019-03-24,ETHEUR,120,124.34,120,124.08,7.76,939.2
2019-03-23,ETHEUR,125.22,125.27,120,120,2.21,271.14
2019-03-22,ETHEUR,125,144.99,120,125.22,62.54,7894.05
2019-03-21,ETHEUR,120.6,138.99,118.62,125,9.27,1159.24
2019-03-20,ETHEUR,127.49,144.99,120.6,120.6,32.43,4141.32
2019-03-19,ETHEUR,120.55,140.09,120.55,127.49,6.95,897.82
2019-03-18,ETHEUR,126.24,130,120.48,120.55,1.16,147.33
2019-03-17,ETHEUR,125.9,126.24,125.9,126.24,3.81,480.97
2019-03-16,ETHEUR,121.39,125.9,121.39,125.9,0.3492,42.87
2019-03-15,ETHEUR,121.39,121.39,121.39,121.39,0.0,0.0
2019-03-14,ETHEUR,124.01,124.01,121.38,121.39,2.05,248.81
2019-03-13,ETHEUR,117.71,125.65,117.71,124.01,0.9299,114.52
2019-03-12,ETHEUR,123,123,117.2,117.71,2.54,307.51
2019-03-11,ETHEUR,120.55,123,120.55,123,0.4139,50.23
2019-03-10,ETHEUR,125.89,125.89,120.55,120.55,0.07001,8.44
2019-03-09,ETHEUR,120.12,125.89,119.94,125.89,1.87,233.97
2019-03-08,ETHEUR,135,135,120.12,120.12,3.98,496.8
2019-03-07,ETHEUR,124.25,135,121.59,135,4.35,568.41
2019-03-06,ETHEUR,123.33,144,119.82,124.25,35.71,4364.65
2019-03-05,ETHEUR,127.05,127.05,114.3,123.33,6.07,729.21
2019-03-04,ETHEUR,115,127.05,109.23,127.05,12.92,1477.83
2019-03-03,ETHEUR,116.5,120.33,115,115,32.71,3818.95
2019-03-02,ETHEUR,121.99,128.57,116.5,116.5,3.08,365.89
2019-03-01,ETHEUR,120.61,121.99,120.02,121.99,8.21,1000.0
2019-02-28,ETHEUR,114.64,120.69,114.64,120.61,8.37,1000.4
2019-02-27,ETHEUR,119.82,123,114.64,114.64,12.28,1467.25
2019-02-26,ETHEUR,123.48,123.48,119.82,119.82,1.93,233.53
2019-02-25,ETHEUR,121,123.48,117,123.48,3.11,377.94
2019-02-24,ETHEUR,137.97,144.99,121,121,11.49,1619.3
2019-02-23,ETHEUR,129,138.26,129,137.97,7.18,986.74
2019-02-22,ETHEUR,127.26,140.1,127.26,129,8.98,1202.43
2019-02-21,ETHEUR,127.99,129.94,127.26,127.26,4.07,527.76
2019-02-20,ETHEUR,130,130,120,127.99,3.67,458.77
2019-02-19,ETHEUR,126.98,131.14,126.98,130,6.74,871.14
2019-02-18,ETHEUR,111.7,129.67,111.7,126.98,20.48,2524.27
2019-02-17,ETHEUR,110,115,110,111.7,84.46,9306.15
2019-02-16,ETHEUR,108.52,110,108.52,110,9.09,1000.22
2019-02-15,ETHEUR,108.52,108.52,108.52,108.52,0.0,0.0
2019-02-14,ETHEUR,106.73,108.52,106.07,108.52,4.32,466.83
2019-02-13,ETHEUR,106.57,108,106.42,106.73,22.98,2468.97
2019-02-12,ETHEUR,106.78,106.78,105.13,106.57,11.0,1168.68
2019-02-11,ETHEUR,108.11,108.11,105.7,106.78,18.92,2020.58
2019-02-10,ETHEUR,103.2,108.11,103.2,108.11,0.607,64.76
2019-02-09,ETHEUR,103.41,103.41,103.2,103.2,0.95,98.04
2019-02-08,ETHEUR,90.28,105.8,90.28,103.41,6.72,652.12
2019-02-07,ETHEUR,90.28,90.28,90.28,90.28,0.0,0.0
2019-02-06,ETHEUR,92.66,92.66,90.28,90.28,0.8821,80.98
2019-02-05,ETHEUR,92.55,93.94,92.55,92.66,4.54,420.81
2019-02-04,ETHEUR,98.98,98.98,92.04,92.55,2.24,206.95
2019-02-03,ETHEUR,93.16,98.98,93.16,98.98,0.2722,26.94
2019-02-02,ETHEUR,93.16,93.16,93.16,93.16,0.0,0.0
2019-02-01,ETHEUR,99.92,99.92,92.14,93.16,12.65,1179.31
2019-01-31,ETHEUR,99.95,99.95,92.69,99.92,2.27,217.71
2019-01-30,ETHEUR,91.44,99.95,91.44,99.95,6.41,616.61
2019-01-29,ETHEUR,99.71,99.82,91.44,91.44,3.31,306.94
2019-01-28,ETHEUR,110,110,90.3,99.71,20.33,1853.16
2019-01-27,ETHEUR,103.05,110,100,110,7.29,729.89
2019-01-26,ETHEUR,102.68,110.01,102.68,103.05,0.7648,79.71
2019-01-25,ETHEUR,103.54,103.54,102.68,102.68,0.1542,15.83
2019-01-24,ETHEUR,102.06,103.54,101.92,103.54,1.49,152.11
2019-01-23,ETHEUR,110.33,110.33,102.06,102.06,5.5,571.79
2019-01-22,ETHEUR,100.89,118.2,100,110.33,5.69,624.51
2019-01-21,ETHEUR,104,109.99,100.89,100.89,19.07,1954.88
2019-01-20,ETHEUR,108.28,108.28,104,104,4.72,497.2
2019-01-19,ETHEUR,119.99,119.99,108.28,108.28,1.51,165.69
2019-01-18,ETHEUR,119.99,119.99,119.99,119.99,0.0,0.0
2019-01-17,ETHEUR,106.93,119.99,105.59,119.99,0.9083,103.62
2019-01-16,ETHEUR,100.76,107.29,100.76,106.93,3.09,329.03
2019-01-15,ETHEUR,118.32,124.46,100.76,100.76,3.63,405.98
2019-01-14,ETHEUR,101.12,118.32,101.12,118.32,0.2367,28.01
2019-01-13,ETHEUR,113.19,113.19,101.12,101.12,1.62,175.35
2019-01-12,ETHEUR,128.25,128.25,100.36,113.19,2.16,234.57
2019-01-11,ETHEUR,112,128.25,109.94,128.25,12.4,1421.21
2019-01-10,ETHEUR,130,135.5,110,112,103.61,12437.28
2019-01-09,ETHEUR,128.78,131.33,128.78,130,5.41,708.6
2019-01-08,ETHEUR,132,132.77,128.78,128.78,2.86,371.69
2019-01-07,ETHEUR,133.15,141.32,132,132,7.04,937.68
2019-01-06,ETHEUR,134.33,139.99,131.09,133.15,2.03,273.01
2019-01-05,ETHEUR,131,147,131,134.33,11.84,1699.23
2019-01-04,ETHEUR,143.26,143.26,131,131,20.06,2659.47
2019-01-03,ETHEUR,134.08,143.26,130,143.26,3.84,500.76
2019-01-02,ETHEUR,130,134.08,130,134.08,51.29,6667.4
2019-01-01,ETHEUR,115,130,115,130,13.85,1799.47
2018-12-31,ETHEUR,128,128,115,115,10.7,1266.67
2018-12-30,ETHEUR,123.86,128.98,115.01,128,0.1576,19.75
2018-12-29,ETHEUR,115,123.86,115,123.86,0.4281,52.99
2018-12-28,ETHEUR,100.51,149,100.51,115,12.63,1435.87
2018-12-27,ETHEUR,111.67,111.67,100.51,100.51,0.5741,59.96
2018-12-26,ETHEUR,111.67,112.8,111.67,111.67,4.65,523.71
2018-12-25,ETHEUR,128.09,128.09,110.04,111.67,14.04,1571.55
2018-12-24,ETHEUR,117.98,140,117.98,128.09,50.34,6390.78
2018-12-23,ETHEUR,99.79,118.18,99.79,117.98,38.65,4306.76
2018-12-22,ETHEUR,97.43,99.79,97.24,99.79,1.21,120.79
2018-12-21,ETHEUR,99.38,103.65,96.94,97.43,7.94,793.96
2018-12-20,ETHEUR,91,103.02,91,99.38,22.38,2199.94
2018-12-19,ETHEUR,85,93.11,85,91,7.79,708.18
2018-12-18,ETHEUR,83.4,85,81.11,85,16.36,1387.69
2018-12-17,ETHEUR,76,84.44,72.62,83.4,27.59,2267.47
2018-12-16,ETHEUR,75.58,76,75.58,76,6.72,510.39
2018-12-15,ETHEUR,73.5,75.58,72.5,75.58,6.92,510.68
2018-12-14,ETHEUR,75.5,79.98,73.5,73.5,0.6907,51.12
2018-12-13,ETHEUR,78.99,78.99,75.5,75.5,11.38,872.77
2018-12-12,ETHEUR,79.86,80,77.51,78.99,10.27,813.39
2018-12-11,ETHEUR,79.57,80,78,79.86,73.24,5721.41
2018-12-10,ETHEUR,94.8,99,78,79.57,20.29,1669.6
2018-12-09,ETHEUR,76.19,99,76.19,94.8,8.53,755.04
2018-12-08,ETHEUR,84.82,84.99,74.93,76.19,3.85,304.78
2018-12-07,ETHEUR,80.23,88.48,53.1,84.82,49.88,3934.23
2018-12-06,ETHEUR,90,90,79.31,80.23,21.43,1875.14
2018-12-05,ETHEUR,99.45,99.45,90,90,51.73,4719.88
2018-12-04,ETHEUR,96.26,99.45,95.05,99.45,1.94,193.23
2018-12-03,ETHEUR,101.5,101.5,94.43,96.26,3.53,338.5
2018-12-02,ETHEUR,104.29,104.29,101.5,101.5,5.43,563.43
2018-12-01,ETHEUR,100,105,99.8,104.29,2.82,291.78
2018-11-30,ETHEUR,101.84,105,99,100,9.02,908.8
2018-11-29,ETHEUR,107.29,107.83,101.84,101.84,2.68,283.11
2018-11-28,ETHEUR,94.66,109.61,94.66,107.29,37.59,4033.94
2018-11-27,ETHEUR,93.37,94.66,91.65,94.66,0.8699,80.3
2018-11-26,ETHEUR,101.59,104.1,93.37,93.37,10.4,998.5
2018-11-25,ETHEUR,99,103,86,101.59,8.55,805.49
2018-11-24,ETHEUR,110.06,110.06,99,99,9.47,953.44
2018-11-23,ETHEUR,110.53,111.56,106,110.06,65.28,6981.28
2018-11-22,ETHEUR,115.98,174.98,109.91,110.53,4.93,553.27
2018-11-21,ETHEUR,111.95,188,109.97,115.98,33.22,4366.06
2018-11-20,ETHEUR,127.68,127.68,109.81,111.95,36.02,4275.2
2018-11-19,ETHEUR,149.92,149.92,127.68,127.68,14.01,1889.56
2018-11-18,ETHEUR,149.92,149.92,149.92,149.92,0.0,0.0
2018-11-17,ETHEUR,149.92,149.92,149.92,149.92,0.0,0.0
2018-11-16,ETHEUR,151,161.94,149.92,149.92,2.36,376.45
2018-11-15,ETHEUR,163.99,163.99,151,151,0.6743,103.84
2018-11-14,ETHEUR,179.03,190,152,163.99,200.21,33487.0
2018-11-13,ETHEUR,188.66,219.4,179.03,179.03,10.59,1962.24
2018-11-12,ETHEUR,184.94,318,184.01,188.66,31.0,6538.04
2018-11-11,ETHEUR,184.45,185.67,184.45,184.94,5.72,1059.84
2018-11-10,ETHEUR,183,184.45,181.97,184.45,1.24,227.07
2018-11-09,ETHEUR,187,187,179,183,7.36,1339.36
2018-11-08,ETHEUR,188.95,190.23,185.58,187,18.03,3360.94
2018-11-07,ETHEUR,190,192.41,188.95,188.95,26.14,4966.81
2018-11-06,ETHEUR,183.16,190,183.16,190,2.67,505.27
2018-11-05,ETHEUR,178.01,185.61,178.01,183.16,7.17,1314.7
2018-11-04,ETHEUR,176.33,178.01,176,178.01,25.55,4524.1
2018-11-03,ETHEUR,175.31,176.33,173.3,176.33,0.6656,116.6
2018-11-02,ETHEUR,172.41,176.99,172.41,175.31,2117.67,368819.93
2018-11-01,ETHEUR,172.43,177.2,172.41,172.41,4889.39,843817.99
2018-10-31,ETHEUR,172.16,178.22,171.01,172.43,4498.19,777477.08
2018-10-30,ETHEUR,173.41,179.07,171.02,172.16,2365.29,408994.51
2018-10-29,ETHEUR,175.47,178.99,170.59,173.41,26.62,4687.39
2018-10-28,ETHEUR,178.83,181.7,175.2,175.47,2.03,362.73
2018-10-27,ETHEUR,181.27,182.23,174.52,178.83,0.2206,39.69
2018-10-26,ETHEUR,178.2,185.16,178.2,181.27,4.35,788.98
2018-10-25,ETHEUR,178.2,178.2,175.78,178.2,60.14,10642.26
2018-10-24,ETHEUR,174.6,185.99,174.6,178.2,18.79,3374.85
2018-10-23,ETHEUR,173.61,175.21,171.67,174.6,3.85,670.47
2018-10-22,ETHEUR,175.5,175.5,173.61,173.61,1.84,319.81
2018-10-21,ETHEUR,175.31,176.45,175.31,175.5,1.36,239.41
2018-10-20,ETHEUR,171.67,175.31,171.67,175.31,0.2333,40.83
2018-10-19,ETHEUR,174.96,174.96,171.67,171.67,0.59,101.88
2018-10-18,ETHEUR,179.01,179.01,171.68,174.96,28.58,4994.87
2018-10-17,ETHEUR,177.28,179.46,176,179.01,13.7,2436.59
2018-10-16,ETHEUR,177.35,178.95,174.55,177.28,4.62,823.84
2018-10-15,ETHEUR,167.1,190.27,167.1,177.35,26.63,4777.39
2018-10-14,ETHEUR,173.32,173.47,167.1,167.1,35.52,6045.24
2018-10-13,ETHEUR,169.82,173.88,169.82,173.32,2.01,349.23
2018-10-12,ETHEUR,165,171.5,165,169.82,11.74,1997.13
2018-10-11,ETHEUR,196.41,199.78,165,165,25.31,4520.15
2018-10-10,ETHEUR,199.79,199.79,195.14,196.41,2.65,519.45
2018-10-09,ETHEUR,201.31,201.31,199.79,199.79,3.06,612.4
2018-10-08,ETHEUR,195.64,201.31,193,201.31,30.9,6166.02
2018-10-07,ETHEUR,193,197.52,193,195.64,9.55,1874.12
2018-10-06,ETHEUR,194.71,194.71,193,193,0.01539,2.97
2018-10-05,ETHEUR,192.99,195.1,191.05,194.71,1.21,233.49
2018-10-04,ETHEUR,190.32,195.44,180.01,192.99,6.19,1199.8
2018-10-03,ETHEUR,196.27,196.27,180,190.32,12.72,2419.18
2018-10-02,ETHEUR,197.87,199.38,194.47,196.27,7.38,1451.29
2018-10-01,ETHEUR,198.31,199.78,193.98,197.87,11.7,2292.79
2018-09-30,ETHEUR,198.31,198.31,198.31,198.31,0.0,0.0
2018-09-29,ETHEUR,170.03,202.24,170.03,198.31,14.93,3004.23
2018-09-28,ETHEUR,193.86,194,170.02,170.03,7.53,1440.34
2018-09-27,ETHEUR,183.14,199.65,182,193.86,14.68,2786.3
2018-09-26,ETHEUR,180.53,189.01,178.33,183.14,6.8,1239.23
2018-09-25,ETHEUR,194.02,194.02,174.67,180.53,112.4,20605.63
2018-09-24,ETHEUR,208.44,208.44,170,194.02,25.72,4878.15
2018-09-23,ETHEUR,204.78,208.44,204.78,208.44,2.0,412.52
2018-09-22,ETHEUR,214.22,214.22,204.78,204.78,0.549,113.04
2018-09-21,ETHEUR,194.07,214.22,190.93,214.22,14.38,2807.9
2018-09-20,ETHEUR,183.84,194.07,178.88,194.07,3.86,710.25
2018-09-19,ETHEUR,181.59,183.95,171.02,183.84,36.15,6270.89
2018-09-18,ETHEUR,191,191,172,181.59,3.39,589.94
2018-09-17,ETHEUR,193.9,193.9,173.3,191,2.07,368.26
2018-09-16,ETHEUR,189.02,195.24,181.3,193.9,2.72,516.39
2018-09-15,ETHEUR,185.7,196.68,182.75,189.02,9.46,1801.67
2018-09-14,ETHEUR,181.71,190,176.48,185.7,24.81,4519.74
2018-09-13,ETHEUR,162.66,181.72,162.66,181.71,10.09,1793.74
2018-09-12,ETHEUR,158.94,162.66,140,162.66,70.36,10379.68
2018-09-11,ETHEUR,194.93,194.93,153.91,158.94,40.56,6521.99
2018-09-10,ETHEUR,176.77,197.72,161.94,194.93,1.92,329.57
2018-09-09,ETHEUR,168.1,179.84,165.08,176.77,3.22,540.95
2018-09-08,ETHEUR,186.17,186.17,167.51,168.1,49.33,8501.13
2018-09-07,ETHEUR,195.98,198.98,186.17,186.17,3.84,733.08
2018-09-06,ETHEUR,204.06,204.06,187.89,195.98,14.04,2712.09
2018-09-05,ETHEUR,261.07,261.07,204.06,204.06,19.46,4335.78
2018-09-04,ETHEUR,249.58,264,244.98,261.07,10.92,2732.09
2018-09-03,ETHEUR,253,253,220.8,249.58,11.37,2780.77
2018-09-02,ETHEUR,256.88,256.88,253,253,0.8298,209.93
2018-09-01,ETHEUR,243.53,256.88,243.53,256.88,2.77,696.58
2018-08-31,ETHEUR,240.97,244.61,240.97,243.53,0.8682,210.54
2018-08-30,ETHEUR,246.2,246.25,237,240.97,6.76,1640.84
2018-08-29,ETHEUR,248.17,251,246.2,246.2,0.9503,237.94
2018-08-28,ETHEUR,242.54,253.96,237,248.17,7.6,1881.17
2018-08-27,ETHEUR,232.71,274,232.71,242.54,4.85,1263.14
2018-08-26,ETHEUR,240.5,240.5,232.71,232.71,0.5741,134.59
2018-08-25,ETHEUR,271.95,271.95,240.5,240.5,0.02018,4.85
2018-08-24,ETHEUR,240,274,235,271.95,1.08,270.38
2018-08-23,ETHEUR,240,240,240,240,0.0,0.0
2018-08-22,ETHEUR,240,275,240,240,4.35,1097.76
2018-08-21,ETHEUR,239,245,239,240,1.54,375.41
2018-08-20,ETHEUR,270,270,239,239,0.957,232.15
2018-08-19,ETHEUR,270,279.75,270,270,5.01,1352.11
2018-08-18,ETHEUR,271,280,270,270,1.88,513.39
2018-08-17,ETHEUR,250,280,250,271,4.44,1190.83
2018-08-16,ETHEUR,249.97,268.34,249.97,250,2.58,676.07
2018-08-15,ETHEUR,243.71,270,243.71,249.97,2.79,706.89
2018-08-14,ETHEUR,252,253,232.23,243.71,28.38,6961.33
2018-08-13,ETHEUR,282.19,282.19,252,252,10.78,2898.16
2018-08-12,ETHEUR,300.95,300.95,300.95,300.95,0.0,0.0
2018-08-11,ETHEUR,300,300.98,300,300.95,0.3162,95.16
2018-08-10,ETHEUR,318.92,384.5,300,300,2.9,936.4
2018-08-09,ETHEUR,319.98,385,310,318.92,4.07,1310.2
2018-08-08,ETHEUR,330,330,307.07,319.98,9.86,3148.72
2018-08-07,ETHEUR,347.15,352,330,330,10.25,3509.32
