Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume EUR
2019-07-03,LSKEUR,1.63,1.63,1.53,1.53,131.62,212.15
2019-07-02,LSKEUR,1.54,1.63,1.52,1.63,267.45,413.48
2019-07-01,LSKEUR,1.56,1.75,1.53,1.54,305.36,505.31
2019-06-30,LSKEUR,1.67,1.7,1.47,1.56,480.96,790.22
2019-06-29,LSKEUR,1.74,2,1.64,1.67,585.47,1113.22
2019-06-28,LSKEUR,1.6,1.74,1.6,1.74,128.87,222.21
2019-06-27,LSKEUR,1.77,1.77,1.6,1.6,573.88,989.56
2019-06-26,LSKEUR,1.79,1.9,1.72,1.77,1170.75,2167.65
2019-06-25,LSKEUR,1.89,1.89,1.79,1.79,254.91,460.89
2019-06-24,LSKEUR,1.91,1.91,1.74,1.89,474.37,882.31
2019-06-23,LSKEUR,1.9,1.94,1.78,1.91,766.66,1469.64
2019-06-22,LSKEUR,1.8,1.91,1.79,1.9,359.26,663.98
2019-06-21,LSKEUR,1.81,1.95,1.8,1.8,765.9,1450.39
2019-06-20,LSKEUR,1.83,2.06,1.81,1.81,665.72,1214.2
2019-06-19,LSKEUR,1.82,1.99,1.82,1.83,30.88,57.08
2019-06-18,LSKEUR,1.87,2.59,1.81,1.82,364.71,750.53
2019-06-17,LSKEUR,1.87,1.88,1.87,1.87,27.56,51.56
2019-06-16,LSKEUR,1.84,2.1,1.75,1.87,1281.37,2446.31
2019-06-15,LSKEUR,1.77,1.91,1.76,1.84,578.2,1049.32
2019-06-14,LSKEUR,1.8,1.92,1.77,1.77,753.17,1362.72
2019-06-13,LSKEUR,1.82,1.92,1.8,1.8,120.37,227.23
2019-06-12,LSKEUR,1.93,1.93,1.82,1.82,163.31,300.55
2019-06-11,LSKEUR,1.89,1.93,1.8,1.93,56.73,102.99
2019-06-10,LSKEUR,1.68,1.9,1.68,1.89,217.0,402.13
2019-06-09,LSKEUR,1.9,1.9,1.68,1.68,140.13,245.62
2019-06-08,LSKEUR,1.87,1.9,1.87,1.9,24.68,46.25
2019-06-07,LSKEUR,1.75,1.87,1.75,1.87,93.28,168.39
2019-06-06,LSKEUR,1.76,1.76,1.75,1.75,66.86,117.01
2019-06-05,LSKEUR,1.71,1.84,1.69,1.76,108.22,189.89
2019-06-04,LSKEUR,1.83,1.86,1.71,1.71,287.28,518.43
2019-06-03,LSKEUR,1.85,1.88,1.83,1.83,272.58,499.23
2019-06-02,LSKEUR,1.85,1.85,1.85,1.85,0.0,0.0
