Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2019-07-03 10-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 09-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 08-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 07-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 06-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 05-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 04-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 03-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 02-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 01-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-03 12-AM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-02 11-PM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-02 10-PM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-02 09-PM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-02 08-PM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-02 07-PM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-02 06-PM,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-02 05-PM,LSKUSD,1.7,1.73,1.65,1.65,39.06,66.85
2019-07-02 04-PM,LSKUSD,1.7,1.7,1.7,1.7,0.0,0.0
2019-07-02 03-PM,LSKUSD,1.7,1.7,1.7,1.7,0.0,0.0
2019-07-02 02-PM,LSKUSD,1.7,1.7,1.7,1.7,0.0,0.0
2019-07-02 01-PM,LSKUSD,1.7,1.7,1.7,1.7,0.0,0.0
2019-07-02 12-PM,LSKUSD,1.7,1.7,1.7,1.7,0.0,0.0
2019-07-02 11-AM,LSKUSD,1.73,1.73,1.7,1.7,51.91,88.25
2019-07-02 10-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 09-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 08-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 07-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 06-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 05-AM,LSKUSD,1.73,1.73,1.73,1.73,30.84,53.36
2019-07-02 04-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 03-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 02-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 01-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-02 12-AM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-01 11-PM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-01 10-PM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-01 09-PM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-01 08-PM,LSKUSD,1.73,1.73,1.73,1.73,0.0,0.0
2019-07-01 07-PM,LSKUSD,1.78,1.78,1.73,1.73,25.0,43.25
2019-07-01 06-PM,LSKUSD,1.78,1.78,1.78,1.78,0.0,0.0
2019-07-01 05-PM,LSKUSD,1.78,1.78,1.78,1.78,0.0,0.0
2019-07-01 04-PM,LSKUSD,1.75,1.78,1.75,1.78,5.826,10.37
2019-07-01 03-PM,LSKUSD,1.78,1.78,1.75,1.75,40.43,70.92
2019-07-01 02-PM,LSKUSD,1.78,1.78,1.78,1.78,0.0,0.0
2019-07-01 01-PM,LSKUSD,1.8,1.8,1.78,1.78,20.0,35.6
2019-07-01 12-PM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
2019-07-01 11-AM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
2019-07-01 10-AM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
2019-07-01 09-AM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
2019-07-01 08-AM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
2019-07-01 07-AM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
2019-07-01 06-AM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
2019-07-01 05-AM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
2019-07-01 04-AM,LSKUSD,1.8,1.8,1.8,1.8,0.0,0.0
