Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2019-07-03,LSKUSD,1.65,1.65,1.65,1.65,0.0,0.0
2019-07-02,LSKUSD,1.73,1.73,1.65,1.65,121.82,208.46
2019-07-01,LSKUSD,1.8,1.8,1.73,1.73,91.25,160.14
2019-06-30,LSKUSD,1.83,1.84,1.8,1.8,12.04,21.91
2019-06-29,LSKUSD,1.98,1.98,1.83,1.83,3.716,6.8
2019-06-28,LSKUSD,1.62,1.98,1.62,1.98,69.08,128.89
2019-06-27,LSKUSD,2.1,2.1,1.5,1.62,175.39,305.67
2019-06-26,LSKUSD,2.02,2.15,1.95,2.1,366.1,755.73
2019-06-25,LSKUSD,2.05,2.16,2.02,2.02,241.61,498.26
2019-06-24,LSKUSD,2.08,2.15,2,2.05,409.65,838.48
2019-06-23,LSKUSD,2.05,2.36,2.05,2.08,500.14,1109.95
2019-06-22,LSKUSD,2.05,2.3,2.05,2.05,409.14,859.06
2019-06-21,LSKUSD,2.05,2.05,1.96,2.05,378.82,775.52
2019-06-20,LSKUSD,2.05,2.15,2.03,2.05,390.55,803.75
2019-06-19,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-18,LSKUSD,2.13,2.21,2.05,2.05,209.88,454.25
2019-06-17,LSKUSD,2,2.13,2,2.13,18.63,39.67
2019-06-16,LSKUSD,1.99,2.43,1.97,2,583.86,1337.58
2019-06-15,LSKUSD,2,2.15,1.99,1.99,92.45,194.14
2019-06-14,LSKUSD,2,2.5,1.93,2,1533.67,3297.96
2019-06-13,LSKUSD,2.19,2.49,2,2,2900.91,6678.77
2019-06-12,LSKUSD,1.97,2.19,1.97,2.19,191.56,412.18
2019-06-11,LSKUSD,1.96,1.99,1.96,1.97,159.5,314.31
2019-06-10,LSKUSD,1.96,1.96,1.96,1.96,0.0,0.0
2019-06-09,LSKUSD,2.05,2.05,1.96,1.96,3.061,6.0
2019-06-08,LSKUSD,2.05,2.05,2.05,2.05,2.927,6.0
2019-06-07,LSKUSD,1.9,2.05,1.9,2.05,10.01,20.52
2019-06-06,LSKUSD,1.93,1.93,1.9,1.9,40.0,76.0
2019-06-05,LSKUSD,1.88,1.96,1.88,1.93,338.08,648.51
2019-06-04,LSKUSD,2.12,2.12,1.88,1.88,928.72,1850.29
2019-06-03,LSKUSD,2.12,2.12,2.12,2.12,88.82,188.3
2019-06-02,LSKUSD,2.19,2.28,2.12,2.12,45.54,102.82
2019-06-01,LSKUSD,1.97,2.2,1.97,2.19,270.01,568.62
2019-05-31,LSKUSD,2.13,2.13,1.97,1.97,98.19,193.43
2019-05-30,LSKUSD,2.03,2.19,2.03,2.13,77.91,169.62
2019-05-29,LSKUSD,2.09,2.12,2.03,2.03,65.37,136.44
2019-05-28,LSKUSD,2.06,2.15,2.06,2.09,1866.31,3910.82
2019-05-27,LSKUSD,2.09,2.09,2.06,2.06,2.43,5.0
2019-05-26,LSKUSD,2,2.1,1.99,2.09,487.26,996.47
2019-05-25,LSKUSD,2,2.1,1.88,2,118.48,240.39
2019-05-24,LSKUSD,2,2,2,2,0.0,0.0
2019-05-23,LSKUSD,1.9,2,1.9,2,53.97,103.83
2019-05-22,LSKUSD,2.05,2.05,1.9,1.9,13.46,25.87
2019-05-21,LSKUSD,2.01,2.05,2.01,2.05,3.39,6.95
2019-05-20,LSKUSD,2.15,2.15,1.99,2.01,208.98,420.77
2019-05-19,LSKUSD,1.88,2.15,1.88,2.15,3.2,6.89
2019-05-18,LSKUSD,1.88,1.88,1.88,1.88,0.0,0.0
2019-05-17,LSKUSD,2.18,2.18,1.88,1.88,235.14,471.7
2019-05-16,LSKUSD,2.06,2.32,2.02,2.18,547.46,1205.49
2019-05-15,LSKUSD,1.84,2.06,1.84,2.06,694.0,1383.43
2019-05-14,LSKUSD,1.82,1.98,1.7,1.84,336.86,607.58
2019-05-13,LSKUSD,1.73,1.99,1.73,1.82,322.74,621.56
2019-05-12,LSKUSD,1.99,1.99,1.73,1.73,66.41,123.36
2019-05-11,LSKUSD,1.79,1.99,1.79,1.99,266.44,512.03
2019-05-10,LSKUSD,1.79,1.85,1.7,1.79,467.75,837.16
2019-05-09,LSKUSD,1.7,1.79,1.69,1.79,190.71,324.72
2019-05-08,LSKUSD,1.83,1.83,1.7,1.7,37.78,64.23
2019-05-07,LSKUSD,1.58,1.58,1.58,1.58,0.0,0.0
2019-05-06,LSKUSD,1.58,1.58,1.58,1.58,0.0,0.0
2019-05-05,LSKUSD,1.67,1.72,1.58,1.58,152.34,255.24
2019-05-04,LSKUSD,1.67,1.82,1.67,1.67,33.98,58.21
2019-05-03,LSKUSD,1.76,1.77,1.67,1.67,106.07,185.61
2019-05-02,LSKUSD,1.76,1.76,1.76,1.76,4.11,7.24
2019-05-01,LSKUSD,1.62,1.79,1.62,1.76,211.72,368.73
2019-04-30,LSKUSD,1.63,1.65,1.62,1.62,203.32,332.38
2019-04-29,LSKUSD,1.63,1.79,1.62,1.63,31.41,53.49
2019-04-28,LSKUSD,1.74,1.81,1.63,1.63,125.58,212.76
2019-04-27,LSKUSD,1.69,1.74,1.69,1.74,48.03,82.73
2019-04-26,LSKUSD,1.75,1.91,1.69,1.69,449.86,793.49
2019-04-25,LSKUSD,1.83,1.92,1.75,1.75,272.05,493.41
2019-04-24,LSKUSD,2,2,1.81,1.83,263.84,488.9
2019-04-23,LSKUSD,2.11,2.11,1.93,2,58.72,117.08
2019-04-22,LSKUSD,2.11,2.11,2.11,2.11,0.0,0.0
2019-04-21,LSKUSD,2.11,2.11,2.11,2.11,0.0,0.0
2019-04-20,LSKUSD,2.11,2.11,2.11,2.11,21.52,45.41
2019-04-19,LSKUSD,2.11,2.11,2.11,2.11,0.0,0.0
2019-04-18,LSKUSD,2,2.11,2,2.11,3.42,7.21
2019-04-17,LSKUSD,2,2.11,1.99,2,9.71,19.7
2019-04-16,LSKUSD,2.06,2.1,1.77,2,54.05,107.01
2019-04-15,LSKUSD,1.93,2.09,1.92,2.06,61.15,122.27
2019-04-14,LSKUSD,1.93,1.93,1.93,1.93,0.0,0.0
2019-04-13,LSKUSD,1.8,2.02,1.8,1.93,35.93,71.04
2019-04-12,LSKUSD,1.83,1.94,1.8,1.8,9.33,17.37
2019-04-11,LSKUSD,2,2.03,1.83,1.83,59.25,111.31
2019-04-10,LSKUSD,2,2,2,2,0.0,0.0
2019-04-09,LSKUSD,2.11,2.11,1.98,2,218.3,436.78
2019-04-08,LSKUSD,2.2,2.2,2.1,2.11,62.48,131.79
2019-04-07,LSKUSD,2.15,2.2,2.15,2.2,4.09,9.0
2019-04-06,LSKUSD,2.08,2.15,2.08,2.15,4.65,10.0
2019-04-05,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-04-04,LSKUSD,2.04,2.33,2.04,2.08,365.81,821.39
2019-04-03,LSKUSD,1.9,2.2,1.9,2.04,1176.98,2479.11
2019-04-02,LSKUSD,1.79,1.9,1.79,1.9,76.98,142.65
2019-04-01,LSKUSD,1.78,1.83,1.78,1.79,31.39,56.78
2019-03-31,LSKUSD,1.74,1.78,1.74,1.78,17.45,31.0
2019-03-30,LSKUSD,1.66,1.74,1.66,1.74,62.89,109.28
2019-03-29,LSKUSD,1.69,1.69,1.66,1.66,19.67,32.7
2019-03-28,LSKUSD,1.69,1.69,1.69,1.69,0.0,0.0
