Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-08-07 03-AM,BTCUSD,11636,11644,11570,11578,173.41,2012323.72
2019-08-07 02-AM,BTCUSD,11516,11660,11515,11636,344.62,4001636.83
2019-08-07 01-AM,BTCUSD,11464.31,11560,11453,11516,471.96,5440879.08
2019-08-07 12-AM,BTCUSD,11472,11500,11385,11464.31,386.11,4419387.43
2019-08-06 11-PM,BTCUSD,11325,11502,11299,11472,661.06,7530284.25
2019-08-06 10-PM,BTCUSD,11368,11426,11249,11325,1262.48,14294539.55
2019-08-06 09-PM,BTCUSD,11664,11666,11310.63,11368,1991.93,22774436.19
2019-08-06 08-PM,BTCUSD,11709,11746,11618,11664,296.89,3463941.67
2019-08-06 07-PM,BTCUSD,11740.01,11770,11641,11709,576.68,6750049.96
2019-08-06 06-PM,BTCUSD,11727,11758,11708,11740.01,80.93,949155.5
2019-08-06 05-PM,BTCUSD,11799,11832,11711,11727,272.96,3213160.51
2019-08-06 04-PM,BTCUSD,11721,11822,11700,11799,198.49,2333241.21
2019-08-06 03-PM,BTCUSD,11758,11773.94,11692,11721,332.41,3904287.56
2019-08-06 02-PM,BTCUSD,11816.91,11818.03,11696,11758,317.4,3733662.88
2019-08-06 01-PM,BTCUSD,11712,11820,11649,11816.91,707.05,8317415.52
2019-08-06 12-PM,BTCUSD,11796,11810,11556,11712,1237.25,14450722.97
2019-08-06 11-AM,BTCUSD,11765,11839,11674,11796,893.11,10522696.63
2019-08-06 10-AM,BTCUSD,12247,12325,11623,11765,3425.58,40906373.02
2019-08-06 09-AM,BTCUSD,12223,12265,12222,12247,216.52,2650523.87
2019-08-06 08-AM,BTCUSD,12206.86,12286,12195.64,12223,423.34,5181875.3
2019-08-06 07-AM,BTCUSD,12149,12300,12149,12206.86,1377.71,16836063.79
2019-08-06 06-AM,BTCUSD,11831,12190,11818,12149,2946.78,35402459.22
2019-08-06 05-AM,BTCUSD,11700,11831,11688.77,11831,320.42,3768938.78
2019-08-06 04-AM,BTCUSD,11685,11700,11646,11700,162.49,1896845.49
2019-08-06 03-AM,BTCUSD,11675,11725,11655,11685,70.62,826429.93
2019-08-06 02-AM,BTCUSD,11686,11699,11563,11675,423.61,4926076.74
2019-08-06 01-AM,BTCUSD,11775,11790,11603,11686,558.63,6517272.99
2019-08-06 12-AM,BTCUSD,11824,11830,11671,11775,585.1,6879140.36
2019-08-05 11-PM,BTCUSD,11802,11844,11760,11824,483.79,5712467.35
2019-08-05 10-PM,BTCUSD,11734,11872,11727,11802,714.16,8443908.16
2019-08-05 09-PM,BTCUSD,11723.91,11769,11694,11734,232.89,2732718.57
2019-08-05 08-PM,BTCUSD,11749,11837,11688,11723.91,435.77,5115707.94
2019-08-05 07-PM,BTCUSD,11815.32,11819,11733,11749,206.04,2425115.82
2019-08-05 06-PM,BTCUSD,11800.71,11866,11776.05,11815.32,242.72,2869076.72
2019-08-05 05-PM,BTCUSD,11861,11939,11772,11800.71,801.69,9523494.42
2019-08-05 04-PM,BTCUSD,11777,11896,11743,11861,858.0,10140243.28
2019-08-05 03-PM,BTCUSD,11787,11787,11650,11777,622.57,7300189.53
2019-08-05 02-PM,BTCUSD,11760,11838,11746.55,11787,374.78,4415064.76
2019-08-05 01-PM,BTCUSD,11783.52,11806,11710,11760,292.51,3439930.92
2019-08-05 12-PM,BTCUSD,11793,11826,11726.5,11783.52,641.11,7559551.4
2019-08-05 11-AM,BTCUSD,11642,11800,11620,11793,520.59,6096811.18
2019-08-05 10-AM,BTCUSD,11733,11771,11620,11642,589.65,6896486.16
2019-08-05 09-AM,BTCUSD,11744.51,11745,11682,11733,172.92,2025552.06
2019-08-05 08-AM,BTCUSD,11689,11745,11656,11744.51,640.55,7498942.56
2019-08-05 07-AM,BTCUSD,11609.03,11840,11608,11689,2058.5,24161104.73
2019-08-05 06-AM,BTCUSD,11544,11625,11532,11609.03,435.77,5049222.66
2019-08-05 05-AM,BTCUSD,11573,11574,11532,11544,240.72,2779858.54
2019-08-05 04-AM,BTCUSD,11562,11606,11535,11573,356.77,4130473.36
2019-08-05 03-AM,BTCUSD,11599,11644,11480,11562,1054.85,12174003.51
2019-08-05 02-AM,BTCUSD,11417,11613,11375,11599,1345.57,15451974.98
2019-08-05 01-AM,BTCUSD,11210,11460.72,11159,11417,1566.7,17733050.72
2019-08-05 12-AM,BTCUSD,10973,11218,10973,11210,1241.92,13823339.12
2019-08-04 11-PM,BTCUSD,10973,11003,10936,10973,115.46,1266935.32
2019-08-04 10-PM,BTCUSD,10954.02,11060,10947,10973,561.02,6176774.83
2019-08-04 09-PM,BTCUSD,10934.32,10973,10769,10954.02,578.25,6290185.16
2019-08-04 08-PM,BTCUSD,10962,11011,10920,10934.32,391.1,4296355.38
2019-08-04 07-PM,BTCUSD,10943.9,10970,10933,10962,275.1,3012962.91
2019-08-04 06-PM,BTCUSD,10925,10983.29,10909,10943.9,218.83,2395184.01
2019-08-04 05-PM,BTCUSD,10953.8,10980.96,10902,10925,265.8,2908387.84
2019-08-04 04-PM,BTCUSD,10980,11040,10924,10953.8,603.11,6619260.22
2019-08-04 03-PM,BTCUSD,10793,11006,10792,10980,1499.76,16383467.76
2019-08-04 02-PM,BTCUSD,10676,10793,10670,10793,456.45,4902291.84
2019-08-04 01-PM,BTCUSD,10673,10710,10659,10676,156.43,1670445.1
2019-08-04 12-PM,BTCUSD,10690,10720,10656,10673,147.83,1580474.79
2019-08-04 11-AM,BTCUSD,10725,10726,10677,10690,161.73,1731847.53
2019-08-04 10-AM,BTCUSD,10745,10748,10697,10725,170.74,1830558.97
2019-08-04 09-AM,BTCUSD,10688.18,10749,10635,10745,244.98,2619586.6
2019-08-04 08-AM,BTCUSD,10705,10727,10682,10688.18,87.09,932533.96
2019-08-04 07-AM,BTCUSD,10741,10743,10677,10705,151.97,1628313.54
