Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-08-07,ETHUSD,226,227.27,224.16,226.94,2559.49,578283.73
2019-08-06,ETHUSD,233.62,240,223.05,226,119347.27,27557262.81
2019-08-05,ETHUSD,222.41,237.31,222.18,233.62,153862.89,35625629.42
2019-08-04,ETHUSD,222,223.75,217.22,222.41,33814.66,7447432.63
2019-08-03,ETHUSD,217.56,225.69,216.66,222,45822.49,10177013.11
2019-08-02,ETHUSD,217.56,222.85,215,217.56,52234.78,11426031.51
2019-08-01,ETHUSD,218.76,219.5,210.85,217.56,43330.9,9317509.99
2019-07-31,ETHUSD,209.74,219.29,209.7,218.76,58741.3,12640491.3
2019-07-30,ETHUSD,210.81,215,203.47,209.74,47178.2,9897915.82
2019-07-29,ETHUSD,210.92,215.04,206.09,210.81,42643.12,8981256.1
2019-07-28,ETHUSD,207.07,213.35,197.7,210.92,67034.87,13773745.18
2019-07-27,ETHUSD,219.06,223.62,202.2,207.07,111733.85,23662492.9
2019-07-26,ETHUSD,219.44,220.47,212.91,219.06,52540.15,11399111.81
2019-07-25,ETHUSD,216.71,225.66,215.61,219.44,75291.26,16655430.11
2019-07-24,ETHUSD,212.34,218.61,201.11,216.71,128514.99,26810551.29
2019-07-23,ETHUSD,217.38,219.39,208.5,212.34,87747.19,18723660.3
2019-07-22,ETHUSD,225.04,228,211.78,217.38,89899.92,19668677.88
2019-07-21,ETHUSD,228.44,229.51,216.45,225.04,83539.5,18623204.11
2019-07-20,ETHUSD,221.16,235.27,219.73,228.44,87774.99,20087423.68
2019-07-19,ETHUSD,225.74,226.34,213.19,221.16,79841.37,17592674.06
2019-07-18,ETHUSD,211.06,213.26,206.62,211.92,9708.83,2029658.29
2019-07-17,ETHUSD,198.57,219.47,191.6,211.06,208156.67,42755827.37
2019-07-16,ETHUSD,227.71,233.79,191,198.57,315818.37,64929817.64
2019-07-15,ETHUSD,226.19,234.77,202.81,227.71,290838.46,64798224.44
2019-07-14,ETHUSD,268.07,268.59,222.58,226.19,216838.23,52412815.15
2019-07-13,ETHUSD,274.73,274.97,260.69,268.07,58079.88,15498184.0
2019-07-12,ETHUSD,268.38,279.02,266.28,274.73,42043.24,11481438.28
2019-07-11,ETHUSD,288.71,288.72,261.1,268.38,147492.53,40078901.09
2019-07-10,ETHUSD,307.85,316.5,278.86,288.71,145867.76,43243747.64
2019-07-09,ETHUSD,313.39,318.3,302.69,307.85,95197.96,29605841.59
2019-07-08,ETHUSD,306.54,315.27,302.54,313.39,114272.9,35332800.21
2019-07-07,ETHUSD,288.61,311,284.43,306.54,109032.7,32830180.46
2019-07-06,ETHUSD,287.95,298.87,285.68,288.61,69742.23,20428661.28
2019-07-05,ETHUSD,283.19,295.28,281.25,287.95,53831.78,15527024.03
2019-07-04,ETHUSD,302.22,303.5,280.25,283.19,80451.24,23630016.28
2019-07-03,ETHUSD,292.94,303.4,289.78,302.22,120171.63,35589302.96
2019-07-02,ETHUSD,295.5,299.03,272.65,292.94,148135.2,42134488.15
2019-07-01,ETHUSD,290.8,302.47,281,295.5,136687.62,39658971.14
2019-06-30,ETHUSD,317.42,324.45,286.76,290.8,156190.7,47540998.51
2019-06-29,ETHUSD,308.87,325.12,291.82,317.42,130334.01,39983886.41
2019-06-28,ETHUSD,294.86,312,290,308.87,193643.73,58695478.78
2019-06-27,ETHUSD,332,341,275.6,294.86,430401.36,131706375.26
2019-06-26,ETHUSD,316.49,363.3,313.13,332,571428.08,191428189.46
2019-06-25,ETHUSD,311.7,317.84,304.83,316.49,125635.04,39203374.98
2019-06-24,ETHUSD,308.56,314.6,292.09,311.7,290552.85,88541415.54
2019-06-23,ETHUSD,311.25,322,305.95,308.56,208771.9,65485577.63
2019-06-22,ETHUSD,295.83,315.85,292.99,311.25,292683.71,89803391.95
2019-06-21,ETHUSD,272.82,297.71,272.82,295.83,238288.83,68424380.25
2019-06-20,ETHUSD,269.52,275,267.18,272.82,64637.67,17508967.2
2019-06-19,ETHUSD,264.87,270.83,264.16,269.52,53498.1,14341780.64
2019-06-18,ETHUSD,274,274.76,260.01,264.87,107156.92,28619744.0
2019-06-17,ETHUSD,268.63,276.09,267.61,274,69045.93,18808690.89
2019-06-16,ETHUSD,269.12,279.48,264.01,268.63,181719.92,49368599.11
2019-06-15,ETHUSD,263.69,273.5,261.73,269.12,107726.72,28794038.3
2019-06-14,ETHUSD,254.61,265.87,248.48,263.69,230771.29,59135224.23
2019-06-13,ETHUSD,262.75,264.66,253.43,254.61,117948.14,30462029.29
2019-06-12,ETHUSD,245.1,263.8,243.05,262.75,180587.83,45707331.98
2019-06-11,ETHUSD,248.11,248.9,237.5,245.1,78371.38,19070221.88
