Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-08-07,LTCBTC,0.0081,0.0081,0.007997,0.008016,109.43,0.8808
2019-08-06,LTCBTC,0.008176,0.008205,0.007805,0.0081,30438.26,244.2
2019-08-05,LTCBTC,0.008472,0.009088,0.008007,0.008176,47188.87,401.5
2019-08-04,LTCBTC,0.008723,0.008822,0.008385,0.008472,22547.7,192.6
2019-08-03,LTCBTC,0.008996,0.009051,0.008666,0.008723,11515.21,101.61
2019-08-02,LTCBTC,0.00951,0.00951,0.008877,0.008996,12869.45,117.43
2019-08-01,LTCBTC,0.0098,0.009845,0.009462,0.00951,5920.34,57.23
2019-07-31,LTCBTC,0.009419,0.01,0.009385,0.0098,13714.69,133.54
2019-07-30,LTCBTC,0.009514,0.00954,0.009389,0.009419,5227.0,49.47
2019-07-29,LTCBTC,0.00943,0.00958,0.009311,0.009514,5435.47,51.25
2019-07-28,LTCBTC,0.009365,0.009521,0.009124,0.00943,12879.61,119.79
2019-07-27,LTCBTC,0.009587,0.009609,0.009175,0.009365,19890.58,186.09
2019-07-26,LTCBTC,0.009435,0.009613,0.009327,0.009587,5336.47,50.63
2019-07-25,LTCBTC,0.00966,0.009664,0.009234,0.009435,8675.13,81.47
2019-07-24,LTCBTC,0.009153,0.009807,0.008998,0.00966,18218.27,172.35
2019-07-23,LTCBTC,0.009222,0.009248,0.008932,0.009153,12189.19,110.95
2019-07-22,LTCBTC,0.00943,0.009468,0.008896,0.009222,27217.58,249.02
2019-07-21,LTCBTC,0.009339,0.00948,0.009129,0.00943,14036.88,130.94
2019-07-20,LTCBTC,0.009352,0.009839,0.0093,0.009339,24503.01,233.41
2019-07-19,LTCBTC,0.00951,0.009574,0.009161,0.009352,20781.4,194.29
2019-07-18,LTCBTC,0.009277,0.009344,0.00907,0.009146,1431.32,13.13
2019-07-17,LTCBTC,0.008443,0.009612,0.008307,0.009277,60743.65,549.04
2019-07-16,LTCBTC,0.008328,0.008503,0.007932,0.008443,55147.36,455.13
2019-07-15,LTCBTC,0.008815,0.008815,0.008276,0.008328,14464.07,124.38
2019-07-14,LTCBTC,0.008887,0.008988,0.008464,0.008815,34305.96,299.04
2019-07-13,LTCBTC,0.008899,0.009108,0.008803,0.008887,5351.74,48.03
2019-07-12,LTCBTC,0.009073,0.009194,0.008802,0.008899,10971.67,99.08
2019-07-11,LTCBTC,0.008949,0.009186,0.008412,0.009073,38389.12,335.76
2019-07-10,LTCBTC,0.009517,0.009517,0.008186,0.008949,94220.48,821.5
2019-07-09,LTCBTC,0.01001,0.01005,0.009447,0.009517,21655.88,209.61
2019-07-08,LTCBTC,0.01048,0.0105,0.009822,0.01001,17324.15,175.18
2019-07-07,LTCBTC,0.01052,0.01062,0.01033,0.01048,6594.49,69.21
2019-07-06,LTCBTC,0.01081,0.01081,0.01032,0.01052,11679.45,122.06
2019-07-05,LTCBTC,0.01071,0.01097,0.01047,0.01081,12320.89,132.3
2019-07-04,LTCBTC,0.01018,0.01079,0.01004,0.01071,57945.74,607.85
2019-07-03,LTCBTC,0.01097,0.01097,0.0101,0.01018,21923.9,230.48
2019-07-02,LTCBTC,0.0116,0.01179,0.01073,0.01097,31651.9,360.14
2019-07-01,LTCBTC,0.0114,0.01176,0.01109,0.0116,35902.45,406.76
2019-06-30,LTCBTC,0.01121,0.01214,0.01082,0.0114,55712.49,631.56
2019-06-29,LTCBTC,0.00967,0.01154,0.009623,0.01121,49895.93,538.14
2019-06-28,LTCBTC,0.01025,0.01046,0.009638,0.00967,37232.08,374.31
2019-06-27,LTCBTC,0.01013,0.01081,0.009416,0.01025,87242.83,886.41
2019-06-26,LTCBTC,0.01154,0.01158,0.009754,0.01013,140285.27,1464.59
2019-06-25,LTCBTC,0.01229,0.01238,0.01144,0.01154,57803.1,681.4
2019-06-24,LTCBTC,0.01261,0.01275,0.01207,0.01229,25772.16,319.02
2019-06-23,LTCBTC,0.01327,0.01327,0.01234,0.01261,30037.15,383.32
2019-06-22,LTCBTC,0.0136,0.01377,0.01262,0.01327,52792.86,697.21
2019-06-21,LTCBTC,0.01424,0.01447,0.01358,0.0136,26845.44,376.69
2019-06-20,LTCBTC,0.01474,0.01475,0.014,0.01424,15365.76,221.07
2019-06-19,LTCBTC,0.01491,0.01526,0.01455,0.01474,21124.54,315.6
2019-06-18,LTCBTC,0.01441,0.0151,0.01422,0.01491,21670.14,316.56
2019-06-17,LTCBTC,0.01524,0.01524,0.01424,0.01441,18679.73,270.71
2019-06-16,LTCBTC,0.01561,0.01561,0.01453,0.01524,29729.92,445.47
2019-06-15,LTCBTC,0.01525,0.01587,0.01525,0.01561,25849.77,404.06
2019-06-14,LTCBTC,0.01591,0.01602,0.01498,0.01525,35801.16,557.77
2019-06-13,LTCBTC,0.01665,0.01675,0.01553,0.01591,20305.88,329.12
2019-06-12,LTCBTC,0.0172,0.01773,0.01612,0.01665,53509.78,918.27
2019-06-11,LTCBTC,0.01623,0.0175,0.01597,0.0172,59968.95,1005.72
2019-06-10,LTCBTC,0.01503,0.01632,0.01497,0.01623,50847.25,797.4
2019-06-09,LTCBTC,0.01495,0.01504,0.01464,0.01503,16714.74,248.84
2019-06-08,LTCBTC,0.0146,0.0152,0.01447,0.01495,12038.35,178.67
2019-06-07,LTCBTC,0.01426,0.01491,0.01411,0.0146,18805.62,274.56
2019-06-06,LTCBTC,0.01334,0.01447,0.01325,0.01426,23632.45,326.94
2019-06-05,LTCBTC,0.0133,0.01341,0.0131,0.01334,6625.98,87.81
2019-06-04,LTCBTC,0.01305,0.0133,0.01284,0.0133,13323.8,174.41
2019-06-03,LTCBTC,0.0131,0.01339,0.01279,0.01305,18260.45,239.89
2019-06-02,LTCBTC,0.0131,0.01331,0.01304,0.0131,5700.25,75.23
2019-06-01,LTCBTC,0.01336,0.01355,0.01306,0.0131,6644.52,88.18
2019-05-31,LTCBTC,0.01303,0.01341,0.01277,0.01336,10601.18,138.34
2019-05-30,LTCBTC,0.01329,0.01357,0.0126,0.01303,41145.16,538.17
2019-05-29,LTCBTC,0.01316,0.01357,0.01281,0.01329,13033.73,172.41
2019-05-28,LTCBTC,0.0133,0.01344,0.01294,0.01316,13820.38,181.44
2019-05-27,LTCBTC,0.01286,0.01369,0.01268,0.0133,34561.32,451.32
2019-05-26,LTCBTC,0.01277,0.01332,0.01226,0.01286,38944.07,494.33
2019-05-25,LTCBTC,0.01258,0.01309,0.0124,0.01277,16930.06,216.98
2019-05-24,LTCBTC,0.0113,0.01281,0.01129,0.01258,39120.18,481.51
2019-05-23,LTCBTC,0.01151,0.01153,0.01121,0.0113,3218.92,36.59
2019-05-22,LTCBTC,0.01148,0.01174,0.01102,0.01151,32745.95,374.03
2019-05-21,LTCBTC,0.01148,0.01169,0.0113,0.01148,6222.22,71.49
2019-05-20,LTCBTC,0.0116,0.01165,0.01138,0.01148,11592.52,133.21
2019-05-19,LTCBTC,0.01194,0.01205,0.01155,0.0116,16372.72,192.35
2019-05-18,LTCBTC,0.01219,0.01219,0.01177,0.01194,12422.49,148.14
2019-05-17,LTCBTC,0.01213,0.01247,0.01166,0.01219,31804.88,385.28
2019-05-16,LTCBTC,0.01249,0.01292,0.01151,0.01213,50974.77,621.18
2019-05-15,LTCBTC,0.0114,0.01293,0.01133,0.01249,63507.58,762.95
2019-05-14,LTCBTC,0.01121,0.01174,0.01106,0.0114,22948.69,260.13
2019-05-13,LTCBTC,0.01216,0.01237,0.01111,0.01121,26355.79,309.24
2019-05-12,LTCBTC,0.01222,0.01265,0.01201,0.01216,22816.54,280.34
2019-05-11,LTCBTC,0.01211,0.01326,0.01147,0.01222,54275.3,678.97
2019-05-10,LTCBTC,0.012,0.01252,0.01163,0.01211,18437.2,222.81
2019-05-09,LTCBTC,0.01244,0.01245,0.01188,0.012,12592.48,152.38
2019-05-08,LTCBTC,0.01274,0.01276,0.01236,0.01244,15650.33,196.34
2019-05-07,LTCBTC,0.01308,0.01355,0.01286,0.01293,5411.66,71.1
2019-05-06,LTCBTC,0.01312,0.01333,0.01264,0.01308,20571.87,265.93
2019-05-05,LTCBTC,0.01334,0.01343,0.01308,0.01312,5854.77,77.65
