Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-08-07,LTCUSD,93.07,93.25,92.28,93.25,3612.1,335202.47
2019-08-06,LTCUSD,96.59,99.28,91.01,93.07,89560.22,8455844.81
2019-08-05,LTCUSD,93.03,107.11,92.98,96.59,247068.24,24642261.49
2019-08-04,LTCUSD,94.2,94.88,90.49,93.03,75768.02,7012746.22
2019-08-03,LTCUSD,94.73,96.87,93.53,94.2,49268.03,4698210.66
2019-08-02,LTCUSD,98.84,99.05,92.57,94.73,74687.88,7145097.16
2019-08-01,LTCUSD,98.86,100.86,95.83,98.84,82106.02,8077041.26
2019-07-31,LTCUSD,90.29,99.88,90,98.86,86072.68,8264815.75
2019-07-30,LTCUSD,90.41,92.84,88.36,90.29,41595.43,3777439.15
2019-07-29,LTCUSD,89.93,92.15,87.2,90.41,55575.79,5001658.32
2019-07-28,LTCUSD,88.63,90.96,83.34,89.93,78557.39,6861421.11
2019-07-27,LTCUSD,94.24,96.6,86.13,88.63,102161.07,9208560.93
2019-07-26,LTCUSD,93.29,94.73,90.24,94.24,56662.79,5272465.78
2019-07-25,LTCUSD,94.46,96.7,91.58,93.29,56145.77,5294112.08
2019-07-24,LTCUSD,90.2,97.38,86.89,94.46,136919.27,12552768.29
2019-07-23,LTCUSD,95.27,95.27,88.44,90.2,92000.28,8399634.55
2019-07-22,LTCUSD,99.5,100.89,90.94,95.27,145897.22,13761626.43
2019-07-21,LTCUSD,100.38,101.3,96.18,99.5,66610.06,6558226.04
2019-07-20,LTCUSD,98.51,105.88,97.46,100.38,115597.17,11702077.39
2019-07-19,LTCUSD,101.15,101.38,94.78,98.51,137250.52,13415032.8
2019-07-18,LTCUSD,90.12,90.35,87.1,88.83,15746.55,1394300.41
2019-07-17,LTCUSD,79.53,94.59,76.8,90.12,346710.06,29988625.1
2019-07-16,LTCUSD,90.1,91.59,75.89,79.53,229260.27,18788349.82
2019-07-15,LTCUSD,89.87,92.79,84.84,90.1,171149.71,15138653.08
2019-07-14,LTCUSD,100.7,101.5,87.51,89.87,206248.34,19163762.74
2019-07-13,LTCUSD,104.88,105.1,97.27,100.7,97624.77,9844471.02
2019-07-12,LTCUSD,103.01,107.25,100.75,104.88,67657.57,7061650.99
2019-07-11,LTCUSD,108.25,108.25,94.31,103.01,195322.46,19849703.97
2019-07-10,LTCUSD,119.54,120.35,102.04,108.25,238522.36,26137904.84
2019-07-09,LTCUSD,123.43,124.03,117.6,119.54,78409.05,9467658.81
2019-07-08,LTCUSD,120.3,125.6,118.51,123.43,60583.52,7355031.14
2019-07-07,LTCUSD,118.57,121.21,117.5,120.3,30192.14,3602369.43
