Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-08-07 03-AM,XRPBTC,2.688e-05,2.698e-05,2.683e-05,2.698e-05,42563.51,1.146
2019-08-07 02-AM,XRPBTC,2.703e-05,2.703e-05,2.68e-05,2.688e-05,35358.77,0.9504
2019-08-07 01-AM,XRPBTC,2.72e-05,2.72e-05,2.699e-05,2.703e-05,106361.39,2.876
2019-08-07 12-AM,XRPBTC,2.708e-05,2.733e-05,2.708e-05,2.72e-05,127759.58,3.481
2019-08-06 11-PM,XRPBTC,2.736e-05,2.737e-05,2.707e-05,2.708e-05,54573.3,1.49
2019-08-06 10-PM,XRPBTC,2.714e-05,2.75e-05,2.714e-05,2.736e-05,191392.02,5.248
2019-08-06 09-PM,XRPBTC,2.661e-05,2.718e-05,2.661e-05,2.714e-05,263101.73,7.088
2019-08-06 08-PM,XRPBTC,2.659e-05,2.667e-05,2.654e-05,2.661e-05,85515.81,2.277
2019-08-06 07-PM,XRPBTC,2.686e-05,2.686e-05,2.655e-05,2.659e-05,243619.17,6.503
2019-08-06 06-PM,XRPBTC,2.686e-05,2.686e-05,2.678e-05,2.686e-05,44807.58,1.202
2019-08-06 05-PM,XRPBTC,2.672e-05,2.686e-05,2.666e-05,2.686e-05,104677.58,2.804
2019-08-06 04-PM,XRPBTC,2.685e-05,2.693e-05,2.672e-05,2.672e-05,98267.75,2.635
2019-08-06 03-PM,XRPBTC,2.682e-05,2.697e-05,2.682e-05,2.685e-05,203605.35,5.47
2019-08-06 02-PM,XRPBTC,2.689e-05,2.694e-05,2.681e-05,2.682e-05,64262.76,1.726
2019-08-06 01-PM,XRPBTC,2.701e-05,2.703e-05,2.681e-05,2.689e-05,173864.54,4.671
2019-08-06 12-PM,XRPBTC,2.688e-05,2.721e-05,2.68e-05,2.701e-05,286441.24,7.741
2019-08-06 11-AM,XRPBTC,2.692e-05,2.704e-05,2.68e-05,2.688e-05,190382.96,5.126
2019-08-06 10-AM,XRPBTC,2.644e-05,2.714e-05,2.633e-05,2.692e-05,1218827.77,32.68
2019-08-06 09-AM,XRPBTC,2.639e-05,2.644e-05,2.628e-05,2.644e-05,121176.99,3.196
2019-08-06 08-AM,XRPBTC,2.646e-05,2.646e-05,2.626e-05,2.639e-05,143665.21,3.792
2019-08-06 07-AM,XRPBTC,2.653e-05,2.653e-05,2.621e-05,2.646e-05,250646.58,6.62
2019-08-06 06-AM,XRPBTC,2.704e-05,2.706e-05,2.625e-05,2.653e-05,755598.01,20.1
2019-08-06 05-AM,XRPBTC,2.74e-05,2.74e-05,2.704e-05,2.704e-05,211047.33,5.759
