Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-08-07,XRPBTC,2.708e-05,2.733e-05,2.68e-05,2.687e-05,312043.24,8.454
2019-08-06,XRPBTC,2.727e-05,2.75e-05,2.621e-05,2.708e-05,5341852.22,143.48
2019-08-05,XRPBTC,2.906e-05,2.907e-05,2.713e-05,2.727e-05,6151286.81,171.94
2019-08-04,XRPBTC,2.92e-05,3.021e-05,2.891e-05,2.906e-05,2285077.42,67.12
2019-08-03,XRPBTC,2.959e-05,2.964e-05,2.9e-05,2.92e-05,2007387.67,58.77
2019-08-02,XRPBTC,3.041e-05,3.045e-05,2.936e-05,2.959e-05,2410630.05,72.15
2019-08-01,XRPBTC,3.17e-05,3.178e-05,3.004e-05,3.041e-05,3035815.83,93.56
2019-07-31,XRPBTC,3.324e-05,3.327e-05,3.143e-05,3.17e-05,3325506.01,106.99
2019-07-30,XRPBTC,3.259e-05,3.373e-05,3.253e-05,3.324e-05,3129008.14,103.99
2019-07-29,XRPBTC,3.266e-05,3.276e-05,3.224e-05,3.259e-05,1948533.66,63.26
2019-07-28,XRPBTC,3.271e-05,3.313e-05,3.219e-05,3.266e-05,1700322.38,55.58
2019-07-27,XRPBTC,3.291e-05,3.311e-05,3.155e-05,3.271e-05,5816397.47,188.42
2019-07-26,XRPBTC,3.172e-05,3.324e-05,3.172e-05,3.291e-05,2729305.55,88.17
2019-07-25,XRPBTC,3.232e-05,3.251e-05,3.139e-05,3.172e-05,2450327.91,77.72
2019-07-24,XRPBTC,3.136e-05,3.272e-05,3.134e-05,3.232e-05,2475946.77,79.3
2019-07-23,XRPBTC,3.109e-05,3.136e-05,3.083e-05,3.136e-05,2273542.83,70.65
2019-07-22,XRPBTC,3.119e-05,3.14e-05,3.069e-05,3.109e-05,3488101.41,108.22
2019-07-21,XRPBTC,3.104e-05,3.144e-05,3.075e-05,3.119e-05,3415998.64,106.11
2019-07-20,XRPBTC,3.04e-05,3.151e-05,3.035e-05,3.104e-05,5574410.31,172.95
2019-07-19,XRPBTC,3.015e-05,3.069e-05,2.982e-05,3.04e-05,2916126.13,88.3
