Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume JPY
2019-07-03 10-AM,BTCJPY,1217449,1232000,1211831,1219853,529.07,648123368.09
2019-07-03 09-AM,BTCJPY,1191809,1217468,1179899,1217449,752.13,898852457.87
2019-07-03 08-AM,BTCJPY,1218002,1225498,1191104,1191809,692.34,837251606.69
2019-07-03 07-AM,BTCJPY,1237010,1240000,1215000,1218002,555.92,683543247.56
2019-07-03 06-AM,BTCJPY,1240680,1244251,1226000,1237010,666.71,824162448.7
2019-07-03 05-AM,BTCJPY,1218041,1248879,1216903,1240680,951.46,1176247104.53
2019-07-03 04-AM,BTCJPY,1222222,1232903,1214501,1218041,696.28,851290112.08
2019-07-03 03-AM,BTCJPY,1205560,1227000,1197820,1222222,793.06,963176212.48
2019-07-03 02-AM,BTCJPY,1227772,1229400,1202240,1205560,856.26,1043376706.81
2019-07-03 01-AM,BTCJPY,1214088,1235833,1213000,1227772,1278.29,1564565900.44
2019-07-03 12-AM,BTCJPY,1174473,1219098,1173243,1214088,1481.47,1778977988.52
2019-07-02 11-PM,BTCJPY,1169794,1174473,1157287,1174473,491.38,573330741.57
2019-07-02 10-PM,BTCJPY,1156018,1176034,1154300,1169794,483.85,565332405.81
2019-07-02 09-PM,BTCJPY,1160970,1164301,1145000,1156018,591.91,683397629.87
2019-07-02 08-PM,BTCJPY,1167967,1182600,1160970,1160970,508.06,595613218.28
2019-07-02 07-PM,BTCJPY,1156999,1175000,1156999,1167967,356.58,416615358.02
2019-07-02 06-PM,BTCJPY,1159822,1161998,1144807,1156999,333.14,383703479.11
2019-07-02 05-PM,BTCJPY,1135093,1163000,1133504,1159822,672.28,773281947.05
2019-07-02 04-PM,BTCJPY,1149830,1150957,1128339,1135093,537.95,612018174.87
2019-07-02 03-PM,BTCJPY,1143129,1152000,1128105,1149830,812.59,924522387.13
2019-07-02 02-PM,BTCJPY,1078879,1143130,1075718,1143129,1018.75,1136321887.42
2019-07-02 01-PM,BTCJPY,1088031,1097949,1071236,1078879,563.01,609797673.47
