Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-07-03,ETHBTC,0.02701,0.02701,0.02581,0.02608,143.85,3.75
2019-07-02,ETHBTC,0.02774,0.0285,0.0267,0.02701,1373.62,38.11
2019-07-01,ETHBTC,0.02684,0.02828,0.02651,0.02774,530.74,14.65
2019-06-30,ETHBTC,0.02686,0.027,0.0261,0.02684,307.67,8.207
2019-06-29,ETHBTC,0.02497,0.02709,0.0249,0.02686,498.42,12.99
2019-06-28,ETHBTC,0.02614,0.02679,0.0249,0.02497,529.21,13.7
2019-06-27,ETHBTC,0.02551,0.0271,0.02523,0.02614,2895.7,76.75
2019-06-26,ETHBTC,0.02707,0.02826,0.02501,0.02551,2387.92,62.77
2019-06-25,ETHBTC,0.02816,0.02838,0.02682,0.02707,317.55,8.782
2019-06-24,ETHBTC,0.02886,0.02918,0.02801,0.02816,295.55,8.383
2019-06-23,ETHBTC,0.02886,0.0295,0.028,0.02886,301.99,8.795
2019-06-22,ETHBTC,0.0288,0.02971,0.02751,0.02886,885.43,25.13
2019-06-21,ETHBTC,0.02865,0.02981,0.02838,0.0288,1059.19,30.84
2019-06-20,ETHBTC,0.02906,0.02911,0.02803,0.02865,343.31,9.829
2019-06-19,ETHBTC,0.0291,0.02961,0.02881,0.02906,307.43,8.943
2019-06-18,ETHBTC,0.02947,0.02965,0.02881,0.0291,187.13,5.478
2019-06-17,ETHBTC,0.02975,0.03019,0.02915,0.02947,750.56,22.04
2019-06-16,ETHBTC,0.03032,0.03033,0.02945,0.02975,402.74,12.06
2019-06-15,ETHBTC,0.03044,0.03076,0.03032,0.03032,90.66,2.766
2019-06-14,ETHBTC,0.0306,0.03101,0.03035,0.03044,4588.37,140.66
2019-06-13,ETHBTC,0.03215,0.033,0.0306,0.0306,367.24,11.76
2019-06-12,ETHBTC,0.03098,0.03215,0.0305,0.03215,239.21,7.534
2019-06-11,ETHBTC,0.03084,0.03113,0.03071,0.03098,173.74,5.368
2019-06-10,ETHBTC,0.02974,0.031,0.02974,0.03084,218.37,6.708
2019-06-09,ETHBTC,0.03089,0.03089,0.02974,0.02974,207.51,6.314
2019-06-08,ETHBTC,0.03141,0.032,0.03041,0.03089,134.54,4.181
2019-06-07,ETHBTC,0.03178,0.032,0.0304,0.03141,98.44,3.08
2019-06-06,ETHBTC,0.0316,0.032,0.0312,0.03178,70.95,2.23
2019-06-05,ETHBTC,0.03111,0.03171,0.0303,0.0316,753.75,23.21
2019-06-04,ETHBTC,0.0306,0.03151,0.0275,0.03111,449.97,13.52
2019-06-03,ETHBTC,0.03144,0.03144,0.02926,0.0306,311.01,9.43
2019-06-02,ETHBTC,0.03088,0.03164,0.03021,0.03144,183.3,5.73
2019-06-01,ETHBTC,0.03065,0.032,0.03065,0.03088,195.97,6.16
2019-05-31,ETHBTC,0.03085,0.03282,0.03014,0.03065,380.55,11.77
2019-05-30,ETHBTC,0.03111,0.033,0.03,0.03085,1139.58,35.95
2019-05-29,ETHBTC,0.03109,0.0314,0.0308,0.03111,226.85,7.06
2019-05-28,ETHBTC,0.031,0.03151,0.03029,0.03109,196.72,6.1
2019-05-27,ETHBTC,0.03041,0.03138,0.02955,0.031,393.19,12.05
2019-05-26,ETHBTC,0.03111,0.0314,0.03,0.03041,312.48,9.6
2019-05-25,ETHBTC,0.0311,0.0324,0.031,0.03111,94.38,3.0
2019-05-24,ETHBTC,0.03093,0.03256,0.03089,0.0311,301.07,9.47
2019-05-23,ETHBTC,0.03169,0.03255,0.03055,0.03093,635.82,20.14
2019-05-22,ETHBTC,0.03191,0.0325,0.0313,0.03169,1489.0,47.58
2019-05-21,ETHBTC,0.03132,0.0328,0.03125,0.03191,482.14,15.35
2019-05-20,ETHBTC,0.032,0.03239,0.031,0.03132,682.69,21.45
2019-05-19,ETHBTC,0.03239,0.03239,0.03166,0.032,194.8,6.23
2019-05-18,ETHBTC,0.03249,0.0335,0.032,0.03239,265.32,8.69
2019-05-17,ETHBTC,0.0337,0.034,0.031,0.03249,1105.77,35.87
2019-05-16,ETHBTC,0.03063,0.0346,0.02847,0.0337,2365.33,75.82
2019-05-15,ETHBTC,0.02721,0.03165,0.0245,0.03063,1577.13,44.89
2019-05-14,ETHBTC,0.02475,0.028,0.02451,0.02721,861.32,22.48
2019-05-13,ETHBTC,0.02603,0.02731,0.02465,0.02475,1309.94,33.39
2019-05-12,ETHBTC,0.0265,0.02843,0.02511,0.02603,1542.22,40.48
2019-05-11,ETHBTC,0.027,0.02987,0.0251,0.0265,1245.48,34.25
2019-05-10,ETHBTC,0.02763,0.028,0.026,0.027,1014.93,27.62
2019-05-09,ETHBTC,0.028,0.02866,0.02725,0.02763,766.42,21.44
