Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
2019-08-07 03-AM,BTCKRW,13950000,13953000,13855000,13880000,173.32,2410562124.64
2019-08-07 02-AM,BTCKRW,13775000,14043000,13766000,13950000,501.37,6978348791.49
2019-08-07 01-AM,BTCKRW,13730000,13844000,13671000,13775000,441.38,6080176954.4
2019-08-07 12-AM,BTCKRW,13787000,13832000,13545000,13730000,1037.45,14184469609.25
2019-08-06 11-PM,BTCKRW,13521000,13844000,13486000,13787000,674.13,9221202200.28
2019-08-06 10-PM,BTCKRW,13659000,13710000,13414000,13521000,1227.68,16647396897.32
2019-08-06 09-PM,BTCKRW,13951000,13964000,13641000,13659000,629.78,8644653020.61
2019-08-06 08-PM,BTCKRW,13976000,14040000,13900000,13951000,111.66,1560872849.54
2019-08-06 07-PM,BTCKRW,13969000,14025000,13900000,13976000,96.89,1351503462.76
2019-08-06 06-PM,BTCKRW,13961000,13980000,13929000,13969000,37.26,519903125.21
2019-08-06 05-PM,BTCKRW,14017000,14075000,13922000,13961000,130.66,1830421468.6
2019-08-06 04-PM,BTCKRW,13920000,14030000,13874000,14017000,125.4,1748501898.2
2019-08-06 03-PM,BTCKRW,13959000,13974000,13861000,13920000,155.72,2169355584.17
2019-08-06 02-PM,BTCKRW,14035000,14045000,13900000,13959000,231.87,3241954811.32
2019-08-06 01-PM,BTCKRW,13890000,14058000,13814000,14035000,529.27,7388776896.7
2019-08-06 12-PM,BTCKRW,13991000,14006000,13685000,13890000,808.5,11180975344.26
2019-08-06 11-AM,BTCKRW,13970000,14119000,13900000,13991000,640.86,8977625460.43
2019-08-06 10-AM,BTCKRW,14454000,14519000,13801000,13970000,1625.99,22916793671.86
2019-08-06 09-AM,BTCKRW,14449000,14479000,14371000,14454000,284.33,4104462842.53
2019-08-06 08-AM,BTCKRW,14430000,14509000,14410000,14449000,375.27,5428303540.2
2019-08-06 07-AM,BTCKRW,14391000,14551000,14384000,14430000,964.99,13950102074.26
2019-08-06 06-AM,BTCKRW,14076000,14450000,14061000,14391000,1206.62,17199299061.68
2019-08-06 05-AM,BTCKRW,13873000,14080000,13861000,14076000,529.26,7397700069.09
2019-08-06 04-AM,BTCKRW,13871000,13880000,13820000,13873000,211.97,2934937402.49
2019-08-06 03-AM,BTCKRW,13878000,13938000,13820000,13871000,248.18,3444016510.92
2019-08-06 02-AM,BTCKRW,13928000,13937000,13630000,13878000,970.85,13374288765.75
2019-08-06 01-AM,BTCKRW,14101000,14150000,13832000,13928000,948.01,13229892528.13
2019-08-06 12-AM,BTCKRW,14192000,14244000,14020000,14101000,752.07,10642110871.63
2019-08-05 11-PM,BTCKRW,14066000,14239000,14023000,14192000,670.71,9484254307.57
2019-08-05 10-PM,BTCKRW,13900000,14096000,13900000,14066000,440.9,6182733217.49
2019-08-05 09-PM,BTCKRW,13876000,13972000,13823000,13900000,188.26,2615855320.53
2019-08-05 08-PM,BTCKRW,13908000,13984000,13848000,13876000,181.11,2515397539.28
2019-08-05 07-PM,BTCKRW,13974000,13994000,13901000,13908000,125.96,1757238046.42
2019-08-05 06-PM,BTCKRW,13890000,14030000,13886000,13974000,142.13,1986409926.84
2019-08-05 05-PM,BTCKRW,13979000,14066000,13852000,13890000,407.53,5704842816.21
2019-08-05 04-PM,BTCKRW,13864000,14000000,13847000,13979000,376.64,5247042983.97
2019-08-05 03-PM,BTCKRW,13910000,13910000,13791000,13864000,206.96,2864577561.05
2019-08-05 02-PM,BTCKRW,13835000,13930000,13830000,13910000,221.74,3079256054.75
2019-08-05 01-PM,BTCKRW,13877000,13900000,13812000,13835000,283.31,3927503756.1
2019-08-05 12-PM,BTCKRW,13889000,13950000,13811000,13877000,375.21,5207010505.53
2019-08-05 11-AM,BTCKRW,13727000,13899000,13555000,13889000,740.7,10150872280.84
2019-08-05 10-AM,BTCKRW,13817000,13900000,13715000,13727000,389.4,5375889238.36
2019-08-05 09-AM,BTCKRW,13849000,13863000,13790000,13817000,201.78,2786698443.48
2019-08-05 08-AM,BTCKRW,13759000,13850000,13707000,13849000,537.13,7401737273.22
2019-08-05 07-AM,BTCKRW,13770000,13985000,13720000,13759000,1031.42,14297896587.43
2019-08-05 06-AM,BTCKRW,13580000,13791000,13570000,13770000,517.68,7095217494.11
2019-08-05 05-AM,BTCKRW,13622000,13623000,13534000,13580000,219.78,2984983789.13
2019-08-05 04-AM,BTCKRW,13635000,13681000,13590000,13622000,337.48,4601773067.23
2019-08-05 03-AM,BTCKRW,13671000,13723000,13523000,13635000,689.42,9393190297.92
2019-08-05 02-AM,BTCKRW,13422000,13671000,13366000,13671000,900.6,12158656910.23
