Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume KRW
2019-08-07 03-AM,ETCKRW,7110,7110,7065,7065,191.59,1359045.58
2019-08-07 02-AM,ETCKRW,7130,7130,7085,7110,2630.53,18670599.15
2019-08-07 01-AM,ETCKRW,7085,7130,7070,7130,1940.88,13772239.4
2019-08-07 12-AM,ETCKRW,7080,7095,7035,7085,3542.38,25079336.22
2019-08-06 11-PM,ETCKRW,6985,7115,6970,7080,4492.05,31794098.85
2019-08-06 10-PM,ETCKRW,7015,7035,6960,6985,4670.0,32617980.72
2019-08-06 09-PM,ETCKRW,7075,7085,7000,7015,1570.09,11026438.92
2019-08-06 08-PM,ETCKRW,7100,7100,7075,7075,29.67,209968.08
2019-08-06 07-PM,ETCKRW,7090,7100,7065,7100,648.24,4582829.21
2019-08-06 06-PM,ETCKRW,7110,7110,7085,7090,59.32,420828.17
2019-08-06 05-PM,ETCKRW,7130,7145,7080,7110,2957.7,21029838.67
2019-08-06 04-PM,ETCKRW,7100,7140,7050,7130,16503.67,117667059.1
2019-08-06 03-PM,ETCKRW,7165,7180,7095,7100,1068.19,7613336.95
2019-08-06 02-PM,ETCKRW,7240,7250,7165,7165,549.43,3964193.27
2019-08-06 01-PM,ETCKRW,7220,7245,7180,7240,3797.5,27399357.78
2019-08-06 12-PM,ETCKRW,7250,7250,7170,7220,2242.74,16151703.2
2019-08-06 11-AM,ETCKRW,7285,7285,7245,7250,955.85,6942424.25
2019-08-06 10-AM,ETCKRW,7310,7390,7195,7285,12102.19,88171022.34
2019-08-06 09-AM,ETCKRW,7305,7325,7285,7310,1466.18,10704373.17
2019-08-06 08-AM,ETCKRW,7325,7325,7290,7305,1091.68,7971236.45
2019-08-06 07-AM,ETCKRW,7320,7355,7310,7325,3567.41,26161926.85
2019-08-06 06-AM,ETCKRW,7290,7340,7275,7320,3183.87,23215242.76
2019-08-06 05-AM,ETCKRW,7240,7290,7240,7290,3218.26,23367299.98
2019-08-06 04-AM,ETCKRW,7260,7265,7235,7240,2038.84,14774718.21
2019-08-06 03-AM,ETCKRW,7260,7270,7235,7260,3109.93,22544339.29
2019-08-06 02-AM,ETCKRW,7270,7290,7220,7260,4741.66,34374424.02
2019-08-06 01-AM,ETCKRW,7400,7400,7265,7270,4384.68,31979705.48
2019-08-06 12-AM,ETCKRW,7400,7440,7345,7400,12856.94,95302217.94
2019-08-05 11-PM,ETCKRW,7390,7420,7325,7400,2996.38,22112710.39
2019-08-05 10-PM,ETCKRW,7380,7430,7370,7390,8318.0,61468433.04
2019-08-05 09-PM,ETCKRW,7375,7380,7360,7380,138.21,1018145.53
2019-08-05 08-PM,ETCKRW,7430,7430,7375,7375,268.71,1983982.6
2019-08-05 07-PM,ETCKRW,7430,7430,7430,7430,0.0,0.0
2019-08-05 06-PM,ETCKRW,7465,7465,7430,7430,169.26,1259769.1
2019-08-05 05-PM,ETCKRW,7440,7485,7395,7465,2052.63,15321088.58
2019-08-05 04-PM,ETCKRW,7355,7440,7355,7440,923.7,6836820.24
2019-08-05 03-PM,ETCKRW,7375,7385,7345,7355,242.07,1780493.02
2019-08-05 02-PM,ETCKRW,7360,7385,7340,7375,1536.39,11311921.38
2019-08-05 01-PM,ETCKRW,7425,7440,7360,7360,3442.29,25506267.21
2019-08-05 12-PM,ETCKRW,7455,7480,7425,7425,1560.74,11635630.5
2019-08-05 11-AM,ETCKRW,7405,7460,7330,7455,6349.43,46895355.33
2019-08-05 10-AM,ETCKRW,7245,7405,7245,7405,6472.63,47551175.8
2019-08-05 09-AM,ETCKRW,7260,7285,7235,7245,6520.8,47261295.3
2019-08-05 08-AM,ETCKRW,7225,7260,7205,7260,3257.38,23529569.45
2019-08-05 07-AM,ETCKRW,7270,7295,7225,7225,1035.36,7524982.94
2019-08-05 06-AM,ETCKRW,7250,7270,7225,7270,3945.26,28617965.67
2019-08-05 05-AM,ETCKRW,7300,7300,7235,7250,2648.97,19244746.91
2019-08-05 04-AM,ETCKRW,7335,7335,7295,7300,1616.15,11813610.44
2019-08-05 03-AM,ETCKRW,7340,7370,7300,7335,3952.02,28997536.52
2019-08-05 02-AM,ETCKRW,7280,7340,7250,7340,1714.29,12513127.85
2019-08-05 01-AM,ETCKRW,7280,7315,7260,7280,1825.87,13304792.13
2019-08-05 12-AM,ETCKRW,7230,7310,7230,7280,4865.85,35368641.56
2019-08-04 11-PM,ETCKRW,7200,7230,7185,7230,1042.97,7499860.81
2019-08-04 10-PM,ETCKRW,7170,7200,7155,7200,1287.97,9243123.74
2019-08-04 09-PM,ETCKRW,7210,7210,7155,7170,2328.61,16716919.66
2019-08-04 08-PM,ETCKRW,7210,7210,7210,7210,0.0,0.0
2019-08-04 07-PM,ETCKRW,7210,7210,7210,7210,0.0,0.0
2019-08-04 06-PM,ETCKRW,7200,7210,7180,7210,852.61,6136665.79
2019-08-04 05-PM,ETCKRW,7210,7235,7200,7200,594.14,4285943.36
2019-08-04 04-PM,ETCKRW,7250,7250,7185,7210,788.13,5671160.09
2019-08-04 03-PM,ETCKRW,7250,7260,7225,7250,5090.54,36928799.02
2019-08-04 02-PM,ETCKRW,7155,7255,7130,7250,6564.03,47243686.11
2019-08-04 01-PM,ETCKRW,7105,7165,7100,7155,2396.29,17085282.76
2019-08-04 12-PM,ETCKRW,6955,7200,6955,7105,9163.18,65186995.51
2019-08-04 11-AM,ETCKRW,6950,6955,6950,6955,53.28,370593.7
2019-08-04 10-AM,ETCKRW,6930,6950,6925,6950,570.61,3952809.7
2019-08-04 09-AM,ETCKRW,6930,6930,6930,6930,57.69,399782.69
2019-08-04 08-AM,ETCKRW,6930,6930,6930,6930,0.0,0.0
2019-08-04 07-AM,ETCKRW,6955,6965,6930,6930,1212.03,8402767.52
2019-08-04 06-AM,ETCKRW,6930,6965,6930,6955,839.86,5825820.93
2019-08-04 05-AM,ETCKRW,6935,6950,6905,6930,352.82,2438411.63
2019-08-04 04-AM,ETCKRW,6965,6965,6915,6935,4391.67,30513585.87
2019-08-04 03-AM,ETCKRW,6990,6995,6965,6965,1317.87,9195927.88
2019-08-04 02-AM,ETCKRW,6995,6995,6990,6990,1061.31,7423855.65
2019-08-04 01-AM,ETCKRW,7010,7010,6990,6995,1417.6,9914992.6
2019-08-04 12-AM,ETCKRW,6990,7010,6990,7010,60.0,420600.0
2019-08-03 11-PM,ETCKRW,6990,7010,6990,6990,223.55,1563833.84
2019-08-03 10-PM,ETCKRW,6990,7010,6990,6990,69.63,486890.65
2019-08-03 09-PM,ETCKRW,7010,7010,6980,6990,952.23,6652340.98
