Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume KRW
2019-08-07,ETHKRW,271900,273200,267500,270500,7571.14,2047142020.75
2019-08-06,ETHKRW,280100,282600,267400,271900,71387.13,19540716841.55
2019-08-05,ETHKRW,262600,281100,262600,280100,72553.94,19722645841.1
2019-08-04,ETHKRW,262600,264200,256300,262600,26924.42,6999954132.93
2019-08-03,ETHKRW,260400,266500,259000,262600,28259.45,7444632021.64
2019-08-02,ETHKRW,257100,264800,255000,260400,44434.67,11565699723.34
2019-08-01,ETHKRW,259100,260000,250400,257100,37052.18,9419035976.72
2019-07-31,ETHKRW,248500,259500,247900,259100,43314.76,10967728049.63
2019-07-30,ETHKRW,250000,253500,243300,248500,31492.24,7795583459.85
2019-07-29,ETHKRW,251100,255000,244800,250000,31215.61,7802105277.89
2019-07-28,ETHKRW,247200,253400,238100,251100,33306.89,8216100774.23
2019-07-27,ETHKRW,260000,263500,241700,247200,51239.49,12917884928.78
2019-07-26,ETHKRW,260300,261100,252900,260000,32940.45,8448743343.11
2019-07-25,ETHKRW,257100,267400,256000,260300,48247.32,12655806974.73
2019-07-24,ETHKRW,254000,261500,239500,257100,73147.79,18148914563.62
2019-07-23,ETHKRW,259200,260900,250000,254000,48278.93,12305382042.83
2019-07-22,ETHKRW,267600,270800,254000,259200,39300.37,10327879334.14
2019-07-21,ETHKRW,271500,272700,259700,267600,42239.67,11273829149.87
2019-07-20,ETHKRW,263200,278500,262800,271500,61489.74,16688076842.31
2019-07-19,ETHKRW,269400,270000,256500,263200,54127.77,14223060135.53
2019-07-18,ETHKRW,253700,256500,246800,254700,6815.33,1707918815.29
2019-07-17,ETHKRW,241000,263100,231100,253700,116686.25,28692843529.9
2019-07-16,ETHKRW,278000,284000,236000,241000,139089.45,35699077533.14
2019-07-15,ETHKRW,275900,284900,245500,278000,164807.94,44377984448.7
2019-07-14,ETHKRW,327300,327500,272500,275900,106110.65,31242684173.14
2019-07-13,ETHKRW,331300,332500,322000,327300,27789.51,9066492961.02
2019-07-12,ETHKRW,326300,336900,319300,331300,61345.36,20161883043.63
2019-07-11,ETHKRW,349100,349400,318000,326300,93760.35,30938333144.47
2019-07-10,ETHKRW,366500,372600,337500,349100,93711.08,33310829210.4
2019-07-09,ETHKRW,371800,377100,361700,366500,60108.68,22294592668.93
2019-07-08,ETHKRW,364500,374500,359700,371800,58625.82,21508508058.67
2019-07-07,ETHKRW,348500,370000,344600,364500,47876.64,17112862867.88
2019-07-06,ETHKRW,349000,355900,345000,348500,39913.78,14018464325.19
2019-07-05,ETHKRW,342500,357000,340000,349000,51901.77,18078780056.19
2019-07-04,ETHKRW,363800,365300,340400,342500,54496.75,19265774373.57
2019-07-03,ETHKRW,355200,368600,350900,363800,82791.94,29726350154.16
2019-07-02,ETHKRW,361100,365000,330500,355200,125397.41,43245315976.34
2019-07-01,ETHKRW,366200,373000,343200,361100,112670.41,40387001697.56
2019-06-30,ETHKRW,389100,395900,363000,366200,91994.01,34746911840.75
2019-06-29,ETHKRW,384400,397000,366300,389100,96110.35,36339899491.29
2019-06-28,ETHKRW,369000,386000,364900,384400,120073.53,45278791374.64
2019-06-27,ETHKRW,318500,382900,318500,369000,129812.67,47542624646.51
2019-06-26,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-25,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-24,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-23,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-22,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-21,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-20,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-19,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-18,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-17,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-16,ETHKRW,318500,318500,318500,318500,0.0,0.0
2019-06-15,ETHKRW,317800,320000,312900,318500,29946.89,9503003716.78
2019-06-14,ETHKRW,308400,320000,305600,317800,60099.6,18729059260.8
