Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume KRW
2019-08-07,LTCKRW,112200,112200,110000,111200,2031.99,225680991.17
2019-08-06,LTCKRW,115700,117600,109000,112200,32185.67,3652478286.15
2019-08-05,LTCKRW,110100,125600,110100,115700,55498.06,6506575005.8
2019-08-04,LTCKRW,111600,112400,106800,110100,12969.86,1419071054.76
2019-08-03,LTCKRW,113600,115000,110800,111600,15119.75,1708570133.18
2019-08-02,LTCKRW,117300,117600,110900,113600,22051.27,2533728168.37
2019-08-01,LTCKRW,117400,118900,113000,117300,23530.97,2722963580.03
2019-07-31,LTCKRW,106900,118800,106600,117400,22662.52,2558415173.47
2019-07-30,LTCKRW,106900,109600,105200,106900,7600.88,810916824.14
2019-07-29,LTCKRW,106800,109400,103700,106900,9211.26,983552685.44
2019-07-28,LTCKRW,106100,107700,100500,106800,10107.67,1065292682.06
2019-07-27,LTCKRW,111700,113500,103500,106100,21690.51,2341405885.08
2019-07-26,LTCKRW,111000,111900,107200,111700,11591.49,1270088869.86
2019-07-25,LTCKRW,112300,114700,109300,111000,14077.98,1577053349.71
2019-07-24,LTCKRW,107700,115100,103500,112300,24052.55,2612171890.53
2019-07-23,LTCKRW,113600,113600,106300,107700,15545.44,1700887739.05
2019-07-22,LTCKRW,118200,119200,109200,113600,21187.08,2409923638.99
2019-07-21,LTCKRW,119300,120100,114400,118200,24780.52,2914456633.61
2019-07-20,LTCKRW,117000,125100,116100,119300,34410.23,4123734792.7
2019-07-19,LTCKRW,120100,120800,113800,117000,36579.81,4273084040.27
2019-07-18,LTCKRW,108200,108700,103700,106900,3154.2,333155023.51
2019-07-17,LTCKRW,96250,112900,92300,108200,53661.93,5614430917.26
2019-07-16,LTCKRW,110000,111400,94000,96250,28569.32,2929085672.21
2019-07-15,LTCKRW,109300,112200,102100,110000,31043.63,3331594365.12
2019-07-14,LTCKRW,123400,123500,105600,109300,26214.17,2962262704.56
2019-07-13,LTCKRW,126400,126900,120700,123400,12112.6,1493390220.27
2019-07-12,LTCKRW,125200,129100,120800,126400,16852.75,2110762337.87
2019-07-11,LTCKRW,130800,131000,115100,125200,35792.59,4397334467.23
2019-07-10,LTCKRW,142000,142600,122300,130800,38122.83,4985307434.02
2019-07-09,LTCKRW,146100,147200,140600,142000,14996.75,2158686447.9
