Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume KRW
2019-08-07,XRPKRW,374,376,371,374,5048444.84,1885582641.52
2019-08-06,XRPKRW,386,387,369,374,56201734.35,21245113941.68
2019-08-05,XRPKRW,377,391,376,386,59705857.69,22856657802.01
2019-08-04,XRPKRW,374,380,368,377,31116199.3,11655424665.15
2019-08-03,XRPKRW,373,376,371,374,18203689.31,6802412509.63
2019-08-02,XRPKRW,375,380,370,373,26119299.89,9787215440.9
2019-08-01,XRPKRW,380,380,369,375,24958483.79,9309442038.55
2019-07-31,XRPKRW,376,382,374,380,24664982.64,9324670190.8
2019-07-30,XRPKRW,367,380,363,376,33224884.48,12375440069.84
2019-07-29,XRPKRW,371,373,363,367,20180105.2,7419947127.69
2019-07-28,XRPKRW,370,374,361,371,21652917.6,7956323290.78
2019-07-27,XRPKRW,383,386,365,370,34419736.41,12811185781.41
2019-07-26,XRPKRW,372,386,365,383,35748058.43,13393296014.05
2019-07-25,XRPKRW,376,384,370,372,34677211.0,13076488726.38
2019-07-24,XRPKRW,369,378,360,376,45339944.3,16671395514.27
2019-07-23,XRPKRW,383,383,367,369,39197983.97,14647931162.82
2019-07-22,XRPKRW,393,395,376,383,37385701.1,14410327308.87
2019-07-21,XRPKRW,397,398,383,393,41403907.46,16177955093.62
2019-07-20,XRPKRW,381,404,380,397,70644698.09,27682595086.64
2019-07-19,XRPKRW,381,386,372,381,49034210.85,18558729417.55
2019-07-18,XRPKRW,374,376,367,376,3939933.54,1462053010.05
2019-07-17,XRPKRW,358,387,350,374,103186235.76,37964497209.92
2019-07-16,XRPKRW,381,388,354,358,88113293.1,32568236450.04
2019-07-15,XRPKRW,371,391,355,381,111884233.55,41845653104.23
2019-07-14,XRPKRW,404,405,367,371,81178357.27,31119681553.87
2019-07-13,XRPKRW,415,416,398,404,43504549.55,17604467514.89
2019-07-12,XRPKRW,399,423,382,415,119070765.48,48298634151.45
2019-07-11,XRPKRW,437,437,388,399,133943454.89,54180240332.18
2019-07-10,XRPKRW,469,472,423,437,107061853.72,47393476697.93
2019-07-09,XRPKRW,478,484,466,469,45779587.44,21729286075.24
2019-07-08,XRPKRW,474,482,468,478,43796028.09,20779544444.61
2019-07-07,XRPKRW,472,481,465,474,51063147.94,24169222260.44
2019-07-06,XRPKRW,460,493,456,472,73503643.14,34919632056.46
2019-07-05,XRPKRW,468,471,454,460,51013772.94,23549934927.45
2019-07-04,XRPKRW,489,490,467,468,58642933.38,27978688345.32
2019-07-03,XRPKRW,486,497,477,489,61411942.45,29930796356.12
2019-07-02,XRPKRW,499,505,468,486,99747489.42,48065650757.67
2019-07-01,XRPKRW,495,518,477,499,125936561.54,62432561004.25
2019-06-30,XRPKRW,520,525,492,495,85666262.46,43361685986.12
2019-06-29,XRPKRW,526,526,503,520,93064869.92,47752104576.63
2019-06-28,XRPKRW,508,528,501,526,104269240.1,53380355984.62
2019-06-27,XRPKRW,490,523,490,508,72020027.61,36675825326.69
2019-06-26,XRPKRW,490,490,490,490,0.0,0.0
2019-06-25,XRPKRW,490,490,490,490,0.0,0.0
2019-06-24,XRPKRW,490,490,490,490,0.0,0.0
2019-06-23,XRPKRW,490,490,490,490,0.0,0.0
2019-06-22,XRPKRW,490,490,490,490,0.0,0.0
2019-06-21,XRPKRW,490,490,490,490,0.0,0.0
2019-06-20,XRPKRW,490,490,490,490,0.0,0.0
2019-06-19,XRPKRW,490,490,490,490,0.0,0.0
2019-06-18,XRPKRW,490,490,490,490,0.0,0.0
2019-06-17,XRPKRW,490,490,490,490,0.0,0.0
2019-06-16,XRPKRW,490,490,490,490,0.0,0.0
2019-06-15,XRPKRW,488,494,482,490,97306216.84,47592537266.11
2019-06-14,XRPKRW,483,490,477,488,49891948.14,24054959927.89
2019-06-13,XRPKRW,483,492,478,483,49221954.43,23847556733.66
2019-06-12,XRPKRW,478,486,472,483,46774930.38,22385210202.89
2019-06-11,XRPKRW,489,490,472,478,50316573.13,24020201779.23
2019-06-10,XRPKRW,478,492,470,489,76656819.92,36907670648.49
2019-06-09,XRPKRW,504,505,470,478,77617263.27,37755256042.84
2019-06-08,XRPKRW,512,515,498,504,40633779.19,20593350801.55
2019-06-07,XRPKRW,508,522,502,512,77913807.15,39967395951.36
2019-06-06,XRPKRW,493,518,474,508,116459422.45,58083845237.95
2019-06-05,XRPKRW,492,503,477,493,88140081.42,43320802252.77
2019-06-04,XRPKRW,512,523,472,492,198580666.62,99359063728.96
2019-06-03,XRPKRW,532,560,512,512,163864041.54,88429602384.16
2019-06-02,XRPKRW,519,536,519,532,64352708.99,34000195281.66
2019-06-01,XRPKRW,532,535,512,519,57429204.88,30127454439.41
2019-05-31,XRPKRW,511,534,500,532,121750174.47,62878375841.91
2019-05-30,XRPKRW,528,564,501,511,247487236.77,132918536849.17
2019-05-29,XRPKRW,528,545,501,528,161230312.89,84946540823.0
2019-05-28,XRPKRW,513,539,496,528,191458729.12,98938868598.78
2019-05-27,XRPKRW,483,524,479,513,211458820.35,105425439243.85
2019-05-26,XRPKRW,460,493,446,483,97630551.02,45905031736.08
2019-05-25,XRPKRW,460,469,456,460,40343937.81,18629708703.02
2019-05-24,XRPKRW,458,471,446,460,86147330.42,39618243825.75
2019-05-23,XRPKRW,454,463,435,458,114564868.94,51333605067.97
2019-05-22,XRPKRW,475,490,449,454,120604187.05,56712697879.84
2019-05-21,XRPKRW,480,488,466,475,104440027.48,49689763988.38
2019-05-20,XRPKRW,495,497,461,480,145219705.73,69381919404.44
2019-05-19,XRPKRW,451,509,449,495,240450860.51,115760895582.12
2019-05-18,XRPKRW,468,480,445,451,151428709.56,69723756309.32
2019-05-17,XRPKRW,522,529,434,468,408159077.23,189052043013.56
2019-05-16,XRPKRW,551,578,491,522,324754786.42,175159826866.44
2019-05-15,XRPKRW,488,558,488,551,397851502.47,207924483428.29
2019-05-14,XRPKRW,396,502,392,488,567540767.49,260966283886.62
2019-05-13,XRPKRW,371,403,368,396,97514590.61,37976670984.42
2019-05-12,XRPKRW,384,402,365,371,103343387.05,39571052609.05
2019-05-11,XRPKRW,356,395,356,384,92448920.05,34672847805.7
2019-05-10,XRPKRW,354,360,352,356,18766673.71,6683133114.14
2019-05-09,XRPKRW,356,361,352,354,20839507.44,7430543602.24
2019-05-08,XRPKRW,353,357,350,356,12426190.5,4387421156.91
2019-05-07,XRPKRW,356,361,356,359,8341480.97,2993476779.75
2019-05-06,XRPKRW,356,360,350,356,11836668.68,4202866975.05
2019-05-05,XRPKRW,355,359,352,356,7689452.02,2729756300.87
2019-05-04,XRPKRW,357,367,348,355,23112724.05,8251747193.99
2019-05-03,XRPKRW,355,367,352,357,28774458.56,10300441446.84
2019-05-02,XRPKRW,352,355,349,355,12894912.47,4543705516.65
2019-05-01,XRPKRW,358,360,348,352,19743210.27,6974733188.47
2019-04-30,XRPKRW,341,364,340,358,43089369.36,15252465623.88
2019-04-29,XRPKRW,353,355,334,341,31522919.85,10824922318.61
2019-04-28,XRPKRW,355,357,352,353,7031001.18,2489432305.77
2019-04-27,XRPKRW,360,363,352,355,8306646.25,2959523875.15
2019-04-26,XRPKRW,353,360,346,360,23217342.95,8185620040.1
2019-04-25,XRPKRW,364,371,351,353,31211584.79,11280150369.86
2019-04-24,XRPKRW,382,384,357,364,48402300.8,17851893160.5
2019-04-23,XRPKRW,384,391,382,382,21063680.01,8141742452.07
2019-04-22,XRPKRW,381,390,377,384,22070189.64,8484306696.4
2019-04-21,XRPKRW,387,388,376,381,20863307.2,7950539796.64
2019-04-20,XRPKRW,388,390,385,387,11755937.53,4555212170.07
2019-04-19,XRPKRW,394,394,383,388,21215004.37,8206955742.64
2019-04-18,XRPKRW,387,400,385,394,53315930.42,20972500704.27
2019-04-17,XRPKRW,381,392,375,387,48006115.57,18445459392.32
2019-04-16,XRPKRW,376,383,371,381,25946451.66,9770923745.36
2019-04-15,XRPKRW,385,388,373,376,33615213.12,12807618282.9
2019-04-14,XRPKRW,383,387,376,385,17725180.17,6766552844.08
2019-04-13,XRPKRW,385,396,378,383,37331536.32,14375430003.96
2019-04-12,XRPKRW,387,389,372,385,51714883.16,19678039710.48
2019-04-11,XRPKRW,411,412,376,387,97373036.89,38082503499.09
2019-04-10,XRPKRW,404,415,403,411,50631838.26,20777194212.57
2019-04-09,XRPKRW,410,412,401,404,34970000.79,14184126429.14
2019-04-08,XRPKRW,409,420,401,410,80503277.71,33088222133.26
2019-04-07,XRPKRW,400,416,399,409,51710999.62,21040197526.97
2019-04-06,XRPKRW,409,409,391,400,61046566.53,24472318334.65
2019-04-05,XRPKRW,372,430,371,409,210510408.58,85517963032.08
2019-04-04,XRPKRW,382,388,367,372,77731923.32,29355509486.66
2019-04-03,XRPKRW,381,405,370,382,212314623.19,82983153342.93
2019-04-02,XRPKRW,353,383,352,381,187354490.22,69045479320.11
2019-04-01,XRPKRW,348,357,348,353,47603994.46,16776940725.21
2019-03-19,XRPKRW,352,352,350,351,1235095.03,434084232.1
2019-03-18,XRPKRW,351,355,349,352,29280682.2,10286979461.51
2019-03-17,XRPKRW,352,354,349,351,16691016.58,5851706541.38
2019-03-16,XRPKRW,350,358,349,352,45077358.04,15958276678.46
2019-03-15,XRPKRW,348,353,346,350,22701316.93,7934629009.01
2019-03-14,XRPKRW,350,354,343,348,45489608.88,15880015698.52
2019-03-13,XRPKRW,345,365,344,350,72863868.29,25780708455.65
2019-03-12,XRPKRW,347,348,341,345,31709012.86,10935166018.26
2019-03-11,XRPKRW,346,350,343,347,41228301.91,14272204561.38
2019-03-10,XRPKRW,347,351,343,346,40614940.39,14057341325.46
2019-03-09,XRPKRW,343,354,341,347,47613264.54,16516351042.07
2019-03-08,XRPKRW,347,350,340,343,37468278.77,12947902522.76
2019-03-07,XRPKRW,348,351,346,347,24163604.85,8421989328.26
2019-03-06,XRPKRW,347,354,342,348,39006110.46,13544097610.21
2019-03-05,XRPKRW,338,350,336,347,32949594.82,11324351439.79
2019-03-04,XRPKRW,346,348,334,338,33763772.57,11467155143.71
2019-03-03,XRPKRW,350,351,344,346,18807647.19,6539125533.44
2019-03-02,XRPKRW,352,355,346,350,26391130.23,9244199510.45
2019-03-01,XRPKRW,348,358,347,352,38024395.0,13436690297.1
2019-02-28,XRPKRW,348,352,341,348,38902494.66,13495340823.33
2019-02-27,XRPKRW,353,354,339,348,44828049.49,15605442030.65
2019-02-26,XRPKRW,362,370,349,353,80978748.55,28930000141.32
2019-02-25,XRPKRW,333,373,332,362,109286785.07,38768191316.31
2019-02-24,XRPKRW,362,372,331,333,143032642.48,50706520274.6
2019-02-23,XRPKRW,352,362,349,362,37909020.74,13475308212.45
2019-02-22,XRPKRW,353,355,349,352,24185859.47,8525138536.18
2019-02-21,XRPKRW,360,364,350,353,51170946.7,18229114202.83
2019-02-20,XRPKRW,352,364,345,360,70285492.93,25019162547.61
2019-02-19,XRPKRW,350,380,346,352,191404366.13,69303321715.47
2019-02-18,XRPKRW,334,355,333,350,108951463.71,37557243538.33
2019-02-17,XRPKRW,333,339,331,334,31013580.29,10358936572.36
2019-02-16,XRPKRW,334,335,332,333,18261059.81,6095591130.77
2019-02-15,XRPKRW,334,340,332,334,25076456.01,8397099114.38
2019-02-14,XRPKRW,336,338,333,334,18879172.38,6317800973.2
2019-02-13,XRPKRW,334,344,332,336,37388720.53,12587118853.65
2019-02-12,XRPKRW,332,337,328,334,25439985.22,8440199781.79
2019-02-11,XRPKRW,340,340,330,332,27423694.18,9153780986.54
2019-02-10,XRPKRW,341,342,326,340,39386408.95,13147832294.83
2019-02-09,XRPKRW,342,346,337,341,34541662.78,11768225183.81
