Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
2019-08-07 03-AM,BTCMXN,227262.8,227882.48,224900.12,226000.09,3.361,760426.77
2019-08-07 02-AM,BTCMXN,224779.81,227882.48,224000.08,227262.8,9.332,2115989.93
2019-08-07 01-AM,BTCMXN,223499.97,225000,222006.43,224779.81,3.338,748187.8
2019-08-07 12-AM,BTCMXN,223799.84,224494.37,222000,223499.97,6.511,1452583.62
2019-08-06 11-PM,BTCMXN,219500,224000,218500,223799.84,13.01,2887025.79
2019-08-06 10-PM,BTCMXN,219678.81,221800,217501.61,219500,16.84,3700503.77
2019-08-06 09-PM,BTCMXN,226229,227549.99,217999.99,219678.81,24.96,5508850.42
2019-08-06 08-PM,BTCMXN,226258.8,228217,226200,226229,5.054,1148500.62
2019-08-06 07-PM,BTCMXN,228198.69,228500,226200.13,226258.8,10.37,2359966.76
2019-08-06 06-PM,BTCMXN,228547.47,228908.74,226451.62,228198.69,8.228,1872949.23
2019-08-06 05-PM,BTCMXN,229500,230500,227200,228547.47,7.559,1734339.16
2019-08-06 04-PM,BTCMXN,228412.34,230249.99,225800,229500,11.13,2542116.67
2019-08-06 03-PM,BTCMXN,227123.12,228849.99,227100,228412.34,6.904,1573648.69
2019-08-06 02-PM,BTCMXN,227689.03,228974.83,225513.47,227123.12,17.1,3882343.61
2019-08-06 01-PM,BTCMXN,227849.02,228989.83,225771.75,227689.03,5.072,1153181.88
2019-08-06 12-PM,BTCMXN,228849.43,229499.85,225697.94,227849.02,7.97,1810638.16
2019-08-06 11-AM,BTCMXN,227500,229711.16,227500,228849.43,1.866,427167.51
2019-08-06 10-AM,BTCMXN,237474.76,237999.94,227500,227500,5.352,1229656.37
2019-08-06 09-AM,BTCMXN,235100.25,237499.81,235100.2,237474.76,0.8512,201005.41
2019-08-06 08-AM,BTCMXN,237266.57,237499.93,235100.19,235100.25,3.097,731258.77
2019-08-06 07-AM,BTCMXN,234999.93,237352.92,234244.59,237266.57,5.821,1373842.04
2019-08-06 06-AM,BTCMXN,229000,235000,228500,234999.93,18.07,4192752.02
2019-08-06 05-AM,BTCMXN,225219.28,229899.51,225219.28,229000,4.965,1131915.5
2019-08-06 04-AM,BTCMXN,225587.32,227000,225000,225219.28,6.33,1430525.45
2019-08-06 03-AM,BTCMXN,225885.27,227800,225529.51,225587.32,5.85,1324990.61
2019-08-06 02-AM,BTCMXN,226880.99,228147.93,223500.01,225885.27,21.65,4876171.96
2019-08-06 01-AM,BTCMXN,231510,231565.45,225600.01,226880.99,16.19,3681868.26
2019-08-06 12-AM,BTCMXN,230499,231800,229000,231510,8.378,1934206.53
2019-08-05 11-PM,BTCMXN,230336.73,231999.88,229294.62,230499,10.1,2327672.49
2019-08-05 10-PM,BTCMXN,229296.99,232000,228380,230336.73,11.05,2546957.89
2019-08-05 09-PM,BTCMXN,228580,230119.99,228000,229296.99,13.19,3017282.15
2019-08-05 08-PM,BTCMXN,228222.17,230350,228000,228580,11.0,2520996.43
2019-08-05 07-PM,BTCMXN,229208.8,230702.99,228000.14,228222.17,15.94,3659043.25
2019-08-05 06-PM,BTCMXN,228220.28,231499.99,228220.28,229208.8,19.0,4369663.3
2019-08-05 05-PM,BTCMXN,229700,232202,228001,228220.28,24.52,5663598.6
2019-08-05 04-PM,BTCMXN,227500,229700,226900,229700,16.8,3838165.18
2019-08-05 03-PM,BTCMXN,228208.89,228998,224506.87,227500,22.38,5064024.01
2019-08-05 02-PM,BTCMXN,228999.99,229779.75,227051.01,228208.89,10.16,2320882.61
2019-08-05 01-PM,BTCMXN,229000,229709,227197.01,228999.99,8.022,1833273.64
2019-08-05 12-PM,BTCMXN,226684.78,229500,226555.55,229000,6.319,1439514.74
2019-08-05 11-AM,BTCMXN,227489.69,227500,223500.01,226684.78,4.302,973604.46
2019-08-05 10-AM,BTCMXN,225596.37,227500,225596.37,227489.69,4.339,981957.56
2019-08-05 09-AM,BTCMXN,227897.05,228000.6,225417.5,225596.37,4.612,1046506.91
2019-08-05 08-AM,BTCMXN,224112.86,227897.05,223100.16,227897.05,4.685,1060562.8
2019-08-05 07-AM,BTCMXN,222800.58,227839,222800.58,224112.86,9.796,2208480.22
2019-08-05 06-AM,BTCMXN,222637.66,224950,222636.7,222800.58,4.049,904098.85
2019-08-05 05-AM,BTCMXN,222725.67,224183.18,222500,222637.66,4.314,961600.33
2019-08-05 04-AM,BTCMXN,224380,224998.85,222500.01,222725.67,12.24,2738872.71
2019-08-05 03-AM,BTCMXN,223880.19,224452.53,222001,224380,17.77,3965729.44
2019-08-05 02-AM,BTCMXN,220507.24,224000,220000,223880.19,20.37,4501613.67
2019-08-05 01-AM,BTCMXN,216700,222888,215536.18,220507.24,18.31,4025003.07
2019-08-05 12-AM,BTCMXN,210675.85,217006,209800.09,216700,29.46,6329536.62
2019-08-04 11-PM,BTCMXN,211111,211111,208284.01,210675.85,12.03,2529024.13
2019-08-04 10-PM,BTCMXN,209460.19,211499.99,207500.53,211111,12.12,2545043.82
2019-08-04 09-PM,BTCMXN,207205.16,209560.16,206651,209460.19,3.606,752835.23
2019-08-04 08-PM,BTCMXN,208300.35,209999.65,206646.96,207205.16,11.84,2465997.61
2019-08-04 07-PM,BTCMXN,208129.57,209100,207800.09,208300.35,6.142,1281810.62
2019-08-04 06-PM,BTCMXN,208156.13,209363.54,207100.51,208129.57,6.323,1318836.77
2019-08-04 05-PM,BTCMXN,209697.79,209799.99,207000.03,208156.13,33.4,6956433.74
2019-08-04 04-PM,BTCMXN,210000,210545,206420.01,209697.79,11.09,2305488.97
2019-08-04 03-PM,BTCMXN,206899.77,210399.98,206100,210000,13.18,2753936.61
2019-08-04 02-PM,BTCMXN,203663.19,206998.85,203663.19,206899.77,3.15,645775.19
2019-08-04 01-PM,BTCMXN,203963.8,205198.02,202992.28,203663.19,4.203,855153.04
2019-08-04 12-PM,BTCMXN,204301.61,205201.03,203811.01,203963.8,1.438,293394.31
2019-08-04 11-AM,BTCMXN,205002.92,205500,204301.61,204301.61,1.13,231991.84
2019-08-04 10-AM,BTCMXN,205500,205500,205000.01,205002.92,0.2671,54852.74
2019-08-04 09-AM,BTCMXN,204625.98,205500,204599.94,205500,0.1371,28137.07
2019-08-04 08-AM,BTCMXN,205496.99,205500,204515.83,204625.98,0.3,61374.16
2019-08-04 07-AM,BTCMXN,205499.93,205500,204307.74,205496.99,1.747,357638.43
2019-08-04 06-AM,BTCMXN,204828.71,205499.93,203350.07,205499.93,0.9524,194459.27
2019-08-04 05-AM,BTCMXN,204199.93,205878.02,202500.01,204828.71,8.75,1785532.41
2019-08-04 04-AM,BTCMXN,206507.05,207697.39,203500.01,204199.93,13.03,2666158.0
2019-08-04 03-AM,BTCMXN,208200,209439.99,206200,206507.05,4.596,953063.35
2019-08-04 02-AM,BTCMXN,209511.39,209644.99,208101.48,208200,1.981,414134.92
2019-08-04 01-AM,BTCMXN,208307.33,209599.99,208126.5,209511.39,2.643,551766.68
2019-08-04 12-AM,BTCMXN,208590.1,209499.99,207508.09,208307.33,2.171,452259.79
2019-08-03 11-PM,BTCMXN,208760,208763.99,207367.01,208590.1,1.882,390874.41
2019-08-03 10-PM,BTCMXN,209379.75,209379.75,207451.63,208760,3.249,675875.81
2019-08-03 09-PM,BTCMXN,208535.11,209500,207752.63,209379.75,4.9,1023840.22
2019-08-03 08-PM,BTCMXN,208016.56,209499.94,208000.05,208535.11,2.018,421489.53
2019-08-03 07-PM,BTCMXN,208764.94,209500,207751.02,208016.56,9.853,2061214.23
2019-08-03 06-PM,BTCMXN,208115.77,209500,208050.08,208764.94,6.106,1276383.98
2019-08-03 05-PM,BTCMXN,207749.31,209347.07,207740.07,208115.77,4.201,875498.55
