Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
2019-08-07,BTCMXN,223799.84,227882.48,222000,227879.89,22.54,5077188.12
2019-08-06,BTCMXN,230499,237999.94,217501.61,223799.84,232.63,52709425.2
2019-08-05,BTCMXN,210675.85,232202,209800.09,230499,302.73,68298640.91
2019-08-04,BTCMXN,208590.1,211499.99,202500.01,210675.85,156.23,32455098.69
2019-08-03,BTCMXN,203999,209500,203243.1,208590.1,103.89,21576058.43
2019-08-02,BTCMXN,200511.06,207000,199500,203999,211.32,42735132.78
2019-08-01,BTCMXN,193189.9,204161.55,190101.01,200511.06,187.4,36833819.49
2019-07-31,BTCMXN,184099,194430,182714.18,193189.9,164.73,31345134.62
2019-07-30,BTCMXN,181600,187350.66,179500.01,184099,117.82,21627972.25
2019-07-29,BTCMXN,183099.93,185800,179852.4,181600,135.34,24784574.96
2019-07-28,BTCMXN,181000,184000,175000,183099.93,53.86,9763682.21
2019-07-27,BTCMXN,187837.35,195607.46,179297,181000,131.08,24331988.41
2019-07-26,BTCMXN,190000,191800,185000,187837.35,141.81,26579968.96
2019-07-25,BTCMXN,188200,196600,186880.13,190000,140.13,26958095.76
2019-07-24,BTCMXN,190849.8,190940.75,183000.02,188200,140.92,26340505.89
2019-07-23,BTCMXN,197646.03,198996.97,188880.69,190849.8,154.58,29918681.22
2019-07-22,BTCMXN,201500,203800,193021,197646.03,108.37,21456928.04
2019-07-21,BTCMXN,204504,207086.99,197000,201500,71.74,14460819.51
2019-07-20,BTCMXN,201995.4,211629.43,199551,204504,111.04,22864217.59
2019-07-19,BTCMXN,205179.88,205779,195000,201995.4,163.75,32728317.9
2019-07-18,BTCMXN,185993.96,187596.59,183599.95,187596.59,10.44,1927914.61
2019-07-17,BTCMXN,182369.99,193460,173283.66,185993.96,374.62,69325638.77
2019-07-16,BTCMXN,209481.71,210000,179999,182369.99,287.04,54930334.79
2019-07-15,BTCMXN,204996.74,212693.06,193138,209481.71,376.14,76605299.54
2019-07-14,BTCMXN,218441.81,219999.98,201000,204996.74,145.4,30141334.89
2019-07-13,BTCMXN,227000,227799.93,208674,218441.81,149.14,32336281.42
2019-07-12,BTCMXN,220350,228688.99,214777.01,227000,186.21,41550242.34
2019-07-11,BTCMXN,234572.93,236547.58,213000,220350,302.44,67365577.82
2019-07-10,BTCMXN,239140.31,251000,225111.01,234572.93,316.22,75617952.05
2019-07-09,BTCMXN,232849,240808.3,230000.01,239140.31,242.53,57440259.33
2019-07-08,BTCMXN,217193.33,233900,216650,232849,186.42,42311176.8
2019-07-07,BTCMXN,217099.99,220000,213500,217193.33,62.51,13584792.49
2019-07-06,BTCMXN,211000.55,224497.4,211000.55,217099.99,138.8,30439065.4
2019-07-05,BTCMXN,213408,221499.99,208000,211000.55,255.39,54829127.62
2019-07-04,BTCMXN,226585.65,228999.99,213000,213408,243.31,54489268.96
2019-07-03,BTCMXN,207685.33,228000,206512.24,226585.65,322.09,70154079.33
2019-07-02,BTCMXN,204445.99,209810,188000,207685.33,322.28,64554478.08
2019-07-01,BTCMXN,208988.54,218100,193500,204445.99,345.27,70136499.8
2019-06-30,BTCMXN,229000,234500,206541,208988.54,148.29,32518206.67
2019-06-29,BTCMXN,238739.9,239999.7,218000,229000,197.63,45347086.66
2019-06-28,BTCMXN,213700.12,240349.99,205000,238739.9,370.09,83565561.46
2019-06-27,BTCMXN,258288.1,259000,192950,213700.12,595.36,131554455.94
2019-06-26,BTCMXN,229541.02,269103.2,216765.86,258288.1,602.15,147699362.44
2019-06-25,BTCMXN,210400,230000,209568.1,229541.02,253.05,55233222.47
2019-06-24,BTCMXN,204996.31,211402.5,200000,210400,181.61,37678929.46
