Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
2019-08-07 03-AM,ETHMXN,4394.43,4444.98,4380.37,4443.37,0.3119,1374.08
2019-08-07 02-AM,ETHMXN,4356.14,4445,4356.14,4394.43,12.56,55546.58
2019-08-07 01-AM,ETHMXN,4357.02,4419.99,4355.07,4356.14,2.992,13144.31
2019-08-07 12-AM,ETHMXN,4432.67,4439.98,4355.11,4357.02,13.07,57470.69
2019-08-06 11-PM,ETHMXN,4340.42,4436.41,4309.08,4432.67,40.54,176391.21
2019-08-06 10-PM,ETHMXN,4318.8,4399.78,4308.58,4340.42,13.59,59144.99
2019-08-06 09-PM,ETHMXN,4400.39,4434.21,4301,4318.8,46.27,200680.34
2019-08-06 08-PM,ETHMXN,4447.65,4449.9,4400.38,4400.39,71.03,315318.87
2019-08-06 07-PM,ETHMXN,4450.99,4483.93,4400.5,4447.65,22.35,99362.7
2019-08-06 06-PM,ETHMXN,4499.11,4499.11,4450,4450.99,12.75,56817.61
2019-08-06 05-PM,ETHMXN,4500,4523.78,4450,4499.11,22.76,101914.33
2019-08-06 04-PM,ETHMXN,4450,4500,4450,4500,33.95,152049.11
2019-08-06 03-PM,ETHMXN,4435.03,4489.69,4435.03,4450,14.85,65998.04
2019-08-06 02-PM,ETHMXN,4497.38,4497.38,4400.49,4435.03,7.065,31451.48
2019-08-06 01-PM,ETHMXN,4400,4499.95,4400,4497.38,5.53,24588.91
2019-08-06 12-PM,ETHMXN,4411.04,4496.81,4400,4400,6.272,27651.65
2019-08-06 11-AM,ETHMXN,4487.51,4488.57,4411.04,4411.04,37.7,167587.38
2019-08-06 10-AM,ETHMXN,4554.99,4615,4487.5,4487.51,40.04,184086.13
2019-08-06 09-AM,ETHMXN,4483.03,4555,4483.03,4554.99,1.236,5552.57
2019-08-06 08-AM,ETHMXN,4549.83,4554,4466.2,4483.03,5.644,25362.87
2019-08-06 07-AM,ETHMXN,4505.8,4549.83,4489.11,4549.83,0.9203,4161.26
2019-08-06 06-AM,ETHMXN,4427.68,4510,4427.68,4505.8,11.72,52613.57
2019-08-06 05-AM,ETHMXN,4451.7,4451.7,4403.62,4427.68,6.644,29458.82
