Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
2019-08-07,ETHMXN,4432.67,4445,4355.07,4389.6,28.93,127535.66
2019-08-06,ETHMXN,4589,4615,4301,4432.67,593.56,2648400.5
2019-08-05,ETHMXN,4305.68,4595.99,4246.91,4589,716.48,3221836.48
2019-08-04,ETHMXN,4255.06,4314.99,4164.07,4305.68,211.84,897909.5
2019-08-03,ETHMXN,4159.85,4319.97,4151.79,4255.06,444.7,1902595.23
2019-08-02,ETHMXN,4190,4286.59,4100.02,4159.85,232.1,972258.98
2019-08-01,ETHMXN,4178,4234.17,4050.01,4190,630.37,2592361.63
2019-07-31,ETHMXN,3979.4,4199.99,3979.4,4178,377.43,1557211.84
2019-07-30,ETHMXN,4007.01,4088.69,3900,3979.4,216.78,867767.08
2019-07-29,ETHMXN,4007.04,4089.99,3953.02,4007.01,240.97,971850.49
2019-07-28,ETHMXN,3960.06,4069.91,3800,4007.04,240.07,954756.47
2019-07-27,ETHMXN,4199.25,4294.99,3890.01,3960.06,401.28,1633565.68
2019-07-26,ETHMXN,4200.57,4247.25,4060.24,4199.25,234.15,970464.03
2019-07-25,ETHMXN,4117.31,4299.99,4100.01,4200.57,291.35,1231430.19
2019-07-24,ETHMXN,4030,4160,3875.04,4117.31,535.54,2175922.73
2019-07-23,ETHMXN,4160,4225.01,3911.06,4030,500.52,2052671.42
2019-07-22,ETHMXN,4274.86,4333.79,4082.01,4160,307.59,1280406.06
2019-07-21,ETHMXN,4469.27,4469.27,4150,4274.86,225.27,961726.43
2019-07-20,ETHMXN,4254.99,4500,4197.06,4469.27,630.22,2774736.36
2019-07-19,ETHMXN,4350.03,4451.71,4028.65,4254.99,558.05,2358906.13
2019-07-18,ETHMXN,4088.28,4117.31,3910.01,4117.31,45.18,179781.21
2019-07-17,ETHMXN,3858.47,4200.2,3705,4088.28,939.75,3742757.19
2019-07-16,ETHMXN,4353.03,4460.18,3701,3858.47,1047.59,4184021.6
2019-07-15,ETHMXN,4532,4537,4106.01,4353.03,1425.29,6217428.81
2019-07-14,ETHMXN,5234.08,5234.08,4530.21,4532,728.53,3414054.5
2019-07-13,ETHMXN,5328.18,5329.91,5008.01,5234.08,373.52,1925830.78
2019-07-12,ETHMXN,5132.2,5487.81,5132.2,5328.18,549.55,2898107.88
2019-07-11,ETHMXN,5570.87,5654.21,5032.04,5132.2,794.07,4203449.72
2019-07-10,ETHMXN,5869.77,5997.99,5401,5570.87,1213.61,6901121.61
2019-07-09,ETHMXN,5939.99,6011.17,5780.01,5869.77,589.19,3492497.49
2019-07-08,ETHMXN,5834.5,5940,5780,5939.99,484.8,2840143.8
2019-07-07,ETHMXN,5530,5909.98,5501.01,5834.5,254.57,1460062.2
2019-07-06,ETHMXN,5521.56,5779.99,5510.01,5530,499.33,2834617.25
2019-07-05,ETHMXN,5450,5640,5405.01,5521.56,384.26,2125515.26
2019-07-04,ETHMXN,5744.99,5749.49,5401,5450,688.41,3892200.18
2019-07-03,ETHMXN,5560.37,5749.84,5495.7,5744.99,679.77,3840609.76
2019-07-02,ETHMXN,5688,5732,5200.99,5560.37,1064.6,5800674.36
2019-07-01,ETHMXN,5602,5833.99,5350,5688,1033.38,5726746.22
2019-06-30,ETHMXN,6038.68,6248.97,5600.01,5602,710.33,4208896.16
2019-06-29,ETHMXN,5950.81,6239.98,5555.56,6038.68,874.65,5134860.9
2019-06-28,ETHMXN,5702.17,6099.93,5500.01,5950.81,1223.2,7196825.0
2019-06-27,ETHMXN,6509.88,6693.93,5250,5702.17,2460.36,14325922.33
2019-06-26,ETHMXN,6118,7049.15,5852.13,6509.88,3545.94,23015904.29
2019-06-25,ETHMXN,5939.97,6154.99,5873.07,6118,732.2,4385837.04
2019-06-24,ETHMXN,5778.2,5959.98,5680,5939.97,621.0,3627506.59
2019-06-23,ETHMXN,5804,5989.98,5739.76,5778.2,552.49,3257048.6
2019-06-22,ETHMXN,5648,5967,5580.04,5804,1850.39,10670898.63
2019-06-21,ETHMXN,5169.42,5649.99,5169.42,5648,1847.48,9988499.43
2019-06-20,ETHMXN,5141.19,5199,5052.41,5169.42,470.76,2409014.67
2019-06-19,ETHMXN,5015,5145.56,5000.01,5141.19,512.17,2593408.68
2019-06-18,ETHMXN,5170,5200,5000,5015,513.17,2605083.32
2019-06-17,ETHMXN,5188.23,5200,5050,5170,517.22,2664960.96
2019-06-16,ETHMXN,5169.18,5300,5005.01,5188.23,416.82,2165474.37
2019-06-15,ETHMXN,5086.99,5200,5005.02,5169.18,512.72,2623775.45
2019-06-14,ETHMXN,4960.21,5095,4850.08,5086.99,550.61,2731200.31
2019-06-13,ETHMXN,5028.99,5100,4901,4960.21,515.57,2585970.99
2019-06-12,ETHMXN,4759.37,5042.33,4703,5028.99,524.9,2573276.57
2019-06-11,ETHMXN,4788.97,4849.99,4615.04,4759.37,635.72,3014349.28
2019-06-10,ETHMXN,4545,4796.08,4501.02,4788.97,496.42,2326361.57
2019-06-09,ETHMXN,4801,4851.06,4512.18,4545,532.83,2468668.41
2019-06-08,ETHMXN,4930,4992.08,4800,4801,166.85,810489.26
2019-06-07,ETHMXN,4953.06,5032.57,4842.65,4930,555.69,2735913.45
2019-06-06,ETHMXN,4930,4999.99,4700,4953.06,507.86,2465515.79
2019-06-05,ETHMXN,4750,4946.99,4700,4930,672.17,3262647.69
2019-06-04,ETHMXN,5099.72,5099.81,4625.01,4750,1393.74,6746347.92
2019-06-03,ETHMXN,5297.65,5298,5010,5099.72,938.29,4846394.23
2019-06-02,ETHMXN,5312.88,5350,5216.32,5297.65,180.87,955289.23
2019-06-01,ETHMXN,5260,5398,5200.01,5312.88,413.08,2184633.71
2019-05-31,ETHMXN,4980.72,5260,4850.01,5260,676.58,3455910.34
2019-05-30,ETHMXN,5212.19,5534.13,4750,4980.72,1524.83,7921737.05
2019-05-29,ETHMXN,5250,5280,5010.01,5212.19,785.91,4086836.6
2019-05-28,ETHMXN,5170,5287.26,5100.37,5250,785.57,4091758.11
2019-05-27,ETHMXN,5080,5280,5000.01,5170,886.47,4543796.38
2019-05-26,ETHMXN,4849.85,5150,4720.98,5080,805.27,4000096.34
2019-05-25,ETHMXN,4740,4889.99,4712.42,4849.85,427.42,2055142.51
2019-05-24,ETHMXN,4658.18,4886.82,4623,4740,493.65,2362197.15
2019-05-23,ETHMXN,4702,4789.94,4500,4658.18,536.85,2484481.74
2019-05-22,ETHMXN,4931.73,4992.47,4611.24,4702,782.17,3763251.12
2019-05-21,ETHMXN,4849.97,5063.81,4741,4931.73,762.87,3727495.88
2019-05-20,ETHMXN,4997.94,4997.94,4525.04,4849.97,672.54,3202155.71
2019-05-19,ETHMXN,4520.17,5000,4501,4997.94,1038.06,5035652.5
2019-05-18,ETHMXN,4653.98,4800,4500,4520.17,533.68,2470062.8
