Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-08-07,BTCUSD,11470,11666,11388.01,11626.22,2189.52,25229922.41
2019-08-06,BTCUSD,11800,12325,11200,11470,16420.58,193547554.62
2019-08-05,BTCUSD,10986.96,11959.36,10986.55,11800,17260.46,201353715.36
2019-08-04,BTCUSD,10821.52,11085.99,10564.96,10986.96,7556.33,81929591.53
2019-08-03,BTCUSD,10529.51,10919,10502.8,10821.52,6996.12,75441657.32
2019-08-02,BTCUSD,10407.71,10670,10318.47,10529.51,9286.86,97381562.11
2019-08-01,BTCUSD,10085.34,10499,9878.09,10407.71,7681.73,77733048.8
2019-07-31,BTCUSD,9593.62,10143.2,9574.09,10085.34,7917.51,78200173.69
2019-07-30,BTCUSD,9495.39,9775,9373.48,9593.62,5533.97,52939667.09
2019-07-29,BTCUSD,9533.19,9725.17,9360,9495.39,5068.65,48310068.33
2019-07-28,BTCUSD,9481.37,9634.5,9111,9533.19,3860.83,36403147.17
2019-07-27,BTCUSD,9846.94,10235,9299,9481.37,9614.1,92385636.33
2019-07-26,BTCUSD,9883.96,9897.46,9650,9846.94,5570.11,54443100.84
2019-07-25,BTCUSD,9763.67,10187,9734.19,9883.96,6377.96,63834998.12
2019-07-24,BTCUSD,9847.02,9911.5,9514.96,9763.67,9433.35,91609723.74
2019-07-23,BTCUSD,10328.83,10328.83,9801.88,9847.02,9040.85,90667673.97
2019-07-22,BTCUSD,10600.24,10686.89,10052.25,10328.83,9371.31,97152157.16
2019-07-21,BTCUSD,10750.11,10839.09,10325,10600.24,5628.16,59511306.04
2019-07-20,BTCUSD,10535.43,11120,10359.17,10750.11,9964.67,106763959.49
2019-07-19,BTCUSD,10648.6,10776.99,10102.58,10535.43,13787.46,143864052.15
2019-07-18,BTCUSD,9699.35,9804.37,9580.71,9762.73,601.56,5812078.82
2019-07-17,BTCUSD,9412.81,9993,9049.54,9699.35,16992.79,161878855.06
2019-07-16,BTCUSD,10850,11042.11,9366,9412.81,20761.03,207176966.83
2019-07-15,BTCUSD,10191.87,11080.37,9855,10850,16048.03,166452851.72
2019-07-14,BTCUSD,11378.79,11467.3,10090,10191.87,12170.41,129392649.07
2019-07-13,BTCUSD,11808.91,11846.61,10810,11378.79,9391.35,105947622.16
2019-07-12,BTCUSD,11349.24,11942.39,11083.52,11808.91,9176.68,105982547.45
2019-07-11,BTCUSD,12098.95,12104.97,10966.81,11349.24,18468.69,212707393.65
2019-07-10,BTCUSD,12567.23,13200,11550,12098.95,19838.39,248386820.65
2019-07-09,BTCUSD,12286.14,12883.48,12030.43,12567.23,15115.55,188848935.9
2019-07-08,BTCUSD,11469.96,12398,11332.19,12286.14,11901.9,142163191.22
2019-07-07,BTCUSD,11240,11627,11083.76,11469.96,6683.06,75851416.72
2019-07-06,BTCUSD,10997.84,11735,10982.89,11240,7892.18,90077908.73
2019-07-05,BTCUSD,11146.34,11440,10769.15,10997.84,11893.44,132207381.38
2019-07-04,BTCUSD,11967.43,12061.04,11052.74,11146.34,11185.29,130996748.9
2019-07-03,BTCUSD,10828.9,12009,10828.9,11967.43,19389.85,220385744.08
2019-07-02,BTCUSD,10577.43,10942.63,9614.08,10828.9,20285.25,206617402.08
2019-07-01,BTCUSD,10760.1,11200.41,9950,10577.43,22917.44,243205448.54
2019-06-30,BTCUSD,11858.62,12200.06,10651.3,10760.1,12642.62,142891926.13
2019-06-29,BTCUSD,12354.43,12386.76,11317.03,11858.62,12266.0,144889140.81
2019-06-28,BTCUSD,11153.74,12447.46,10739.1,12354.43,18718.1,218180576.58
2019-06-27,BTCUSD,12920.54,13355.61,10300,11153.74,36106.96,417050294.03
2019-06-26,BTCUSD,11751.01,13880,11647.07,12920.54,37487.8,476983027.94
2019-06-25,BTCUSD,11029.63,11796.37,11000.02,11751.01,12133.57,137485305.05
2019-06-24,BTCUSD,10831.95,11099,10551.51,11029.63,8247.39,89425712.76
2019-06-23,BTCUSD,10661.3,11247.62,10483.33,10831.95,7270.65,78614343.38
2019-06-22,BTCUSD,10222.12,11200,10085.5,10661.3,13709.3,146874837.08
2019-06-21,BTCUSD,9534.99,10229.49,9534.97,10222.12,12553.1,123290085.49
2019-06-20,BTCUSD,9278.27,9600,9211.08,9534.99,7870.32,73844684.38
2019-06-19,BTCUSD,9078.84,9325.85,9036.19,9278.27,4687.26,42898235.43
2019-06-18,BTCUSD,9333.48,9361.87,8918,9078.84,11327.45,103380451.5
2019-06-17,BTCUSD,8974.19,9477.7,8973.02,9333.48,12760.96,118055249.83
2019-06-16,BTCUSD,8857.19,9391.85,8805,8974.19,15018.85,136949106.53
2019-06-15,BTCUSD,8697.54,8911.98,8623.52,8857.19,5275.75,46136638.05
2019-06-14,BTCUSD,8238,8737.37,8174.92,8697.54,8678.25,72939450.9
2019-06-13,BTCUSD,8176.27,8335.56,8049.22,8238,7237.8,59224703.04
2019-06-12,BTCUSD,7919.1,8266,7821.73,8176.27,8577.16,69114902.53
2019-06-11,BTCUSD,8021.1,8057.32,7713.34,7919.1,5552.69,43736594.89
2019-06-10,BTCUSD,7632.99,8090,7523.16,8021.1,7150.59,56100688.22
2019-06-09,BTCUSD,7932.27,7966.58,7511.41,7632.99,3895.85,30121891.88
2019-06-08,BTCUSD,8001.25,8061.12,7777.67,7932.27,4870.12,38536604.55
2019-06-07,BTCUSD,7806.07,8134.99,7758.93,8001.25,9012.1,71665291.08
2019-06-06,BTCUSD,7785.94,7878.62,7449.68,7806.07,8738.67,67238735.51
2019-06-05,BTCUSD,7665.53,7924.48,7570.9,7785.94,9193.71,71403852.94
2019-06-04,BTCUSD,8103.64,8103.64,7432.84,7665.53,15485.7,120977317.96
2019-06-03,BTCUSD,8734.49,8745.96,8049.22,8103.64,9955.03,84089274.15
2019-06-02,BTCUSD,8556.27,8833.97,8546.01,8734.49,4263.04,37098988.77
2019-06-01,BTCUSD,8547.2,8624.72,8457.33,8556.27,5167.05,44144370.37
2019-05-31,BTCUSD,8277.76,8589.99,8109.74,8547.2,9957.91,83009912.02
2019-05-30,BTCUSD,8663.41,9096.79,8000,8277.76,15259.59,130901794.23
2019-05-29,BTCUSD,8717.96,8762.39,8421.12,8663.41,7584.26,65411714.73
2019-05-28,BTCUSD,8770.73,8817.41,8540.94,8717.96,6144.01,53514184.13
2019-05-27,BTCUSD,8733.26,8939.18,8653.68,8770.73,8948.02,78657195.1
2019-05-26,BTCUSD,8064.64,8802.29,7888.91,8733.26,8526.81,71863220.7
2019-05-25,BTCUSD,7999.02,8158.45,7939.76,8064.64,3361.65,27074799.57
2019-05-24,BTCUSD,7880.22,8188.87,7795.95,7999.02,9358.97,75015715.38
2019-05-23,BTCUSD,7624.95,7980,7468.31,7880.22,8370.36,64573988.33
2019-05-22,BTCUSD,7955.16,8049.22,7505.69,7624.95,8396.82,65846626.43
2019-05-21,BTCUSD,8005.64,8117.48,7676.27,7955.16,7518.56,59705615.64
2019-05-20,BTCUSD,8200,8200,7581.03,8005.64,13426.79,106107178.84
2019-05-19,BTCUSD,7260.12,8299.99,7247.86,8200,15595.27,123932797.58
2019-05-18,BTCUSD,7351.71,7493.85,7205.57,7260.12,7564.9,55459642.04
2019-05-17,BTCUSD,7880,7942.09,6178,7351.71,27307.58,195598026.61
2019-05-16,BTCUSD,8208.69,8390.95,7654.93,7880,17078.7,136561637.63
2019-05-15,BTCUSD,7986,8300,7838,8208.69,16613.07,133855606.84
2019-05-14,BTCUSD,7810.05,8335.56,7618.99,7986,18881.44,151041058.58
2019-05-13,BTCUSD,6974.35,8167.5,6863.75,7810.05,27299.34,207721775.3
2019-05-12,BTCUSD,7217.47,7585,6762.57,6974.35,27398.21,196853127.65
2019-05-11,BTCUSD,6342.84,7445,6338.93,7217.47,22331.44,154120013.56
2019-05-10,BTCUSD,6156.7,6426.8,6105,6342.84,13821.71,86993043.92
2019-05-09,BTCUSD,5940.89,6172,5932.83,6156.7,9081.24,54837077.64
2019-05-08,BTCUSD,5751.54,5986,5658.66,5940.89,6320.41,36919597.99
2019-05-07,BTCUSD,5685.46,5970,5685.46,5899.07,4759.47,27902856.45
2019-05-06,BTCUSD,5709.32,5755.79,5562.44,5685.46,6826.98,38600438.32
2019-05-05,BTCUSD,5764.65,5782.55,5624.25,5709.32,5162.56,29525690.05
2019-05-04,BTCUSD,5658.22,5846.13,5510,5764.65,8525.46,48561070.88
2019-05-03,BTCUSD,5385,5796.56,5363.1,5658.22,12700.59,71710767.76
2019-05-02,BTCUSD,5318.42,5422.94,5304.99,5385,5908.52,31718265.13
2019-05-01,BTCUSD,5269,5357.96,5263.03,5318.42,4209.28,22327344.49
2019-04-30,BTCUSD,5149.11,5287.4,5127.05,5269,5055.27,26344656.3
2019-04-29,BTCUSD,5160.98,5191.96,5071.58,5149.11,5753.62,29624138.31
2019-04-28,BTCUSD,5168.91,5213.23,5099,5160.98,3957.25,20435452.59
2019-04-27,BTCUSD,5155.19,5218.31,5113,5168.91,4041.33,20859890.06
2019-04-26,BTCUSD,5132.55,5291.48,5046.31,5155.19,15033.1,77511527.5
2019-04-25,BTCUSD,5440.95,5510,4991.42,5132.55,9893.94,52721094.6
2019-04-24,BTCUSD,5531.32,5623.3,5372,5440.95,10521.04,57671142.74
2019-04-23,BTCUSD,5386.8,5627,5363.24,5531.32,10132.4,56135134.06
2019-04-22,BTCUSD,5295.65,5439.12,5249,5386.8,7127.11,38003121.44
2019-04-21,BTCUSD,5318.89,5346.91,5212.8,5295.65,4631.04,24426951.87
2019-04-20,BTCUSD,5289.91,5362.97,5253.82,5318.89,3665.57,19479087.79
2019-04-19,BTCUSD,5281.58,5357.96,5180.37,5289.91,5285.61,27787551.02
2019-04-18,BTCUSD,5233.72,5325,5218.23,5281.58,6375.9,33581379.58
2019-04-17,BTCUSD,5202.43,5275.07,5170.01,5233.72,6741.08,35182213.53
2019-04-16,BTCUSD,5027.31,5231.96,5014.77,5202.43,7675.4,39252097.87
2019-04-15,BTCUSD,5162.72,5192.01,4948.57,5027.31,7423.01,37886833.04
2019-04-14,BTCUSD,5063.63,5185.26,5012.73,5162.72,3443.45,17507405.65
2019-04-13,BTCUSD,5076.35,5122.01,5033.73,5063.63,4520.44,22996133.34
2019-04-12,BTCUSD,5040.2,5122.48,4912,5076.35,8057.04,40611392.58
2019-04-11,BTCUSD,5323.47,5344.31,4966.87,5040.2,15052.96,77058519.38
2019-04-10,BTCUSD,5192.6,5466.06,5161,5323.47,10723.93,56733870.63
2019-04-09,BTCUSD,5287.88,5288.95,5136.01,5192.6,9410.35,49074999.2
2019-04-08,BTCUSD,5190.85,5347.37,5127.68,5287.88,13344.98,69911564.04
2019-04-07,BTCUSD,5041.39,5253.49,5028.3,5190.85,10872.52,55878707.92
2019-04-06,BTCUSD,5039.73,5240,4900,5041.39,10049.84,51017111.46
2019-04-05,BTCUSD,4907.94,5067.62,4883.83,5039.73,13023.75,64917443.58
2019-04-04,BTCUSD,4978.23,5077.35,4778.59,4907.94,15898.12,78840978.39
2019-04-03,BTCUSD,4899.63,5345,4800.5,4978.23,29321.27,148435658.41
2019-04-02,BTCUSD,4136.32,5080,4130.64,4899.63,30678.76,144752149.29
2019-04-01,BTCUSD,4096.08,4150,4052.56,4136.32,7232.99,29807202.33
2019-03-19,BTCUSD,3969.59,3985,3967.57,3978.58,180.41,717627.91
2019-03-18,BTCUSD,3965.5,4016.63,3929.83,3969.59,5420.23,21505812.16
2019-03-17,BTCUSD,3990,3992.42,3927.28,3965.5,2711.95,10744212.34
2019-03-16,BTCUSD,3901.21,4040,3899.12,3990,6959.48,27724833.66
2019-03-15,BTCUSD,3854.77,3912.06,3843.09,3901.21,6411.98,24876260.54
2019-03-14,BTCUSD,3848.48,3903.98,3775.01,3854.77,5167.57,19886126.85
2019-03-13,BTCUSD,3859.74,3874.68,3820,3848.48,4275.54,16469275.85
2019-03-12,BTCUSD,3849.25,3877.69,3791.07,3859.74,5794.61,22283818.22
2019-03-11,BTCUSD,3897.92,3912.89,3812.64,3849.25,6612.12,25515157.45
2019-03-10,BTCUSD,3916.43,3916.43,3862,3897.92,3000.61,11673773.43
2019-03-09,BTCUSD,3844.64,3950.25,3835.66,3916.43,5125.9,19985226.61
2019-03-08,BTCUSD,3856.64,3924.37,3760.1,3844.64,7707.4,29803213.62
2019-03-07,BTCUSD,3851.55,3891.04,3826.13,3856.64,7964.51,30756305.29
2019-03-06,BTCUSD,3844.07,3895.12,3808.8,3851.55,6402.68,24600354.34
2019-03-05,BTCUSD,3698.66,3877.1,3690,3844.07,7280.82,27498624.65
2019-03-04,BTCUSD,3789.52,3806.9,3670,3698.66,7293.72,27105164.09
2019-03-03,BTCUSD,3810.46,3822.39,3756,3789.52,2508.09,9523416.42
2019-03-02,BTCUSD,3807.05,3818.75,3760,3810.46,3259.74,12393751.74
2019-03-01,BTCUSD,3791.36,3845.3,3789.5,3807.05,4761.41,18170862.43
2019-02-28,BTCUSD,3798.47,3897.62,3755,3791.36,6747.88,25746719.72
