Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-08-07,ETHEUR,201.67,202.98,199.95,202.18,531.75,107466.92
2019-08-06,ETHEUR,207.17,213.81,198.65,201.67,9984.59,2048451.13
2019-08-05,ETHEUR,200.95,212,200.95,207.17,8074.22,1670657.15
2019-08-04,ETHEUR,199.7,201.47,195.84,200.95,3896.24,772638.27
2019-08-03,ETHEUR,196.01,202,194.7,199.7,3101.58,620193.98
2019-08-02,ETHEUR,196.31,201.05,193.45,196.01,4251.54,839010.75
2019-08-01,ETHEUR,197.66,198.16,190.48,196.31,4157.76,807122.7
2019-07-31,ETHEUR,188.22,197.66,187.91,197.66,4621.05,893112.47
2019-07-30,ETHEUR,189.27,192.51,183.5,188.22,4529.61,852571.85
2019-07-29,ETHEUR,190.03,193.52,185,189.27,5731.22,1082082.91
2019-07-28,ETHEUR,186.37,192.03,177.73,190.03,4942.03,918500.12
2019-07-27,ETHEUR,197.38,201.4,181.96,186.37,8597.68,1621975.13
2019-07-26,ETHEUR,196.18,198.42,190.86,197.38,5327.71,1036926.53
2019-07-25,ETHEUR,194.94,202.57,193.47,196.18,6541.08,1301331.4
2019-07-24,ETHEUR,190.15,196,180,194.94,8722.61,1636745.13
2019-07-23,ETHEUR,193.46,196.87,186.51,190.15,6156.96,1174071.44
2019-07-22,ETHEUR,201.17,203.81,188.64,193.46,9055.24,1761013.83
2019-07-21,ETHEUR,204.59,205.32,194,201.17,4735.09,942776.75
2019-07-20,ETHEUR,197.52,210.48,196.67,204.59,5540.15,1133208.68
2019-07-19,ETHEUR,200.99,201.53,190.3,197.52,6892.11,1345339.8
2019-07-18,ETHEUR,188.68,190.74,184.7,189.04,350.64,65623.29
2019-07-17,ETHEUR,177.73,196.63,170.93,188.68,18592.94,3405960.73
2019-07-16,ETHEUR,203.39,208.09,169.79,177.73,18809.88,3501733.35
2019-07-15,ETHEUR,200.65,209.68,181.16,203.39,16026.21,3182673.32
2019-07-14,ETHEUR,239.98,239.98,198.46,200.65,17510.96,3738596.0
2019-07-13,ETHEUR,244.35,245.15,232.64,239.98,2992.43,712437.85
2019-07-12,ETHEUR,239.43,248.64,236.91,244.35,4687.22,1144392.47
2019-07-11,ETHEUR,256.88,256.88,232.84,239.43,12978.66,3135798.88
2019-07-10,ETHEUR,274.69,280.92,250.4,256.88,12920.69,3394469.66
2019-07-09,ETHEUR,279.1,284,270.73,274.69,7806.1,2172236.24
2019-07-08,ETHEUR,272.77,281,268.99,279.1,4921.59,1354746.37
2019-07-07,ETHEUR,256.4,277,253,272.77,4979.46,1334733.28
2019-07-06,ETHEUR,255.93,265.31,254.23,256.4,2716.76,707088.77
2019-07-05,ETHEUR,251,262.42,248.36,255.93,5722.13,1467554.67
2019-07-04,ETHEUR,267.46,269.55,248.3,251,6107.62,1589706.2
2019-07-03,ETHEUR,257.46,268.77,256.71,267.46,12864.83,3371522.22
2019-07-02,ETHEUR,259.99,261.94,239.54,257.46,11153.6,2784768.95
2019-07-01,ETHEUR,253.47,263.97,246.04,259.99,11581.58,2945807.31
2019-06-30,ETHEUR,279.48,283.49,251.21,253.47,8995.82,2371894.83
2019-06-29,ETHEUR,272.46,283.73,256.04,279.48,7114.02,1904383.26
2019-06-28,ETHEUR,256.79,274.52,254.2,272.46,11373.63,3034241.52
2019-06-27,ETHEUR,294.14,301.64,240.17,256.79,30021.16,8016932.32
2019-06-26,ETHEUR,277.75,319.97,275.71,294.14,46793.17,13756731.36
2019-06-25,ETHEUR,272.42,279.15,268.3,277.75,7454.57,2041429.99
2019-06-24,ETHEUR,269.16,275.98,259.58,272.42,7110.17,1917653.45
2019-06-23,ETHEUR,271.67,280.36,266.78,269.16,8904.67,2437343.72
2019-06-22,ETHEUR,260.69,277.8,258.33,271.67,15587.13,4195852.7
2019-06-21,ETHEUR,241.38,261.2,240.95,260.69,13374.79,3400875.59
2019-06-20,ETHEUR,239.56,243.6,236.21,241.38,6478.05,1545923.29
2019-06-19,ETHEUR,236.35,241.34,236.26,239.56,3384.64,808776.19
2019-06-18,ETHEUR,244.22,244.22,233.02,236.35,5400.41,1284273.47
2019-06-17,ETHEUR,239.61,245.55,238.73,244.22,7122.19,1725753.32
2019-06-16,ETHEUR,240.06,248.96,234.05,239.61,8820.97,2134352.04
2019-06-15,ETHEUR,235.21,243.63,233.5,240.06,4508.1,1072529.41
2019-06-14,ETHEUR,225.83,237.72,224.07,235.21,5783.0,1329109.43
2019-06-13,ETHEUR,232.79,234.12,225.58,225.83,10228.21,2357448.91
2019-06-12,ETHEUR,216.26,233.48,214.97,232.79,9692.55,2169400.94
2019-06-11,ETHEUR,219.5,220.13,209.8,216.26,7478.08,1607839.87
2019-06-10,ETHEUR,206.06,219.5,201.83,219.5,6909.18,1477585.72
2019-06-09,ETHEUR,216.91,216.91,201.38,206.06,5062.76,1051690.65
2019-06-08,ETHEUR,220.55,221.51,213.49,216.91,2485.13,539935.37
2019-06-07,ETHEUR,221.21,224.44,217.35,220.55,14925.43,3300648.32
2019-06-06,ETHEUR,219.38,222.79,208.91,221.21,6261.72,1348775.34
2019-06-05,ETHEUR,213.85,222,211.57,219.38,5979.41,1297403.23
2019-06-04,ETHEUR,221.79,224,207.12,213.85,21029.83,4537440.98
2019-06-03,ETHEUR,241.37,241.52,219.78,221.79,10840.56,2506695.54
2019-06-02,ETHEUR,237.31,245,236.78,241.37,4310.89,1042014.16
2019-06-01,ETHEUR,240.16,246.82,234.31,237.31,5321.77,1278797.47
2019-05-31,ETHEUR,228.89,240.91,221,240.16,12158.37,2799901.32
2019-05-30,ETHEUR,241.65,259.51,215,228.89,30428.08,7331289.25
2019-05-29,ETHEUR,243.65,246.49,232.3,241.65,6564.47,1581411.03
2019-05-28,ETHEUR,242.86,247.99,237,243.65,6332.27,1532277.67
2019-05-27,ETHEUR,239.77,249.87,236.63,242.86,11293.54,2722624.12
2019-05-26,ETHEUR,225.48,241.98,220.23,239.77,9781.5,2280696.96
2019-05-25,ETHEUR,222.88,231.21,222,225.48,3667.31,830200.96
2019-05-24,ETHEUR,219.98,228.97,216.83,222.88,5871.91,1317058.14
2019-05-23,ETHEUR,219.48,222.39,208,219.98,12097.29,2591351.65
2019-05-22,ETHEUR,230.63,234.52,215.5,219.48,9651.58,2179697.09
2019-05-21,ETHEUR,226.8,237.27,222.2,230.63,9911.56,2276327.2
2019-05-20,ETHEUR,233.97,233.97,214.18,226.8,11543.7,2582807.07
2019-05-19,ETHEUR,211.05,237,209.82,233.97,16415.58,3752384.36
2019-05-18,ETHEUR,219,222.27,208,211.05,8777.01,1889412.51
2019-05-17,ETHEUR,237.1,241,199.57,219,49348.46,10501152.97
2019-05-16,ETHEUR,222.6,250,216.91,237.1,53589.22,12529550.72
2019-05-15,ETHEUR,194.5,223.83,194,222.6,36952.23,7722559.86
2019-05-14,ETHEUR,174.45,197.03,173.93,194.5,34639.15,6439941.37
2019-05-13,ETHEUR,167.19,186.5,165.53,174.45,30163.6,5337207.18
2019-05-12,ETHEUR,170.15,181.93,162.49,167.19,27961.21,4773952.66
2019-05-11,ETHEUR,153.6,182,153.6,170.15,38139.32,6484835.81
2019-05-10,ETHEUR,151.56,156.95,149.51,153.6,8731.26,1345204.86
2019-05-09,ETHEUR,151.23,154.82,147.15,151.56,6782.44,1019477.81
2019-05-08,ETHEUR,148.38,153.22,145.1,151.23,7773.8,1162836.64
2019-05-07,ETHEUR,153.06,161.11,153.06,157.2,4935.08,780145.42
2019-05-06,ETHEUR,144.35,156.97,140.94,153.06,11230.85,1688472.66
2019-05-05,ETHEUR,144.46,146.43,140.42,144.35,2785.82,399915.75
2019-05-04,ETHEUR,147.42,150.66,141.12,144.46,6191.82,898621.4
2019-05-03,ETHEUR,142.44,151.7,141.12,147.42,9880.1,1458779.18
2019-05-02,ETHEUR,141.22,143.62,139.29,142.44,4447.0,630242.45
2019-05-01,ETHEUR,142.87,145.38,139.95,141.22,2475.13,351741.73
2019-04-30,ETHEUR,136.32,143.74,136.32,142.87,8592.7,1204572.59
2019-04-29,ETHEUR,137.56,138.73,133,136.32,5566.46,757209.4
2019-04-28,ETHEUR,140.05,140.97,136.77,137.56,5607.15,778510.18
2019-04-27,ETHEUR,137.62,142.47,136.86,140.05,6049.06,843947.38
2019-04-26,ETHEUR,136.73,140.14,133.24,137.62,11746.12,1599764.08
2019-04-25,ETHEUR,148.59,149.23,131.97,136.73,9518.25,1349014.62
2019-04-24,ETHEUR,151.89,152.59,143.8,148.59,9846.1,1452175.83
2019-04-23,ETHEUR,152.25,157.2,150.79,151.89,5997.97,928814.41
2019-04-22,ETHEUR,151.63,154.28,150,152.25,3020.76,459182.9
2019-04-21,ETHEUR,154.5,155.13,148.33,151.63,3636.35,548869.53
2019-04-20,ETHEUR,154.87,158,152.17,154.5,2595.89,402328.97
2019-04-19,ETHEUR,154.21,155.41,150.43,154.87,4095.38,627252.65
2019-04-18,ETHEUR,147.36,156.99,146.91,154.21,8058.65,1238562.52
2019-04-17,ETHEUR,147.5,149.26,145.86,147.36,3457.34,508665.87
2019-04-16,ETHEUR,141.84,148.51,141.21,147.5,5222.27,760768.28
2019-04-15,ETHEUR,148.66,150.14,138.31,141.84,6519.28,940211.53
2019-04-14,ETHEUR,145.75,150.1,143.58,148.66,2040.97,298185.66
2019-04-13,ETHEUR,145.45,147.19,143.56,145.75,2318.99,337261.78
2019-04-12,ETHEUR,146.84,148.37,141.41,145.45,6566.01,953313.07
2019-04-11,ETHEUR,157.49,157.62,142.34,146.84,16579.43,2468380.77
2019-04-10,ETHEUR,156.07,164.56,150.58,157.49,13669.4,2176971.77
2019-04-09,ETHEUR,160.37,160.37,155.2,156.07,5979.25,941279.43
2019-04-08,ETHEUR,155.98,166.89,155.33,160.37,18831.86,3028586.42
2019-04-07,ETHEUR,147.23,157.5,146.45,155.98,7681.67,1174556.58
2019-04-06,ETHEUR,147.91,154.09,142.47,147.23,8870.75,1310708.24
