Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-08-07,ETHUSD,225.92,227.28,224.18,226.28,3545.92,800725.35
2019-08-06,ETHUSD,232.92,239.62,222.35,225.92,57300.43,13192105.35
2019-08-05,ETHUSD,223,237.29,223,232.92,32110.43,7438641.46
2019-08-04,ETHUSD,222.03,223.76,217.42,223,7621.87,1683876.62
2019-08-03,ETHUSD,217.62,224.8,216.58,222.03,13214.2,2933373.0
2019-08-02,ETHUSD,217.72,222.98,214.74,217.62,21577.24,4723153.23
2019-08-01,ETHUSD,218.68,219.43,210.98,217.72,21094.48,4516885.53
2019-07-31,ETHUSD,209.81,218.9,209.65,218.68,23170.6,4976507.35
2019-07-30,ETHUSD,210.81,214.89,204.08,209.81,14993.07,3144499.28
2019-07-29,ETHUSD,211.14,215.49,205.51,210.81,19892.38,4178814.13
2019-07-28,ETHUSD,206.88,213.34,197.81,211.14,22667.4,4660507.42
2019-07-27,ETHUSD,219.21,223.74,202.01,206.88,35797.79,7517504.5
2019-07-26,ETHUSD,219.17,220.87,212.51,219.21,21607.76,4685417.91
2019-07-25,ETHUSD,216.57,226,215.51,219.17,21710.11,4804951.78
2019-07-24,ETHUSD,211.96,218.22,200.59,216.57,56495.53,11787949.15
2019-07-23,ETHUSD,217.13,219.23,208.5,211.96,29596.27,6310503.6
2019-07-22,ETHUSD,225.28,228.3,211.34,217.13,42402.27,9298241.15
2019-07-21,ETHUSD,228.66,229.78,217.24,225.28,18006.46,4015229.28
2019-07-20,ETHUSD,221.34,236.52,220.35,228.66,30788.9,7027170.24
2019-07-19,ETHUSD,226.03,226.66,213.15,221.34,37729.77,8290090.97
2019-07-18,ETHUSD,211.47,213.88,207.02,212.99,2621.17,549141.74
2019-07-17,ETHUSD,198.44,220,192.01,211.47,77380.78,15932975.99
2019-07-16,ETHUSD,228.65,234.68,190.41,198.44,110190.15,23071170.63
2019-07-15,ETHUSD,225.89,235.76,202.27,228.65,91567.68,20399876.72
2019-07-14,ETHUSD,269.06,269.84,191.91,225.89,102720.86,24410537.1
2019-07-13,ETHUSD,275.66,275.9,261.97,269.06,27792.39,7483559.54
2019-07-12,ETHUSD,269.01,279.67,265.91,275.66,39207.45,10714395.29
2019-07-11,ETHUSD,288.73,288.73,262.02,269.01,65312.69,17740774.36
2019-07-10,ETHUSD,307.6,314.98,280.19,288.73,82527.78,24487226.52
2019-07-09,ETHUSD,313.21,318.7,302.95,307.6,66019.51,20579851.95
2019-07-08,ETHUSD,306.59,315,302.38,313.21,43924.56,13575889.34
2019-07-07,ETHUSD,287.65,310.7,284.01,306.59,41312.63,12360384.3
2019-07-06,ETHUSD,287.95,298.16,285.05,287.65,23747.76,6927496.6
2019-07-05,ETHUSD,282.77,295.17,280,287.95,48468.59,13959641.62
2019-07-04,ETHUSD,301.98,304,280.28,282.77,33386.22,9788691.38
2019-07-03,ETHUSD,291.36,303.5,289.46,301.98,48445.04,14294776.05
2019-07-02,ETHUSD,293.81,296.09,271.03,291.36,74716.32,21008670.61
2019-07-01,ETHUSD,289.95,301.28,261.38,293.81,70308.88,20054043.93
2019-06-30,ETHUSD,318,323,285.77,289.95,54442.23,16440788.42
