Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-08-07 03-AM,LTCBTC,0.00798,0.00799,0.00798,0.00799,0.4264,0.003407
2019-08-07 02-AM,LTCBTC,0.008074,0.008074,0.00798,0.00798,78.94,0.6314
2019-08-07 01-AM,LTCBTC,0.008081,0.008081,0.008063,0.008074,18.97,0.153
2019-08-07 12-AM,LTCBTC,0.00811,0.00811,0.008078,0.008081,16.96,0.1371
2019-08-06 11-PM,LTCBTC,0.008125,0.008172,0.00811,0.00811,368.99,2.998
2019-08-06 10-PM,LTCBTC,0.008082,0.008125,0.008082,0.008125,48.68,0.3953
2019-08-06 09-PM,LTCBTC,0.007964,0.0081,0.007954,0.008082,204.55,1.638
2019-08-06 08-PM,LTCBTC,0.007875,0.007964,0.007866,0.007964,253.88,2.013
2019-08-06 07-PM,LTCBTC,0.007965,0.007979,0.007811,0.007875,1051.19,8.292
2019-08-06 06-PM,LTCBTC,0.008058,0.008058,0.007965,0.007965,135.14,1.079
2019-08-06 05-PM,LTCBTC,0.008069,0.008089,0.008058,0.008058,18.1,0.1459
2019-08-06 04-PM,LTCBTC,0.008059,0.008157,0.008033,0.008069,132.46,1.075
2019-08-06 03-PM,LTCBTC,0.008081,0.008083,0.008059,0.008059,10.09,0.08145
2019-08-06 02-PM,LTCBTC,0.008094,0.008098,0.008056,0.008081,32.85,0.2651
2019-08-06 01-PM,LTCBTC,0.008114,0.008129,0.008094,0.008094,55.37,0.45
2019-08-06 12-PM,LTCBTC,0.008078,0.008114,0.008039,0.008114,1048.04,8.448
2019-08-06 11-AM,LTCBTC,0.008075,0.008096,0.008047,0.008078,63.77,0.5149
2019-08-06 10-AM,LTCBTC,0.007937,0.008108,0.007937,0.008075,1224.66,9.848
2019-08-06 09-AM,LTCBTC,0.00795,0.00797,0.00793,0.007937,310.11,2.462
2019-08-06 08-AM,LTCBTC,0.008008,0.008012,0.00795,0.00795,399.51,3.183
2019-08-06 07-AM,LTCBTC,0.00807,0.008134,0.008,0.008008,811.0,6.534
2019-08-06 06-AM,LTCBTC,0.008177,0.008177,0.008029,0.00807,272.03,2.195
2019-08-06 05-AM,LTCBTC,0.008178,0.00819,0.00815,0.008177,98.64,0.8074
2019-08-06 04-AM,LTCBTC,0.00816,0.008215,0.00816,0.008178,919.93,7.55
2019-08-06 03-AM,LTCBTC,0.008207,0.008207,0.00816,0.00816,16.06,0.1316
