Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2019-08-07 03-AM,LTCEUR,83.01,83.01,82.98,82.98,3.503,290.68
2019-08-07 02-AM,LTCEUR,82.79,83.04,82.69,83.01,15.95,1323.87
2019-08-07 01-AM,LTCEUR,82.69,82.97,82.6,82.79,86.47,7162.55
2019-08-07 12-AM,LTCEUR,83.24,83.24,82.36,82.69,247.78,20456.23
2019-08-06 11-PM,LTCEUR,82.11,83.24,82.11,83.24,283.69,23529.74
2019-08-06 10-PM,LTCEUR,82.33,82.34,81.39,82.11,477.99,39205.62
2019-08-06 09-PM,LTCEUR,82.74,82.74,80.8,82.33,741.87,60587.41
2019-08-06 08-PM,LTCEUR,82.14,82.76,82.14,82.74,459.47,37888.36
2019-08-06 07-PM,LTCEUR,83.4,83.83,81.33,82.14,2107.09,174012.25
2019-08-06 06-PM,LTCEUR,84.24,84.34,83.09,83.4,263.24,22046.65
2019-08-06 05-PM,LTCEUR,85.1,85.18,83.84,84.24,1169.27,98638.21
2019-08-06 04-PM,LTCEUR,84.38,85.53,83.65,85.1,809.9,68270.51
2019-08-06 03-PM,LTCEUR,84.91,84.91,84.14,84.38,297.34,25093.92
2019-08-06 02-PM,LTCEUR,85.1,85.1,84.31,84.91,305.9,25967.78
2019-08-06 01-PM,LTCEUR,84.47,85.31,84.47,85.1,667.28,56746.85
2019-08-06 12-PM,LTCEUR,85.13,85.13,83.48,84.47,3128.04,263683.43
2019-08-06 11-AM,LTCEUR,84.8,85.36,84.41,85.13,808.89,68663.54
2019-08-06 10-AM,LTCEUR,87.21,87.73,83.84,84.8,8330.19,707750.61
2019-08-06 09-AM,LTCEUR,86.45,87.21,86.43,87.21,1232.45,107089.29
2019-08-06 08-AM,LTCEUR,86.9,87.67,86.45,86.45,463.53,40413.14
2019-08-06 07-AM,LTCEUR,87.41,88.59,86.9,86.9,1192.4,104723.87
2019-08-06 06-AM,LTCEUR,86,87.7,86,87.41,819.8,71211.96
2019-08-06 05-AM,LTCEUR,85.52,86,85.23,86,340.95,29195.91
2019-08-06 04-AM,LTCEUR,85.21,85.52,84.67,85.52,575.13,48912.29
2019-08-06 03-AM,LTCEUR,85.18,85.44,84.8,85.21,267.76,22785.61
2019-08-06 02-AM,LTCEUR,84.76,85.18,84.49,85.18,117.52,9948.92
2019-08-06 01-AM,LTCEUR,85.38,85.38,83.5,84.76,638.41,53997.08
2019-08-06 12-AM,LTCEUR,85.71,85.71,85,85.38,723.06,61747.34
2019-08-05 11-PM,LTCEUR,86.99,86.99,84.2,85.71,4474.18,381858.13
2019-08-05 10-PM,LTCEUR,87.39,87.58,86.91,86.99,498.37,43434.58
2019-08-05 09-PM,LTCEUR,86.97,87.83,86.96,87.39,269.22,23585.41
2019-08-05 08-PM,LTCEUR,87.5,88,86.97,86.97,731.31,63874.79
2019-08-05 07-PM,LTCEUR,87.68,88.15,87,87.5,5267.45,460898.66
2019-08-05 06-PM,LTCEUR,88.62,88.67,87.44,87.68,358.2,31447.02
2019-08-05 05-PM,LTCEUR,89.38,89.67,88.11,88.62,1525.49,135561.31
2019-08-05 04-PM,LTCEUR,88.32,90.09,88.05,89.38,1303.85,116273.8
2019-08-05 03-PM,LTCEUR,88.21,88.7,87.16,88.32,1503.85,131881.92
2019-08-05 02-PM,LTCEUR,87.67,89,87.67,88.21,1119.38,98997.75
2019-08-05 01-PM,LTCEUR,90.32,90.33,86.92,87.67,5903.78,523944.46
2019-08-05 12-PM,LTCEUR,91.3,91.87,89.73,90.32,1925.89,175027.47
2019-08-05 11-AM,LTCEUR,91.31,92.75,91.01,91.3,3207.56,294476.33
2019-08-05 10-AM,LTCEUR,88.1,96.13,88.1,91.31,28246.65,2579407.71
2019-08-05 09-AM,LTCEUR,87.41,88.53,86.85,88.1,1239.5,108649.13
2019-08-05 08-AM,LTCEUR,85.14,87.85,85.02,87.41,2398.93,207828.76
2019-08-05 07-AM,LTCEUR,85,85.66,84.89,85.14,939.69,80201.93
2019-08-05 06-AM,LTCEUR,85.17,85.21,84.8,85,511.29,43467.98
2019-08-05 05-AM,LTCEUR,85.37,85.37,84.95,85.17,380.1,32364.63
2019-08-05 04-AM,LTCEUR,85.28,85.66,85.13,85.37,845.01,72090.37
2019-08-05 03-AM,LTCEUR,85.74,85.74,84.93,85.28,320.69,27329.63
2019-08-05 02-AM,LTCEUR,85.72,86.09,85.07,85.74,513.71,43970.34
2019-08-05 01-AM,LTCEUR,85.44,86.16,85.44,85.72,447.08,38358.16
2019-08-05 12-AM,LTCEUR,83.86,87,83.86,85.44,1807.38,155348.66
2019-08-04 11-PM,LTCEUR,83.64,84.07,83.64,83.86,42.52,3561.33
2019-08-04 10-PM,LTCEUR,83.77,84.04,83.43,83.64,791.63,66347.0
2019-08-04 09-PM,LTCEUR,83.4,83.77,82.57,83.77,428.24,35546.27
2019-08-04 08-PM,LTCEUR,83.49,83.69,83.19,83.4,53.15,4434.91
2019-08-04 07-PM,LTCEUR,84.17,84.17,83.13,83.49,249.39,20851.03
2019-08-04 06-PM,LTCEUR,83.76,84.34,83.76,84.17,110.06,9267.22
2019-08-04 05-PM,LTCEUR,84.38,84.52,83.68,83.76,106.85,8987.4
2019-08-04 04-PM,LTCEUR,84,84.69,83.75,84.38,144.28,12164.05
2019-08-04 03-PM,LTCEUR,84.64,84.64,83.93,84,618.99,52125.76
2019-08-04 02-PM,LTCEUR,83.73,84.71,83.73,84.64,269.19,22684.88
2019-08-04 01-PM,LTCEUR,82,85.06,82,83.73,2757.66,231497.83
2019-08-04 12-PM,LTCEUR,82.91,82.91,82,82,153.45,12628.68
2019-08-04 11-AM,LTCEUR,82.85,82.91,82.77,82.91,11.45,948.61
2019-08-04 10-AM,LTCEUR,82.98,83.16,82.68,82.85,180.69,14958.77
2019-08-04 09-AM,LTCEUR,82.74,82.98,82.48,82.98,343.02,28378.84
2019-08-04 08-AM,LTCEUR,82.66,83.03,82.59,82.74,250.9,20770.73
2019-08-04 07-AM,LTCEUR,82.71,82.83,82.5,82.66,194.35,16066.17
2019-08-04 06-AM,LTCEUR,82.41,82.92,82.17,82.71,304.08,25114.4
2019-08-04 05-AM,LTCEUR,82.25,82.41,81.9,82.41,194.59,15996.82
2019-08-04 04-AM,LTCEUR,82.17,82.64,81.75,82.25,356.44,29272.4
2019-08-04 03-AM,LTCEUR,84.64,84.64,81.4,82.17,2225.99,183983.61
2019-08-04 02-AM,LTCEUR,85,85,84.55,84.64,114.3,9688.89
2019-08-04 01-AM,LTCEUR,85.18,85.24,85,85,67.87,5775.77
2019-08-04 12-AM,LTCEUR,84.67,85.22,84.67,85.18,112.13,9539.69
2019-08-03 11-PM,LTCEUR,84.85,84.85,84.55,84.67,22.36,1892.55
2019-08-03 10-PM,LTCEUR,84.27,84.85,84.27,84.85,99.37,8399.26
2019-08-03 09-PM,LTCEUR,85.32,85.32,84.27,84.27,186.65,15770.57
2019-08-03 08-PM,LTCEUR,85.53,85.53,85.12,85.32,12.36,1052.8
2019-08-03 07-PM,LTCEUR,85.72,85.76,85,85.53,176.76,15091.75
2019-08-03 06-PM,LTCEUR,85.73,85.89,85.61,85.72,206.39,17695.63
2019-08-03 05-PM,LTCEUR,85.6,85.92,85.6,85.73,236.23,20244.24
2019-08-03 04-PM,LTCEUR,85.11,86.13,85.11,85.6,243.88,20918.09
2019-08-03 03-PM,LTCEUR,85.75,85.8,84.86,85.11,379.06,32272.43
2019-08-03 02-PM,LTCEUR,85.57,85.99,85.54,85.75,109.01,9346.43
2019-08-03 01-PM,LTCEUR,85.94,86.1,85.48,85.57,396.12,33952.61
2019-08-03 12-PM,LTCEUR,85.83,85.94,85.1,85.94,308.3,26362.6
2019-08-03 11-AM,LTCEUR,85.72,85.96,85.63,85.83,248.36,21307.6
2019-08-03 10-AM,LTCEUR,85.12,85.85,85.12,85.72,86.18,7374.84
2019-08-03 09-AM,LTCEUR,85.71,85.89,84.8,85.12,474.9,40583.52
2019-08-03 08-AM,LTCEUR,86.22,86.34,85.71,85.71,685.97,59052.18
2019-08-03 07-AM,LTCEUR,86.1,86.45,85.71,86.22,151.63,13047.0
2019-08-03 06-AM,LTCEUR,85.12,86.1,85.12,86.1,622.43,53502.57
2019-08-03 05-AM,LTCEUR,85.99,85.99,85.01,85.12,836.83,71334.39
2019-08-03 04-AM,LTCEUR,86.47,86.47,85.67,85.99,353.58,30454.78
2019-08-03 03-AM,LTCEUR,86.21,86.86,86.11,86.47,141.45,12226.99
2019-08-03 02-AM,LTCEUR,86.22,87.01,86.17,86.21,776.29,67297.23
2019-08-03 01-AM,LTCEUR,84.83,86.5,84.83,86.22,340.79,29263.89
2019-08-03 12-AM,LTCEUR,85.36,85.36,84.68,84.83,88.46,7517.44
2019-08-02 11-PM,LTCEUR,85.35,85.68,85.23,85.36,83.62,7135.44
2019-08-02 10-PM,LTCEUR,84.42,85.49,84.42,85.35,707.89,60300.7
2019-08-02 09-PM,LTCEUR,84.35,84.67,83.67,84.42,492.11,41564.21
2019-08-02 08-PM,LTCEUR,83.89,84.35,83.76,84.35,403.53,33841.28
2019-08-02 07-PM,LTCEUR,84.65,84.65,83.56,83.89,670.19,56289.72
2019-08-02 06-PM,LTCEUR,84.78,84.89,84.36,84.65,145.23,12269.87
2019-08-02 05-PM,LTCEUR,84.6,84.86,83.38,84.78,3166.13,266510.46
2019-08-02 04-PM,LTCEUR,86.95,87.43,83.48,84.6,2803.07,238175.57
2019-08-02 03-PM,LTCEUR,87.67,87.69,86.65,86.95,120.68,10533.64
2019-08-02 02-PM,LTCEUR,87.67,87.88,87.39,87.67,305.68,26777.67
