Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ADA,Volume ETH
2019-08-07,ADAETH,0.0002369,0.0002374,0.0002369,0.0002374,6376.42,1.514
2019-08-06,ADAETH,0.000242,0.000245,0.0002353,0.0002369,811001.61,193.83
2019-08-05,ADAETH,0.000251,0.0002876,0.000242,0.000242,553569.8,140.2
2019-08-04,ADAETH,0.0002597,0.0002651,0.0002524,0.0002532,173938.8,44.62
2019-08-03,ADAETH,0.0002635,0.0002635,0.0002635,0.0002635,0.0,0.0
2019-08-02,ADAETH,0.0002709,0.0002709,0.0002593,0.0002635,290335.19,76.85
2019-08-01,ADAETH,0.0002762,0.0002762,0.00027,0.0002728,546012.21,148.58
2019-07-31,ADAETH,0.0002845,0.0002862,0.0002748,0.0002762,273806.28,76.92
2019-07-30,ADAETH,0.0002859,0.0002915,0.0002841,0.0002845,496167.33,143.21
2019-07-29,ADAETH,0.0002806,0.00029,0.000278,0.0002883,370686.22,104.65
2019-07-28,ADAETH,0.00029,0.00029,0.00028,0.0002806,398367.68,112.25
2019-07-27,ADAETH,0.0002855,0.0002891,0.000278,0.0002867,838029.49,236.08
2019-07-26,ADAETH,0.000268,0.0002857,0.0002656,0.0002855,1090880.93,305.91
2019-07-25,ADAETH,0.0002705,0.000273,0.000266,0.000268,537372.81,144.45
2019-07-24,ADAETH,0.0002625,0.0002737,0.000262,0.0002705,274107.76,73.48
2019-07-23,ADAETH,0.0002736,0.0002741,0.000262,0.0002625,959321.65,258.22
2019-07-22,ADAETH,0.00027,0.0002774,0.00027,0.0002736,417554.48,114.59
2019-07-21,ADAETH,0.0002782,0.000279,0.00027,0.00027,460127.9,125.81
2019-07-20,ADAETH,0.0002699,0.0002807,0.0002693,0.0002782,994381.91,273.85
2019-07-19,ADAETH,0.0002586,0.0002734,0.0002586,0.0002699,496213.06,131.47
2019-07-18,ADAETH,0.0002605,0.0002638,0.0002605,0.0002638,19017.52,5.011
2019-07-17,ADAETH,0.0002616,0.0002696,0.0002545,0.0002605,1565056.79,409.88
2019-07-16,ADAETH,0.0002585,0.0002668,0.000255,0.0002616,1558721.33,405.09
2019-07-15,ADAETH,0.0002629,0.000269,0.000251,0.0002585,3032768.28,790.26
2019-07-14,ADAETH,0.0002475,0.000265,0.0002442,0.0002629,2698692.52,684.88
2019-07-13,ADAETH,0.0002516,0.0002601,0.000245,0.0002475,468208.72,117.9
2019-07-12,ADAETH,0.0002413,0.000258,0.0002371,0.0002516,836165.04,207.33
2019-07-11,ADAETH,0.0002481,0.0002494,0.000236,0.0002413,1225518.88,294.82
2019-07-10,ADAETH,0.0002527,0.000257,0.0002426,0.0002481,1237930.74,306.65
2019-07-09,ADAETH,0.0002571,0.0002571,0.00025,0.0002527,2052599.01,518.03
2019-07-08,ADAETH,0.0002609,0.000268,0.0002549,0.0002571,1198831.82,311.67
2019-07-07,ADAETH,0.0002682,0.0002708,0.000257,0.0002609,235467.04,61.99
2019-07-06,ADAETH,0.0002657,0.0002739,0.0002615,0.0002682,1457079.05,393.07
2019-07-05,ADAETH,0.000273,0.0002745,0.000263,0.0002657,1198953.45,322.03
2019-07-04,ADAETH,0.0002731,0.000276,0.0002666,0.000273,913934.08,246.95
2019-07-03,ADAETH,0.0002755,0.0002794,0.00027,0.0002731,1274585.24,352.45
2019-07-02,ADAETH,0.0002826,0.0002877,0.0002732,0.0002755,1008051.68,284.52
2019-07-01,ADAETH,0.000282,0.0002905,0.0002801,0.0002826,950951.04,270.25
2019-06-30,ADAETH,0.0002823,0.000288,0.0002787,0.000282,768673.54,217.19
2019-06-29,ADAETH,0.0002853,0.0002929,0.000279,0.0002823,1171518.39,334.96
2019-06-28,ADAETH,0.0002909,0.0002928,0.0002772,0.0002853,1766056.5,499.22
2019-06-27,ADAETH,0.0002884,0.0003013,0.000282,0.0002909,3542668.35,1023.84
2019-06-26,ADAETH,0.000303,0.0003088,0.0002811,0.0002884,4647746.97,1365.93
2019-06-25,ADAETH,0.0003152,0.0003152,0.000301,0.000303,937494.33,287.07
2019-06-24,ADAETH,0.0003147,0.00032,0.000309,0.0003152,1265476.75,398.24
2019-06-23,ADAETH,0.0003025,0.0003275,0.0003014,0.0003147,1890348.24,595.55
2019-06-22,ADAETH,0.0003027,0.000315,0.0002895,0.0003025,2004868.93,601.65
2019-06-21,ADAETH,0.0003223,0.000323,0.0003005,0.0003027,1601315.9,499.87
2019-06-20,ADAETH,0.0003354,0.0003354,0.0003144,0.0003223,1546369.6,504.23
2019-06-19,ADAETH,0.000336,0.0003403,0.0003325,0.0003354,533985.61,179.41
2019-06-18,ADAETH,0.0003419,0.0003427,0.0003334,0.000336,510605.08,173.18
2019-06-17,ADAETH,0.0003419,0.000345,0.0003381,0.0003419,537463.62,183.07
2019-06-16,ADAETH,0.0003407,0.000345,0.0003342,0.0003419,1297245.52,437.89
2019-06-15,ADAETH,0.0003422,0.00035,0.0003385,0.0003407,688366.99,236.57
2019-06-14,ADAETH,0.0003533,0.000356,0.000336,0.0003422,1504502.55,516.29
2019-06-13,ADAETH,0.0003678,0.0003695,0.0003376,0.0003533,2221352.55,790.06
2019-06-12,ADAETH,0.0003576,0.0003789,0.0003537,0.0003678,1847874.31,681.34
2019-06-11,ADAETH,0.0003462,0.0003649,0.00034,0.0003576,1239495.2,434.83
2019-06-10,ADAETH,0.0003431,0.0003487,0.0003374,0.0003462,1247440.41,428.03
2019-06-09,ADAETH,0.0003438,0.000345,0.000339,0.0003431,891628.4,304.56
2019-06-08,ADAETH,0.0003427,0.0003438,0.000338,0.0003438,1375963.19,469.78
2019-06-07,ADAETH,0.000334,0.000346,0.0003332,0.0003427,612267.03,207.92
2019-06-06,ADAETH,0.0003344,0.000344,0.000327,0.000334,748209.9,249.82
2019-06-05,ADAETH,0.0003409,0.000347,0.000334,0.0003344,1478408.92,499.51
2019-06-04,ADAETH,0.0003509,0.000353,0.0003372,0.0003409,1077015.55,369.64
2019-06-03,ADAETH,0.0003569,0.000366,0.000346,0.0003509,1053874.44,373.42
2019-06-02,ADAETH,0.0003429,0.00036,0.0003412,0.0003569,1433894.48,507.67
2019-06-01,ADAETH,0.0003325,0.0003466,0.000327,0.0003429,827184.23,276.88
2019-05-31,ADAETH,0.0003315,0.0003367,0.0003275,0.0003325,1006278.73,333.68
2019-05-30,ADAETH,0.00034,0.0003446,0.000327,0.0003315,1454733.9,486.29
2019-05-29,ADAETH,0.000342,0.000344,0.0003289,0.00034,1087147.04,364.06
2019-05-28,ADAETH,0.0003342,0.0003444,0.000325,0.000342,1125044.69,375.54
2019-05-27,ADAETH,0.0003211,0.0003373,0.0003171,0.0003342,2107068.45,687.77
2019-05-26,ADAETH,0.0003217,0.000328,0.000318,0.0003211,855812.56,275.25
2019-05-25,ADAETH,0.0003235,0.0003259,0.000317,0.0003217,1229552.15,395.43
2019-05-24,ADAETH,0.0003282,0.0003317,0.0003223,0.0003235,1684995.3,550.32
2019-05-23,ADAETH,0.0003171,0.0003282,0.0003155,0.0003282,1862124.23,597.23
2019-05-22,ADAETH,0.0003308,0.0003308,0.0003155,0.0003171,2884445.32,935.5
2019-05-21,ADAETH,0.0003364,0.0003412,0.0003248,0.0003308,1012833.86,335.45
2019-05-20,ADAETH,0.0003345,0.000349,0.0003289,0.0003364,1354374.46,455.6
2019-05-19,ADAETH,0.0003386,0.0003421,0.00033,0.0003345,1605881.6,537.95
2019-05-18,ADAETH,0.0003393,0.000348,0.0003355,0.0003386,587320.98,200.15
2019-05-17,ADAETH,0.0003312,0.0003432,0.0003248,0.0003393,2039285.86,677.57
2019-05-16,ADAETH,0.0003771,0.0003953,0.0003297,0.0003312,4556172.91,1642.83
2019-05-15,ADAETH,0.0003871,0.0004017,0.000366,0.0003771,3184959.71,1196.27
2019-05-14,ADAETH,0.0003705,0.000398,0.0003684,0.0003871,2729400.68,1036.7
2019-05-13,ADAETH,0.0003755,0.0003859,0.0003621,0.0003705,1948581.99,736.54
2019-05-12,ADAETH,0.0003914,0.0003932,0.000368,0.0003755,1487080.42,566.49
2019-05-11,ADAETH,0.000367,0.0003965,0.0003622,0.0003914,5205339.13,1968.45
2019-05-10,ADAETH,0.0003621,0.0003726,0.0003476,0.000367,2138433.88,779.49
2019-05-09,ADAETH,0.0003787,0.0003787,0.0003606,0.0003621,1628884.31,602.28
2019-05-08,ADAETH,0.0003783,0.0003829,0.0003725,0.0003787,673052.19,254.94
2019-05-07,ADAETH,0.0003873,0.0003873,0.0003719,0.0003719,737899.82,278.77
2019-05-06,ADAETH,0.0004049,0.0004049,0.000382,0.0003873,920593.61,361.89
2019-05-05,ADAETH,0.0004094,0.0004136,0.0004041,0.0004049,279966.0,114.7
2019-05-04,ADAETH,0.0004161,0.000426,0.0004004,0.0004094,625854.18,260.97
2019-05-03,ADAETH,0.0004221,0.000434,0.0004134,0.0004161,822623.93,350.55
2019-05-02,ADAETH,0.0004315,0.0004315,0.0004207,0.0004221,748104.25,318.71
2019-05-01,ADAETH,0.0004332,0.0004344,0.0004203,0.0004315,811655.13,347.08
2019-04-30,ADAETH,0.0004179,0.0004332,0.000415,0.0004332,1727344.79,724.18
2019-04-29,ADAETH,0.000436,0.0004442,0.0004167,0.0004179,945227.27,404.52
2019-04-28,ADAETH,0.0004438,0.0004438,0.0004333,0.000436,202005.87,88.81
2019-04-27,ADAETH,0.0004416,0.000454,0.000437,0.0004438,843558.44,374.44
2019-04-26,ADAETH,0.0004517,0.0004517,0.0004355,0.0004416,1313252.68,582.57
2019-04-25,ADAETH,0.0004371,0.0004592,0.000433,0.0004517,1842654.33,818.13
2019-04-24,ADAETH,0.0004332,0.0004442,0.000423,0.0004371,821943.94,357.93
2019-04-23,ADAETH,0.0004559,0.0004653,0.0004311,0.0004332,958561.41,431.53
2019-04-22,ADAETH,0.000436,0.000459,0.0004258,0.0004559,2159087.23,952.56
2019-04-21,ADAETH,0.0004398,0.000448,0.0004267,0.000436,569017.56,246.9
2019-04-20,ADAETH,0.0004578,0.0004578,0.0004375,0.0004398,1000057.34,446.09
2019-04-19,ADAETH,0.0004685,0.0004712,0.0004525,0.0004578,775680.38,356.11
2019-04-18,ADAETH,0.0004978,0.000499,0.0004685,0.0004685,671848.89,321.07
2019-04-17,ADAETH,0.0005002,0.000508,0.0004933,0.0004978,806258.54,404.2
2019-04-16,ADAETH,0.0005098,0.0005098,0.0004944,0.0005002,1212788.23,608.58
2019-04-15,ADAETH,0.0005052,0.000517,0.0005,0.0005098,715896.13,362.29
2019-04-14,ADAETH,0.0005082,0.0005088,0.0004992,0.0005052,501684.56,252.4
2019-04-13,ADAETH,0.0005035,0.0005146,0.0005035,0.0005082,523013.2,265.41
2019-04-12,ADAETH,0.0005047,0.000514,0.0004939,0.0005035,718919.87,364.2
2019-04-11,ADAETH,0.0005032,0.000509,0.000479,0.0005047,1203934.72,596.54
2019-04-10,ADAETH,0.000473,0.000515,0.000473,0.0005032,982673.4,484.57
2019-04-09,ADAETH,0.0004805,0.0004858,0.000466,0.000473,1188761.86,565.18
2019-04-08,ADAETH,0.0005178,0.0005178,0.000473,0.0004805,1235760.28,602.97
2019-04-07,ADAETH,0.0005428,0.0005453,0.000513,0.0005178,725760.46,384.46
2019-04-06,ADAETH,0.0005467,0.0005556,0.0005363,0.0005428,1176558.85,642.25
2019-04-05,ADAETH,0.0005524,0.0005655,0.0005436,0.0005467,1007927.41,556.85
2019-04-04,ADAETH,0.000564,0.0005754,0.000522,0.0005524,1985923.41,1097.16
2019-04-03,ADAETH,0.0005212,0.0005735,0.000511,0.000564,4733182.06,2596.68
2019-04-02,ADAETH,0.0005089,0.0005333,0.000494,0.0005212,5890820.1,2996.66
2019-04-01,ADAETH,0.0004924,0.0005125,0.00049,0.0005089,782246.54,391.84
2019-03-19,ADAETH,0.0003629,0.0003638,0.000362,0.000362,9513.35,3.46
2019-03-18,ADAETH,0.0003601,0.0003638,0.0003573,0.0003629,1389471.39,500.9
2019-03-17,ADAETH,0.0003638,0.0003704,0.0003565,0.0003601,1614989.03,583.98
2019-03-16,ADAETH,0.0003638,0.0003671,0.0003524,0.0003638,597515.59,214.49
2019-03-15,ADAETH,0.0003619,0.000371,0.0003572,0.0003638,1437488.37,526.17
2019-03-14,ADAETH,0.0003524,0.000362,0.0003493,0.0003619,828093.03,294.97
2019-03-13,ADAETH,0.0003553,0.0003652,0.0003492,0.0003524,2284698.26,810.45
2019-03-12,ADAETH,0.0003582,0.0003592,0.000347,0.0003553,2462813.45,870.38
2019-03-11,ADAETH,0.0003358,0.000365,0.0003334,0.0003582,2138793.27,746.84
2019-03-10,ADAETH,0.0003415,0.0003415,0.0003292,0.0003358,1387692.82,464.39
2019-03-09,ADAETH,0.0003183,0.000346,0.0003165,0.0003415,2285669.51,770.06
2019-03-08,ADAETH,0.0003127,0.000324,0.0003104,0.0003183,441990.98,139.21
2019-03-07,ADAETH,0.0003094,0.0003147,0.0003081,0.0003127,524909.76,163.59
2019-03-06,ADAETH,0.0003144,0.0003151,0.0003071,0.0003094,368171.57,114.46
2019-03-05,ADAETH,0.0003196,0.000322,0.0003132,0.0003144,459590.12,146.02
2019-03-04,ADAETH,0.0003219,0.0003231,0.0003143,0.0003196,576594.1,184.25
2019-03-03,ADAETH,0.0003193,0.00033,0.000315,0.0003219,520097.28,167.81
2019-03-02,ADAETH,0.0003198,0.0003234,0.000316,0.0003193,151354.18,48.14
2019-03-01,ADAETH,0.0003146,0.000326,0.0003146,0.0003198,112674.94,36.02
2019-02-28,ADAETH,0.0003231,0.0003231,0.0003231,0.0003231,0.0,0.0
2019-02-27,ADAETH,0.0003132,0.000328,0.000309,0.0003231,1122079.59,352.61
2019-02-26,ADAETH,0.0003141,0.0003172,0.0003104,0.0003132,607639.62,191.16
2019-02-25,ADAETH,0.000317,0.0003184,0.0003074,0.0003141,342141.06,107.12
2019-02-24,ADAETH,0.0003063,0.0003171,0.000299,0.000317,1689093.04,515.73
2019-02-23,ADAETH,0.0003114,0.0003152,0.0003006,0.0003063,702625.44,217.08
2019-02-22,ADAETH,0.0003093,0.0003115,0.0003061,0.0003114,765296.6,237.16
2019-02-21,ADAETH,0.000317,0.0003234,0.0003085,0.0003093,620789.33,194.95
2019-02-20,ADAETH,0.0003194,0.000326,0.000317,0.000317,559766.69,179.2
2019-02-19,ADAETH,0.0003124,0.0003277,0.0003104,0.0003194,1504890.87,480.39
2019-02-18,ADAETH,0.0003111,0.0003208,0.0003029,0.0003124,1639030.35,509.03
2019-02-17,ADAETH,0.0003327,0.0003336,0.0003082,0.0003111,1290498.47,408.78
2019-02-16,ADAETH,0.000334,0.000335,0.000331,0.0003327,2767356.82,919.22
2019-02-15,ADAETH,0.0003343,0.0003378,0.0003299,0.000334,494541.85,165.37
2019-02-14,ADAETH,0.0003368,0.0003378,0.00033,0.0003343,891535.65,298.74
2019-02-13,ADAETH,0.0003414,0.0003416,0.0003344,0.0003368,395603.95,133.87
2019-02-12,ADAETH,0.000345,0.000345,0.0003376,0.0003414,850725.29,288.63
2019-02-11,ADAETH,0.0003431,0.0003483,0.0003416,0.000345,976120.62,336.64
2019-02-10,ADAETH,0.0003434,0.000354,0.000338,0.0003431,1026630.01,355.68
2019-02-09,ADAETH,0.0003422,0.0003529,0.0003415,0.0003434,389530.66,135.19
2019-02-08,ADAETH,0.000348,0.0003595,0.00034,0.0003422,3421601.12,1195.14
2019-02-07,ADAETH,0.0003528,0.0003559,0.0003464,0.000348,2301077.37,806.73
2019-02-06,ADAETH,0.0003536,0.000364,0.0003481,0.0003528,1121048.49,396.5
2019-02-05,ADAETH,0.000353,0.0003587,0.0003501,0.0003536,816007.34,286.92
2019-02-04,ADAETH,0.0003541,0.0003566,0.000352,0.000353,509126.15,180.1
