Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-08-07,BTCUSD,11472.86,11650,11398.1,11570,162.97,1884721.78
2019-08-06,BTCUSD,11797.98,12311.83,11214.15,11472.86,1584.48,18646601.89
2019-08-05,BTCUSD,10979.91,11950,10979.91,11797.98,1454.87,17012678.37
2019-08-04,BTCUSD,10846.46,11080,10581,10979.91,681.27,7399093.0
2019-08-03,BTCUSD,10527.45,11000,10509.91,10801.1,538.3,5792424.16
2019-08-02,BTCUSD,10399.63,10660,10327.01,10527.45,818.11,8568237.64
2019-08-01,BTCUSD,10089,10486.48,9885,10399.63,594.71,6050903.99
2019-07-31,BTCUSD,9580,10120.58,9570,10089,706.44,6996737.44
2019-07-30,BTCUSD,9510.95,9769.5,9389.79,9580,396.55,3798775.74
2019-07-29,BTCUSD,9525.63,9720,9372,9510.95,417.96,3987168.91
2019-07-28,BTCUSD,9468.51,9622,9120,9525.63,595.71,5603862.08
2019-07-27,BTCUSD,9851.64,10222.22,9303.81,9468.51,806.92,7811891.39
2019-07-26,BTCUSD,9868,9903.1,9636.08,9851.64,405.13,3959954.8
2019-07-25,BTCUSD,9771.86,10176,9740.16,9868,589.99,5910516.76
2019-07-24,BTCUSD,9854.2,9922.21,9506.22,9771.86,793.6,7697294.27
2019-07-23,BTCUSD,10325.08,10325.08,9820,9854.2,827.29,8311835.57
2019-07-22,BTCUSD,10591.79,10689.52,10078.28,10325.08,786.54,8158646.72
2019-07-21,BTCUSD,10754.83,10825.64,10334.04,10591.79,648.05,6837309.33
2019-07-20,BTCUSD,10530,11104,10375,10754.83,837.39,8984081.14
2019-07-19,BTCUSD,10654.45,10766.77,10115,10530,824.29,8607997.86
2019-07-18,BTCUSD,9682.24,9799.99,9570.69,9776.23,47.39,456409.01
2019-07-17,BTCUSD,9411.61,9978.67,9089,9682.24,1302.11,12483247.06
2019-07-16,BTCUSD,10858.7,11031.53,9365,9411.61,1621.46,16540658.12
2019-07-15,BTCUSD,10195,11076.43,9878.38,10858.7,1511.66,15675938.55
2019-07-14,BTCUSD,11378.23,11462.83,10100.01,10195,1229.42,13118113.47
2019-07-13,BTCUSD,11810,11835.03,10813.18,11378.23,815.35,9230293.35
2019-07-12,BTCUSD,11338.9,11962.07,11096,11810,971.27,11267299.23
2019-07-11,BTCUSD,12090.99,12398.99,10950,11338.9,1739.54,20053668.45
2019-07-10,BTCUSD,12577.85,13199.99,11550,12090.99,1842.86,22893959.26
2019-07-09,BTCUSD,12287.63,12812,12113.35,12577.85,1405.88,17581649.3
2019-07-08,BTCUSD,11479.63,12384,11344.09,12287.63,861.64,10331399.13
2019-07-07,BTCUSD,11240.76,11635.22,11093.71,11479.63,607.95,6912671.81
2019-07-06,BTCUSD,10987.35,11705.98,10987.35,11240.76,991.26,11318012.11
2019-07-05,BTCUSD,11134.98,11437.81,10765.78,10987.35,1214.89,13506616.9
2019-07-04,BTCUSD,11974.56,12042.04,11030.92,11134.98,1140.02,13284565.92
2019-07-03,BTCUSD,10841.15,12000,10827.5,11974.56,1908.53,21690826.81
2019-07-02,BTCUSD,10571.36,10916.83,9659.02,10841.15,1845.1,18934060.06
2019-07-01,BTCUSD,10756.29,11190,9970.75,10571.36,1587.61,16650517.97
2019-06-30,BTCUSD,11875.6,12190,10666.68,10756.29,1056.02,11952557.32
2019-06-29,BTCUSD,12362.1,12367.27,11318.72,11875.6,990.46,11712681.55
2019-06-28,BTCUSD,11127.81,12435,10754,12362.1,1398.48,16349256.0
2019-06-27,BTCUSD,12763,13267.99,10205,11127.81,2473.02,28366640.1
2019-06-26,BTCUSD,11765.14,13849,11390.02,12763,2862.49,36121218.99
2019-06-25,BTCUSD,11012.55,11792.84,11009.22,11765.14,1178.62,13373822.53
2019-06-24,BTCUSD,10795,11084.2,10556,11012.55,663.69,7196097.38
2019-06-23,BTCUSD,10642.32,11229.51,10500.4,10795,740.34,8012156.87
2019-06-22,BTCUSD,10226.53,11190,10089.91,10642.32,1768.91,18908847.92
2019-06-21,BTCUSD,9538.66,10240.78,9524.27,10226.53,1149.07,11320339.47
2019-06-20,BTCUSD,9280,9600,9220.46,9538.66,823.07,7728625.78
2019-06-19,BTCUSD,9081.6,9310,9046.03,9280,474.3,4348154.38
2019-06-18,BTCUSD,9333.01,9353.28,8926.46,9081.6,818.12,7454860.45
2019-06-17,BTCUSD,8986.78,9471.14,8979.92,9333.01,922.69,8560660.78
2019-06-16,BTCUSD,8851.12,9385,8809.69,8986.78,1491.91,13629257.99
2019-06-15,BTCUSD,8699,8910.78,8622.88,8851.12,589.56,5163109.5
2019-06-14,BTCUSD,8228.87,8738.57,8184.95,8699,852.72,7196154.32
2019-06-13,BTCUSD,8174,8356,8053.71,8228.87,571.56,4689322.81
2019-06-12,BTCUSD,7920,8277,7829,8174,872.31,7027712.13
2019-06-11,BTCUSD,8027.47,8050,7715,7920,531.17,4182852.07
2019-06-10,BTCUSD,7645,8086.3,7531.84,8027.47,805.91,6354644.34
2019-06-09,BTCUSD,7941.11,7960.58,7514.7,7645,507.96,3918614.62
2019-06-08,BTCUSD,8004.9,8056.4,7793.61,7941.11,326.58,2584552.12
2019-06-07,BTCUSD,7801.46,8125,7762.13,8004.9,688.1,5473882.05
2019-06-06,BTCUSD,7786.93,7875,7454.1,7801.46,732.54,5659337.96
2019-06-05,BTCUSD,7667.27,7923.49,7575.07,7786.93,576.02,4476671.43
2019-06-04,BTCUSD,8105,8105,7433.18,7667.27,1519.77,11891256.92
2019-06-03,BTCUSD,8744.73,8745.01,8044.73,8105,920.32,7763645.91
2019-06-02,BTCUSD,8555.88,8850,8548.41,8744.73,275.61,2396989.44
2019-06-01,BTCUSD,8560,8615,8456.7,8555.88,302.66,2586161.58
2019-05-31,BTCUSD,8276.8,8579,8115.5,8560,1012.19,8495658.07
2019-05-30,BTCUSD,8667.84,9089.62,7995,8276.8,1753.28,14964084.64
2019-05-29,BTCUSD,8733,8766.89,8435.02,8667.84,840.12,7248467.75
2019-05-28,BTCUSD,8784.28,8819.61,8529.64,8733,712.77,6210569.42
2019-05-27,BTCUSD,8749,8937.07,8626.79,8784.28,782.99,6878919.8
2019-05-26,BTCUSD,8078.26,8796,7901,8749,1068.09,8983036.02
2019-05-25,BTCUSD,8004.42,8143,7950,8078.26,397.34,3199715.98
2019-05-24,BTCUSD,7880,8190,7800.26,8004.42,678.85,5444459.5
2019-05-23,BTCUSD,7632.74,7977.28,7478.06,7880,785.38,6048823.7
2019-05-22,BTCUSD,7950.89,8042,7510,7632.74,810.74,6360068.12
2019-05-21,BTCUSD,8007.94,8109.55,7812.21,7950.89,823.29,6562557.05
2019-05-20,BTCUSD,8185.43,8200,7581.54,8007.94,1407.66,11149317.75
2019-05-19,BTCUSD,7271.83,8294.52,7262.19,8185.43,1553.87,12336246.52
2019-05-18,BTCUSD,7361.25,7483,7220.43,7271.83,705.22,5165698.82
2019-05-17,BTCUSD,7889,7936.1,6644.12,7361.25,2432.81,17572153.67
2019-05-16,BTCUSD,8195.79,8382.56,7654.09,7889,1634.77,13064801.06
2019-05-15,BTCUSD,7989.85,8297.65,7844.19,8195.79,1323.86,10691362.34
2019-05-14,BTCUSD,7814.38,8320,7616,7989.85,1917.37,15275935.03
2019-05-13,BTCUSD,6972.99,8157,6865.16,7814.38,2625.42,20179247.73
2019-05-12,BTCUSD,7226.01,7575,6763.7,6972.99,2447.82,17556474.13
2019-05-11,BTCUSD,6345,7449.45,6345,7226.01,2302.77,15975981.44
2019-05-10,BTCUSD,6152.9,6424.49,6106.95,6345,887.88,5594917.86
2019-05-09,BTCUSD,5940,6174.65,5936.7,6152.9,684.25,4140981.16
2019-05-08,BTCUSD,5753.77,5983.6,5664.18,5940,526.19,3081025.51
2019-05-07,BTCUSD,5685.61,5963.38,5685.61,5910,285.54,1675020.82
2019-05-06,BTCUSD,5730.07,5751.72,5570.14,5685.61,468.57,2652459.71
2019-05-05,BTCUSD,5770.24,5780,5631.19,5730.07,303.12,1733114.36
2019-05-04,BTCUSD,5670,5831.29,5500,5770.24,635.45,3616233.79
2019-05-03,BTCUSD,5393.23,5794.2,5367.95,5670,1114.84,6298844.05
2019-05-02,BTCUSD,5326.1,5419.19,5310,5393.23,398.71,2142699.93
2019-05-01,BTCUSD,5269.8,5349.88,5267.5,5326.1,465.76,2471112.87
2019-04-30,BTCUSD,5151.35,5288.15,5133.07,5269.8,520.63,2715287.59
2019-04-29,BTCUSD,5152.48,5187,5062.8,5151.35,375.93,1935525.41
2019-04-28,BTCUSD,5172.02,5213.37,5105,5152.48,260.28,1343591.64
