Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-08-07 03-AM,ETHBTC,0.0195,0.01956,0.0195,0.01955,106.9,2.085
2019-08-07 02-AM,ETHBTC,0.01959,0.01959,0.01948,0.0195,104.63,2.043
2019-08-07 01-AM,ETHBTC,0.01963,0.01969,0.01955,0.01959,165.46,3.241
2019-08-07 12-AM,ETHBTC,0.0197,0.0197,0.01963,0.01963,2.845,0.05592
2019-08-06 11-PM,ETHBTC,0.01984,0.01984,0.01971,0.01972,130.39,2.582
2019-08-06 10-PM,ETHBTC,0.01968,0.0199,0.01968,0.01984,664.64,13.11
2019-08-06 09-PM,ETHBTC,0.01939,0.01975,0.01935,0.01968,663.11,12.9
2019-08-06 08-PM,ETHBTC,0.01947,0.01947,0.01931,0.01939,228.47,4.43
2019-08-06 07-PM,ETHBTC,0.01952,0.01955,0.01943,0.01947,258.91,5.05
2019-08-06 06-PM,ETHBTC,0.01953,0.01955,0.0195,0.01952,226.12,4.413
2019-08-06 05-PM,ETHBTC,0.01952,0.01959,0.01946,0.01953,115.92,2.261
2019-08-06 04-PM,ETHBTC,0.01947,0.01962,0.01947,0.01952,356.97,6.979
2019-08-06 03-PM,ETHBTC,0.01952,0.01957,0.01946,0.01947,372.1,7.257
2019-08-06 02-PM,ETHBTC,0.01955,0.01957,0.0195,0.01952,428.0,8.364
2019-08-06 01-PM,ETHBTC,0.01954,0.01962,0.01954,0.01955,282.66,5.533
2019-08-06 12-PM,ETHBTC,0.0195,0.01958,0.01945,0.01954,271.8,5.313
2019-08-06 11-AM,ETHBTC,0.01958,0.01962,0.01946,0.0195,144.58,2.828
2019-08-06 10-AM,ETHBTC,0.0192,0.01963,0.0192,0.01958,1273.77,24.84
2019-08-06 09-AM,ETHBTC,0.01911,0.01921,0.01909,0.0192,406.57,7.786
2019-08-06 08-AM,ETHBTC,0.01915,0.01915,0.01909,0.01911,364.03,6.956
2019-08-06 07-AM,ETHBTC,0.01916,0.01923,0.01909,0.01915,217.55,4.167
2019-08-06 06-AM,ETHBTC,0.01948,0.01948,0.01912,0.01916,555.56,10.72
2019-08-06 05-AM,ETHBTC,0.01954,0.01954,0.01948,0.01948,121.52,2.371
2019-08-06 04-AM,ETHBTC,0.01959,0.01959,0.01954,0.01954,22.54,0.441
2019-08-06 03-AM,ETHBTC,0.01967,0.01967,0.01956,0.01959,241.64,4.739
2019-08-06 02-AM,ETHBTC,0.01961,0.01969,0.0196,0.01967,158.24,3.111
2019-08-06 01-AM,ETHBTC,0.0196,0.01965,0.0195,0.01961,100.36,1.964
2019-08-06 12-AM,ETHBTC,0.01975,0.01977,0.01959,0.0196,177.49,3.492
2019-08-05 11-PM,ETHBTC,0.01972,0.01975,0.01966,0.01975,70.81,1.394
2019-08-05 10-PM,ETHBTC,0.01982,0.01982,0.01969,0.01972,183.37,3.627
2019-08-05 09-PM,ETHBTC,0.01977,0.01982,0.01975,0.01982,165.58,3.274
2019-08-05 08-PM,ETHBTC,0.01976,0.0198,0.0197,0.01977,127.46,2.518
2019-08-05 07-PM,ETHBTC,0.01974,0.01977,0.01973,0.01976,127.7,2.522
2019-08-05 06-PM,ETHBTC,0.01977,0.01977,0.0197,0.01974,274.62,5.42
2019-08-05 05-PM,ETHBTC,0.01985,0.01985,0.01969,0.01977,483.24,9.54
2019-08-05 04-PM,ETHBTC,0.01977,0.01989,0.01974,0.01985,441.74,8.744
2019-08-05 03-PM,ETHBTC,0.01958,0.01977,0.01958,0.01977,104.85,2.062
2019-08-05 02-PM,ETHBTC,0.01968,0.0197,0.01958,0.01958,180.04,3.533
2019-08-05 01-PM,ETHBTC,0.01977,0.01977,0.01964,0.01968,258.04,5.088
2019-08-05 12-PM,ETHBTC,0.01978,0.01985,0.01975,0.01977,134.47,2.662
2019-08-05 11-AM,ETHBTC,0.02002,0.02015,0.01978,0.01978,376.0,7.512
2019-08-05 10-AM,ETHBTC,0.01961,0.02002,0.0196,0.02002,341.51,6.788
2019-08-05 09-AM,ETHBTC,0.01951,0.01962,0.0195,0.01961,263.65,5.157
2019-08-05 08-AM,ETHBTC,0.01953,0.01955,0.01948,0.01951,144.4,2.818
2019-08-05 07-AM,ETHBTC,0.01969,0.01969,0.0194,0.01953,506.61,9.883
2019-08-05 06-AM,ETHBTC,0.01976,0.01979,0.01969,0.01969,91.44,1.805
2019-08-05 05-AM,ETHBTC,0.01977,0.0198,0.01975,0.01976,76.01,1.503
2019-08-05 04-AM,ETHBTC,0.01984,0.01985,0.01977,0.01977,55.68,1.104
2019-08-05 03-AM,ETHBTC,0.01982,0.0199,0.01976,0.01984,142.78,2.829
2019-08-05 02-AM,ETHBTC,0.01986,0.01991,0.0198,0.01982,67.47,1.339
2019-08-05 01-AM,ETHBTC,0.02027,0.02027,0.01985,0.01986,592.44,11.85
2019-08-05 12-AM,ETHBTC,0.02027,0.02034,0.02024,0.02027,224.17,4.55
2019-08-04 11-PM,ETHBTC,0.02024,0.0203,0.02024,0.02027,24.77,0.5021
2019-08-04 10-PM,ETHBTC,0.02023,0.02027,0.0202,0.02024,220.52,4.463
2019-08-04 09-PM,ETHBTC,0.0202,0.02039,0.02017,0.02023,35.7,0.7239
2019-08-04 08-PM,ETHBTC,0.02019,0.02023,0.02016,0.0202,81.36,1.644
2019-08-04 07-PM,ETHBTC,0.02024,0.02024,0.02017,0.02019,43.41,0.8772
