Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-08-07,ETHBTC,0.0197,0.0197,0.01948,0.01952,379.84,7.425
2019-08-06,ETHBTC,0.01975,0.0199,0.01909,0.01972,7782.93,151.61
2019-08-05,ETHBTC,0.02027,0.02034,0.0194,0.01975,5434.09,107.52
2019-08-04,ETHBTC,0.0205,0.02058,0.02012,0.02027,2355.31,47.97
2019-08-03,ETHBTC,0.02067,0.0209,0.02036,0.02051,2890.5,59.44
2019-08-02,ETHBTC,0.02094,0.02116,0.02056,0.02067,5190.24,108.14
2019-08-01,ETHBTC,0.02168,0.02168,0.02077,0.02094,3631.4,77.0
2019-07-31,ETHBTC,0.02191,0.02215,0.02145,0.02168,6249.41,135.85
2019-07-30,ETHBTC,0.02217,0.0222,0.0218,0.02189,3654.04,80.12
2019-07-29,ETHBTC,0.02213,0.02225,0.02191,0.02217,2512.81,55.44
2019-07-28,ETHBTC,0.02191,0.02233,0.02162,0.02213,5445.63,119.31
2019-07-27,ETHBTC,0.02192,0.0221,0.02156,0.02186,3950.54,86.5
2019-07-26,ETHBTC,0.02217,0.02237,0.022,0.02229,6038.96,133.94
2019-07-25,ETHBTC,0.02217,0.02236,0.02193,0.02217,4914.41,108.62
2019-07-24,ETHBTC,0.02152,0.02245,0.02087,0.02217,7595.56,164.27
2019-07-23,ETHBTC,0.02105,0.02161,0.021,0.02152,5906.83,125.39
2019-07-22,ETHBTC,0.02131,0.02137,0.02081,0.02105,6540.39,138.13
2019-07-21,ETHBTC,0.02129,0.02144,0.021,0.02131,4471.82,94.95
2019-07-20,ETHBTC,0.02101,0.02187,0.02101,0.02129,7484.36,160.54
2019-07-19,ETHBTC,0.02124,0.02126,0.0208,0.02101,5884.02,123.66
2019-07-18,ETHBTC,0.02182,0.02186,0.02154,0.02186,561.44,12.15
2019-07-17,ETHBTC,0.02108,0.02232,0.02099,0.02182,9721.79,209.44
2019-07-16,ETHBTC,0.02103,0.02139,0.02012,0.02108,13991.88,292.38
2019-07-15,ETHBTC,0.02219,0.02228,0.02054,0.02103,16423.9,354.29
2019-07-14,ETHBTC,0.02363,0.02406,0.02203,0.02219,18619.18,422.32
2019-07-13,ETHBTC,0.02335,0.02431,0.02327,0.02363,5337.69,126.52
2019-07-12,ETHBTC,0.02366,0.02404,0.02321,0.02335,6208.71,146.57
2019-07-11,ETHBTC,0.02384,0.02425,0.02308,0.02366,10962.73,259.7
2019-07-10,ETHBTC,0.0245,0.02457,0.02295,0.02384,15746.81,374.35
2019-07-09,ETHBTC,0.02542,0.02556,0.02437,0.0245,11838.15,295.41
2019-07-08,ETHBTC,0.02672,0.02691,0.02526,0.02542,9119.52,237.77
2019-07-07,ETHBTC,0.02563,0.02707,0.02555,0.02672,5769.41,151.39
2019-07-06,ETHBTC,0.02618,0.02621,0.0253,0.02563,6045.34,154.89
2019-07-05,ETHBTC,0.02539,0.02642,0.02514,0.02618,9436.26,244.68
2019-07-04,ETHBTC,0.02522,0.02567,0.02485,0.02539,16898.76,424.58
2019-07-03,ETHBTC,0.02689,0.02689,0.0252,0.02522,11473.76,297.76
2019-07-02,ETHBTC,0.0278,0.02829,0.02655,0.02689,15519.26,429.16
2019-07-01,ETHBTC,0.027,0.02799,0.02664,0.0278,10081.9,275.61
2019-06-30,ETHBTC,0.02674,0.02704,0.0261,0.027,8109.72,215.26
2019-06-29,ETHBTC,0.02504,0.02711,0.02497,0.02674,12125.18,314.05
2019-06-28,ETHBTC,0.02634,0.02709,0.02498,0.02504,12196.55,316.42
2019-06-27,ETHBTC,0.02587,0.02728,0.02564,0.02634,24649.16,649.85
2019-06-26,ETHBTC,0.02695,0.02768,0.02535,0.02587,42487.99,1128.74
2019-06-25,ETHBTC,0.02819,0.02819,0.02689,0.02695,8661.42,237.87
2019-06-24,ETHBTC,0.02828,0.0286,0.02796,0.02819,6442.14,182.3
2019-06-23,ETHBTC,0.02896,0.02945,0.02813,0.02828,7832.75,226.25
2019-06-22,ETHBTC,0.02893,0.02972,0.02785,0.02896,14770.97,423.54
2019-06-21,ETHBTC,0.02853,0.02984,0.02852,0.02893,13013.5,381.32
2019-06-20,ETHBTC,0.029,0.02909,0.0281,0.02853,7331.71,211.07
2019-06-19,ETHBTC,0.02913,0.02941,0.02892,0.029,5545.22,162.1
2019-06-18,ETHBTC,0.02934,0.02946,0.02884,0.02913,6899.76,201.59
2019-06-17,ETHBTC,0.02992,0.02995,0.0291,0.02934,5657.33,166.2
2019-06-16,ETHBTC,0.03043,0.03043,0.0294,0.02992,6036.47,179.92
2019-06-15,ETHBTC,0.03035,0.03089,0.03021,0.03043,9512.45,290.44
2019-06-14,ETHBTC,0.03097,0.03121,0.03026,0.03035,6668.64,205.06
2019-06-13,ETHBTC,0.03216,0.03226,0.03083,0.03097,8718.56,276.89
2019-06-12,ETHBTC,0.03098,0.0322,0.03085,0.03216,13853.79,432.88
2019-06-11,ETHBTC,0.03092,0.03121,0.03071,0.03098,10781.7,332.97
2019-06-10,ETHBTC,0.03029,0.03108,0.0302,0.03092,6403.24,196.07
2019-06-09,ETHBTC,0.03083,0.03092,0.03,0.03029,6312.48,192.7
2019-06-08,ETHBTC,0.0312,0.03134,0.03079,0.03083,4270.27,132.85
2019-06-07,ETHBTC,0.03193,0.03208,0.0311,0.0312,7346.93,230.38
2019-06-06,ETHBTC,0.03162,0.03208,0.0313,0.03193,4973.35,156.76
2019-06-05,ETHBTC,0.03138,0.03181,0.03094,0.03162,8299.83,260.63
2019-06-04,ETHBTC,0.03077,0.03156,0.03066,0.03138,10319.35,320.9
2019-06-03,ETHBTC,0.03085,0.0311,0.03039,0.03077,7848.63,241.31
2019-06-02,ETHBTC,0.03096,0.03129,0.03072,0.03085,4955.46,153.69
2019-06-01,ETHBTC,0.03132,0.03209,0.03086,0.03096,6118.05,192.26
2019-05-31,ETHBTC,0.03081,0.03132,0.03024,0.03132,11018.93,339.57
2019-05-30,ETHBTC,0.03109,0.03318,0.02984,0.03081,25507.54,806.04
2019-05-29,ETHBTC,0.03112,0.0314,0.0308,0.03109,8069.48,251.35
2019-05-28,ETHBTC,0.03096,0.03149,0.0307,0.03112,8274.0,256.8
2019-05-27,ETHBTC,0.03073,0.03143,0.03039,0.03096,11906.61,365.71
2019-05-26,ETHBTC,0.0312,0.03138,0.03018,0.03073,8057.94,248.85
2019-05-25,ETHBTC,0.0312,0.03188,0.03104,0.0312,4809.85,151.05
2019-05-24,ETHBTC,0.03118,0.03166,0.031,0.0312,7513.55,235.22
2019-05-23,ETHBTC,0.03192,0.03208,0.03075,0.03118,8097.2,253.5
2019-05-22,ETHBTC,0.03209,0.03263,0.03139,0.03192,11885.64,381.36
2019-05-21,ETHBTC,0.03152,0.03275,0.03152,0.03209,11080.22,353.63
2019-05-20,ETHBTC,0.03183,0.03224,0.03111,0.03152,9345.86,294.44
2019-05-19,ETHBTC,0.03224,0.03241,0.03166,0.03183,9416.64,301.15
2019-05-18,ETHBTC,0.03321,0.03341,0.032,0.03224,6064.28,197.87
2019-05-17,ETHBTC,0.03363,0.03396,0.03152,0.03321,28270.67,928.7
2019-05-16,ETHBTC,0.03039,0.03482,0.03036,0.03363,36542.02,1188.77
2019-05-15,ETHBTC,0.02724,0.03056,0.02714,0.03039,39437.54,1143.48
2019-05-14,ETHBTC,0.0251,0.02783,0.02479,0.02724,31099.44,812.31
2019-05-13,ETHBTC,0.02695,0.02723,0.02455,0.0251,26578.96,686.01
2019-05-12,ETHBTC,0.02671,0.02724,0.02618,0.02695,16884.47,451.47
2019-05-11,ETHBTC,0.02709,0.02868,0.02552,0.02671,31104.09,848.86
2019-05-10,ETHBTC,0.02764,0.02815,0.02703,0.02709,17000.0,466.9
2019-05-09,ETHBTC,0.02853,0.02857,0.0273,0.02764,9493.16,265.4
2019-05-08,ETHBTC,0.02895,0.02917,0.02842,0.02853,10882.79,313.4
2019-05-07,ETHBTC,0.0301,0.03137,0.02977,0.02995,3854.68,117.02
2019-05-06,ETHBTC,0.0282,0.03076,0.02813,0.0301,10628.33,314.68
2019-05-05,ETHBTC,0.0281,0.02841,0.02789,0.0282,2747.78,77.42
2019-05-04,ETHBTC,0.02916,0.02923,0.028,0.0281,6758.21,193.04
2019-05-03,ETHBTC,0.0295,0.02959,0.02823,0.02916,9876.74,286.95
2019-05-02,ETHBTC,0.02972,0.02992,0.02918,0.0295,5655.89,167.14
2019-05-01,ETHBTC,0.03038,0.03061,0.02965,0.02972,4652.88,139.69
2019-04-30,ETHBTC,0.02966,0.03048,0.02962,0.03038,7390.84,221.47
2019-04-29,ETHBTC,0.02978,0.02989,0.02931,0.02966,19365.01,574.15
2019-04-28,ETHBTC,0.03009,0.03013,0.02973,0.02978,3646.64,109.19
2019-04-27,ETHBTC,0.02975,0.0304,0.02958,0.03009,5672.49,169.76
2019-04-26,ETHBTC,0.02964,0.02985,0.02925,0.02975,7747.81,228.61
2019-04-25,ETHBTC,0.03047,0.03051,0.02928,0.02964,13079.77,391.49
2019-04-24,ETHBTC,0.03084,0.03084,0.0297,0.03047,13935.25,420.87
2019-04-23,ETHBTC,0.03186,0.03187,0.03067,0.03084,10276.99,322.16
2019-04-22,ETHBTC,0.03206,0.03242,0.03185,0.03186,6424.66,206.44
2019-04-21,ETHBTC,0.03264,0.0327,0.03182,0.03206,5378.89,172.84
2019-04-20,ETHBTC,0.03282,0.03321,0.03243,0.03264,3469.48,113.73
2019-04-19,ETHBTC,0.03298,0.03313,0.0325,0.03282,6184.7,202.76
2019-04-18,ETHBTC,0.03189,0.03328,0.03179,0.03298,9634.42,315.46
2019-04-17,ETHBTC,0.032,0.03205,0.03165,0.03189,5922.26,188.58
2019-04-16,ETHBTC,0.03188,0.03234,0.03173,0.032,5691.64,182.46
2019-04-15,ETHBTC,0.0326,0.0327,0.03115,0.03188,7342.1,235.7
2019-04-14,ETHBTC,0.03234,0.03267,0.03211,0.0326,4922.22,158.88
2019-04-13,ETHBTC,0.03239,0.03248,0.03206,0.03234,5009.87,161.92
2019-04-12,ETHBTC,0.03271,0.03284,0.03222,0.03239,7479.68,243.56
2019-04-11,ETHBTC,0.03333,0.03336,0.03218,0.03271,17278.58,565.08
2019-04-10,ETHBTC,0.03392,0.03478,0.0327,0.03333,17743.03,603.63
2019-04-09,ETHBTC,0.03415,0.03441,0.03372,0.03392,13539.3,460.29
2019-04-08,ETHBTC,0.03371,0.03537,0.03362,0.03415,25909.65,895.27
2019-04-07,ETHBTC,0.03277,0.03407,0.0325,0.03371,12864.84,424.33
2019-04-06,ETHBTC,0.03298,0.0334,0.03226,0.03277,10176.27,332.99
2019-04-05,ETHBTC,0.03214,0.03345,0.03199,0.03298,18703.84,614.81
2019-04-04,ETHBTC,0.03239,0.03263,0.03143,0.03214,15279.64,492.64
2019-04-03,ETHBTC,0.03367,0.03494,0.03148,0.03239,41175.01,1377.44
2019-04-02,ETHBTC,0.03411,0.03411,0.03052,0.03367,77339.88,2521.39
2019-04-01,ETHBTC,0.0345,0.0346,0.03383,0.03411,13314.47,456.87
2019-03-19,ETHBTC,0.03455,0.03484,0.03445,0.03463,455.0,15.75
2019-03-18,ETHBTC,0.03479,0.0352,0.03439,0.03455,9876.1,343.37
2019-03-17,ETHBTC,0.0352,0.0352,0.03457,0.03479,5499.83,191.6
2019-03-16,ETHBTC,0.03479,0.0357,0.03478,0.0352,8625.63,304.1
2019-03-15,ETHBTC,0.03409,0.035,0.03404,0.03479,8574.61,296.24
2019-03-14,ETHBTC,0.03407,0.03449,0.03388,0.03409,12053.61,410.72
2019-03-13,ETHBTC,0.03437,0.0344,0.03392,0.03407,8207.19,279.87
2019-03-12,ETHBTC,0.03427,0.03475,0.03363,0.03437,10012.49,342.55
2019-03-11,ETHBTC,0.03455,0.03467,0.03404,0.03427,5777.15,198.41
2019-03-10,ETHBTC,0.03486,0.03495,0.03439,0.03455,6042.03,209.17
2019-03-09,ETHBTC,0.03457,0.03538,0.03447,0.03486,4931.32,172.03
2019-03-08,ETHBTC,0.03526,0.0354,0.03413,0.03457,9343.72,327.17
