Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-08-07,ETHUSD,225.95,227.22,224.25,225.91,100.04,22586.08
2019-08-06,ETHUSD,233.31,239.2,222,225.95,3547.24,814424.27
2019-08-05,ETHUSD,222.81,236.38,222.81,233.31,3866.19,892102.57
2019-08-04,ETHUSD,222.92,223.7,217.76,222.81,771.51,170575.43
2019-08-03,ETHUSD,217.89,224.2,216.76,221.89,658.91,146315.05
2019-08-02,ETHUSD,216.94,222.46,215.05,217.16,2118.04,462067.12
2019-08-01,ETHUSD,218.5,218.89,211.17,216.94,2719.33,587849.56
2019-07-31,ETHUSD,209.65,218.73,209.65,218.5,2732.05,586967.31
2019-07-30,ETHUSD,210.71,214.75,204.43,209.65,2100.24,442954.38
2019-07-29,ETHUSD,212,215.05,205.9,210.71,1245.95,260845.79
2019-07-28,ETHUSD,206.88,214,198.01,212,2014.4,416154.93
2019-07-27,ETHUSD,219.35,222.97,202.68,206.88,3309.32,697582.19
2019-07-26,ETHUSD,218.43,220.5,213.06,219.35,1632.19,354418.24
2019-07-25,ETHUSD,217.48,225.71,215.71,218.43,1644.26,363497.38
2019-07-24,ETHUSD,212.08,217.79,201.1,217.48,2508.81,528880.88
2019-07-23,ETHUSD,217.42,218.99,208.4,212.08,1962.12,416906.86
2019-07-22,ETHUSD,226.21,228.03,211.51,217.42,3457.16,755168.67
2019-07-21,ETHUSD,228.75,229.69,217.85,226.21,3044.5,678506.77
2019-07-20,ETHUSD,220.7,235.96,220.5,228.75,4365.29,998268.55
2019-07-19,ETHUSD,225.89,226.34,213.34,220.7,4197.56,923435.67
2019-07-18,ETHUSD,210.84,213.77,206.84,213.2,317.41,66224.77
2019-07-17,ETHUSD,198.91,219.71,192.14,210.84,7809.43,1601448.07
2019-07-16,ETHUSD,228.24,234.54,191.66,198.91,10430.23,2158425.03
2019-07-15,ETHUSD,226.19,235.42,203.99,228.24,7234.38,1615377.3
2019-07-14,ETHUSD,269.63,269.63,223.3,226.19,5982.8,1437705.71
2019-07-13,ETHUSD,276.85,276.85,262.29,269.63,2596.85,695586.45
2019-07-12,ETHUSD,269.06,279.54,265.91,276.85,1824.59,496215.55
2019-07-11,ETHUSD,287.88,287.88,262.39,269.06,5542.66,1504098.72
2019-07-10,ETHUSD,307.91,314.95,281.36,287.88,7680.94,2286164.15
2019-07-09,ETHUSD,313,318.02,303.31,307.91,3892.95,1213367.28
2019-07-08,ETHUSD,307.17,314.41,303,313,3002.39,927496.4
2019-07-07,ETHUSD,287.2,310.38,284.11,307.17,2225.69,668483.45
2019-07-06,ETHUSD,287.39,297.5,285.26,287.2,1466.93,428084.58
2019-07-05,ETHUSD,283.11,294.79,280.55,287.39,2356.44,678726.93
2019-07-04,ETHUSD,302.72,303.51,280.68,283.11,2431.91,716087.78
2019-07-03,ETHUSD,290.13,303.25,290,302.72,3714.65,1097743.08
2019-07-02,ETHUSD,293.51,295.82,271.2,290.13,5344.44,1509675.07
2019-07-01,ETHUSD,289.1,300.55,279,293.51,4407.8,1269537.28
2019-06-30,ETHUSD,316.9,323.09,286.45,289.1,3896.21,1183087.11
2019-06-29,ETHUSD,309.83,322.88,291,316.9,3890.36,1189783.14
2019-06-28,ETHUSD,293.31,312.2,290,309.83,3992.0,1209152.55
2019-06-27,ETHUSD,332.5,341,274.6,293.31,10406.65,3134561.74
2019-06-26,ETHUSD,316.28,362.97,309,332.5,12838.53,4302592.59
2019-06-25,ETHUSD,310.38,317.18,305,316.28,4528.96,1403573.44
2019-06-24,ETHUSD,306.5,313.1,295.82,310.38,4147.97,1272196.11
2019-06-23,ETHUSD,308.57,317.49,304.33,306.5,4301.16,1338552.12
2019-06-22,ETHUSD,296.14,314.91,293.96,308.57,8886.41,2715249.26
2019-06-21,ETHUSD,272.15,297.13,272.15,296.14,7978.24,2292853.16
2019-06-20,ETHUSD,268.73,274.3,266.58,272.15,1427.17,385469.85
2019-06-19,ETHUSD,264.33,270,263.69,268.73,1307.08,348847.68
2019-06-18,ETHUSD,273.7,274.3,261.06,264.33,2566.21,684562.98
2019-06-17,ETHUSD,269.2,275.4,267.81,273.7,2795.98,760616.0
2019-06-16,ETHUSD,268.86,278.61,263.58,269.2,5550.76,1508628.74
2019-06-15,ETHUSD,264.45,273,262.22,268.86,2393.7,640514.61
2019-06-14,ETHUSD,255,265.82,251.72,264.45,2760.52,710231.26
2019-06-13,ETHUSD,262.92,264.15,254.4,255,2048.31,532784.08
2019-06-12,ETHUSD,245.18,263.26,243.42,262.92,5262.95,1334255.16
2019-06-11,ETHUSD,248.1,249,237.67,245.18,2896.57,705315.75
2019-06-10,ETHUSD,231.66,248.1,227.45,248.1,4159.45,1000228.41
2019-06-09,ETHUSD,244.18,245.14,227,231.66,3256.6,765208.9
2019-06-08,ETHUSD,249.83,251.02,241.7,244.18,1725.62,425975.21
2019-06-07,ETHUSD,248.94,254.12,244.52,249.83,4677.87,1172491.88
2019-06-06,ETHUSD,246.06,250.78,235.98,248.94,2799.8,680644.33
2019-06-05,ETHUSD,240.6,248.81,238,246.06,3521.79,856790.2
2019-06-04,ETHUSD,249.9,250.64,233.79,240.6,8272.41,2005247.94
2019-06-03,ETHUSD,270,270,247.1,249.9,3875.05,997313.42
2019-06-02,ETHUSD,265.26,273.38,264.43,270,1816.37,488940.27
2019-06-01,ETHUSD,268.38,274.8,261.47,265.26,3775.48,1013444.44
2019-05-31,ETHUSD,254.62,268.89,245.66,268.38,7439.78,1910366.88
2019-05-30,ETHUSD,268.83,288.5,240,254.62,14287.54,3808849.19
2019-05-29,ETHUSD,271.6,275.2,260.21,268.83,6179.31,1651625.19
2019-05-28,ETHUSD,271.86,276,264.79,271.6,4308.26,1164601.26
2019-05-27,ETHUSD,267.49,279.52,264.91,271.86,7770.87,2097752.86
2019-05-26,ETHUSD,251.72,271.62,245.61,267.49,10129.41,2601770.24
2019-05-25,ETHUSD,249.19,259,248.54,251.72,3497.59,883646.04
2019-05-24,ETHUSD,245.84,255.95,241.5,249.19,6016.24,1519249.64
2019-05-23,ETHUSD,244.05,248.22,231.48,245.84,3732.45,895019.56
2019-05-22,ETHUSD,255.67,261.12,240.34,244.05,6290.63,1577330.79
2019-05-21,ETHUSD,252.37,264,247.65,255.67,8348.47,2138597.18
2019-05-20,ETHUSD,261.19,261.19,239.05,252.37,9595.75,2398582.73
2019-05-19,ETHUSD,234.68,265,232.61,261.19,8104.28,2053310.6
2019-05-18,ETHUSD,244.98,248.32,232,234.68,5510.74,1316625.4
2019-05-17,ETHUSD,265.05,269.01,223.19,244.98,29061.92,6953350.3
2019-05-16,ETHUSD,248.94,279.43,242.29,265.05,25410.84,6639819.06
2019-05-15,ETHUSD,217.74,250.5,217.64,248.94,16277.33,3848261.24
2019-05-14,ETHUSD,196.59,220.9,195.85,217.74,16904.05,3531910.93
2019-05-13,ETHUSD,188.4,208.57,185.85,196.59,19548.37,3887141.89
2019-05-12,ETHUSD,193,204.04,183,188.4,18066.93,3462594.17
2019-05-11,ETHUSD,172.14,206.92,172.03,193,20566.58,3889367.08
2019-05-10,ETHUSD,169.93,176.01,167.68,172.14,6933.56,1196791.37
2019-05-09,ETHUSD,169.6,173,165.36,169.93,4620.22,775520.21
2019-05-08,ETHUSD,166.42,171.82,162.41,169.6,2958.98,494177.6
2019-05-07,ETHUSD,171.5,181,171.5,176.58,4217.24,745031.65
2019-05-06,ETHUSD,161.46,175.5,157.98,171.5,3839.16,642081.88
2019-05-05,ETHUSD,162.03,163.44,157.39,161.46,2183.73,350047.99
2019-05-04,ETHUSD,164.8,168.72,158.26,162.03,2525.6,408720.98
2019-05-03,ETHUSD,159.29,169,157.8,164.8,2618.62,430419.93
2019-05-02,ETHUSD,158.47,160.2,156.09,159.29,1273.04,201370.8
2019-05-01,ETHUSD,160.22,162.85,156.8,158.47,3828.17,612695.07
2019-04-30,ETHUSD,152.49,160.93,152.49,160.22,4107.6,642405.81
2019-04-29,ETHUSD,153.54,154.44,148.9,152.49,1768.72,269256.88
2019-04-28,ETHUSD,155.43,156.54,152.57,153.54,1821.28,282887.86
2019-04-27,ETHUSD,153.12,158.37,152.51,155.43,1126.44,174695.8
2019-04-26,ETHUSD,152.14,155.73,148.6,153.12,6236.4,943786.77
2019-04-25,ETHUSD,165.62,166.23,147,152.14,8309.68,1320351.29
2019-04-24,ETHUSD,170.89,170.94,160.27,165.62,7018.52,1170241.45
2019-04-23,ETHUSD,171.51,176.56,169.07,170.89,5267.81,914801.38
2019-04-22,ETHUSD,170.02,173.54,168.16,171.51,2992.43,512376.35
2019-04-21,ETHUSD,173.41,174.35,166.67,170.02,2698.4,457647.52
